Sample	Top over-represented sequence	Sum of remaining over-represented sequences
Sde-AMat_017-SdA01017-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_017-SdA01017-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_018-SdA01018-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_018-SdA01018-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_019-SdA01019-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_019-SdA01019-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_020-SdA01020-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_020-SdA01020-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_021-SdA01021-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_021-SdA01021-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_022-SdA01022-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_022-SdA01022-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_023-SdA01023-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_023-SdA01023-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_024-SdA01024-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_024-SdA01024-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_025-SdA01025-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_025-SdA01025-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_026-SdA01026-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_026-SdA01026-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_027-SdA01027-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_027-SdA01027-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_028-SdA01028-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_028-SdA01028-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_029-SdA01029-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_029-SdA01029-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_030-SdA01030-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_030-SdA01030-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_031-SdA01031-L2-clmp-fp2-repr.R1	0.0	0.0
Sde-AMat_031-SdA01031-L2-clmp-fp2-repr.R2	0.0	0.0
Sde-AMat_032-SdA01032-L2-clmp-fp2-repr.R1	0.0	0.0
