Sample	Protists_1k	Human	Fungi_RefSeq_release	Bacteria_24k	Bird	Plant	Coral	Viruses	Vectors	Multiple Genomes	No hits
Tzo-AMvi_007_Ex1_L4_clmp.fp2_r1_screen	34912.0	5879.0	3923.0	2807.0	2425.0	826.0	633.0	141.0	4.0	176889.0	1924612.0
Tzo-AMvi_007_Ex1_L4_clmp.fp2_r2_screen	35632.0	5660.0	3996.0	2654.0	2655.0	688.0	637.0	123.0	4.0	179620.0	1921382.0
Tzo-AMvi_008_Ex1_L4_clmp.fp2_r1_screen	28735.0	9687.0	3421.0	8628.0	1866.0	579.0	482.0	116.0	4.0	217864.0	1609291.0
Tzo-AMvi_008_Ex1_L4_clmp.fp2_r2_screen	28579.0	9516.0	3122.0	8630.0	1917.0	499.0	447.0	87.0	5.0	221965.0	1605906.0
Tzo-AMvi_009_Ex1_L4_clmp.fp2_r1_screen	42771.0	8102.0	5129.0	2135.0	2953.0	1096.0	758.0	117.0	16.0	232607.0	2318668.0
Tzo-AMvi_009_Ex1_L4_clmp.fp2_r2_screen	44151.0	7651.0	5014.0	2287.0	2929.0	1055.0	917.0	141.0	14.0	237015.0	2313178.0
Tzo-AMvi_010_Ex1_L4_clmp.fp2_r1_screen	30437.0	6933.0	3560.0	3751.0	2191.0	697.0	514.0	120.0	5.0	215540.0	1880537.0
Tzo-AMvi_010_Ex1_L4_clmp.fp2_r2_screen	31752.0	7055.0	3404.0	3501.0	2034.0	646.0	502.0	109.0	10.0	218165.0	1877107.0
Tzo-AMvi_011_Ex1_L4_clmp.fp2_r1_screen	49379.0	14753.0	5584.0	4207.0	3503.0	1144.0	1053.0	140.0	11.0	267164.0	2525062.0
Tzo-AMvi_011_Ex1_L4_clmp.fp2_r2_screen	51329.0	14556.0	5421.0	4371.0	3341.0	1138.0	1006.0	149.0	6.0	269929.0	2520754.0
Tzo-AMvi_012_Ex1_L4_clmp.fp2_r1_screen	85503.0	14576.0	9575.0	3084.0	5864.0	2072.0	1659.0	260.0	25.0	551544.0	4655175.0
Tzo-AMvi_012_Ex1_L4_clmp.fp2_r2_screen	88398.0	15481.0	9484.0	3065.0	5552.0	2025.0	1644.0	249.0	28.0	559960.0	4643451.0
Tzo-AMvi_013_Ex1_L4_clmp.fp2_r1_screen	57091.0	9783.0	6499.0	3290.0	3795.0	1342.0	1029.0	221.0	13.0	402795.0	3445024.0
Tzo-AMvi_013_Ex1_L4_clmp.fp2_r2_screen	58649.0	9680.0	6284.0	3524.0	3986.0	1248.0	1103.0	191.0	9.0	407080.0	3439128.0
Tzo-AMvi_014_Ex1_L4_clmp.fp2_r1_screen	13340.0	5389.0	2056.0	24268.0	632.0	237.0	180.0	45.0	2.0	123066.0	658240.0
Tzo-AMvi_014_Ex1_L4_clmp.fp2_r2_screen	13982.0	5138.0	2045.0	22955.0	888.0	336.0	157.0	82.0	1.0	122638.0	659233.0
Tzo-AMvi_015_Ex1_L4_clmp.fp2_r1_screen	49649.0	8761.0	5574.0	3040.0	3691.0	1100.0	980.0	182.0	38.0	287920.0	2747891.0
Tzo-AMvi_015_Ex1_L4_clmp.fp2_r2_screen	51927.0	8664.0	5829.0	3026.0	3478.0	1061.0	942.0	137.0	7.0	292704.0	2741051.0
Tzo-AMvi_016_Ex1_L4_clmp.fp2_r1_screen	45535.0	7529.0	5180.0	7309.0	3145.0	1016.0	727.0	201.0	37.0	377122.0	2366787.0
Tzo-AMvi_016_Ex1_L4_clmp.fp2_r2_screen	45783.0	7293.0	5520.0	7044.0	3187.0	1011.0	765.0	165.0	4.0	382659.0	2361157.0
Tzo-AMvi_017_Ex1_L4_clmp.fp2_r1_screen	41657.0	7598.0	4961.0	5351.0	2936.0	950.0	762.0	137.0	12.0	272110.0	2101740.0
Tzo-AMvi_017_Ex1_L4_clmp.fp2_r2_screen	43139.0	7381.0	4724.0	5284.0	2734.0	937.0	804.0	143.0	19.0	275210.0	2097839.0
Tzo-AMvi_018_Ex1_L4_clmp.fp2_r1_screen	32185.0	6506.0	3543.0	8617.0	2092.0	693.0	522.0	148.0	21.0	422397.0	1884460.0
Tzo-AMvi_018_Ex1_L4_clmp.fp2_r2_screen	32021.0	6368.0	3379.0	8556.0	1855.0	639.0	545.0	74.0	11.0	423276.0	1884460.0
Tzo-AMvi_019_Ex1_L4_clmp.fp2_r1_screen	22706.0	6372.0	2933.0	11464.0	1173.0	451.0	417.0	70.0	2.0	221417.0	1515399.0
Tzo-AMvi_019_Ex1_L4_clmp.fp2_r2_screen	22929.0	6709.0	3153.0	11771.0	1200.0	399.0	330.0	71.0	2.0	225431.0	1510409.0
Tzo-AMvi_020_Ex1_L4_clmp.fp2_r1_screen	33874.0	5065.0	3701.0	4663.0	2126.0	792.0	562.0	117.0	30.0	244999.0	1904286.0
Tzo-AMvi_020_Ex1_L4_clmp.fp2_r2_screen	34073.0	5480.0	3686.0	4991.0	2131.0	754.0	638.0	103.0	10.0	246484.0	1901865.0
Tzo-AMvi_021_Ex1_L4_clmp.fp2_r1_screen	27386.0	6051.0	3259.0	5944.0	1908.0	644.0	425.0	86.0	28.0	179185.0	1635427.0
Tzo-AMvi_021_Ex1_L4_clmp.fp2_r2_screen	26892.0	6035.0	3232.0	5775.0	1715.0	573.0	549.0	63.0	12.0	182488.0	1633009.0
Tzo-AMvi_022_Ex1_L4_clmp.fp2_r1_screen	32810.0	5681.0	3701.0	5497.0	2154.0	734.0	650.0	161.0	19.0	243554.0	1878658.0
Tzo-AMvi_022_Ex1_L4_clmp.fp2_r2_screen	33174.0	5451.0	3791.0	5214.0	2097.0	856.0	579.0	73.0	13.0	249799.0	1872572.0
Tzo-AMvi_023_Ex1_L4_clmp.fp2_r1_screen	47128.0	18534.0	5338.0	3879.0	3449.0	1023.0	837.0	142.0	8.0	270261.0	2623097.0
Tzo-AMvi_023_Ex1_L4_clmp.fp2_r2_screen	48533.0	18409.0	5284.0	3665.0	3406.0	944.0	828.0	166.0	8.0	275601.0	2616852.0
Tzo-AMvi_024_Ex1_L4_clmp.fp2_r1_screen	57195.0	15613.0	6335.0	3858.0	3688.0	1266.0	1070.0	144.0	19.0	382883.0	2929015.0
Tzo-AMvi_024_Ex1_L4_clmp.fp2_r2_screen	58590.0	14684.0	6061.0	3704.0	3704.0	1195.0	1013.0	172.0	10.0	390421.0	2921532.0
Tzo-AMvi_025_Ex1_L4_clmp.fp2_r1_screen	63983.0	11301.0	7307.0	3317.0	4569.0	1558.0	1181.0	204.0	19.0	339574.0	3443558.0
Tzo-AMvi_025_Ex1_L4_clmp.fp2_r2_screen	65448.0	10810.0	7500.0	3302.0	4718.0	1459.0	1238.0	199.0	22.0	344132.0	3437743.0
Tzo-AMvi_026_Ex1_L4_clmp.fp2_r1_screen	36246.0	13933.0	4043.0	5560.0	2587.0	682.0	565.0	180.0	18.0	265276.0	2493286.0
Tzo-AMvi_026_Ex1_L4_clmp.fp2_r2_screen	36555.0	13678.0	4071.0	5575.0	2667.0	625.0	645.0	136.0	17.0	267661.0	2490746.0
Tzo-AMvi_027_Ex1_L4_clmp.fp2_r1_screen	56027.0	11071.0	6431.0	3620.0	3742.0	1229.0	1007.0	164.0	28.0	338297.0	3191197.0
Tzo-AMvi_027_Ex1_L4_clmp.fp2_r2_screen	57128.0	10929.0	6285.0	3787.0	3702.0	1303.0	1055.0	209.0	31.0	342967.0	3185417.0
Tzo-AMvi_028_Ex1_L4_clmp.fp2_r1_screen	71231.0	11800.0	8324.0	3610.0	4996.0	1697.0	1261.0	241.0	65.0	405678.0	3703870.0
Tzo-AMvi_028_Ex1_L4_clmp.fp2_r2_screen	74428.0	11650.0	8397.0	3494.0	5106.0	1517.0	1350.0	207.0	15.0	409901.0	3696708.0
Tzo-AMvi_029_Ex1_L4_clmp.fp2_r1_screen	39294.0	6145.0	4458.0	2430.0	2799.0	777.0	624.0	90.0	4.0	218520.0	2446329.0
Tzo-AMvi_029_Ex1_L4_clmp.fp2_r2_screen	39820.0	5861.0	4431.0	2500.0	2490.0	694.0	553.0	173.0	8.0	220788.0	2444152.0
Tzo-AMvi_030_Ex1_L4_clmp.fp2_r1_screen	63218.0	11665.0	7433.0	4671.0	4283.0	1429.0	1120.0	206.0	34.0	394262.0	3265102.0
Tzo-AMvi_030_Ex1_L4_clmp.fp2_r2_screen	64230.0	11096.0	7209.0	4794.0	4195.0	1411.0	1405.0	153.0	10.0	397571.0	3261349.0
Tzo-AMvi_031_Ex1_L4_clmp.fp2_r1_screen	51205.0	9090.0	5938.0	2605.0	3789.0	1144.0	1031.0	136.0	7.0	275504.0	2770196.0
Tzo-AMvi_031_Ex1_L4_clmp.fp2_r2_screen	52239.0	8083.0	5856.0	2559.0	3624.0	1020.0	976.0	147.0	8.0	280618.0	2765515.0
Tzo-AMvi_032_Ex1_L4_clmp.fp2_r1_screen	30130.0	6054.0	3996.0	14794.0	2006.0	718.0	527.0	173.0	8.0	175375.0	1760937.0
Tzo-AMvi_032_Ex1_L4_clmp.fp2_r2_screen	30566.0	5872.0	4024.0	15152.0	1850.0	656.0	533.0	157.0	6.0	176761.0	1759141.0
Tzo-AMvi_033_Ex1_L4_clmp.fp2_r1_screen	29301.0	6114.0	3200.0	5900.0	1933.0	605.0	494.0	80.0	4.0	185084.0	1766550.0
Tzo-AMvi_033_Ex1_L4_clmp.fp2_r2_screen	29411.0	6117.0	3257.0	6050.0	1779.0	537.0	524.0	94.0	3.0	190541.0	1760952.0
Tzo-AMvi_034_Ex1_L4_clmp.fp2_r1_screen	56435.0	13837.0	6548.0	22106.0	3920.0	1148.0	1086.0	250.0	10.0	309150.0	3083315.0
Tzo-AMvi_034_Ex1_L4_clmp.fp2_r2_screen	58095.0	13800.0	6042.0	21966.0	3853.0	1112.0	1018.0	222.0	18.0	314660.0	3077019.0
Tzo-AMvi_035_Ex1_L4_clmp.fp2_r1_screen	34891.0	6632.0	4426.0	3561.0	2638.0	764.0	630.0	161.0	10.0	237854.0	1932431.0
Tzo-AMvi_035_Ex1_L4_clmp.fp2_r2_screen	36701.0	6090.0	4160.0	3497.0	2331.0	715.0	631.0	128.0	14.0	243749.0	1925982.0
Tzo-AMvi_036_Ex1_L4_clmp.fp2_r1_screen	25256.0	5863.0	3323.0	20222.0	1655.0	557.0	502.0	254.0	23.0	189700.0	1593080.0
Tzo-AMvi_036_Ex1_L4_clmp.fp2_r2_screen	25607.0	5708.0	3172.0	19962.0	1795.0	418.0	413.0	253.0	10.0	192225.0	1590872.0
Tzo-AMvi_037_Ex1_L4_clmp.fp2_r1_screen	69210.0	12216.0	7939.0	3143.0	4817.0	1680.0	1475.0	195.0	39.0	413370.0	3598582.0
Tzo-AMvi_037_Ex1_L4_clmp.fp2_r2_screen	71149.0	11839.0	7603.0	2987.0	4913.0	1594.0	1304.0	185.0	34.0	421112.0	3589946.0
Tzo-AMvi_038_Ex1_L4_clmp.fp2_r1_screen	47946.0	11539.0	5840.0	4835.0	3290.0	1052.0	986.0	199.0	11.0	310857.0	2500333.0
Tzo-AMvi_038_Ex1_L4_clmp.fp2_r2_screen	49716.0	11740.0	6273.0	4954.0	3144.0	1008.0	891.0	184.0	11.0	315851.0	2493116.0
Tzo-AMvi_039_Ex1_L4_clmp.fp2_r1_screen	54054.0	10154.0	6272.0	4293.0	3749.0	1110.0	871.0	184.0	55.0	341738.0	2919918.0
Tzo-AMvi_039_Ex1_L4_clmp.fp2_r2_screen	54631.0	9918.0	6319.0	4252.0	3454.0	1163.0	996.0	188.0	23.0	346883.0	2914571.0
Tzo-AMvi_040_Ex1_L4_clmp.fp2_r1_screen	67843.0	11901.0	7050.0	3834.0	4386.0	1585.0	1200.0	203.0	35.0	402091.0	3539674.0
Tzo-AMvi_040_Ex1_L4_clmp.fp2_r2_screen	69483.0	11674.0	7555.0	3856.0	4352.0	1572.0	1337.0	170.0	16.0	406981.0	3532806.0
Tzo-AMvi_041_Ex1_L4_clmp.fp2_r1_screen	51606.0	11212.0	5998.0	6189.0	3418.0	1228.0	955.0	112.0	26.0	356077.0	3114564.0
Tzo-AMvi_041_Ex1_L4_clmp.fp2_r2_screen	54257.0	10742.0	5763.0	6105.0	3521.0	1028.0	1009.0	106.0	9.0	363159.0	3105686.0
Tzo-AMvi_042_Ex1_L4_clmp.fp2_r1_screen	37472.0	6324.0	4070.0	7233.0	2255.0	685.0	645.0	182.0	33.0	335198.0	2522973.0
Tzo-AMvi_042_Ex1_L4_clmp.fp2_r2_screen	38985.0	6053.0	4081.0	6857.0	2218.0	654.0	530.0	116.0	6.0	337222.0	2520348.0
Tzo-AMvi_043_Ex1_L4_clmp.fp2_r1_screen	62048.0	9935.0	6737.0	2227.0	4145.0	1363.0	1166.0	262.0	10.0	355505.0	3236252.0
Tzo-AMvi_043_Ex1_L4_clmp.fp2_r2_screen	62736.0	10146.0	6810.0	2238.0	4304.0	1390.0	1068.0	193.0	21.0	361484.0	3229260.0
Tzo-AMvi_044_Ex1_L4_clmp.fp2_r1_screen	51321.0	9120.0	6106.0	2676.0	3556.0	1225.0	1101.0	153.0	16.0	299836.0	2745602.0
Tzo-AMvi_044_Ex1_L4_clmp.fp2_r2_screen	53842.0	9085.0	5913.0	2740.0	3675.0	1169.0	1000.0	168.0	5.0	304067.0	2739048.0
Tzo-AMvi_045_Ex1_L4_clmp.fp2_r1_screen	46782.0	9262.0	5376.0	4044.0	3124.0	998.0	910.0	194.0	8.0	280092.0	2409157.0
Tzo-AMvi_045_Ex1_L4_clmp.fp2_r2_screen	47213.0	9045.0	5287.0	4004.0	3199.0	1072.0	871.0	150.0	26.0	285719.0	2403361.0
Tzo-AMvi_046_Ex1_L4_clmp.fp2_r1_screen	37465.0	19906.0	6470.0	29279.0	2586.0	811.0	623.0	280.0	16.0	226588.0	2017184.0
Tzo-AMvi_046_Ex1_L4_clmp.fp2_r2_screen	38128.0	19936.0	6551.0	28943.0	2342.0	840.0	655.0	315.0	9.0	227944.0	2015545.0
Tzo-AMvi_047_Ex1_L4_clmp.fp2_r1_screen	61996.0	11816.0	7215.0	5391.0	4406.0	1503.0	1173.0	205.0	12.0	363256.0	3396087.0
Tzo-AMvi_047_Ex1_L4_clmp.fp2_r2_screen	62955.0	11747.0	7116.0	5411.0	4089.0	1401.0	1217.0	220.0	22.0	368575.0	3390307.0
Tzo-AMvi_048_Ex1_L4_clmp.fp2_r1_screen	29214.0	5207.0	3073.0	4105.0	1914.0	504.0	410.0	123.0	6.0	252460.0	1891749.0
Tzo-AMvi_048_Ex1_L4_clmp.fp2_r2_screen	29863.0	5440.0	2995.0	4065.0	1697.0	562.0	439.0	91.0	7.0	256016.0	1887590.0
Tzo-CMvi_006-Ex1_L4_clmp.fp2_r1_screen	23488.0	3166.0	2226.0	910.0	1700.0	456.0	380.0	109.0	6.0	122868.0	2212206.0
Tzo-CMvi_006-Ex1_L4_clmp.fp2_r2_screen	25002.0	3227.0	2192.0	844.0	1635.0	379.0	391.0	135.0	3.0	126947.0	2206760.0
Tzo-CMvi_007-Ex1_L4_clmp.fp2_r1_screen	22455.0	2791.0	2174.0	897.0	1607.0	385.0	326.0	93.0	4.0	115000.0	2096287.0
Tzo-CMvi_007-Ex1_L4_clmp.fp2_r2_screen	23862.0	2895.0	2206.0	792.0	1596.0	392.0	342.0	122.0	4.0	120023.0	2089785.0
Tzo-CMvi_011-Ex1_L4_clmp.fp2_r1_screen	19884.0	2500.0	1873.0	750.0	1278.0	445.0	285.0	90.0	9.0	103046.0	1729260.0
Tzo-CMvi_011-Ex1_L4_clmp.fp2_r2_screen	20803.0	2578.0	1956.0	752.0	1310.0	400.0	334.0	104.0	3.0	106011.0	1725169.0
Tzo-CMvi_012-Ex1_L4_clmp.fp2_r1_screen	28301.0	3728.0	2537.0	648.0	1947.0	504.0	496.0	104.0	8.0	139664.0	2509931.0
Tzo-CMvi_012-Ex1_L4_clmp.fp2_r2_screen	29369.0	3641.0	2555.0	600.0	1933.0	445.0	483.0	99.0	3.0	143648.0	2505092.0
Tzo-CMvi_013-Ex1_L4_clmp.fp2_r1_screen	33013.0	4048.0	2906.0	943.0	2237.0	634.0	495.0	143.0	7.0	162155.0	3026289.0
Tzo-CMvi_013-Ex1_L4_clmp.fp2_r2_screen	35303.0	4120.0	3062.0	905.0	2152.0	587.0	546.0	121.0	39.0	170091.0	3015944.0
Tzo-CMvi_015-Ex1_L4_clmp.fp2_r1_screen	24784.0	2902.0	2224.0	547.0	1676.0	446.0	397.0	77.0	6.0	132750.0	2283352.0
Tzo-CMvi_015-Ex1_L4_clmp.fp2_r2_screen	26418.0	3078.0	2449.0	545.0	1619.0	420.0	396.0	99.0	1.0	140091.0	2274045.0
Tzo-CMvi_016-Ex1_L4_clmp.fp2_r1_screen	44876.0	5884.0	4205.0	1015.0	3090.0	723.0	782.0	224.0	8.0	226734.0	4156668.0
Tzo-CMvi_016-Ex1_L4_clmp.fp2_r2_screen	47380.0	5906.0	4168.0	999.0	2998.0	762.0	806.0	144.0	4.0	232373.0	4148669.0
Tzo-CMvi_018-Ex1_L4_clmp.fp2_r1_screen	11857.0	1442.0	1072.0	461.0	860.0	214.0	191.0	57.0	3.0	61707.0	1025022.0
Tzo-CMvi_018-Ex1_L4_clmp.fp2_r2_screen	12513.0	1425.0	1019.0	492.0	789.0	200.0	176.0	64.0	0.0	63943.0	1022265.0
Tzo-CMvi_020-Ex1_L4_clmp.fp2_r1_screen	26094.0	3208.0	2406.0	717.0	1650.0	457.0	390.0	109.0	4.0	135370.0	2403688.0
Tzo-CMvi_020-Ex1_L4_clmp.fp2_r2_screen	27172.0	3404.0	2466.0	805.0	1586.0	446.0	398.0	101.0	12.0	139678.0	2398025.0
Tzo-CMvi_027-Ex1_L4_clmp.fp2_r1_screen	16029.0	2010.0	1374.0	1067.0	1047.0	307.0	241.0	77.0	3.0	84498.0	1360373.0
Tzo-CMvi_027-Ex1_L4_clmp.fp2_r2_screen	17056.0	2168.0	1472.0	1057.0	1074.0	287.0	239.0	54.0	3.0	87791.0	1355825.0
Tzo-CMvi_029-Ex1_L4_clmp.fp2_r1_screen	22574.0	2851.0	2059.0	711.0	1630.0	433.0	311.0	104.0	2.0	115825.0	2073183.0
Tzo-CMvi_029-Ex1_L4_clmp.fp2_r2_screen	23990.0	3037.0	2002.0	657.0	1557.0	384.0	353.0	96.0	0.0	120195.0	2067412.0
Tzo-CMvi_030-Ex1_L4_clmp.fp2_r1_screen	16788.0	2459.0	1702.0	638.0	1106.0	332.0	225.0	85.0	4.0	85463.0	1554836.0
Tzo-CMvi_030-Ex1_L4_clmp.fp2_r2_screen	18176.0	2518.0	1684.0	746.0	1235.0	287.0	224.0	109.0	5.0	91138.0	1547516.0
Tzo-CMvi_031-Ex1_L4_clmp.fp2_r1_screen	6005.0	885.0	603.0	620.0	532.0	82.0	106.0	35.0	7.0	30438.0	519098.0
Tzo-CMvi_031-Ex1_L4_clmp.fp2_r2_screen	6318.0	921.0	531.0	606.0	385.0	94.0	107.0	36.0	0.0	32269.0	517144.0
Tzo-CMvi_033-Ex1_L4_clmp.fp2_r1_screen	14687.0	1838.0	1340.0	914.0	973.0	276.0	196.0	82.0	4.0	74569.0	1290213.0
Tzo-CMvi_033-Ex1_L4_clmp.fp2_r2_screen	15786.0	1624.0	1376.0	948.0	975.0	237.0	174.0	85.0	2.0	76858.0	1287027.0
Tzo-CMvi_035-Ex1_L4_clmp.fp2_r1_screen	36891.0	4657.0	3382.0	1195.0	2406.0	651.0	608.0	169.0	5.0	176767.0	3496269.0
Tzo-CMvi_035-Ex1_L4_clmp.fp2_r2_screen	38077.0	4733.0	3438.0	1087.0	2403.0	632.0	562.0	159.0	6.0	182708.0	3489195.0
Tzo-CMvi_038-Ex1_L4_clmp.fp2_r1_screen	27157.0	3752.0	2727.0	804.0	1983.0	460.0	510.0	86.0	4.0	131694.0	2511907.0
Tzo-CMvi_038-Ex1_L4_clmp.fp2_r2_screen	28368.0	3788.0	2860.0	834.0	1854.0	527.0	464.0	107.0	0.0	136005.0	2506277.0
Tzo-CMvi_040-Ex1_L4_clmp.fp2_r1_screen	28139.0	3409.0	2515.0	676.0	1923.0	504.0	444.0	141.0	19.0	141164.0	2843595.0
Tzo-CMvi_040-Ex1_L4_clmp.fp2_r2_screen	29515.0	3496.0	2587.0	661.0	1866.0	477.0	435.0	152.0	5.0	146088.0	2837247.0
Tzo-CMvi_041-Ex1_L4_clmp.fp2_r1_screen	33764.0	4065.0	2928.0	743.0	2080.0	564.0	526.0	126.0	9.0	179246.0	2967555.0
Tzo-CMvi_041-Ex1_L4_clmp.fp2_r2_screen	34942.0	3966.0	3123.0	676.0	2082.0	574.0	519.0	187.0	6.0	182444.0	2963087.0
Tzo-CMvi_042-Ex1_L4_clmp.fp2_r1_screen	15136.0	2075.0	1424.0	685.0	1098.0	281.0	244.0	117.0	5.0	75972.0	1398126.0
Tzo-CMvi_042-Ex1_L4_clmp.fp2_r2_screen	16145.0	1991.0	1509.0	604.0	1100.0	241.0	217.0	98.0	1.0	80214.0	1393043.0
Tzo-CMvi_044-Ex1_L4_clmp.fp2_r1_screen	14285.0	1820.0	1298.0	420.0	919.0	254.0	278.0	79.0	4.0	74562.0	1247779.0
Tzo-CMvi_044-Ex1_L4_clmp.fp2_r2_screen	14916.0	1863.0	1317.0	341.0	910.0	225.0	207.0	70.0	2.0	77691.0	1244156.0
Tzo-CMvi_045-Ex1_L4_clmp.fp2_r1_screen	11677.0	1301.0	1235.0	323.0	764.0	181.0	252.0	47.0	0.0	60901.0	1123321.0
Tzo-CMvi_045-Ex1_L4_clmp.fp2_r2_screen	13015.0	1466.0	1160.0	303.0	763.0	199.0	204.0	51.0	5.0	62275.0	1120561.0
Tzo-CMvi_046-Ex1_L4_clmp.fp2_r1_screen	28135.0	3775.0	2805.0	852.0	2042.0	600.0	492.0	121.0	18.0	138597.0	2531524.0
Tzo-CMvi_046-Ex1_L4_clmp.fp2_r2_screen	29538.0	3966.0	2790.0	812.0	2066.0	496.0	475.0	128.0	5.0	142038.0	2526647.0
Tzo-CMvi_047-Ex1_L4_clmp.fp2_r1_screen	35301.0	6069.0	3419.0	779.0	2398.0	608.0	575.0	160.0	7.0	173591.0	3190662.0
Tzo-CMvi_047-Ex1_L4_clmp.fp2_r2_screen	36660.0	6250.0	3548.0	783.0	2338.0	579.0	633.0	120.0	4.0	179501.0	3183153.0
Tzo-CMvi_048-Ex1_L4_clmp.fp2_r1_screen	40925.0	6747.0	3959.0	1338.0	2867.0	733.0	671.0	152.0	15.0	200866.0	3777228.0
Tzo-CMvi_048-Ex1_L4_clmp.fp2_r2_screen	42462.0	6909.0	3704.0	1421.0	2768.0	732.0	603.0	173.0	5.0	208777.0	3767947.0
Tzo-CMvi_049-Ex1_L4_clmp.fp2_r1_screen	20410.0	2540.0	1922.0	574.0	1348.0	368.0	354.0	82.0	4.0	108830.0	1921360.0
Tzo-CMvi_049-Ex1_L4_clmp.fp2_r2_screen	22200.0	2491.0	1885.0	625.0	1351.0	385.0	332.0	77.0	3.0	112639.0	1915804.0
Tzo-CMvi_050-Ex1_L4_clmp.fp2_r1_screen	16594.0	2167.0	1628.0	622.0	1071.0	295.0	282.0	69.0	3.0	92023.0	1558039.0
Tzo-CMvi_050-Ex1_L4_clmp.fp2_r2_screen	17672.0	2151.0	1549.0	599.0	1191.0	345.0	281.0	74.0	4.0	95906.0	1553021.0
Tzo-CMvi_051-Ex1_L4_clmp.fp2_r1_screen	44476.0	5565.0	4249.0	962.0	3183.0	801.0	781.0	205.0	10.0	240597.0	3871547.0
Tzo-CMvi_051-Ex1_L4_clmp.fp2_r2_screen	47486.0	5828.0	4273.0	989.0	3157.0	778.0	741.0	213.0	3.0	251130.0	3857778.0
Tzo-CMvi_052-Ex1_L4_clmp.fp2_r1_screen	38965.0	5932.0	3778.0	1022.0	2693.0	729.0	653.0	169.0	12.0	198668.0	3604177.0
Tzo-CMvi_052-Ex1_L4_clmp.fp2_r2_screen	40587.0	6045.0	3642.0	1030.0	2631.0	691.0	673.0	183.0	7.0	203303.0	3598006.0
Tzo-CMvi_053-Ex1_L4_clmp.fp2_r1_screen	6564.0	768.0	581.0	476.0	452.0	104.0	102.0	26.0	0.0	36012.0	570825.0
Tzo-CMvi_053-Ex1_L4_clmp.fp2_r2_screen	6788.0	821.0	603.0	474.0	458.0	88.0	122.0	29.0	1.0	37857.0	568669.0
Tzo-CMvi_054-Ex1_L4_clmp.fp2_r1_screen	27327.0	3557.0	2685.0	1191.0	1931.0	457.0	382.0	104.0	6.0	129830.0	2656642.0
Tzo-CMvi_054-Ex1_L4_clmp.fp2_r2_screen	27585.0	3531.0	2766.0	1265.0	1934.0	498.0	386.0	122.0	6.0	132766.0	2653253.0
Tzo-CMvi_057-Ex1_L4_clmp.fp2_r1_screen	32837.0	4340.0	3052.0	996.0	2347.0	582.0	542.0	177.0	7.0	161696.0	2981310.0
Tzo-CMvi_057-Ex1_L4_clmp.fp2_r2_screen	34584.0	4018.0	3098.0	1012.0	2241.0	559.0	558.0	138.0	8.0	166098.0	2975572.0
Tzo-CMvi_058-Ex1_L4_clmp.fp2_r1_screen	14173.0	1843.0	1249.0	853.0	825.0	262.0	184.0	62.0	0.0	69015.0	1324715.0
Tzo-CMvi_058-Ex1_L4_clmp.fp2_r2_screen	15119.0	1828.0	1359.0	884.0	816.0	246.0	184.0	56.0	1.0	72919.0	1319769.0
Tzo-CMvi_061-Ex1_L4_clmp.fp2_r1_screen	18231.0	2255.0	1725.0	404.0	1182.0	336.0	275.0	66.0	9.0	97759.0	1662301.0
