Sample	Protists_1k	Human	Fungi_RefSeq_release	Bacteria_24k	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
LlA01014_CKDL210012719-1a-AK6881-7UDI308_HF5TCDSX2_L1_clmp_fp2_r2_screen	143449.0	19891.0	12694.0	2216.0	3138.0	1497.0	842.0	530.0	12.0	0.0	577787.0	4113537.0
LlA01015_CKDL210012719-1a-AK6881-7UDI246_HF5TCDSX2_L1_clmp_fp2_r1_screen	146395.0	11270.0	12387.0	1900.0	2820.0	1422.0	837.0	571.0	78.0	1.0	685185.0	4162558.0
LlA01015_CKDL210012719-1a-AK6881-7UDI246_HF5TCDSX2_L1_clmp_fp2_r2_screen	149194.0	11540.0	12324.0	1835.0	2832.0	1473.0	835.0	644.0	12.0	0.0	690217.0	4154518.0
LlA01016_CKDL210012719-1a-AK6260-AK1864_HF5TCDSX2_L1_clmp_fp2_r1_screen	34583.0	8099.0	2939.0	12075.0	746.0	420.0	189.0	143.0	11.0	0.0	135190.0	1035169.0
LlA01016_CKDL210012719-1a-AK6260-AK1864_HF5TCDSX2_L1_clmp_fp2_r2_screen	35866.0	7885.0	3020.0	11810.0	733.0	379.0	178.0	145.0	3.0	0.0	137449.0	1032096.0
LlA01017_CKDL210012719-1a-AK6260-AK2587_HF5TCDSX2_L1_clmp_fp2_r1_screen	187082.0	19108.0	15847.0	3315.0	3790.0	1802.0	1025.0	734.0	49.0	1.0	736264.0	4932425.0
LlA01017_CKDL210012719-1a-AK6260-AK2587_HF5TCDSX2_L1_clmp_fp2_r2_screen	191649.0	19390.0	15971.0	3361.0	3671.0	1959.0	1033.0	678.0	39.0	0.0	745430.0	4918261.0
LlA01018_CKDL210012719-1a-AK7010-7UDI214_HF5TCDSX2_L1_clmp_fp2_r1_screen	141834.0	14895.0	12011.0	2531.0	2907.0	1496.0	850.0	476.0	17.0	1.0	604456.0	4048399.0
LlA01018_CKDL210012719-1a-AK7010-7UDI214_HF5TCDSX2_L1_clmp_fp2_r2_screen	145482.0	15138.0	12176.0	2550.0	2847.0	1480.0	900.0	512.0	12.0	1.0	608587.0	4040188.0
LlA01019_CKDL210012719-1a-AK7010-AK7558_HF5TCDSX2_L1_clmp_fp2_r1_screen	110044.0	15807.0	9538.0	1663.0	2196.0	1027.0	749.0	378.0	9.0	4.0	587145.0	3410981.0
LlA01019_CKDL210012719-1a-AK7010-AK7558_HF5TCDSX2_L1_clmp_fp2_r2_screen	111507.0	15750.0	9518.0	1704.0	2253.0	1054.0	685.0	369.0	25.0	0.0	589420.0	3407256.0
LlA01020_CKDL210012719-1a-AK7010-GC12_HF5TCDSX2_L1_clmp_fp2_r1_screen	68645.0	29958.0	6236.0	9405.0	1401.0	723.0	467.0	220.0	7.0	0.0	251317.0	2251666.0
LlA01020_CKDL210012719-1a-AK7010-GC12_HF5TCDSX2_L1_clmp_fp2_r2_screen	70430.0	29235.0	6274.0	9267.0	1292.0	673.0	484.0	192.0	8.0	0.0	254454.0	2247736.0
LlA01021_CKDL210012719-1a-5UDI312-AK4971_HF5TCDSX2_L1_clmp_fp2_r1_screen	107061.0	9689.0	9074.0	1904.0	2093.0	1130.0	636.0	361.0	15.0	0.0	503263.0	3413376.0
LlA01021_CKDL210012719-1a-5UDI312-AK4971_HF5TCDSX2_L1_clmp_fp2_r2_screen	109551.0	9779.0	9151.0	1864.0	2089.0	1162.0	615.0	349.0	16.0	0.0	504294.0	3409732.0
LlA01022_CKDL210012719-1a-5UDI312-AK7558_HF5TCDSX2_L1_clmp_fp2_r1_screen	94302.0	48704.0	8511.0	18663.0	1998.0	1052.0	618.0	369.0	12.0	1.0	360447.0	3034593.0
LlA01022_CKDL210012719-1a-5UDI312-AK7558_HF5TCDSX2_L1_clmp_fp2_r2_screen	96461.0	48131.0	8793.0	18564.0	2047.0	1131.0	540.0	332.0	16.0	1.0	364372.0	3028882.0
LlA01023_CKDL210012719-1a-5UDI312-AK2587_HF5TCDSX2_L1_clmp_fp2_r1_screen	135015.0	12744.0	11756.0	3460.0	2782.0	1284.0	679.0	581.0	23.0	1.0	549759.0	3535968.0
LlA01023_CKDL210012719-1a-5UDI312-AK2587_HF5TCDSX2_L1_clmp_fp2_r2_screen	136863.0	12805.0	11899.0	3517.0	2858.0	1352.0	594.0	570.0	6.0	0.0	553576.0	3530012.0
LlA01024_CKDL210012719-1a-5UDI312-7UDI246_HF5TCDSX2_L1_clmp_fp2_r1_screen	97559.0	307392.0	8227.0	3745.0	2134.0	1030.0	550.0	408.0	19.0	1.0	487980.0	2709762.0
LlA01024_CKDL210012719-1a-5UDI312-7UDI246_HF5TCDSX2_L1_clmp_fp2_r2_screen	100328.0	301684.0	8513.0	3678.0	2216.0	1084.0	535.0	445.0	12.0	0.0	490550.0	2709762.0
LlA01025_CKDL210012719-1a-AK6881-AK1864_HF5TCDSX2_L1_clmp_fp2_r1_screen	73342.0	8254.0	6095.0	2608.0	1362.0	685.0	329.0	250.0	32.0	0.0	270599.0	2050491.0
LlA01025_CKDL210012719-1a-AK6881-AK1864_HF5TCDSX2_L1_clmp_fp2_r2_screen	74777.0	8202.0	6045.0	2616.0	1360.0	711.0	342.0	286.0	8.0	0.0	273796.0	2045904.0
LlA01026_CKDL210012719-1a-AK6881-AK2587_HF5TCDSX2_L1_clmp_fp2_r1_screen	65959.0	5500.0	5619.0	1242.0	1421.0	738.0	437.0	240.0	39.0	0.0	223061.0	2451680.0
LlA01026_CKDL210012719-1a-AK6881-AK2587_HF5TCDSX2_L1_clmp_fp2_r2_screen	67364.0	5628.0	5806.0	1274.0	1411.0	703.0	427.0	235.0	5.0	0.0	225261.0	2447822.0
LlA01027_CKDL210012719-1a-AK6260-7UDI214_HF5TCDSX2_L1_clmp_fp2_r1_screen	68527.0	5872.0	6033.0	1691.0	1659.0	625.0	428.0	256.0	26.0	0.0	231231.0	2551712.0
LlA01027_CKDL210012719-1a-AK6260-7UDI214_HF5TCDSX2_L1_clmp_fp2_r2_screen	70173.0	6059.0	6071.0	1641.0	1509.0	791.0	395.0	251.0	7.0	0.0	234326.0	2546837.0
LlA01028_CKDL210012719-1a-AK6260-AK7558_HF5TCDSX2_L1_clmp_fp2_r1_screen	47647.0	4033.0	4053.0	702.0	1013.0	445.0	312.0	160.0	13.0	1.0	165893.0	1731015.0
LlA01028_CKDL210012719-1a-AK6260-AK7558_HF5TCDSX2_L1_clmp_fp2_r2_screen	49490.0	4130.0	4172.0	749.0	1005.0	449.0	316.0	178.0	4.0	0.0	168667.0	1726127.0
LlA01029_CKDL210012719-1a-AK6260-GC12_HF5TCDSX2_L1_clmp_fp2_r1_screen	96905.0	15920.0	8838.0	4013.0	1998.0	991.0	480.0	478.0	31.0	0.0	326638.0	3108486.0
LlA01029_CKDL210012719-1a-AK6260-GC12_HF5TCDSX2_L1_clmp_fp2_r2_screen	100108.0	15694.0	8721.0	4012.0	2084.0	1000.0	486.0	488.0	6.0	1.0	331891.0	3100287.0
LlA01030_CKDL210012719-1a-AK7010-AK4971_HF5TCDSX2_L1_clmp_fp2_r1_screen	117450.0	12187.0	9893.0	3496.0	2383.0	1185.0	664.0	475.0	18.0	0.0	448791.0	3292253.0
LlA01030_CKDL210012719-1a-AK7010-AK4971_HF5TCDSX2_L1_clmp_fp2_r2_screen	120865.0	12619.0	10146.0	3545.0	2328.0	1195.0	628.0	385.0	14.0	0.0	451039.0	3286031.0
LlA01031_CKDL210012719-1a-AK7010-7UDI308_HF5TCDSX2_L1_clmp_fp2_r1_screen	181285.0	15078.0	14787.0	4188.0	3323.0	1811.0	1069.0	581.0	16.0	0.0	686142.0	4415750.0
LlA01031_CKDL210012719-1a-AK7010-7UDI308_HF5TCDSX2_L1_clmp_fp2_r2_screen	186266.0	15055.0	14914.0	4132.0	3336.0	1849.0	1069.0	613.0	18.0	0.0	691676.0	4405102.0
LlA01032_CKDL210012719-1a-AK7010-7UDI246_HF5TCDSX2_L1_clmp_fp2_r1_screen	121605.0	10456.0	10558.0	3076.0	2338.0	1288.0	808.0	415.0	7.0	2.0	465250.0	3678497.0
LlA01032_CKDL210012719-1a-AK7010-7UDI246_HF5TCDSX2_L1_clmp_fp2_r2_screen	123502.0	10543.0	10536.0	3095.0	2368.0	1239.0	686.0	439.0	9.0	0.0	467680.0	3674203.0
LlC01001_CKDL210012719-1a-AK6881-7UDI298_HF5TCDSX2_L1_clmp_fp2_r1_screen	31350.0	3961.0	2662.0	520.0	1591.0	453.0	246.0	212.0	20.0	0.0	163611.0	2104920.0
LlC01001_CKDL210012719-1a-AK6881-7UDI298_HF5TCDSX2_L1_clmp_fp2_r2_screen	32113.0	4039.0	2577.0	542.0	1572.0	412.0	250.0	185.0	2.0	0.0	165706.0	2102148.0
LlC01002_CKDL210012719-1a-AK3905-AK892_HF5TCDSX2_L1_clmp_fp2_r1_screen	25098.0	2701.0	2033.0	614.0	1157.0	356.0	227.0	159.0	7.0	0.0	135172.0	1594027.0
LlC01002_CKDL210012719-1a-AK3905-AK892_HF5TCDSX2_L1_clmp_fp2_r2_screen	25577.0	2765.0	2015.0	637.0	1165.0	365.0	209.0	170.0	5.0	0.0	136025.0	1592618.0
LlC01003_CKDL210012719-1a-AK6260-AK33_HF5TCDSX2_L1_clmp_fp2_r1_screen	29825.0	3276.0	2588.0	586.0	1385.0	445.0	278.0	172.0	10.0	0.0	151360.0	2021071.0
LlC01003_CKDL210012719-1a-AK6260-AK33_HF5TCDSX2_L1_clmp_fp2_r2_screen	30973.0	3326.0	2602.0	592.0	1415.0	478.0	286.0	185.0	7.0	0.0	153156.0	2017976.0
LlC01004_CKDL210012719-1a-AK7761-AK8544_HF5TCDSX2_L1_clmp_fp2_r1_screen	36974.0	3948.0	3330.0	763.0	1840.0	593.0	329.0	256.0	4.0	0.0	185070.0	2362734.0
LlC01004_CKDL210012719-1a-AK7761-AK8544_HF5TCDSX2_L1_clmp_fp2_r2_screen	37497.0	4107.0	3023.0	813.0	1743.0	543.0	310.0	273.0	6.0	0.0	186609.0	2360917.0
LlC01005_CKDL210012719-1a-AK9141-AK4997_HF5TCDSX2_L1_clmp_fp2_r1_screen	17773.0	2047.0	1485.0	569.0	925.0	272.0	147.0	110.0	2.0	0.0	90014.0	1294647.0
LlC01005_CKDL210012719-1a-AK9141-AK4997_HF5TCDSX2_L1_clmp_fp2_r2_screen	18043.0	2061.0	1459.0	588.0	857.0	273.0	174.0	126.0	2.0	0.0	90746.0	1293662.0
LlC01006_CKDL210012719-1a-AK6260-AK8544_HF5TCDSX2_L1_clmp_fp2_r1_screen	73743.0	8005.0	6458.0	1475.0	3772.0	1000.0	586.0	524.0	31.0	0.0	431250.0	4821820.0
LlC01006_CKDL210012719-1a-AK6260-AK8544_HF5TCDSX2_L1_clmp_fp2_r2_screen	76402.0	7928.0	6283.0	1510.0	3748.0	1067.0	559.0	516.0	12.0	0.0	434702.0	4815937.0
LlC01007_CKDL210012719-1a-AK9142-AK892_HF5TCDSX2_L1_clmp_fp2_r1_screen	24759.0	2697.0	1989.0	612.0	1163.0	340.0	200.0	164.0	14.0	0.0	123469.0	1746751.0
LlC01007_CKDL210012719-1a-AK9142-AK892_HF5TCDSX2_L1_clmp_fp2_r2_screen	25059.0	2730.0	2007.0	608.0	1200.0	359.0	197.0	165.0	12.0	0.0	124972.0	1744849.0
LlC01008_CKDL210012719-1a-AK9141-AK8544_HF5TCDSX2_L1_clmp_fp2_r1_screen	29872.0	3295.0	2527.0	752.0	1492.0	467.0	291.0	197.0	17.0	0.0	156224.0	1961035.0
LlC01008_CKDL210012719-1a-AK9141-AK8544_HF5TCDSX2_L1_clmp_fp2_r2_screen	30161.0	3189.0	2528.0	762.0	1529.0	427.0	280.0	200.0	9.0	0.0	157989.0	1959095.0
LlC01009_CKDL210012719-1a-AK8410-7UDI298_HF5TCDSX2_L1_clmp_fp2_r1_screen	31426.0	3693.0	2741.0	746.0	1688.0	467.0	290.0	284.0	4.0	0.0	172726.0	2349580.0
LlC01009_CKDL210012719-1a-AK8410-7UDI298_HF5TCDSX2_L1_clmp_fp2_r2_screen	32281.0	3744.0	2758.0	772.0	1626.0	411.0	296.0	285.0	11.0	0.0	175214.0	2346247.0
LlC01010_CKDL210012719-1a-AK7010-AK892_HF5TCDSX2_L1_clmp_fp2_r1_screen	25974.0	3334.0	2115.0	630.0	1272.0	368.0	223.0	192.0	7.0	0.0	139310.0	1709573.0
LlC01010_CKDL210012719-1a-AK7010-AK892_HF5TCDSX2_L1_clmp_fp2_r2_screen	26415.0	3426.0	2074.0	576.0	1241.0	396.0	204.0	145.0	4.0	0.0	140638.0	1707879.0
LlC01011_CKDL210012719-1a-AK9141-AK9148_HF5TCDSX2_L1_clmp_fp2_r1_screen	24900.0	2667.0	2126.0	536.0	1168.0	352.0	193.0	127.0	3.0	0.0	136128.0	1615466.0
LlC01011_CKDL210012719-1a-AK9141-AK9148_HF5TCDSX2_L1_clmp_fp2_r2_screen	25537.0	2705.0	2129.0	533.0	1174.0	348.0	210.0	127.0	6.0	0.0	136323.0	1614574.0
LlC01012_CKDL210012719-1a-AK7759-7UDI227_HF5TCDSX2_L1_clmp_fp2_r1_screen	0.0	15117.0	16018.0	0.0	2925.0	1523.0	623.0	429.0	33.0	0.0	188843.0	2769319.0
LlC01012_CKDL210012719-1a-AK7759-7UDI227_HF5TCDSX2_L1_clmp_fp2_r2_screen	39583.0	4685.0	3307.0	814.0	1982.0	564.0	363.0	262.0	7.0	0.0	215872.0	2727391.0
LlC01013_CKDL210012719-1a-AK9141-7UDI227_HF5TCDSX2_L1_clmp_fp2_r1_screen	22770.0	2508.0	1905.0	440.0	1109.0	332.0	220.0	138.0	10.0	0.0	113121.0	1600137.0
LlC01013_CKDL210012719-1a-AK9141-7UDI227_HF5TCDSX2_L1_clmp_fp2_r2_screen	23366.0	2559.0	1926.0	481.0	1101.0	337.0	171.0	125.0	3.0	0.0	113878.0	1598743.0
LlC01014_CKDL210012719-1a-AK7010-AK8544_HF5TCDSX2_L1_clmp_fp2_r1_screen	39547.0	4308.0	3490.0	771.0	1949.0	616.0	378.0	248.0	5.0	0.0	198831.0	2781884.0
LlC01014_CKDL210012719-1a-AK7010-AK8544_HF5TCDSX2_L1_clmp_fp2_r2_screen	40582.0	4312.0	3474.0	790.0	1864.0	574.0	344.0	253.0	9.0	0.0	201579.0	2778246.0
LlC01015_CKDL210012719-1a-AK6260-AK4997_HF5TCDSX2_L1_clmp_fp2_r1_screen	29431.0	3151.0	2526.0	563.0	1349.0	359.0	240.0	178.0	18.0	0.0	144629.0	1888423.0
LlC01015_CKDL210012719-1a-AK6260-AK4997_HF5TCDSX2_L1_clmp_fp2_r2_screen	29767.0	3144.0	2623.0	564.0	1324.0	409.0	249.0	182.0	3.0	0.0	146250.0	1886352.0
LlC01016_CKDL210012719-1a-AK7761-AK9148_HF5TCDSX2_L1_clmp_fp2_r1_screen	39515.0	4659.0	3306.0	1070.0	1969.0	516.0	335.0	257.0	9.0	0.0	219674.0	2599685.0
LlC01016_CKDL210012719-1a-AK7761-AK9148_HF5TCDSX2_L1_clmp_fp2_r2_screen	39636.0	4595.0	3376.0	1026.0	1862.0	507.0	325.0	252.0	6.0	0.0	220873.0	2598537.0
LlC01017_CKDL210012719-1a-AK6260-7UDI298_HF5TCDSX2_L1_clmp_fp2_r1_screen	77640.0	7605.0	6482.0	1435.0	3624.0	1014.0	629.0	556.0	47.0	1.0	470319.0	4649272.0
LlC01017_CKDL210012719-1a-AK6260-7UDI298_HF5TCDSX2_L1_clmp_fp2_r2_screen	79410.0	7640.0	6670.0	1464.0	3686.0	1072.0	664.0	587.0	10.0	0.0	474412.0	4643009.0
LlC01018_CKDL210012719-1a-5UDI298-7UDI227_HF5TCDSX2_L1_clmp_fp2_r1_screen	32783.0	3663.0	2761.0	690.0	1755.0	465.0	308.0	216.0	10.0	0.0	177533.0	2073390.0
LlC01018_CKDL210012719-1a-5UDI298-7UDI227_HF5TCDSX2_L1_clmp_fp2_r2_screen	33307.0	3623.0	2839.0	681.0	1638.0	429.0	311.0	216.0	8.0	0.0	179196.0	2071326.0
LlC01019_CKDL210012719-1a-AK9142-7UDI298_HF5TCDSX2_L1_clmp_fp2_r1_screen	20898.0	2684.0	1781.0	615.0	1094.0	310.0	189.0	133.0	7.0	0.0	112164.0	1464186.0
LlC01019_CKDL210012719-1a-AK9142-7UDI298_HF5TCDSX2_L1_clmp_fp2_r2_screen	21345.0	2666.0	1785.0	598.0	1076.0	300.0	179.0	139.0	4.0	0.0	113547.0	1462422.0
LlC01020_CKDL210012719-1a-AK9142-AK9148_HF5TCDSX2_L1_clmp_fp2_r1_screen	31653.0	3302.0	2578.0	622.0	1343.0	465.0	293.0	228.0	4.0	1.0	167613.0	2041643.0
LlC01020_CKDL210012719-1a-AK9142-AK9148_HF5TCDSX2_L1_clmp_fp2_r2_screen	32392.0	3228.0	2627.0	669.0	1378.0	506.0	221.0	262.0	12.0	0.0	169507.0	2038943.0
LlC01021_CKDL210012719-1a-AK8410-AK8544_HF5TCDSX2_L1_clmp_fp2_r1_screen	51748.0	5556.0	4392.0	1256.0	3228.0	726.0	418.0	383.0	7.0	0.0	287214.0	3669198.0
LlC01021_CKDL210012719-1a-AK8410-AK8544_HF5TCDSX2_L1_clmp_fp2_r2_screen	53613.0	5642.0	4472.0	1283.0	3158.0	749.0	409.0	411.0	10.0	0.0	291218.0	3663161.0
LlC01022_CKDL210012719-1a-AK7010-AK33_HF5TCDSX2_L1_clmp_fp2_r1_screen	29795.0	3310.0	2523.0	957.0	1604.0	413.0	240.0	301.0	11.0	0.0	152622.0	2025284.0
LlC01022_CKDL210012719-1a-AK7010-AK33_HF5TCDSX2_L1_clmp_fp2_r2_screen	30250.0	3253.0	2605.0	998.0	1482.0	418.0	257.0	267.0	7.0	0.0	154235.0	2023288.0
LlC01023_CKDL210012719-1a-AK7759-AK33_HF5TCDSX2_L1_clmp_fp2_r1_screen	45577.0	5508.0	3917.0	1282.0	2526.0	656.0	391.0	324.0	26.0	0.0	246540.0	3210991.0
LlC01023_CKDL210012719-1a-AK7759-AK33_HF5TCDSX2_L1_clmp_fp2_r2_screen	47228.0	5310.0	4031.0	1266.0	2380.0	618.0	381.0	302.0	8.0	0.0	248037.0	3208177.0
LlC01024_CKDL210012719-1a-AK7010-AK4997_HF5TCDSX2_L1_clmp_fp2_r1_screen	26658.0	3102.0	2319.0	489.0	1309.0	386.0	246.0	178.0	4.0	0.0	128972.0	1794025.0
LlC01024_CKDL210012719-1a-AK7010-AK4997_HF5TCDSX2_L1_clmp_fp2_r2_screen	27159.0	2967.0	2271.0	522.0	1242.0	403.0	250.0	155.0	7.0	0.0	129470.0	1793242.0
LlC01025_CKDL210012719-1a-AK3905-AK33_HF5TCDSX2_L1_clmp_fp2_r1_screen	32774.0	3923.0	2709.0	642.0	1658.0	485.0	325.0	178.0	16.0	3.0	170240.0	2166403.0
LlC01025_CKDL210012719-1a-AK3905-AK33_HF5TCDSX2_L1_clmp_fp2_r2_screen	33375.0	3846.0	2741.0	620.0	1563.0	404.0	273.0	226.0	11.0	0.0	171084.0	2165213.0
LlC01026_CKDL210012719-1a-AK6881-AK9148_HF5TCDSX2_L1_clmp_fp2_r1_screen	11973.0	1305.0	949.0	242.0	523.0	170.0	78.0	86.0	7.0	0.0	70674.0	778380.0
LlC01026_CKDL210012719-1a-AK6881-AK9148_HF5TCDSX2_L1_clmp_fp2_r2_screen	12288.0	1263.0	1009.0	220.0	530.0	148.0	111.0	81.0	5.0	0.0	71130.0	777602.0
LlC01027_CKDL210012719-1a-AK7761-AK33_HF5TCDSX2_L1_clmp_fp2_r1_screen	25224.0	3036.0	2221.0	646.0	1390.0	380.0	228.0	184.0	7.0	0.0	139235.0	1738307.0
LlC01027_CKDL210012719-1a-AK7761-AK33_HF5TCDSX2_L1_clmp_fp2_r2_screen	25902.0	3054.0	2192.0	655.0	1315.0	358.0	227.0	163.0	5.0	0.0	139253.0	1737734.0
LlC01028_CKDL210012719-1a-AK7761-7UDI227_HF5TCDSX2_L1_clmp_fp2_r1_screen	33032.0	4127.0	2806.0	790.0	1572.0	492.0	293.0	229.0	10.0	0.0	167642.0	2110158.0
LlC01028_CKDL210012719-1a-AK7761-7UDI227_HF5TCDSX2_L1_clmp_fp2_r2_screen	33584.0	4246.0	2875.0	801.0	1560.0	543.0	254.0	267.0	9.0	0.0	168247.0	2108765.0
LlC01029_CKDL210012719-1a-5UDI298-AK892_HF5TCDSX2_L1_clmp_fp2_r1_screen	19752.0	2359.0	1675.0	690.0	1063.0	252.0	183.0	115.0	6.0	0.0	102286.0	1291753.0
LlC01029_CKDL210012719-1a-5UDI298-AK892_HF5TCDSX2_L1_clmp_fp2_r2_screen	0.0	7791.0	8215.0	0.0	1534.0	730.0	312.0	263.0	6.0	0.0	89222.0	1312061.0
LlC01030_CKDL210012719-1a-AK9142-AK33_HF5TCDSX2_L1_clmp_fp2_r1_screen	35494.0	3834.0	2973.0	743.0	1699.0	482.0	330.0	236.0	8.0	1.0	183329.0	2438258.0
LlC01030_CKDL210012719-1a-AK9142-AK33_HF5TCDSX2_L1_clmp_fp2_r2_screen	36318.0	3998.0	3201.0	747.0	1683.0	521.0	340.0	205.0	6.0	0.0	184777.0	2435591.0
LlC01031_CKDL210012719-1a-AK7010-AK9148_HF5TCDSX2_L1_clmp_fp2_r1_screen	13901.0	1524.0	1226.0	582.0	688.0	218.0	107.0	89.0	1.0	0.0	75138.0	895663.0
LlC01031_CKDL210012719-1a-AK7010-AK9148_HF5TCDSX2_L1_clmp_fp2_r2_screen	14431.0	1472.0	1227.0	569.0	701.0	220.0	122.0	105.0	4.0	0.0	75118.0	895168.0
