Sample	Protists_1k	Human	Fungi_RefSeq_release	Plant	Bird	Coral	Bacteria_24k	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
SdA01033_CKDL210020579-1a-AK9143-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1078.0	201.0	155.0	61.0	39.0	21.0	25.0	12.0	1.0	1.0	168.0	3520611.0
SdA01033_CKDL210020579-1a-AK9143-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1003.0	199.0	161.0	75.0	37.0	18.0	26.0	11.0	0.0	0.0	232.0	3520611.0
SdA01034_CKDL210020579-1a-5UDI225-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	740.0	183.0	112.0	66.0	47.0	30.0	18.0	16.0	2.0	1.0	306.0	2531890.0
SdA01034_CKDL210020579-1a-5UDI225-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	721.0	165.0	155.0	62.0	41.0	23.0	20.0	11.0	0.0	0.0	69.0	2532144.0
SdA01035_CKDL210020579-1a-5UDI225-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	818.0	177.0	121.0	62.0	49.0	20.0	17.0	9.0	1.0	0.0	229.0	2502465.0
SdA01035_CKDL210020579-1a-5UDI225-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	807.0	164.0	115.0	35.0	38.0	17.0	17.0	8.0	0.0	0.0	51.0	2502716.0
SdA01036_CKDL210020579-1a-5UDI225-AK8488_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	941.0	190.0	149.0	50.0	45.0	22.0	12.0	13.0	1.0	0.0	147.0	3137022.0
SdA01036_CKDL210020579-1a-5UDI225-AK8488_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	970.0	180.0	158.0	60.0	39.0	19.0	16.0	6.0	0.0	0.0	122.0	3137022.0
SdA01037_CKDL210020579-1a-5UDI225-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	696.0	150.0	126.0	52.0	32.0	26.0	19.0	6.0	0.0	0.0	81.0	2374575.0
SdA01037_CKDL210020579-1a-5UDI225-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	776.0	141.0	114.0	48.0	47.0	18.0	12.0	5.0	0.0	0.0	27.0	2374575.0
SdA01038_CKDL210020579-1a-5UDI225-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	240.0	64.0	42.0	25.0	19.0	4.0	9.0	5.0	0.0	0.0	68.0	791238.0
SdA01038_CKDL210020579-1a-5UDI225-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	249.0	53.0	34.0	15.0	20.0	6.0	15.0	1.0	0.0	0.0	3.0	791318.0
SdA01039_CKDL210020579-1a-5UDI225-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	656.0	193.0	143.0	61.0	51.0	37.0	22.0	16.0	1.0	0.0	214.0	1989501.0
SdA01039_CKDL210020579-1a-5UDI225-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	593.0	158.0	134.0	51.0	47.0	27.0	17.0	11.0	0.0	0.0	157.0	1989700.0
SdA01040_CKDL210020579-1a-5UDI225-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	401.0	95.0	67.0	27.0	27.0	19.0	9.0	7.0	1.0	0.0	49.0	1168296.0
SdA01040_CKDL210020579-1a-5UDI225-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	394.0	75.0	70.0	30.0	22.0	12.0	10.0	7.0	0.0	0.0	82.0	1168296.0
SdA01041_CKDL210020579-1a-5UDI225-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	748.0	164.0	144.0	65.0	48.0	24.0	28.0	17.0	1.0	0.0	121.0	2263898.0
SdA01041_CKDL210020579-1a-5UDI225-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	798.0	169.0	124.0	53.0	39.0	26.0	13.0	11.0	0.0	0.0	127.0	2263898.0
SdA01042_CKDL210020579-1a-AK9144-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1071.0	222.0	213.0	98.0	62.0	38.0	31.0	23.0	1.0	0.0	315.0	3453612.0
SdA01042_CKDL210020579-1a-AK9144-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	940.0	255.0	197.0	98.0	69.0	23.0	31.0	23.0	0.0	0.0	92.0	3453958.0
SdA01043_CKDL210020579-1a-AK9144-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	216.0	56.0	50.0	17.0	14.0	12.0	6.0	5.0	0.0	0.0	24.0	797922.0
SdA01043_CKDL210020579-1a-AK9144-AK7557_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	195.0	60.0	42.0	14.0	14.0	9.0	6.0	1.0	0.0	0.0	59.0	797922.0
SdA01045_CKDL210020579-1a-AK9144-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1206.0	262.0	236.0	93.0	63.0	37.0	32.0	26.0	0.0	1.0	223.0	3109621.0
SdA01045_CKDL210020579-1a-AK9144-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1101.0	261.0	208.0	101.0	65.0	34.0	31.0	23.0	0.0	0.0	355.0	3109621.0
SdA01046_CKDL210020579-1a-AK9144-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	638.0	175.0	120.0	58.0	31.0	17.0	26.0	12.0	0.0	0.0	155.0	2051022.0
SdA01046_CKDL210020579-1a-AK9144-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	611.0	135.0	95.0	32.0	35.0	13.0	29.0	10.0	0.0	0.0	67.0	2051227.0
SdA01047_CKDL210020579-1a-AK9144-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	315.0	66.0	58.0	31.0	20.0	16.0	32.0	4.0	1.0	0.0	81.0	1246112.0
SdA01047_CKDL210020579-1a-AK9144-AK10343_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	309.0	63.0	48.0	23.0	20.0	14.0	26.0	5.0	0.0	0.0	116.0	1246112.0
SdA01048_CKDL210020579-1a-AK9144-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	459.0	130.0	94.0	59.0	21.0	29.0	10.0	9.0	2.0	0.0	77.0	1481134.0
SdA01048_CKDL210020579-1a-AK9144-AK4234_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	448.0	106.0	85.0	38.0	27.0	12.0	8.0	9.0	0.0	0.0	157.0	1481134.0
SdA01049_CKDL210020579-1a-AK9144-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1725.0	392.0	339.0	122.0	102.0	71.0	30.0	31.0	3.0	0.0	441.0	3252524.0
SdA01049_CKDL210020579-1a-AK9144-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1517.0	351.0	316.0	146.0	86.0	55.0	50.0	19.0	1.0	0.0	390.0	3252849.0
SdA01050_CKDL210020579-1a-AK3911-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	938.0	221.0	162.0	67.0	53.0	29.0	17.0	20.0	0.0	0.0	104.0	2682790.0
SdA01050_CKDL210020579-1a-AK3911-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	842.0	196.0	124.0	57.0	44.0	34.0	19.0	12.0	0.0	0.0	283.0	2682790.0
SdA01051_CKDL210020579-1a-AK3911-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	848.0	228.0	182.0	80.0	73.0	27.0	23.0	20.0	0.0	0.0	292.0	2951785.0
SdA01051_CKDL210020579-1a-AK3911-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	813.0	207.0	190.0	82.0	63.0	23.0	29.0	11.0	1.0	0.0	58.0	2952081.0
SdA01052_CKDL210020579-1a-5UDI245-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	797.0	187.0	169.0	58.0	59.0	26.0	18.0	12.0	0.0	0.0	196.0	2534551.0
SdA01052_CKDL210020579-1a-5UDI245-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	740.0	172.0	140.0	58.0	56.0	31.0	20.0	13.0	0.0	0.0	292.0	2534551.0
SdA01053_CKDL210020579-1a-5UDI245-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1160.0	287.0	228.0	103.0	71.0	45.0	21.0	21.0	0.0	0.0	439.0	3390408.0
SdA01053_CKDL210020579-1a-5UDI245-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	980.0	262.0	182.0	70.0	64.0	36.0	30.0	13.0	0.0	0.0	60.0	3391086.0
SdA01054_CKDL210020579-1a-AK8593-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1182.0	230.0	179.0	105.0	61.0	40.0	24.0	13.0	1.0	1.0	318.0	3074624.0
SdA01054_CKDL210020579-1a-AK8593-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1109.0	238.0	196.0	96.0	57.0	31.0	19.0	17.0	0.0	0.0	84.0	3074931.0
SdA01055_CKDL210020579-1a-AK8593-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	943.0	229.0	193.0	64.0	65.0	23.0	25.0	12.0	2.0	0.0	202.0	2508956.0
SdA01055_CKDL210020579-1a-AK8593-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	868.0	192.0	149.0	67.0	63.0	29.0	33.0	15.0	1.0	0.0	90.0	2509207.0
SdA01056_CKDL210020579-1a-5UDI294-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	782.0	186.0	158.0	65.0	42.0	34.0	25.0	23.0	0.0	0.0	253.0	2610268.0
SdA01056_CKDL210020579-1a-5UDI294-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	735.0	183.0	161.0	62.0	52.0	30.0	13.0	12.0	0.0	0.0	58.0	2610530.0
SdA01057_CKDL210020579-1a-5UDI294-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	257.0	71.0	56.0	18.0	11.0	7.0	47.0	5.0	0.0	2.0	-2.0	1570186.0
SdA01057_CKDL210020579-1a-5UDI294-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	265.0	57.0	48.0	16.0	21.0	6.0	29.0	4.0	1.0	0.0	25.0	1570186.0
SdA01059_CKDL210020579-1a-AK9146-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1161.0	286.0	231.0	102.0	59.0	51.0	34.0	22.0	0.0	0.0	187.0	2367711.0
SdA01059_CKDL210020579-1a-AK9146-GD06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1110.0	249.0	206.0	93.0	61.0	39.0	13.0	14.0	0.0	0.0	348.0	2367711.0
SdA01060_CKDL210020579-1a-AK5577-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1428.0	431.0	340.0	138.0	115.0	60.0	36.0	24.0	1.0	1.0	504.0	2794230.0
SdA01060_CKDL210020579-1a-AK5577-GC06_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1289.0	381.0	300.0	144.0	97.0	52.0	27.0	29.0	0.0	0.0	479.0	2794510.0
SdA01061_CKDL210020579-1a-AK3911-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1570.0	326.0	222.0	107.0	76.0	34.0	30.0	19.0	1.0	0.0	310.0	4487558.0
SdA01061_CKDL210020579-1a-AK3911-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1457.0	293.0	238.0	88.0	63.0	37.0	23.0	19.0	0.0	0.0	477.0	4487558.0
SdA01062_CKDL210020579-1a-AK3911-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	890.0	267.0	193.0	112.0	77.0	45.0	20.0	20.0	0.0	0.0	197.0	2599079.0
SdA01062_CKDL210020579-1a-AK3911-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	860.0	233.0	160.0	74.0	69.0	31.0	22.0	20.0	0.0	0.0	92.0	2599339.0
SdA01063_CKDL210020579-1a-5UDI245-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	850.0	220.0	178.0	73.0	59.0	42.0	24.0	12.0	1.0	0.0	166.0	2319241.0
SdA01063_CKDL210020579-1a-5UDI245-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	745.0	188.0	161.0	65.0	48.0	36.0	28.0	11.0	0.0	0.0	111.0	2319473.0
SdA01064_CKDL210020579-1a-5UDI245-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	874.0	225.0	162.0	63.0	53.0	32.0	20.0	16.0	1.0	0.0	201.0	2350459.0
SdA01064_CKDL210020579-1a-5UDI245-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	716.0	185.0	126.0	56.0	47.0	34.0	24.0	15.0	1.0	0.0	208.0	2350694.0
SdA01065_CKDL210020579-1a-AK8593-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1207.0	292.0	222.0	83.0	55.0	34.0	28.0	14.0	0.0	0.0	219.0	3587359.0
SdA01065_CKDL210020579-1a-AK8593-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1122.0	252.0	175.0	76.0	65.0	34.0	26.0	22.0	0.0	0.0	382.0	3587359.0
SdA01066_CKDL210020579-1a-AK8593-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	677.0	154.0	106.0	44.0	24.0	26.0	11.0	8.0	1.0	0.0	22.0	2144806.0
SdA01066_CKDL210020579-1a-AK8593-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	614.0	149.0	99.0	52.0	44.0	18.0	16.0	10.0	0.0	0.0	71.0	2144806.0
SdA01067_CKDL210020579-1a-5UDI294-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	1221.0	309.0	232.0	83.0	73.0	33.0	24.0	24.0	2.0	0.0	362.0	3372704.0
SdA01067_CKDL210020579-1a-5UDI294-AK533_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	1122.0	245.0	187.0	77.0	58.0	43.0	24.0	21.0	0.0	0.0	249.0	3373041.0
SdA01068_CKDL210020579-1a-5UDI294-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R1_screen	815.0	211.0	199.0	81.0	50.0	31.0	31.0	17.0	2.0	1.0	250.0	2107114.0
SdA01068_CKDL210020579-1a-5UDI294-AK4236_HKGLMDSX2_L2_clmp.fp2_repr.R2_screen	750.0	183.0	130.0	61.0	57.0	32.0	24.0	15.0	1.0	0.0	224.0	2107325.0
