Sample	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
Tbi-ARos_025_Ex1b_L4_r1							91.53174066152901	43.0	126.49585340826192	18.181818181818183	2494820.0
Tbi-ARos_025_Ex1b_L4_r2							91.45135835534862	43.0	126.4891731668016	18.181818181818183	2494820.0
Tbi-ARos_026_Ex1b_L4_fastp	90.1868	0.944801	700990570.0	0.411122	98.32290823339306	66.25351631586986					
Tbi-ARos_026_Ex1b_L4_r1							90.42391579370035	41.0	123.87934215906084	18.181818181818183	2993672.0
Tbi-ARos_026_Ex1b_L4_r2							90.36772003006203	41.0	123.88289498649151	18.181818181818183	2993672.0
Tbi-ARos_028_Ex1b_L4_fastp	90.49239999999999	0.942455	976912101.0	0.475444	97.21464481008162	50.73221601033636					
Tbi-ARos_028_Ex1b_L4_r1							91.3074052891391	47.0	130.5415078718394	18.181818181818183	3968958.0
Tbi-ARos_028_Ex1b_L4_r2							90.96843050125744	47.0	130.52386999308132	18.181818181818183	3968958.0
Tbi-ARos_029_Ex1b_L4_fastp	90.98819999999999	0.941573	1091796620.0	0.43428	96.92338737557745	55.75488234492143					
Tbi-ARos_029_Ex1b_L4_r1							91.1310325815754	43.0	129.61605306294965	18.181818181818183	4471670.0
Tbi-ARos_029_Ex1b_L4_r2							90.70095926567811	43.0	129.60186932398858	18.181818181818183	4471670.0
Tbi-ARos_030_Ex1b_L4_fastp	90.4324	0.948508	2096251610.0	0.432794	97.47347784769549	68.81212884461428					
Tbi-ARos_030_Ex1b_L4_r1							89.31568657945121	43.0	122.43830248079642	18.181818181818183	9023191.0
Tbi-ARos_030_Ex1b_L4_r2							89.31771013743743	43.0	122.42425711702212	18.181818181818183	9023191.0
Tbi-ARos_032_Ex1b_L4_fastp	89.8293	0.948398	796944468.0	0.417744	97.5406330316943	70.48867827923557					
Tbi-ARos_032_Ex1b_L4_r1							90.1702476409115	41.0	121.02029161288836	18.181818181818183	3471040.0
Tbi-ARos_032_Ex1b_L4_r2							90.31641254785413	41.0	121.00926523462708	18.181818181818183	3471040.0
Tbi-ARos_033_Ex1b_L4_fastp	90.532	0.948451	314153897.0	0.402307	97.6778753927493	69.95943839999424					
Tbi-ARos_033_Ex1b_L4_r1							90.61399265382332	40.0	122.02373644513388	18.181818181818183	1356985.0
Tbi-ARos_033_Ex1b_L4_r2							90.83526008633476	40.0	122.00698681267663	18.181818181818183	1356985.0
Tbi-CJos_001_Ex1_L4_fastp	71.7038	0.938529	5682668642.0	0.412841	98.41115684364836	28.32145186274723					
Tbi-CJos_001_Ex1_L4_r1							74.27739914608128	41.0	140.746682338889	9.090909090909092	21506416.0
Tbi-CJos_001_Ex1_L4_r2							72.13256560040324	41.0	140.66024399416435	9.090909090909092	21506416.0
Tbi-CJos_004_Ex1_L4_fastp	71.1634	0.932853	5125228548.0	0.409526	97.93385501822056	21.55868119584598					
Tbi-CJos_004_Ex1_L4_r1							73.86043916693792	40.0	142.8482673106909	9.090909090909092	19225778.0
Tbi-CJos_004_Ex1_L4_r2							70.80520785301499	41.0	142.77393565035445	9.090909090909092	19225778.0
Tbi-CJos_005_Ex1_L4_fastp	72.26129999999999	0.935352	5348825108.0	0.409994	98.25686131866996	23.40541587641169					
Tbi-CJos_005_Ex1_L4_r1							74.33739251059896	40.0	142.39860451716078	9.090909090909092	20076062.0
Tbi-CJos_005_Ex1_L4_r2							71.79921626697626	41.0	142.3038161069636	9.090909090909092	20076062.0
Tbi-CJos_006_Ex1_L4_fastp	72.5732	0.937751	2589999122.0	0.41383	97.97757354706698	19.182678048293578					
Tbi-CJos_006_Ex1_L4_r1							74.57291622815997	41.0	143.67949007722683	9.090909090909092	9609612.0
Tbi-CJos_006_Ex1_L4_r2							72.97211235957367	41.0	143.5948458689071	9.090909090909092	9609612.0
Tbi-CJos_007_Ex1_L4_fastp	72.8911	0.939849	5832198076.0	0.41516	98.35280668467394	21.633271138915198					
Tbi-CJos_007_Ex1_L4_r1							74.20105112329837	41.0	142.84639247629926	9.090909090909092	21713357.0
Tbi-CJos_007_Ex1_L4_r2							73.48642968448499	41.0	142.8091353630855	9.090909090909092	21713357.0
Tbi-CJos_008_Ex1_L4_fastp	72.4391	0.940255	7146718450.0	0.413498	98.38077933336936	25.16014933933694					
Tbi-CJos_008_Ex1_L4_r1							73.16474351348391	41.0	141.77562289762304	9.090909090909092	26799428.0
Tbi-CJos_008_Ex1_L4_r2							73.09678738681967	41.0	141.71367090372226	9.090909090909092	26799428.0
Tbi-CJos_009_Ex1_L4_fastp	73.9268	0.938446	9097970493.0	0.41173	98.29404844248388	26.13953415815914					
Tbi-CJos_009_Ex1_L4_r1							74.96614400747394	41.0	141.37981806021824	9.090909090909092	34277825.0
Tbi-CJos_009_Ex1_L4_r2							73.75346262149677	41.0	141.3139647570988	9.090909090909092	34277825.0
Tbi-CJos_010_Ex1_L4_fastp	71.2881	0.935243	5855772513.0	0.406798	98.30857165003168	22.144330853217678					
Tbi-CJos_010_Ex1_L4_r1							73.58521131649056	40.0	142.81504180593765	9.090909090909092	21916504.0
Tbi-CJos_010_Ex1_L4_r2							71.4166141632304	40.0	142.72733630327173	9.090909090909092	21916504.0
Tbi-CJos_011_Ex1_L4_fastp	72.1604	0.938814	6112492923.0	0.413179	98.39518447757104	23.065340350131866					
Tbi-CJos_011_Ex1_L4_r1							73.76402140724264	41.0	142.33901198874716	9.090909090909092	22864274.0
Tbi-CJos_011_Ex1_L4_r2							72.59201456132966	41.0	142.28695194957862	9.090909090909092	22864274.0
Tbi-CJos_012_Ex1_L4_fastp	72.5527	0.937522	9229903961.0	0.410673	98.32834784806793	22.52227954467367					
Tbi-CJos_012_Ex1_L4_r1							73.42369484356762	41.0	142.60292251907836	9.090909090909092	34510844.0
Tbi-CJos_012_Ex1_L4_r2							72.66838197179348	41.0	142.53036028327793	9.090909090909092	34510844.0
Tbi-CJos_013_Ex1_L4_fastp	71.8524	0.936041	6600542804.0	0.416769	98.28044770425488	24.12177924704169					
Tbi-CJos_013_Ex1_L4_r1							74.02323076362491	41.0	142.10793107301976	9.090909090909092	24803756.0
Tbi-CJos_013_Ex1_L4_r2							71.89097604368092	41.0	142.0463360468471	9.090909090909092	24803756.0
Tbi-CJos_014_Ex1_L4_fastp	70.88889999999999	0.934328	11039152672.0	0.41102	98.34392578552662	22.813091923968802					
Tbi-CJos_014_Ex1_L4_r1							72.86346121462324	41.0	142.51644704345625	9.090909090909092	41441734.0
Tbi-CJos_014_Ex1_L4_r2							71.12834390689201	41.0	142.44062162070728	9.090909090909092	41441734.0
Tbi-CJos_015_Ex1_L4_fastp	71.3035	0.934727	5041658800.0	0.415714	98.31334069979286	22.535587875441852					
Tbi-CJos_015_Ex1_L4_r1							73.70883597785031	41.0	142.56292355422593	9.090909090909092	18911392.0
Tbi-CJos_015_Ex1_L4_r2							71.27502224199262	41.0	142.5011076392473	9.090909090909092	18911392.0
Tbi-CJos_016_Ex1_L4_fastp	72.7848	0.935155	4026036482.0	0.417243	98.16980880850859	22.925475106950167					
Tbi-CJos_016_Ex1_L4_r1							75.29139888046329	41.0	142.61119034903706	9.090909090909092	15092380.0
Tbi-CJos_016_Ex1_L4_r2							72.11260249410978	41.0	142.50520918503244	9.090909090909092	15092380.0
Tbi-CJos_017_Ex1_L4_fastp	71.4569	0.935099	5453999212.0	0.413292	97.9565200752368	25.685948429015788					
Tbi-CJos_017_Ex1_L4_r1							73.52914063494129	41.0	141.67920250563228	9.090909090909092	20579556.0
Tbi-CJos_017_Ex1_L4_r2							71.20678939767309	41.0	141.59637258452028	9.090909090909092	20579556.0
Tbi-CJos_018_Ex1_L4_fastp	72.736	0.936493	2708611441.0	0.413272	97.67569566369389	19.074292447107624					
Tbi-CJos_018_Ex1_L4_r1							74.82176844237526	41.0	143.6604273893068	9.090909090909092	10063986.0
Tbi-CJos_018_Ex1_L4_r2							72.87656036329184	41.0	143.58837482484574	9.090909090909092	10063986.0
Tbi-CJos_020_Ex1_L4_fastp	72.8044	0.941093	5651365952.0	0.413745	98.48860760522908	23.252813092313428					
Tbi-CJos_020_Ex1_L4_r1							73.98303782633218	41.0	142.42721129833512	9.090909090909092	21076238.0
Tbi-CJos_020_Ex1_L4_r2							73.4843162970027	41.0	142.36620757461554	9.090909090909092	21076238.0
Tbi-CJos_022_Ex1_L4_fastp	72.2585	0.938077	4558638943.0	0.413682	98.12916705700667	29.202267094763197					
Tbi-CJos_022_Ex1_L4_r1							74.03581040082517	41.0	140.556288213455	9.090909090909092	17283343.0
Tbi-CJos_022_Ex1_L4_r2							72.19263243549834	41.0	140.48198088760952	9.090909090909092	17283343.0
Tbi-CJos_023_Ex1_L4_fastp	71.2052	0.933716	6671921412.0	0.411112	98.10966141413753	21.26416839725713					
Tbi-CJos_023_Ex1_L4_r1							73.38192422183897	41.0	142.99590968370882	9.090909090909092	24977775.0
Tbi-CJos_023_Ex1_L4_r2							71.38501209850043	41.0	142.9329791784897	9.090909090909092	24977775.0
Tbi-CJos_025_Ex1_L4_fastp	70.6277	0.936181	8284661432.0	0.408549	98.36567354095506	24.917507529733225					
Tbi-CJos_025_Ex1_L4_r1							72.99573781607938	40.0	141.88864097119756	9.090909090909092	31177014.0
Tbi-CJos_025_Ex1_L4_r2							71.21317688589572	40.0	141.81731848983358	9.090909090909092	31177014.0
Tbi-CJos_026_Ex1_L4_fastp	70.7036	0.936747	6935109237.0	0.409605	98.29723459083253	25.990075478231624					
Tbi-CJos_026_Ex1_L4_r1							72.76104012006927	40.0	141.58769158409726	9.090909090909092	26138717.0
Tbi-CJos_026_Ex1_L4_r2							71.40689346236827	41.0	141.50877003641762	9.090909090909092	26138717.0
Tbi-CJos_027_Ex1_L4_fastp	71.5025	0.936436	6568333763.0	0.409972	98.12438442089277	23.390535915834896					
Tbi-CJos_027_Ex1_L4_r1							73.41996446134303	40.0	142.364551797291	9.090909090909092	24628566.0
Tbi-CJos_027_Ex1_L4_r2							71.73687353124286	41.0	142.29133210597809	9.090909090909092	24628566.0
Tbi-CJos_028_Ex1_L4_fastp	70.8412	0.936318	7433213023.0	0.408066	98.0947903349536	25.6392941096659					
Tbi-CJos_028_Ex1_L4_r1							72.58978524000663	40.0	141.75606966311008	9.090909090909092	27994099.0
Tbi-CJos_028_Ex1_L4_r2							71.24798405878684	40.0	141.69080765914273	9.090909090909092	27994099.0
Tbi-CJos_029_Ex1_L4_fastp	71.07339999999999	0.93814	8374402112.0	0.40476	98.64109103265184	33.464343407349375					
Tbi-CJos_029_Ex1_L4_r1							72.84679970163704	40.0	139.06261080548367	9.090909090909092	32086634.0
Tbi-CJos_029_Ex1_L4_r2							71.41546787485532	40.0	139.0112112725816	9.090909090909092	32086634.0
Tbi-CJos_030_Ex1_L4_fastp	71.9987	0.939408	6085870791.0	0.410541	98.2842479104746	24.908289006155773					
Tbi-CJos_030_Ex1_L4_r1							73.40617181921908	40.0	141.76010605441758	9.090909090909092	22842990.0
Tbi-CJos_030_Ex1_L4_r2							72.63666549029199	41.0	141.71309373247547	9.090909090909092	22842990.0
Tbi-CJos_031_Ex1_L4_fastp	72.5846	0.940659	4837175778.0	0.409702	98.29313666732692	24.862860607860153					
Tbi-CJos_031_Ex1_L4_r1							73.59369747263239	40.0	141.79144757372757	9.090909090909092	18127581.0
Tbi-CJos_031_Ex1_L4_r2							72.80423742416225	41.0	141.74933346043247	9.090909090909092	18127581.0
Tbi-CJos_032_Ex1_L4_fastp	73.9658	0.941042	5940181752.0	0.413487	98.05233680603594	33.72456473228016					
Tbi-CJos_032_Ex1_L4_r1							75.4537618128615	41.0	138.90227949531055	9.090909090909092	22714721.0
Tbi-CJos_032_Ex1_L4_r2							74.27017128086294	41.0	138.87060215267448	9.090909090909092	22714721.0
Tbi-CJos_033_Ex1_L4_fastp	73.2091	0.934596	7485105248.0	0.407288	97.99215647364204	20.93834252251328					
Tbi-CJos_033_Ex1_L4_r1							75.15952488503115	40.0	143.13456919366246	9.090909090909092	27969180.0
Tbi-CJos_033_Ex1_L4_r2							72.78404372995581	40.0	143.0694932779581	9.090909090909092	27969180.0
Tbi-CJos_034_Ex1_L4_fastp	71.5607	0.935733	8292937703.0	0.406844	98.29379652643053	23.587858307211377					
Tbi-CJos_034_Ex1_L4_r1							73.46354345444934	40.0	142.2515748954996	9.090909090909092	31142225.0
Tbi-CJos_034_Ex1_L4_r2							71.47429871390673	40.0	142.19031989525476	9.090909090909092	31142225.0
Tbi-CJos_035_Ex1_L4_fastp	72.0363	0.936206	5045743053.0	0.410825	98.22866731385854	20.231639307215072					
Tbi-CJos_035_Ex1_L4_r1							73.75971420136898	41.0	143.20675762881785	9.090909090909092	18812220.0
Tbi-CJos_035_Ex1_L4_r2							71.75537066866498	41.0	143.14227837012325	9.090909090909092	18812220.0
Tbi-CJos_036_Ex1_L4_fastp	72.1918	0.937596	5805083511.0	0.409169	98.24445577382708	22.829978722430386					
Tbi-CJos_036_Ex1_L4_r1							73.84800319393834	40.0	142.48097543620676	9.090909090909092	21721523.0
Tbi-CJos_036_Ex1_L4_r2							72.4155083205792	40.0	142.41856333002065	9.090909090909092	21721523.0
Tbi-CJos_037_Ex1_L4_fastp	71.4402	0.934548	8864703665.0	0.407496	98.19058717505935	22.05494135623879					
Tbi-CJos_037_Ex1_L4_r1							73.43054168012931	40.0	142.78601678895	9.090909090909092	33207437.0
Tbi-CJos_037_Ex1_L4_r2							71.20677990518325	40.0	142.71554627958793	9.090909090909092	33207437.0
Tbi-CJos_038_Ex1_L4_fastp	72.0886	0.93715	5749082132.0	0.409932	98.3900277953038	25.355355853781923					
Tbi-CJos_038_Ex1_L4_r1							73.95956132966633	40.0	141.7289242066649	9.090909090909092	21637074.0
Tbi-CJos_038_Ex1_L4_r2							71.88218554617444	41.0	141.65692537724834	9.090909090909092	21637074.0
Tbi-CJos_039_Ex1_L4_fastp	71.1662	0.936227	6816697921.0	0.407613	98.28057698057891	23.670464821917903					
Tbi-CJos_039_Ex1_L4_r1							73.3429020548007	40.0	142.2310328136176	9.090909090909092	25588218.0
Tbi-CJos_039_Ex1_L4_r2							71.66326304893693	40.0	142.1727686546988	9.090909090909092	25588218.0
Tbi-CJos_040_Ex1_L4_fastp	71.35430000000001	0.933538	5846159030.0	0.408543	98.03176439360307	23.09467983053022					
Tbi-CJos_040_Ex1_L4_r1							74.146574356065	40.0	142.36151767425855	9.090909090909092	21989409.0
Tbi-CJos_040_Ex1_L4_r2							71.0523445450972	40.0	142.2829407102301	9.090909090909092	21989409.0
Tbi-CJos_041_Ex1_L4_fastp	72.6797	0.934161	3730938557.0	0.408299	97.5124342124206	23.099040273675776					
Tbi-CJos_041_Ex1_L4_r1							74.67703772310341	40.0	142.3923868110236	9.090909090909092	14020800.0
Tbi-CJos_041_Ex1_L4_r2							71.91846892852111	40.0	142.3186423028643	9.090909090909092	14020800.0
Tbi-CJos_042_Ex1_L4_fastp	73.1236	0.935843	2477998433.0	0.412032	97.75557946608745	17.529636647785058					
Tbi-CJos_042_Ex1_L4_r1							75.03855050723158	41.0	144.11349687473495	9.090909090909092	9184341.0
Tbi-CJos_042_Ex1_L4_r2							73.154285399305	41.0	144.04723877303772	9.090909090909092	9184341.0
Tbi-CJos_043_Ex1_L4_fastp	71.2573	0.938788	8762945721.0	0.407386	98.36092958236175	24.52504986954662					
Tbi-CJos_043_Ex1_L4_r1							72.06446253731816	40.0	142.0396938952843	9.090909090909092	32850719.0
Tbi-CJos_043_Ex1_L4_r2							71.62176850162112	40.0	141.97014464127864	9.090909090909092	32850719.0
Tbi-CJos_044_Ex1_L4_fastp	74.6289	0.940459	5052473501.0	0.411105	98.2193681715142	29.84107224110429					
Tbi-CJos_044_Ex1_L4_r1							76.1913578484301	41.0	140.41840222912185	9.090909090909092	19125020.0
Tbi-CJos_044_Ex1_L4_r2							74.49390690447288	41.0	140.36147826250638	9.090909090909092	19125020.0
Tbi-CJos_046_Ex1_L4_fastp	71.1053	0.935342	5644434159.0	0.407554	98.20387589576295	23.452930392332323					
Tbi-CJos_046_Ex1_L4_r1							73.33850244685749	40.0	142.30484961726384	9.090909090909092	21196848.0
Tbi-CJos_046_Ex1_L4_r2							71.0667652847121	40.0	142.24591269418926	9.090909090909092	21196848.0
Tbi-CJos_048_Ex1_L4_fastp	73.0298	0.940155	7515345135.0	0.41036	97.95740693102182	26.786620366829666					
Tbi-CJos_048_Ex1_L4_r1							73.9031198851514	40.0	141.09585554535562	9.090909090909092	28319311.0
Tbi-CJos_048_Ex1_L4_r2							73.4546168665951	41.0	141.0455971192237	9.090909090909092	28319311.0
Tbi-CJos_052_Ex1_L4_fastp	70.7039	0.934184	7606710069.0	0.407973	98.23913584976319	23.13890582885689					
Tbi-CJos_052_Ex1_L4_r1							73.02687958294474	40.0	142.34509706600778	9.090909090909092	28593532.0
Tbi-CJos_052_Ex1_L4_r2							71.15240222190417	40.0	142.28106247944464	9.090909090909092	28593532.0
Tbi-CJos_053_Ex1_L4_fastp	72.1016	0.93344	7459147409.0	0.409062	97.6717830184769	22.907828690511394					
Tbi-CJos_053_Ex1_L4_r1							74.12278372657673	40.0	142.4533271976612	9.090909090909092	28041481.0
Tbi-CJos_053_Ex1_L4_r2							71.46810544635127	40.0	142.37311909452998	9.090909090909092	28041481.0
Tbi-CJos_055_Ex1_L4_fastp	71.78609999999999	0.94044	8675826127.0	0.408309	98.49809988438992	28.42003678387708					
Tbi-CJos_055_Ex1_L4_r1							72.68128338368953	40.0	140.70890681389267	9.090909090909092	32772471.0
Tbi-CJos_055_Ex1_L4_r2							72.4356087763703	40.0	140.65786214289426	9.090909090909092	32772471.0
Tbi-CJos_056_Ex1_L4_fastp	73.22070000000001	0.943441	5456179294.0	0.418748	98.14891964667359	27.185874095818775					
Tbi-CJos_056_Ex1_L4_r1							74.0702083735234	41.0	141.18415761999515	9.090909090909092	20475118.0
Tbi-CJos_056_Ex1_L4_r2							73.69192681844667	41.0	141.14593796235997	9.090909090909092	20475118.0
Tbi-CJos_057_Ex1_L4_fastp	73.4309	0.936329	10209815285.0	0.406532	98.38404524450755	24.34073917191136					
