Sample	Protists_1k	Human	Bacteria_24k	Bird	Fungi_RefSeq_release	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Sfa-ABas_032-Ex1-cssl.clmp.fp2_r1_screen	50002.0	13540.0	12622.0	3705.0	6470.0	1137.0	1069.0	239.0	51.0	0.0	221362.0	3098553.0
Sfa-ABas_032-Ex1-cssl.clmp.fp2_r2_screen	49949.0	13335.0	12453.0	3484.0	6344.0	1114.0	967.0	215.0	23.0	0.0	224699.0	3096167.0
Sfa-ABas_033-Ex1-cssl.clmp.fp2_r1_screen	74213.0	51865.0	11210.0	5817.0	9875.0	1763.0	1557.0	344.0	43.0	0.0	302728.0	4827288.0
Sfa-ABas_033-Ex1-cssl.clmp.fp2_r2_screen	74739.0	51717.0	11306.0	5506.0	9744.0	1670.0	1600.0	361.0	32.0	0.0	304855.0	4825173.0
Sfa-ABas_034-Ex1-cssl.clmp.fp2_r1_screen	76021.0	36025.0	6036.0	5845.0	9605.0	1727.0	1639.0	314.0	34.0	0.0	311122.0	4927737.0
Sfa-ABas_034-Ex1-cssl.clmp.fp2_r2_screen	75941.0	35684.0	5935.0	5776.0	9532.0	1637.0	1636.0	328.0	29.0	0.0	314558.0	4925049.0
Sfa-ABas_035-Ex1-cssl.clmp.fp2_r1_screen	51777.0	17193.0	14416.0	4118.0	7580.0	1162.0	1196.0	224.0	21.0	0.0	206357.0	3294108.0
Sfa-ABas_035-Ex1-cssl.clmp.fp2_r2_screen	50986.0	17350.0	14354.0	4227.0	7673.0	1118.0	1155.0	251.0	17.0	0.0	209432.0	3291589.0
Sfa-CBas_001-Ex1-cssl.clmp.fp2_r1_screen	72475.0	8328.0	2598.0	12692.0	5374.0	1990.0	932.0	445.0	53.0	0.0	535123.0	5603985.0
Sfa-CBas_001-Ex1-cssl.clmp.fp2_r2_screen	73353.0	8721.0	2579.0	12688.0	5276.0	1970.0	891.0	411.0	26.0	0.0	539090.0	5598990.0
Sfa-CBas_002-Ex1-cssl.clmp.fp2_r1_screen	146114.0	17133.0	3619.0	22347.0	11089.0	4259.0	1986.0	862.0	42.0	0.0	1092000.0	11760348.0
Sfa-CBas_002-Ex1-cssl.clmp.fp2_r2_screen	146381.0	17029.0	3759.0	21802.0	10881.0	3996.0	1955.0	812.0	44.0	0.0	1094097.0	11759043.0
Sfa-CBas_003-Ex1-cssl.clmp.fp2_r1_screen	87033.0	10471.0	1385.0	9842.0	6848.0	2320.0	1103.0	484.0	18.0	0.0	604845.0	5848684.0
Sfa-CBas_003-Ex1-cssl.clmp.fp2_r2_screen	87867.0	10313.0	1313.0	9902.0	7073.0	2338.0	1117.0	482.0	23.0	0.0	609179.0	5843426.0
Sfa-CBas_006-Ex1-cssl.clmp.fp2_r1_screen	19301.0	3162.0	559.0	1862.0	2515.0	507.0	347.0	138.0	9.0	0.0	116679.0	1332301.0
Sfa-CBas_006-Ex1-cssl.clmp.fp2_r2_screen	20665.0	3133.0	532.0	1633.0	2684.0	459.0	269.0	111.0	8.0	0.0	125927.0	1321959.0
Sfa-CBas_007-Ex1-cssl.clmp.fp2_r1_screen	63886.0	7739.0	1184.0	8804.0	5384.0	1823.0	866.0	370.0	30.0	1.0	427445.0	4657782.0
Sfa-CBas_007-Ex1-cssl.clmp.fp2_r2_screen	65116.0	7778.0	1100.0	8379.0	5296.0	1841.0	857.0	412.0	27.0	0.0	431384.0	4653124.0
Sfa-CBas_008-Ex1-cssl.clmp.fp2_r1_screen	85810.0	10197.0	1609.0	13688.0	6733.0	2497.0	1109.0	489.0	25.0	0.0	567950.0	6344614.0
Sfa-CBas_008-Ex1-cssl.clmp.fp2_r2_screen	85720.0	10115.0	1581.0	13691.0	6832.0	2263.0	1116.0	452.0	24.0	0.0	571830.0	6341097.0
Sfa-CBas_009-Ex1-cssl.clmp.fp2_r1_screen	107619.0	12670.0	1771.0	12624.0	8561.0	3156.0	1406.0	564.0	37.0	0.0	787463.0	7934939.0
Sfa-CBas_009-Ex1-cssl.clmp.fp2_r2_screen	109173.0	12636.0	1691.0	12333.0	8837.0	3010.0	1486.0	582.0	29.0	0.0	791416.0	7929617.0
Sfa-CBas_010-Ex1-cssl.clmp.fp2_r1_screen	98224.0	11851.0	1582.0	11908.0	8017.0	2928.0	1238.0	576.0	43.0	0.0	737942.0	6925049.0
Sfa-CBas_010-Ex1-cssl.clmp.fp2_r2_screen	100594.0	12058.0	1513.0	11719.0	8042.0	2904.0	1221.0	573.0	27.0	0.0	741897.0	6918810.0
Sfa-CBas_014-Ex1-cssl.clmp.fp2_r1_screen	94731.0	11458.0	2415.0	14705.0	7406.0	2697.0	1216.0	560.0	27.0	0.0	644390.0	7558410.0
Sfa-CBas_014-Ex1-cssl.clmp.fp2_r2_screen	95915.0	11578.0	2507.0	14553.0	7546.0	2722.0	1322.0	569.0	29.0	0.0	650368.0	7550906.0
Sfa-CBas_015-Ex1-cssl.clmp.fp2_r1_screen	68551.0	8426.0	1154.0	9493.0	5223.0	1827.0	882.0	410.0	27.0	0.0	443573.0	5325275.0
Sfa-CBas_015-Ex1-cssl.clmp.fp2_r2_screen	70163.0	8608.0	1106.0	9226.0	5518.0	1838.0	868.0	332.0	21.0	0.0	448337.0	5318824.0
Sfa-CBas_016-Ex1-cssl.clmp.fp2_r1_screen	69849.0	8362.0	5710.0	10704.0	6020.0	1858.0	837.0	411.0	17.0	0.0	445114.0	4821781.0
Sfa-CBas_016-Ex1-cssl.clmp.fp2_r2_screen	69233.0	8653.0	5670.0	10245.0	6132.0	1820.0	874.0	433.0	13.0	0.0	452791.0	4814799.0
Sfa-CBas_017-Ex1-cssl.clmp.fp2_r1_screen	132033.0	15153.0	2982.0	16647.0	9590.0	3643.0	1550.0	745.0	49.0	0.0	973781.0	9539228.0
Sfa-CBas_017-Ex1-cssl.clmp.fp2_r2_screen	132955.0	15152.0	2893.0	16145.0	9559.0	3689.0	1638.0	705.0	39.0	0.0	976607.0	9536019.0
Sfa-CBas_019-Ex1-cssl.clmp.fp2_r1_screen	95191.0	11125.0	1489.0	14391.0	6895.0	2640.0	1226.0	487.0	32.0	0.0	615987.0	6477755.0
Sfa-CBas_019-Ex1-cssl.clmp.fp2_r2_screen	97172.0	11198.0	1557.0	13925.0	6642.0	2648.0	1215.0	525.0	30.0	0.0	619610.0	6472696.0
Sfa-CBas_020-Ex1-cssl.clmp.fp2_r1_screen	60272.0	7468.0	1324.0	8571.0	5124.0	1504.0	691.0	319.0	17.0	0.0	371350.0	4390915.0
Sfa-CBas_020-Ex1-cssl.clmp.fp2_r2_screen	60734.0	7681.0	1419.0	8095.0	5478.0	1622.0	730.0	295.0	21.0	0.0	377837.0	4383643.0
Sfa-CBas_021-Ex1-cssl.clmp.fp2_r1_screen	65243.0	7891.0	1822.0	8543.0	5675.0	1761.0	898.0	352.0	22.0	0.0	441716.0	4837526.0
Sfa-CBas_021-Ex1-cssl.clmp.fp2_r2_screen	66933.0	8015.0	1833.0	8450.0	5402.0	1827.0	841.0	352.0	41.0	0.0	446674.0	4831081.0
Sfa-CBas_023-Ex1-cssl.clmp.fp2_r1_screen	157130.0	18589.0	3075.0	33750.0	11111.0	4464.0	2044.0	890.0	46.0	0.0	1075517.0	11825195.0
Sfa-CBas_023-Ex1-cssl.clmp.fp2_r2_screen	158054.0	18723.0	3072.0	33053.0	10868.0	4346.0	1950.0	838.0	50.0	0.0	1076975.0	11823882.0
Sfa-CBas_025-Ex1-cssl.clmp.fp2_r1_screen	50058.0	6869.0	6353.0	11240.0	4589.0	1432.0	731.0	366.0	13.0	0.0	386435.0	3700083.0
Sfa-CBas_025-Ex1-cssl.clmp.fp2_r2_screen	50855.0	6834.0	6336.0	10919.0	4682.0	1346.0	740.0	352.0	15.0	0.0	391842.0	3694248.0
Sfa-CBas_026-Ex1-cssl.clmp.fp2_r1_screen	78615.0	9118.0	1338.0	11733.0	6094.0	2166.0	1000.0	416.0	50.0	0.0	536496.0	5073804.0
Sfa-CBas_026-Ex1-cssl.clmp.fp2_r2_screen	79053.0	9277.0	1478.0	11359.0	6336.0	2216.0	1047.0	396.0	36.0	0.0	538689.0	5070943.0
Sfa-CBas_027-Ex1-cssl.clmp.fp2_r1_screen	100991.0	11492.0	2263.0	13712.0	7330.0	2887.0	1236.0	592.0	41.0	0.0	779979.0	8025273.0
Sfa-CBas_027-Ex1-cssl.clmp.fp2_r2_screen	101584.0	11343.0	2252.0	13393.0	7103.0	2771.0	1237.0	538.0	20.0	0.0	782966.0	8022589.0
Sfa-CBas_028-Ex1-cssl.clmp.fp2_r1_screen	96298.0	11554.0	2241.0	18088.0	7356.0	2714.0	1169.0	532.0	32.0	0.0	637957.0	6894054.0
Sfa-CBas_028-Ex1-cssl.clmp.fp2_r2_screen	97362.0	11960.0	2233.0	17911.0	7131.0	2715.0	1233.0	519.0	21.0	0.0	640692.0	6890218.0
Sfa-CBas_029-Ex1-cssl.clmp.fp2_r1_screen	108298.0	12413.0	1290.0	16573.0	7392.0	3060.0	1254.0	605.0	36.0	0.0	753651.0	7432492.0
Sfa-CBas_029-Ex1-cssl.clmp.fp2_r2_screen	109590.0	12366.0	1297.0	16543.0	7303.0	3054.0	1185.0	572.0	29.0	0.0	752633.0	7432492.0
Sfa-CBas_030-Ex1-cssl.clmp.fp2_r1_screen	80060.0	9043.0	1345.0	9498.0	5957.0	2263.0	1104.0	447.0	21.0	0.0	584453.0	6353426.0
Sfa-CBas_030-Ex1-cssl.clmp.fp2_r2_screen	81012.0	9122.0	1319.0	9232.0	5924.0	2396.0	1018.0	437.0	21.0	0.0	585119.0	6352017.0
Sfa-CBas_031-Ex1-cssl.clmp.fp2_r1_screen	85353.0	9905.0	1789.0	13618.0	6063.0	2408.0	1013.0	480.0	16.0	0.0	576126.0	6362712.0
Sfa-CBas_031-Ex1-cssl.clmp.fp2_r2_screen	86229.0	9700.0	1758.0	13754.0	6066.0	2327.0	1060.0	524.0	33.0	0.0	580262.0	6357770.0
Sfa-CBas_032-Ex1-cssl.clmp.fp2_r1_screen	80068.0	10676.0	3832.0	14754.0	6876.0	2242.0	1186.0	459.0	38.0	0.0	601209.0	7374501.0
Sfa-CBas_032-Ex1-cssl.clmp.fp2_r2_screen	81415.0	10310.0	3732.0	14574.0	6948.0	2151.0	1207.0	510.0	22.0	0.0	604519.0	7370453.0
Sfa-CBas_033-Ex1-cssl.clmp.fp2_r1_screen	128705.0	14455.0	3759.0	18562.0	8781.0	3373.0	1351.0	601.0	18.0	0.0	896221.0	9229017.0
Sfa-CBas_033-Ex1-cssl.clmp.fp2_r2_screen	130420.0	14649.0	3838.0	18204.0	9080.0	3383.0	1493.0	652.0	25.0	0.0	903356.0	9219743.0
Sfa-CBas_036-Ex1-cssl.clmp.fp2_r1_screen	80380.0	9393.0	1933.0	11824.0	6436.0	2234.0	1034.0	468.0	20.0	0.0	537678.0	6307994.0
Sfa-CBas_036-Ex1-cssl.clmp.fp2_r2_screen	81295.0	9500.0	1842.0	11540.0	6586.0	2197.0	1037.0	449.0	31.0	0.0	541794.0	6303123.0
Sfa-CBas_039-Ex1-cssl.clmp.fp2_r1_screen	16187.0	2396.0	466.0	1413.0	1812.0	324.0	250.0	86.0	3.0	0.0	102769.0	1029675.0
Sfa-CBas_039-Ex1-cssl.clmp.fp2_r2_screen	17067.0	2631.0	450.0	1231.0	1808.0	491.0	259.0	95.0	6.0	0.0	109987.0	1021356.0
Sfa-CBas_041-Ex1-cssl.clmp.fp2_r1_screen	95616.0	11314.0	1555.0	14609.0	7405.0	2608.0	1253.0	541.0	45.0	0.0	629419.0	6178095.0
Sfa-CBas_041-Ex1-cssl.clmp.fp2_r2_screen	95642.0	11322.0	1534.0	14197.0	7413.0	2566.0	1195.0	527.0	23.0	0.0	632723.0	6175318.0
Sfa-CBas_042-Ex1-cssl.clmp.fp2_r1_screen	36414.0	4598.0	691.0	4772.0	3211.0	1027.0	527.0	241.0	15.0	0.0	241623.0	2503814.0
Sfa-CBas_042-Ex1-cssl.clmp.fp2_r2_screen	37122.0	4817.0	612.0	4606.0	3123.0	963.0	435.0	204.0	18.0	0.0	244016.0	2501017.0
Sfa-CBas_043-Ex1-cssl.clmp.fp2_r1_screen	124920.0	15379.0	3459.0	21184.0	9748.0	3484.0	1591.0	637.0	57.0	0.0	840413.0	9147166.0
Sfa-CBas_043-Ex1-cssl.clmp.fp2_r2_screen	126596.0	14894.0	3559.0	20651.0	9639.0	3483.0	1550.0	725.0	42.0	0.0	844817.0	9142082.0
Sfa-CBas_044-Ex1-cssl.clmp.fp2_r1_screen	17306.0	2304.0	467.0	1266.0	2308.0	368.0	256.0	112.0	17.0	0.0	100694.0	1059533.0
Sfa-CBas_044-Ex1-cssl.clmp.fp2_r2_screen	18206.0	2836.0	432.0	1439.0	2137.0	444.0	244.0	93.0	4.0	0.0	111583.0	1047213.0
Sfa-CBas_046-Ex1-cssl.clmp.fp2_r1_screen	10378.0	1375.0	343.0	1052.0	1141.0	240.0	183.0	67.0	1.0	0.0	66236.0	694253.0
Sfa-CBas_046-Ex1-cssl.clmp.fp2_r2_screen	11178.0	1536.0	282.0	850.0	1475.0	247.0	200.0	84.0	3.0	0.0	70510.0	688904.0
Sfa-CBas_048-Ex1-cssl.clmp.fp2_r1_screen	101726.0	11682.0	2140.0	16992.0	7563.0	2892.0	1248.0	607.0	30.0	0.0	665964.0	7488471.0
Sfa-CBas_048-Ex1-cssl.clmp.fp2_r2_screen	101981.0	11839.0	2164.0	16924.0	7634.0	2805.0	1263.0	625.0	36.0	0.0	671382.0	7482662.0
Sfa-CBas_056-Ex1-cssl.clmp.fp2_r1_screen	118144.0	13541.0	3307.0	13817.0	9108.0	3543.0	1616.0	674.0	37.0	0.0	867269.0	9404724.0
Sfa-CBas_056-Ex1-cssl.clmp.fp2_r2_screen	120483.0	13669.0	3225.0	13491.0	9114.0	3377.0	1527.0	678.0	42.0	0.0	872755.0	9397419.0
Sfa-CBas_059-Ex1-cssl.clmp.fp2_r1_screen	38092.0	4710.0	1037.0	5508.0	3431.0	1046.0	463.0	282.0	15.0	0.0	243954.0	2757121.0
Sfa-CBas_059-Ex1-cssl.clmp.fp2_r2_screen	39757.0	4814.0	987.0	5375.0	3481.0	969.0	498.0	273.0	8.0	0.0	248793.0	2750704.0
Sfa-CBas_061-Ex1-cssl.clmp.fp2_r1_screen	68246.0	8241.0	4227.0	9994.0	5835.0	1776.0	875.0	394.0	28.0	0.0	499160.0	4709517.0
Sfa-CBas_061-Ex1-cssl.clmp.fp2_r2_screen	68375.0	8605.0	4253.0	10009.0	5961.0	1924.0	895.0	405.0	29.0	0.0	504690.0	4703147.0
Sfa-CBas_062-Ex1-cssl.clmp.fp2_r1_screen	100844.0	11604.0	2332.0	14464.0	7582.0	2793.0	1189.0	559.0	36.0	0.0	725222.0	7450308.0
Sfa-CBas_062-Ex1-cssl.clmp.fp2_r2_screen	101604.0	11588.0	2303.0	14211.0	7617.0	2749.0	1230.0	599.0	25.0	0.0	728026.0	7446981.0
Sfa-CBas_066-Ex1-cssl.clmp.fp2_r1_screen	80897.0	9306.0	1616.0	8307.0	6298.0	2108.0	941.0	429.0	28.0	0.0	478256.0	5577281.0
Sfa-CBas_066-Ex1-cssl.clmp.fp2_r2_screen	81692.0	9238.0	1485.0	8346.0	6387.0	2127.0	998.0	446.0	26.0	0.0	484223.0	5570499.0
Sfa-CBas_067-Ex1-cssl.clmp.fp2_r1_screen	89971.0	10323.0	1361.0	13010.0	6855.0	2533.0	1044.0	459.0	33.0	0.0	596406.0	6220264.0
Sfa-CBas_067-Ex1-cssl.clmp.fp2_r2_screen	89875.0	10425.0	1244.0	13034.0	7090.0	2445.0	1080.0	455.0	24.0	0.0	600489.0	6216098.0
Sfa-CBas_073-Ex1-cssl.clmp.fp2_r1_screen	15856.0	2030.0	410.0	1225.0	2001.0	407.0	182.0	147.0	6.0	0.0	100589.0	1058419.0
Sfa-CBas_073-Ex1-cssl.clmp.fp2_r2_screen	17044.0	2372.0	460.0	1218.0	2194.0	339.0	179.0	100.0	0.0	0.0	106153.0	1051213.0
Sfa-CBas_076-Ex1-cssl.clmp.fp2_r1_screen	79097.0	9421.0	5422.0	15051.0	6278.0	2100.0	1028.0	498.0	21.0	0.0	584314.0	5893668.0
Sfa-CBas_076-Ex1-cssl.clmp.fp2_r2_screen	79835.0	9595.0	5493.0	14492.0	5709.0	1998.0	1030.0	539.0	14.0	0.0	588483.0	5889710.0
Sfa-CBas_078-Ex1-cssl.clmp.fp2_r1_screen	68390.0	8230.0	1947.0	10369.0	5726.0	1986.0	911.0	373.0	33.0	0.0	456772.0	5065689.0
Sfa-CBas_078-Ex1-cssl.clmp.fp2_r2_screen	68934.0	8193.0	1799.0	9961.0	5546.0	1928.0	882.0	387.0	26.0	0.0	461015.0	5061755.0
Sfa-CBas_084-Ex1-cssl.clmp.fp2_r1_screen	194238.0	21084.0	3461.0	27824.0	13291.0	5437.0	2298.0	954.0	56.0	0.0	1481726.0	14104418.0
Sfa-CBas_084-Ex1-cssl.clmp.fp2_r2_screen	196113.0	20914.0	3413.0	27360.0	12969.0	5475.0	2245.0	983.0	39.0	0.0	1474516.0	14110760.0
Sfa-CBas_086-Ex1-cssl.clmp.fp2_r1_screen	88639.0	10262.0	3899.0	11599.0	6782.0	2387.0	1021.0	458.0	17.0	0.0	560263.0	6660076.0
