Sample	Protists_1k	Bacteria_24k	Human	Bird	Fungi_RefSeq_release	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Sde-ABul_022-Ex1-cssl.clmp.fp2_r1_screen	82207.0	96975.0	7733.0	4989.0	5087.0	1679.0	810.0	301.0	13.0	3.0	0.0	2462734.0	6147961.0
Sde-ABul_022-Ex1-cssl.clmp.fp2_r2_screen	84214.0	96117.0	7643.0	4764.0	5311.0	1634.0	744.0	278.0	9.0	1.0	0.0	2454768.0	6155009.0
Sde-ABul_024-Ex1-cssl.clmp.fp2_r1_screen	101704.0	234084.0	12508.0	5343.0	5892.0	1454.0	668.0	835.0	38.0	0.0	0.0	4027821.0	5777199.0
Sde-ABul_024-Ex1-cssl.clmp.fp2_r2_screen	103739.0	231298.0	12414.0	5202.0	5722.0	1539.0	705.0	790.0	10.0	0.0	0.0	4017744.0	5788383.0
Sde-ABul_027-Ex1-cssl.clmp.fp2_r1_screen	128965.0	86688.0	11636.0	8349.0	8097.0	2798.0	1260.0	475.0	14.0	0.0	0.0	2821920.0	12578125.0
Sde-ABul_027-Ex1-cssl.clmp.fp2_r2_screen	131009.0	85493.0	11512.0	7953.0	8058.0	2769.0	1245.0	466.0	14.0	0.0	0.0	2816989.0	12582819.0
Sde-ABul_028-Ex1-cssl.clmp.fp2_r1_screen	94871.0	43537.0	8635.0	5958.0	5863.0	2119.0	848.0	371.0	6.0	0.0	0.0	1830040.0	9490448.0
Sde-ABul_028-Ex1-cssl.clmp.fp2_r2_screen	96650.0	43529.0	8590.0	5732.0	5710.0	2054.0	861.0	308.0	12.0	0.0	0.0	1825357.0	9493893.0
Sde-ABul_029-Ex1-cssl.clmp.fp2_r1_screen	97797.0	181777.0	10557.0	7297.0	7698.0	2069.0	1499.0	521.0	103.0	0.0	0.0	4780129.0	9848757.0
Sde-ABul_029-Ex1-cssl.clmp.fp2_r2_screen	100659.0	179259.0	10800.0	7116.0	7410.0	1925.0	1337.0	524.0	23.0	0.0	0.0	4766949.0	9862202.0
Sde-ABul_030-Ex1-cssl.clmp.fp2_r1_screen	106545.0	172942.0	10666.0	5311.0	6866.0	2106.0	965.0	425.0	139.0	0.0	0.0	2229843.0	10435076.0
Sde-ABul_030-Ex1-cssl.clmp.fp2_r2_screen	107506.0	171272.0	10652.0	5166.0	6700.0	2085.0	929.0	440.0	27.0	0.0	0.0	2225843.0	10440264.0
Sde-ABul_031-Ex1-cssl.clmp.fp2_r1_screen	63885.0	33510.0	6345.0	6518.0	3789.0	1279.0	557.0	244.0	14.0	1.0	0.0	2157857.0	5682609.0
Sde-ABul_031-Ex1-cssl.clmp.fp2_r2_screen	65092.0	33368.0	6298.0	6232.0	3760.0	1240.0	580.0	204.0	19.0	1.0	0.0	2155614.0	5684200.0
Sde-ABul_032-Ex1-cssl.clmp.fp2_r1_screen	13723.0	7036.0	1248.0	853.0	700.0	203.0	59.0	46.0	8.0	0.0	0.0	707379.0	690037.0
Sde-ABul_032-Ex1-cssl.clmp.fp2_r2_screen	13413.0	7069.0	1202.0	828.0	711.0	219.0	82.0	44.0	13.0	0.0	0.0	706395.0	691316.0
Sde-ABul_034-Ex1-cssl.clmp.fp2_r1_screen	92938.0	73014.0	9524.0	5549.0	5365.0	1424.0	537.0	234.0	6.0	1.0	0.0	2538456.0	5415824.0
Sde-ABul_034-Ex1-cssl.clmp.fp2_r2_screen	94113.0	73089.0	9388.0	5313.0	5251.0	1395.0	562.0	235.0	6.0	0.0	0.0	2531996.0	5421524.0
Sde-ABul_035-Ex1-cssl.clmp.fp2_r1_screen	131187.0	113186.0	12882.0	6279.0	7993.0	2684.0	1258.0	462.0	15.0	1.0	0.0	2887837.0	12537373.0
Sde-ABul_035-Ex1-cssl.clmp.fp2_r2_screen	133113.0	111568.0	12623.0	6038.0	7995.0	2693.0	1242.0	399.0	16.0	0.0	0.0	2880246.0	12545224.0
Sde-ABul_039-Ex1-cssl.clmp.fp2_r1_screen	143885.0	91493.0	15133.0	8826.0	9081.0	3067.0	1557.0	587.0	14.0	2.0	0.0	4056391.0	13562672.0
Sde-ABul_039-Ex1-cssl.clmp.fp2_r2_screen	147818.0	91629.0	14972.0	8442.0	8915.0	2965.0	1522.0	594.0	10.0	0.0	0.0	4044222.0	13571619.0
Sde-ABul_040-Ex1-cssl.clmp.fp2_r1_screen	110414.0	212284.0	12297.0	9152.0	8322.0	2272.0	1644.0	573.0	19.0	0.0	0.0	4248042.0	11345860.0
Sde-ABul_040-Ex1-cssl.clmp.fp2_r2_screen	112699.0	209994.0	12239.0	8809.0	8160.0	2190.0	1579.0	551.0	32.0	0.0	0.0	4232815.0	11361811.0
Sde-ABul_041-Ex1-cssl.clmp.fp2_r1_screen	118587.0	49018.0	16170.0	6562.0	7320.0	2495.0	1085.0	420.0	64.0	1.0	0.0	2974279.0	11459946.0
Sde-ABul_041-Ex1-cssl.clmp.fp2_r2_screen	121143.0	48931.0	16190.0	6239.0	7404.0	2391.0	1015.0	384.0	12.0	0.0	0.0	2969365.0	11462873.0
Sde-ABul_042-Ex1-cssl.clmp.fp2_r1_screen	157279.0	278604.0	265510.0	9822.0	11484.0	3169.0	2093.0	1638.0	183.0	0.0	0.0	5056179.0	16788993.0
Sde-ABul_042-Ex1-cssl.clmp.fp2_r2_screen	160581.0	274704.0	264263.0	9481.0	11335.0	3286.0	2040.0	1555.0	33.0	0.0	0.0	5040623.0	16807053.0
Sde-ABul_043-Ex1-cssl.clmp.fp2_r1_screen	121750.0	80911.0	13204.0	7673.0	7570.0	2439.0	1102.0	442.0	23.0	0.0	0.0	3450173.0	12206419.0
Sde-ABul_043-Ex1-cssl.clmp.fp2_r2_screen	123891.0	80837.0	13169.0	7328.0	7607.0	2487.0	1177.0	446.0	9.0	0.0	0.0	3443569.0	12211186.0
Sde-ABul_046-Ex1-cssl.clmp.fp2_r1_screen	38278.0	15727.0	5227.0	2636.0	2100.0	739.0	247.0	132.0	2.0	0.0	0.0	1480249.0	2648248.0
Sde-ABul_046-Ex1-cssl.clmp.fp2_r2_screen	39223.0	15525.0	5241.0	2508.0	2086.0	643.0	248.0	122.0	5.0	0.0	0.0	1476800.0	2651184.0
Sde-ABul_047-Ex1-cssl.clmp.fp2_r1_screen	120282.0	102704.0	155875.0	8923.0	7549.0	2469.0	1126.0	516.0	8.0	0.0	0.0	3473264.0	10250973.0
Sde-ABul_047-Ex1-cssl.clmp.fp2_r2_screen	123714.0	102045.0	155396.0	8517.0	7527.0	2415.0	1147.0	437.0	11.0	0.0	0.0	3458796.0	10263684.0
Sde-ABul_049-Ex1-cssl.clmp.fp2_r1_screen	67498.0	59920.0	11786.0	8168.0	4298.0	1192.0	638.0	403.0	21.0	0.0	0.0	2289125.0	6985930.0
Sde-ABul_049-Ex1-cssl.clmp.fp2_r2_screen	69406.0	59908.0	11694.0	7801.0	4268.0	1196.0	608.0	373.0	4.0	0.0	0.0	2283076.0	6990645.0
Sde-ABul_050-Ex1-cssl.clmp.fp2_r1_screen	91875.0	80301.0	8862.0	12020.0	5655.0	1870.0	1048.0	393.0	11.0	0.0	0.0	2214329.0	10294650.0
Sde-ABul_050-Ex1-cssl.clmp.fp2_r2_screen	93905.0	80085.0	8714.0	11520.0	5566.0	1921.0	1083.0	378.0	9.0	0.0	0.0	2209370.0	10298463.0
Sde-ABul_051-Ex1-cssl.clmp.fp2_r1_screen	155757.0	163071.0	13142.0	8777.0	9615.0	2790.0	1579.0	575.0	13.0	0.0	0.0	2932385.0	15916169.0
Sde-ABul_051-Ex1-cssl.clmp.fp2_r2_screen	158349.0	162805.0	13197.0	8299.0	9586.0	2813.0	1563.0	487.0	25.0	0.0	0.0	2922898.0	15923851.0
Sde-ABul_052-Ex1-cssl.clmp.fp2_r1_screen	99245.0	71954.0	10754.0	9289.0	7135.0	1788.0	1406.0	449.0	9.0	0.0	0.0	3426471.0	11917772.0
Sde-ABul_052-Ex1-cssl.clmp.fp2_r2_screen	101410.0	71870.0	10757.0	9121.0	7066.0	1859.0	1402.0	375.0	18.0	0.0	0.0	3418404.0	11923990.0
Sde-ABul_053-Ex1-cssl.clmp.fp2_r1_screen	147618.0	168413.0	29493.0	6393.0	10373.0	2928.0	1491.0	503.0	90.0	0.0	0.0	2745839.0	14134175.0
Sde-ABul_053-Ex1-cssl.clmp.fp2_r2_screen	149195.0	167657.0	29651.0	6326.0	10098.0	2878.0	1418.0	508.0	22.0	0.0	0.0	2738489.0	14141074.0
Sde-ABul_054-Ex1-cssl.clmp.fp2_r1_screen	164096.0	103680.0	15862.0	9678.0	9667.0	3483.0	1397.0	594.0	121.0	0.0	0.0	3470782.0	16153969.0
Sde-ABul_054-Ex1-cssl.clmp.fp2_r2_screen	166071.0	103039.0	15920.0	9082.0	9622.0	3451.0	1424.0	549.0	15.0	0.0	0.0	3464207.0	16159949.0
Sde-ABul_055-Ex1-cssl.clmp.fp2_r1_screen	169568.0	235525.0	16730.0	17344.0	10980.0	3317.0	1766.0	578.0	19.0	0.0	0.0	4274293.0	15423778.0
Sde-ABul_055-Ex1-cssl.clmp.fp2_r2_screen	171433.0	233296.0	16644.0	16782.0	10828.0	3401.0	1733.0	563.0	21.0	0.0	0.0	4263327.0	15435870.0
Sde-ABul_056-Ex1-cssl.clmp.fp2_r1_screen	102526.0	94833.0	9573.0	9349.0	6683.0	1950.0	1196.0	398.0	7.0	0.0	0.0	2888846.0	11442399.0
Sde-ABul_056-Ex1-cssl.clmp.fp2_r2_screen	104511.0	94224.0	9629.0	9074.0	6762.0	1982.0	1126.0	356.0	11.0	0.0	0.0	2883319.0	11446766.0
Sde-ABul_057-Ex1-cssl.clmp.fp2_r1_screen	44666.0	43365.0	3755.0	4864.0	2660.0	832.0	340.0	144.0	5.0	0.0	0.0	1397839.0	4307300.0
Sde-ABul_057-Ex1-cssl.clmp.fp2_r2_screen	45390.0	43533.0	3769.0	4763.0	2608.0	753.0	379.0	153.0	10.0	0.0	0.0	1394209.0	4310203.0
Sde-ABul_058-Ex1-cssl.clmp.fp2_r1_screen	120028.0	96533.0	11193.0	8669.0	8213.0	2381.0	1384.0	533.0	10.0	0.0	0.0	4797097.0	11121983.0
Sde-ABul_058-Ex1-cssl.clmp.fp2_r2_screen	125666.0	95342.0	10832.0	8359.0	8319.0	2296.0	1347.0	449.0	10.0	0.0	0.0	4782103.0	11133301.0
Sde-ABul_059-Ex1-cssl.clmp.fp2_r1_screen	151235.0	293202.0	14812.0	7821.0	9984.0	2846.0	1486.0	562.0	14.0	2.0	0.0	3988822.0	13082357.0
Sde-ABul_059-Ex1-cssl.clmp.fp2_r2_screen	154561.0	289575.0	14405.0	7484.0	9710.0	2670.0	1433.0	566.0	21.0	0.0	0.0	3974563.0	13098155.0
Sde-ABul_060-Ex1-cssl.clmp.fp2_r1_screen	89831.0	130255.0	7704.0	8703.0	5569.0	1640.0	801.0	300.0	66.0	0.0	0.0	2223607.0	9468058.0
Sde-ABul_060-Ex1-cssl.clmp.fp2_r2_screen	90497.0	129714.0	7680.0	8575.0	5490.0	1619.0	806.0	315.0	7.0	0.0	0.0	2218998.0	9472833.0
Sde-ABul_061-Ex1-cssl.clmp.fp2_r1_screen	122797.0	114646.0	11541.0	11831.0	7690.0	2525.0	1354.0	501.0	55.0	1.0	0.0	2943841.0	14409419.0
Sde-ABul_061-Ex1-cssl.clmp.fp2_r2_screen	125060.0	114396.0	11402.0	11642.0	7655.0	2537.0	1402.0	472.0	15.0	0.0	0.0	2936913.0	14414707.0
Sde-ABul_062-Ex1-cssl.clmp.fp2_r1_screen	52799.0	17412.0	4065.0	2740.0	2951.0	958.0	316.0	127.0	4.0	0.0	0.0	1361481.0	3769763.0
Sde-ABul_062-Ex1-cssl.clmp.fp2_r2_screen	53242.0	17294.0	4042.0	2732.0	2806.0	942.0	332.0	137.0	2.0	0.0	0.0	1359760.0	3771327.0
Sde-ABul_063-Ex1-cssl.clmp.fp2_r1_screen	149550.0	112388.0	14884.0	15616.0	10469.0	3231.0	2064.0	593.0	21.0	0.0	0.0	3894282.0	17540810.0
Sde-ABul_063-Ex1-cssl.clmp.fp2_r2_screen	152602.0	111105.0	15067.0	15086.0	10300.0	3216.0	1910.0	530.0	23.0	0.0	0.0	3886736.0	17547333.0
Sde-ABul_065-Ex1-cssl.clmp.fp2_r1_screen	83027.0	44987.0	7232.0	5915.0	4954.0	1506.0	761.0	278.0	24.0	0.0	0.0	3696288.0	7629129.0
Sde-ABul_065-Ex1-cssl.clmp.fp2_r2_screen	85260.0	44847.0	7221.0	5649.0	4764.0	1449.0	742.0	256.0	9.0	0.0	0.0	3687890.0	7636014.0
Sde-ABul_066-Ex1-cssl.clmp.fp2_r1_screen	250198.0	196525.0	26152.0	25303.0	17070.0	4779.0	3209.0	1035.0	244.0	0.0	0.0	9135942.0	20183401.0
Sde-ABul_066-Ex1-cssl.clmp.fp2_r2_screen	256580.0	194107.0	26144.0	23793.0	16689.0	5023.0	3082.0	945.0	33.0	0.0	0.0	9116155.0	20201307.0
Sde-ABul_067-Ex1-cssl.clmp.fp2_r1_screen	159733.0	160640.0	17890.0	10419.0	10919.0	3384.0	1896.0	629.0	17.0	0.0	0.0	5092361.0	15704918.0
Sde-ABul_067-Ex1-cssl.clmp.fp2_r2_screen	162533.0	159190.0	17691.0	10314.0	10777.0	3351.0	1874.0	538.0	29.0	0.0	0.0	5083126.0	15713383.0
Sde-ABul_068-Ex1-cssl.clmp.fp2_r1_screen	117524.0	71656.0	9751.0	6342.0	6788.0	2325.0	1000.0	416.0	10.0	0.0	0.0	3173733.0	9602192.0
Sde-ABul_068-Ex1-cssl.clmp.fp2_r2_screen	119650.0	71834.0	9769.0	6137.0	6797.0	2221.0	928.0	409.0	15.0	0.0	0.0	3166588.0	9607389.0
Sde-ABul_069-Ex1-cssl.clmp.fp2_r1_screen	140435.0	270264.0	12973.0	11586.0	9662.0	2690.0	1862.0	646.0	18.0	0.0	0.0	4391113.0	13510717.0
Sde-ABul_069-Ex1-cssl.clmp.fp2_r2_screen	142292.0	266333.0	12935.0	11103.0	9435.0	2632.0	1788.0	625.0	15.0	0.0	0.0	4377574.0	13527234.0
Sde-ABul_070-Ex1-cssl.clmp.fp2_r1_screen	157077.0	460898.0	49094.0	9227.0	10267.0	2742.0	1652.0	669.0	18.0	3.0	0.0	4799519.0	13167227.0
Sde-ABul_070-Ex1-cssl.clmp.fp2_r2_screen	159573.0	452653.0	48910.0	8910.0	10173.0	2654.0	1737.0	602.0	23.0	0.0	0.0	4781675.0	13191483.0
Sde-ABul_071-Ex1-cssl.clmp.fp2_r1_screen	139389.0	117772.0	13810.0	8556.0	10581.0	2695.0	1772.0	501.0	16.0	0.0	0.0	3961358.0	14066622.0
Sde-ABul_071-Ex1-cssl.clmp.fp2_r2_screen	142254.0	116791.0	13630.0	8426.0	10497.0	2714.0	1666.0	498.0	14.0	0.0	0.0	3950799.0	14075783.0
Sde-ABul_072-Ex1-cssl.clmp.fp2_r1_screen	169197.0	237144.0	14847.0	10171.0	11010.0	3211.0	1792.0	689.0	85.0	0.0	0.0	6883009.0	13893958.0
Sde-ABul_072-Ex1-cssl.clmp.fp2_r2_screen	173432.0	233803.0	14904.0	9892.0	11342.0	3117.0	1815.0	667.0	19.0	0.0	0.0	6867306.0	13908816.0
Sde-ABul_073-Ex1-cssl.clmp.fp2_r1_screen	125492.0	139575.0	15075.0	7336.0	8465.0	2477.0	1398.0	473.0	33.0	0.0	0.0	3624054.0	13250141.0
Sde-ABul_073-Ex1-cssl.clmp.fp2_r2_screen	127465.0	138631.0	15101.0	7203.0	8331.0	2335.0	1399.0	465.0	8.0	0.0	0.0	3616570.0	13257011.0
Sde-ABul_074-Ex1-cssl.clmp.fp2_r1_screen	131711.0	139722.0	12299.0	11931.0	9045.0	2574.0	1582.0	550.0	23.0	2.0	0.0	4867790.0	12474421.0
Sde-ABul_074-Ex1-cssl.clmp.fp2_r2_screen	134600.0	137517.0	12369.0	11538.0	8884.0	2442.0	1491.0	513.0	16.0	0.0	0.0	4859034.0	12483246.0
Sde-ABul_075-Ex1-cssl.clmp.fp2_r1_screen	171249.0	51569.0	14985.0	8372.0	11704.0	3527.0	1899.0	601.0	17.0	0.0	0.0	3573088.0	14636799.0
Sde-ABul_075-Ex1-cssl.clmp.fp2_r2_screen	174443.0	51126.0	15006.0	8501.0	11752.0	3521.0	1708.0	645.0	23.0	0.0	0.0	3566591.0	14640494.0
Sde-ABul_076-Ex1-cssl.clmp.fp2_r1_screen	163690.0	81198.0	14118.0	8024.0	10986.0	3140.0	1700.0	569.0	8.0	0.0	0.0	4164664.0	13238173.0
Sde-ABul_076-Ex1-cssl.clmp.fp2_r2_screen	166603.0	81074.0	14228.0	7849.0	10758.0	3171.0	1673.0	549.0	20.0	1.0	0.0	4155097.0	13245247.0
Sde-ABul_077-Ex1-cssl.clmp.fp2_r1_screen	187647.0	85326.0	17430.0	9033.0	13650.0	3952.0	2226.0	821.0	136.0	0.0	0.0	7182389.0	15371200.0
Sde-ABul_077-Ex1-cssl.clmp.fp2_r2_screen	191324.0	84457.0	16985.0	8933.0	13271.0	3895.0	2298.0	804.0	21.0	0.0	0.0	7171473.0	15380349.0
Sde-ABul_078-Ex1-cssl.clmp.fp2_r1_screen	247530.0	136575.0	23927.0	18031.0	17238.0	5025.0	2684.0	949.0	210.0	0.0	0.0	8483027.0	20515021.0
Sde-ABul_078-Ex1-cssl.clmp.fp2_r2_screen	254421.0	135730.0	24074.0	17473.0	16792.0	4834.0	2569.0	840.0	27.0	0.0	0.0	8463711.0	20529746.0
Sde-ABul_079-Ex1-cssl.clmp.fp2_r1_screen	179558.0	81769.0	15450.0	7819.0	13480.0	3453.0	1754.0	627.0	26.0	0.0	0.0	7170997.0	12931653.0
Sde-ABul_079-Ex1-cssl.clmp.fp2_r2_screen	184882.0	81554.0	15207.0	7585.0	13228.0	3276.0	1627.0	543.0	13.0	0.0	0.0	7154774.0	12943897.0
Sde-ABul_080-Ex1-cssl.clmp.fp2_r1_screen	168972.0	98659.0	15690.0	9523.0	11560.0	3391.0	1939.0	635.0	19.0	1.0	0.0	6494428.0	13298038.0
Sde-ABul_080-Ex1-cssl.clmp.fp2_r2_screen	174500.0	97818.0	15525.0	9255.0	11223.0	3185.0	1894.0	644.0	24.0	0.0	0.0	6476677.0	13312110.0
Sde-ABul_081-Ex1-cssl.clmp.fp2_r1_screen	138032.0	57796.0	12108.0	7126.0	9876.0	2822.0	1799.0	553.0	16.0	0.0	0.0	4875097.0	10793947.0
Sde-ABul_081-Ex1-cssl.clmp.fp2_r2_screen	141081.0	56611.0	11924.0	7031.0	9699.0	2774.0	1758.0	521.0	16.0	0.0	0.0	4864270.0	10803487.0
Sde-ABul_082-Ex1-cssl.clmp.fp2_r1_screen	65760.0	24539.0	5675.0	4197.0	4060.0	1176.0	562.0	262.0	7.0	2.0	0.0	2602068.0	4880112.0
Sde-ABul_082-Ex1-cssl.clmp.fp2_r2_screen	67610.0	24302.0	5596.0	4167.0	4030.0	1144.0	534.0	251.0	4.0	0.0	0.0	2595358.0	4885424.0
Sde-ABul_083-Ex1-cssl.clmp.fp2_r1_screen	56047.0	21987.0	5542.0	2856.0	3578.0	1018.0	569.0	199.0	8.0	1.0	0.0	1822508.0	3897200.0
Sde-ABul_083-Ex1-cssl.clmp.fp2_r2_screen	56923.0	21704.0	5629.0	2686.0	3447.0	1036.0	543.0	188.0	16.0	0.0	0.0	1818073.0	3901268.0
Sde-ABul_085-Ex1-cssl.clmp.fp2_r1_screen	91629.0	126641.0	25820.0	6048.0	5803.0	1712.0	695.0	375.0	26.0	0.0	0.0	3000430.0	5516208.0
Sde-ABul_085-Ex1-cssl.clmp.fp2_r2_screen	94161.0	125831.0	25643.0	5915.0	5751.0	1533.0	680.0	320.0	6.0	0.0	0.0	2987054.0	5528493.0
Sde-ABul_086-Ex1-cssl.clmp.fp2_r1_screen	157800.0	148732.0	12724.0	7101.0	9100.0	2698.0	1086.0	627.0	9.0	0.0	0.0	4345357.0	8663009.0
Sde-ABul_086-Ex1-cssl.clmp.fp2_r2_screen	160847.0	148253.0	12745.0	7073.0	9175.0	2644.0	1076.0	586.0	6.0	0.0	0.0	4332150.0	8673688.0
Sde-ABul_087-Ex1-cssl.clmp.fp2_r1_screen	122831.0	59047.0	11635.0	6863.0	8060.0	2595.0	1353.0	542.0	8.0	0.0	0.0	3181173.0	11597530.0
Sde-ABul_087-Ex1-cssl.clmp.fp2_r2_screen	126192.0	58740.0	11425.0	6721.0	7888.0	2392.0	1309.0	528.0	8.0	0.0	0.0	3171408.0	11605026.0
Sde-ABul_089-Ex1-cssl.clmp.fp2_r1_screen	165202.0	116365.0	16216.0	6987.0	11531.0	3369.0	1962.0	613.0	117.0	0.0	0.0	4540036.0	14919528.0
Sde-ABul_089-Ex1-cssl.clmp.fp2_r2_screen	169469.0	115368.0	16224.0	6725.0	11484.0	3271.0	1934.0	553.0	25.0	0.0	0.0	4523498.0	14933375.0
Sde-ABul_090-Ex1-cssl.clmp.fp2_r1_screen	200146.0	167580.0	41665.0	13390.0	14517.0	4256.0	2191.0	1191.0	186.0	1.0	0.0	8800810.0	15253094.0
Sde-ABul_090-Ex1-cssl.clmp.fp2_r2_screen	205389.0	164724.0	41670.0	12854.0	14367.0	3868.0	2362.0	1068.0	39.0	0.0	0.0	8775093.0	15277593.0
