file	#_reads_raw	#_reads_fp1	#_reads_clmp	#_reads_fp2	#_reads_fqscrn	#_reads_repr	%_readsRemaining_fp1	%_readsRemaining_clmp	%_readsRemaining_fp2	%_readsRemaining_fqscrn	%_readsRemaining_repr	%_total_readsRemaining
	31072347	14244372	14123689	10251097	10124054	45.8426	99.1528	72.5809	98.7607	0.000452809	0.000147535
	20036536	9499217	9428979	6986392	6914866	47.4095	99.2606	74.0949	98.9762	0.000685617	0.000236615
	31110243	12806664	12711014	10294925	10187853	41.1654	99.2531	80.9922	98.96	0.000404064	0.000132321
	47167305	19359594	19203873	15916850	15746867	41.0445	99.1956	82.8835	98.9321	0.000260652	8.7019e-05
	38865411	15660854	15546272	11917017	11798795	40.2951	99.2684	76.6551	99.008	0.000341519	0.000103679
	40460545	17365439	17247316	14133420	13961301	42.9194	99.3198	81.9456	98.7822	0.000307417	0.000106077
	46484714	20075110	19933329	16153728	15982230	43.1865	99.2937	81.0388	98.9383	0.000270216	9.29047e-05
	47030641	20306288	20153898	15424619	15206103	43.1767	99.2495	76.5342	98.5833	0.000283943	9.18055e-05
	34440866	14665324	14557760	11441950	11323138	42.5812	99.2665	78.5969	98.9616	0.000376055	0.000123636
	11816200	5852505	5805770	4307206	4259349	49.5295	99.2015	74.1884	98.8889	0.00116284	0.000419166
	37500168	16318434	16168024	11122026	10974627	43.5156	99.0783	68.7903	98.6747	0.000396511	0.000116041
	40497778	17708565	17553143	13083008	12883113	43.7273	99.1223	74.5337	98.4721	0.000339416	0.000107975
	27669953	12037559	11936534	9467490	9368058	43.5041	99.1608	79.3152	98.9498	0.000464388	0.000157225
	44064485	17763782	17626201	14409541	14268836	40.3132	99.2255	81.7507	99.0235	0.000282526	9.14868e-05
	9290367	5247484	5212616	3769532	3720993	56.4831	99.3355	72.3156	98.7123	0.00151796	0.000607975
	56169789	21924471	21743908	17539940	17350658	39.0325	99.1764	80.666	98.9209	0.000224963	6.94902e-05
	24331238	11557549	11474101	7629324	7542326	47.5009	99.278	66.4917	98.8597	0.000629791	0.000195226
	78776069	30112029	29843858	20182179	19858472	38.2248	99.1094	67.6259	98.3961	0.000192486	4.85234e-05
	52968217	21333787	21162806	15705518	15505710	40.2766	99.1985	74.2128	98.7278	0.000259753	7.60392e-05
	28425780	13088418	12991737	9601878	9483419	46.0442	99.2613	73.9076	98.7663	0.000485523	0.00016198
	52092335	18527747	18351966	13510862	13312046	35.5671	99.0513	73.6208	98.5285	0.00026718	6.8277e-05
	45640513	18832829	18658393	13168008	12931797	41.2634	99.0738	70.5742	98.2062	0.000319085	9.04096e-05
	43285143	18478420	18323072	14067105	13902708	42.69	99.1593	76.7726	98.8313	0.000307062	9.86251e-05
	47978733	21414530	21225113	13893619	13676704	44.6334	99.1155	65.4584	98.4387	0.000326346	9.30275e-05
	38408994	17310324	17174519	13250011	13103044	45.0684	99.2155	77.1492	98.8908	0.000343954	0.000117338
	40575479	17798885	17651650	12475109	12309448	43.8661	99.1728	70.6739	98.6721	0.000356361	0.00010811
	41935877	18623784	18473810	14636455	14455379	44.4101	99.1947	79.2281	98.7628	0.000307222	0.0001059
	38167266	17812955	17686270	13237404	13066855	46.6708	99.2888	74.8457	98.7116	0.000357169	0.00012228
	55356815	23057311	22873810	15370273	15153555	41.6522	99.2042	67.1959	98.59	0.000274868	7.52431e-05
	70246990	29696653	29450217	20515202	20235463	42.2746	99.1702	69.6606	98.6364	0.000208913	6.01799e-05
	39937902	20565595	20406586	12930873	12742312	51.4939	99.2268	63.3662	98.5418	0.000404117	0.000128935
	43417497	20271410	20102855	13298892	13108582	46.6895	99.1685	66.1542	98.569	0.000356175	0.000107536
	38017138	16046366	15899172	10794201	10635822	42.2082	99.0827	67.8916	98.5327	0.000396849	0.000111024
	13760679	7654558	7588420	4879999	4810962	55.6263	99.136	64.3085	98.5853	0.00115624	0.000404241
	10535620	5863676	5811513	3897110	3840766	55.6557	99.1104	67.0584	98.5542	0.00144908	0.000528262
	16565775	8842831	8775387	5516310	5414660	53.3801	99.2373	62.8612	98.1573	0.000985844	0.000322231
	26317221	13452211	13348243	8663305	8497458	51.1156	99.2271	64.9022	98.0856	0.00060154	0.000194229
	32840055	15104201	14991637	11597711	11466227	45.9932	99.2548	77.3612	98.8663	0.000401119	0.000140052
	43997761	19916930	19781926	14918881	14735812	45.2681	99.3222	75.4167	98.7729	0.000307198	0.000102887
	56276292	24705986	24499027	15253360	15004286	43.9012	99.1623	62.2611	98.3671	0.000292591	7.80101e-05
	48194861	18561435	18398191	12420859	12173929	38.5133	99.1205	67.5113	98.012	0.000316359	7.99116e-05
	52419188	21404148	21220110	14348942	14102862	40.8327	99.1402	67.6195	98.285	0.000289535	7.78965e-05
	48019059	21470206	21288780	13807134	13577262	44.7118	99.155	64.8564	98.3351	0.000329314	9.31126e-05
	28626497	14076199	13956662	9163667	9007086	49.1719	99.1508	65.658	98.2913	0.000545925	0.000171771
	24443898	12270831	12162278	7090716	6949590	50.2	99.1154	58.3009	98.0097	0.000722345	0.000205368
	29638249	13763625	13649679	9830349	9693640	46.4387	99.1721	72.0189	98.6093	0.000479064	0.000156685
	11206405	7351063	7242392	2464083	2402976	65.597	98.5217	34.0231	97.5201	0.00272982	0.000585353
	3651924	2324505	2285524	924681	899011	63.6515	98.323	40.4582	97.2239	0.00708017	0.00174296
	7979943	4469944	4404970	2117108	2058090	56.0147	98.5464	48.0618	97.2123	0.00272168	0.000701944
	4415311	2664452	2622991	1515977	1486968	60.3457	98.4439	57.7957	98.0864	0.00405831	0.00136674
	2875222	1942029	1918697	510921	493119	67.5436	98.7986	26.6285	96.5157	0.0136972	0.00234916
	3632041	2051483	2020341	1172816	1157140	56.4829	98.482	58.0504	98.6634	0.00488125	0.00155513
	5592721	3269867	3230744	1850667	1819308	58.4665	98.8035	57.283	98.3055	0.00321367	0.0010454
	2263916	1485665	1465605	727322	715782	65.6237	98.6498	49.6261	98.4134	0.00916811	0.00289868
	4992807	2972458	2929224	1518011	1491714	59.5348	98.5455	51.823	98.2677	0.00399103	0.00119241
	3449570	2064935	2032623	1263322	1246006	59.8606	98.4352	62.1523	98.6293	0.0048042	0.00173531
	4534636	2961817	2917463	1084068	1060974	65.3154	98.5025	37.1579	97.8697	0.00615617	0.00144037
	1327466	965026	952048	256330	247475	72.6969	98.6552	26.9241	96.5455	0.0293755	0.00547637
	2838822	1968492	1940779	363895	349974	69.3419	98.5922	18.7499	96.1744	0.0198134	0.00244263
	5820000	4004415	3944163	617652	593893	68.8044	98.4954	15.6599	96.1533	0.0115853	0.00118221
	5206099	3246887	3183222	1135130	1107596	62.367	98.0392	35.6598	97.5744	0.00563084	0.00119796
	2445023	1541674	1517856	624448	612590	63.0536	98.4551	41.1401	98.101	0.010293	0.00257886
	2424758	1497384	1473448	594191	582106	61.754	98.4015	40.3266	97.9661	0.0106087	0.00254681
	3970155	2143058	2109828	934962	905439	53.9792	98.4494	44.3146	96.8423	0.00596166	0.00135962
	7464386	4454449	4394850	1337982	1295224	59.676	98.662	30.4443	96.8043	0.00460739	0.000799476
	2817474	1851848	1820301	519963	505372	65.7272	98.2965	28.5647	97.1938	0.0130057	0.00233284
	6374889	4307629	4246396	686182	658018	67.5718	98.5785	16.1592	95.8955	0.010269	0.00105997
	6534471	4225243	4166731	1489666	1459877	64.6608	98.6152	35.7514	98.0003	0.0044292	0.000989534
	1712532	1168368	1151492	403027	394032	68.2246	98.5556	35.0004	97.7681	0.0173145	0.00398384
	5055304	3083113	3037740	1567858	1540103	60.9877	98.5283	51.6126	98.2298	0.00395998	0.00120641
	4349651	3111230	3065638	528920	509963	71.5283	98.5346	17.2532	96.4159	0.0140262	0.00164446
	4224845	2619925	2583042	806776	778651	62.0123	98.5922	31.2336	96.5139	0.00796407	0.0014678
	5881025	3887609	3839360	945446	915972	66.1043	98.7589	24.6251	96.8825	0.00721685	0.00112403
	530977	407779	332769	125032	119646	76.7979	81.6052	37.5732	95.6923	0.0641876	0.0144635
	1082563	736725	726209	195083	188595	68.0538	98.5726	26.8632	96.6742	0.0360846	0.00628636
	4064929	2781178	2751616	482335	460550	68.4189	98.9371	17.5292	95.4834	0.0148559	0.00168315
	3543816	2245681	2216033	819028	801053	63.369	98.6798	36.9592	97.8053	0.00791071	0.00178816
	7691954	3953592	3888650	2116381	2059055	51.3991	98.3574	54.4246	97.2913	0.00249625	0.000668219
	6179176	3418549	3370923	1494639	1453962	55.3237	98.6068	44.3392	97.2785	0.00380503	0.000895325
	1663431	922127	908600	487387	475027	55.4352	98.5331	53.6415	97.464	0.0116699	0.00333258
	3824582	2599720	2563857	537612	517103	67.974	98.6205	20.9689	96.1852	0.0131452	0.00177729
	1874676	1248900	1233272	307156	294691	66.6195	98.7487	24.9058	95.9418	0.0226066	0.00355365
	1692130	1139959	1122692	342703	331623	67.3683	98.4853	30.5251	96.7669	0.0203147	0.00398127
	163625	146242	111921	30926	29930	89.3763	76.5314	27.632	96.7794	0.298618	0.0546226
	3477151	2137630	2109287	1029965	1001861	61.4765	98.6741	48.83	97.2714	0.00613623	0.00176801
	14769006	6678602	6616090	3602149	3502477	45.2204	99.064	54.4453	97.233	0.0012911	0.000306184
	25842168	11900768	11816700	8559964	8428451	46.0517	99.2936	72.4395	98.4636	0.000546384	0.000178204
	26118281	10312834	10237936	8312228	8215523	39.4851	99.2737	81.1905	98.8366	0.000480616	0.000151178
	20142614	9246930	9180311	6906696	6817140	45.9073	99.2796	75.2338	98.7033	0.00067341	0.000227911
	20440892	9264835	9186242	5627574	5497893	45.325	99.1517	61.2609	97.6956	0.000824407	0.000221737
	19371502	8558989	8493894	6515726	6430139	44.1834	99.2395	76.7107	98.6865	0.00068713	0.000228085
	21397066	9671261	9599043	7517754	7422553	45.199	99.2533	78.3177	98.7337	0.000608941	0.000211239
	14414092	6650968	6592643	4277042	4189123	46.1421	99.1231	64.876	97.9444	0.00110147	0.000320118
	9981643	4823531	4786863	3521188	3446418	48.324	99.2398	73.5594	97.8766	0.00140215	0.000484129
	16774090	7521276	7467243	5390064	5309407	44.8387	99.2816	72.1828	98.5036	0.000844514	0.000267309
	18561229	8890471	8829674	6947694	6868921	47.8981	99.3162	78.6857	98.8662	0.000697316	0.000258055
	22966866	9920661	9836196	6497908	6390928	43.1955	99.1486	66.0612	98.3536	0.000675888	0.000188077
	19836279	8887912	8814948	6587866	6502648	44.8063	99.1791	74.7352	98.7064	0.000689047	0.000225881
	24819702	10971325	10883013	8376979	8249857	44.2041	99.1951	76.973	98.4825	0.000535817	0.000178101
	20484894	7965280	7894687	5981986	5892540	38.8837	99.1137	75.7723	98.5047	0.00065988	0.000189816
	19720296	8630634	8555333	6217016	6104426	43.7652	99.1275	72.6683	98.189	0.000716942	0.00022193
	19751093	9170569	9089119	6265606	6157707	46.4307	99.1118	68.9352	98.2779	0.000754026	0.000235079
	15590813	6944963	6890507	5503366	5428070	44.5452	99.2159	79.8688	98.6318	0.000820645	0.000285714
	19377246	9049176	8986292	7108085	7017987	46.7	99.3051	79.0992	98.7325	0.000665433	0.000241004
	15155618	7401244	7348749	5331934	5245868	48.835	99.2907	72.5557	98.3858	0.000930923	0.000322224
	12879731	6219696	6175807	4499640	4431265	48.2906	99.2944	72.8591	98.4804	0.00108977	0.000374935
	23567815	11190160	11113223	8446453	8296835	47.4807	99.3125	76.0036	98.2286	0.000572275	0.000201464
	27912421	12259346	12165929	9316482	9167644	43.9208	99.238	76.5785	98.4024	0.000479085	0.000157352
	22437190	10495921	10422785	8365031	8251528	46.7791	99.3032	80.2572	98.6431	0.000566914	0.000208489
	20154984	8562085	8495611	6293229	6192074	42.4812	99.2236	74.0762	98.3926	0.000686058	0.000210773
	21818953	10306826	10228052	6937934	6804581	47.2379	99.2357	67.8324	98.0779	0.000694207	0.000216499
	17551780	8070216	8006012	5782235	5686635	45.9795	99.2044	72.2237	98.3467	0.000808554	0.000261965
	25030761	11480703	11391580	8593429	8470632	45.8664	99.2237	75.4367	98.571	0.000541476	0.00018324
	23695551	11199669	11117285	8472656	8354311	47.2649	99.2644	76.2116	98.6032	0.000565755	0.000199467
	14709425	6250275	6205603	4904883	4839384	42.4916	99.2853	79.0396	98.6646	0.000878037	0.000288873
	18078931	8486589	8420893	5950344	5871907	46.9419	99.2259	70.6617	98.6818	0.000799432	0.00025965
	27744286	12653264	12563372	9391641	9252297	45.6067	99.2896	74.7541	98.5163	0.000492923	0.000164382
	23656381	9805657	9727288	7318552	7210018	41.4504	99.2008	75.2373	98.517	0.0005749	0.000175219
	24844533	11789460	11702421	8319162	8192892	47.4529	99.2617	71.0892	98.4822	0.000579196	0.000190999
	19522545	8688676	8625347	7059491	6971762	44.5059	99.2711	81.8459	98.7573	0.000638374	0.000227972
	17856898	8747095	8685141	6619538	6528767	48.9844	99.2917	76.2168	98.6287	0.000750286	0.000274316
	21301913	9865985	9795771	7612988	7486008	46.315	99.2883	77.7171	98.3321	0.000618688	0.000217422
	25064133	10718529	10634991	8443185	8325666	42.7644	99.2206	79.3906	98.6081	0.000513645	0.00017062
	25140620	11708403	11617135	9007498	8893145	46.5717	99.2205	77.5363	98.7305	0.000523681	0.000185245
	16461491	7734166	7678167	5800435	5721128	46.9834	99.276	75.5445	98.6327	0.000821226	0.000285414
	17904539	8535379	8480124	6671352	6591829	47.6716	99.3526	78.6705	98.808	0.000723192	0.000266254
	114231	96898	96271	83812	80577	84.8264	99.3529	87.0584	96.1402	0.105274	0.0742587
	111298	83924	83389	74142	72270	75.4048	99.3625	88.911	97.4751	0.104338	0.0677504
	4987778	4097864	4073917	3567961	3421201	82.1581	99.4156	87.5806	95.8867	0.00240144	0.00164719
	14738490	11649732	11568993	9906846	9551655	79.0429	99.3069	85.6327	96.4147	0.000827531	0.000536303
	9780050	7688945	7641240	6504764	6295853	78.6187	99.3796	85.1271	96.7883	0.00124874	0.000803868
	9607981	7769513	7723483	6550319	6330747	80.8652	99.4076	84.8104	96.6479	0.00127734	0.000841646
	9085360	7415964	7367776	6408049	6193758	81.6254	99.3502	86.974	96.6559	0.00131787	0.000898428
	7157891	5890277	5852541	5133690	4940052	82.2907	99.3594	87.7173	96.2281	0.00166579	0.00114965
	8839086	7229428	7182773	6152406	5923992	81.7893	99.3547	85.655	96.2874	0.00138065	0.000925314
	6728194	5505637	5468752	4845883	4677679	81.8293	99.3301	88.6104	96.5289	0.00174936	0.00121621
	4659128	3799232	3776535	3273498	3150868	81.5438	99.4026	86.6799	96.2539	0.00258798	0.00175019
	7402141	5937979	5897947	5112194	4933667	80.2197	99.3258	86.6775	96.5078	0.00162597	0.00108374
	8782577	7133865	7091609	6073261	5879824	81.2275	99.4077	85.6401	96.8149	0.00138146	0.000924871
	5530327	4621948	4587680	4100421	3947181	83.5746	99.2586	89.379	96.2628	0.00211732	0.00151121
	5674655	4616426	4589610	3976532	3846610	81.3517	99.4191	86.642	96.7328	0.00211489	0.0014336
	9182424	7257129	7210202	6248134	6021510	79.0328	99.3534	86.6569	96.3729	0.00131251	0.000860696
	7590702	6160104	6122846	5249410	5028132	81.1533	99.3952	85.7348	95.7847	0.00161399	0.00106911
	5519736	4483021	4451327	4006797	3853817	81.218	99.293	90.0135	96.182	0.00210747	0.00147141
	16614835	13084850	12998669	11044963	10636096	78.754	99.3414	84.97	96.2982	0.000740441	0.000473998
	6900588	5651141	5618020	4918917	4758489	81.8936	99.4139	87.5561	96.7386	0.001721	0.00118676
	7047781	5720817	5683733	4884678	4694511	81.1719	99.3518	85.9414	96.1069	0.00172908	0.00115174
	6624090	5445153	5406149	4625920	4451817	82.2023	99.2837	85.5677	96.2364	0.00184649	0.00124096
	10220218	8242436	8182581	6989537	6717232	80.6483	99.2738	85.4197	96.1041	0.00120062	0.000789105
	12521288	10328894	10260285	8890819	8598362	82.4907	99.3358	86.6527	96.7106	0.000959377	0.000658804
	2571672	2100834	2086369	1845780	1776836	81.6914	99.3115	88.4685	96.2648	0.00459758	0.00317659
	13495070	10596020	10526571	9027413	8675014	78.5177	99.3446	85.7583	96.0963	0.000905102	0.000581825
	6580462	5291288	5254900	4445595	4269822	80.4091	99.3123	84.599	96.0461	0.0018832	0.00122194
	3489866	2816974	2798624	2413995	2343055	80.7187	99.3486	86.2565	97.0613	0.00344502	0.00231295
	5264940	4299865	4271760	3668527	3510586	81.6698	99.3464	85.8786	95.6947	0.00232639	0.0015512
	4806096	3984451	3956175	3334664	3197716	82.9041	99.2903	84.2901	95.8932	0.0025926	0.00172498
	5580224	4500775	4473073	3882538	3750553	80.6558	99.3845	86.798	96.6005	0.0021505	0.00144539
	7649121	6277414	6237291	5357867	5184215	82.0671	99.3608	85.9005	96.7589	0.00158302	0.0010729
	11158742	8891955	8830956	7320024	7020372	79.686	99.314	82.8905	95.9064	0.00113507	0.000714113
	5907526	4765819	4733773	4121023	3976519	80.6737	99.3276	87.0558	96.4935	0.00202875	0.00136561
	2351305	1925769	1912056	1685750	1619192	81.9021	99.2879	88.1643	96.0517	0.00505821	0.00348326
	5501682	4478165	4443849	3837124	3687107	81.3963	99.2337	86.3469	96.0904	0.00220759	0.00147948
	7506703	5999781	5959958	5123275	4955277	79.9256	99.3363	85.9616	96.7209	0.00161294	0.00106472
	14374899	11582544	11512855	9840333	9532763	80.5748	99.3983	85.4726	96.8744	0.000845241	0.000560524
	15501293	12471092	12392491	10512137	10153703	80.4519	99.3697	84.8267	96.5903	0.00079234	0.000519001
	9158369	7509213	7463963	6294041	6038297	81.9929	99.3974	84.3257	95.9367	0.00135788	0.000895278
	11376428	9380135	9311478	7967892	7679920	82.4524	99.2681	85.5706	96.3858	0.00107361	0.000724765
	8940328	7283253	7239516	5936738	5707419	81.4652	99.3995	82.0046	96.1373	0.00142736	0.00091121
	9321627	7686564	7639576	6441762	6209369	82.4595	99.3887	84.3209	96.3924	0.00132799	0.000884604
	10816899	8791092	8726168	7537350	7271687	81.2718	99.2615	86.3764	96.4754	0.00111765	0.000751341
	4175212	3496480	3472179	2986587	2879203	83.7438	99.305	86.0148	96.4045	0.00290858	0.00200574
	3644141	2936641	2915219	2609559	2515882	80.5853	99.2705	89.515	96.4102	0.00320306	0.00221137
	4127841	3382049	3358909	2944898	2838381	81.9326	99.3158	87.6742	96.383	0.0028866	0.00198488
	10077750	8334712	8278543	7145975	6901214	82.7041	99.3261	86.3192	96.5748	0.0011984	0.00082066
	8154255	6597640	6556419	5866866	5669412	80.9104	99.3752	89.4828	96.6344	0.00142714	0.000992248
	7766905	6469591	6424443	5669252	5462238	83.2969	99.3022	88.245	96.3485	0.00152496	0.00107246
	10921704	8780755	8720642	7452039	7146735	80.3973	99.3154	85.4529	95.9031	0.00112495	0.000736124
	2769263	2296255	2279940	2016344	1937499	82.9194	99.2895	88.4385	96.0897	0.00427971	0.00299428
	5880731	4846426	4816302	4136185	3978778	82.412	99.3784	85.8789	96.1944	0.00207129	0.00140139
	7401195	5997081	5963082	5105574	4923688	81.0286	99.4331	85.6197	96.4375	0.00164569	0.0010948
	13652445	11038668	10974007	9173616	8819727	80.8549	99.4142	83.594	96.1423	0.000916751	0.000592238
	8918894	7406794	7355884	6347082	6123708	83.0461	99.3127	86.2858	96.4807	0.00135614	0.000931126
	9295227	7520279	7471943	6407771	6178047	80.9047	99.3573	85.7578	96.4149	0.00130955	0.00087039
	10570937	8532490	8484427	7249997	6989678	80.7165	99.4367	85.4506	96.4094	0.0011548	0.00076357
	11559461	9153395	9089393	7653216	7343164	79.1853	99.3008	84.1994	95.9487	0.00107835	0.000685026
	7928756	6580266	6533021	5538825	5312632	82.9924	99.282	84.782	95.9162	0.00156217	0.00104673
	6223183	4949753	4917510	4301511	4140709	79.5373	99.3486	87.4734	96.2617	0.00192086	0.00127808
	5537346	4558428	4531896	3973429	3806690	82.3215	99.418	87.677	95.8036	0.00216255	0.00148666
	10181715	8262934	8210986	7111776	6854338	81.1546	99.3713	86.6129	96.3801	0.00118399	0.000797062
	4554790	3735041	3711154	3232339	3093987	82.0025	99.3605	87.0979	95.7198	0.00265038	0.00180036
	12564310	10234054	10168669	8710835	8339304	81.4534	99.3611	85.6635	95.7348	0.000976741	0.000648292
	6902801	5664455	5628744	4697613	4500264	82.0602	99.3696	83.4576	95.799	0.00182345	0.0011888
	1146667	963952	957521	786830	761543	84.0656	99.3329	82.1737	96.7862	0.0110389	0.0073313
	307665	257905	256442	193157	188535	83.8266	99.4327	75.3219	97.6071	0.0444621	0.0272461
	4187782	3488976	3467637	3123924	3033460	83.3132	99.3884	90.088	97.1042	0.00274647	0.00198943
	7271594	6058498	6023313	5411096	5253980	83.3173	99.4192	89.8359	97.0964	0.00158579	0.00114579
	5642182	4704006	4677662	4203413	4069110	83.3721	99.44	89.8614	96.8049	0.0020489	0.00147766
	5679552	4663777	4633389	3961997	3813521	82.1152	99.3484	85.5097	96.2525	0.00215326	0.0014458
	4654536	3855051	3832094	3376754	3272100	82.8235	99.4045	88.1177	96.9008	0.0025312	0.00177941
	6094746	5022811	4990223	4457387	4308419	82.4121	99.3512	89.3224	96.658	0.00191282	0.00135218
	4931484	4072926	4047055	3611110	3481310	82.5903	99.3648	89.2281	96.4055	0.00237239	0.00167476
	4357142	3607415	3584669	3219420	3115511	82.7931	99.3695	89.8108	96.7724	0.00265745	0.00190017
	7358621	5990493	5954065	5236619	5071064	81.4078	99.3919	87.9503	96.8385	0.00160534	0.00110629
	6747225	5569597	5536173	4870537	4710017	82.5465	99.3999	87.9766	96.7043	0.00175257	0.00122341
	5962223	4912955	4887311	4434654	4310483	82.4014	99.478	90.7381	97.2	0.00191165	0.00138206
	4734454	3930412	3905066	3459883	3333252	83.0172	99.3551	88.5999	96.34	0.00249058	0.00175347
	11801704	9616125	9560353	8506861	8239750	81.4808	99.42	88.9806	96.8601	0.000988875	0.000690416
	12063547	9728955	9671610	8654470	8417630	80.6475	99.4106	89.4832	97.2634	0.000958078	0.000668522
	19976712	16200022	16106825	14469810	13982780	81.0945	99.4247	89.8365	96.6342	0.00057996	0.000405945
	5459807	4484687	4457442	4020201	3891541	82.14	99.3925	90.1908	96.7997	0.00211073	0.00150445
	6328085	5213892	5181297	4584276	4444629	82.3929	99.3748	88.4774	96.9538	0.00185376	0.00130202
	7240850	5941149	5905559	5289260	5137122	82.0504	99.401	89.5641	97.1236	0.00159721	0.00113316
	14659264	11876639	11810610	10617255	10323762	81.018	99.444	89.8959	97.2357	0.000784772	0.000552674
	6510116	5355395	5320786	4740182	4579837	82.2627	99.3538	89.088	96.6173	0.00179619	0.00126361
	20377801	16166650	16075627	14272167	13907095	79.3346	99.437	88.7814	97.4421	0.000570461	0.000389319
	11990499	9763273	9700493	8749840	8487181	81.4251	99.357	90.2	96.9981	0.000959389	0.00067908
	115291	101353	100741	86578	83298	87.9106	99.3962	85.9412	96.2115	0.105537	0.0762511
	3521236	2892802	2874445	2621061	2546289	82.153	99.3654	91.1849	97.1473	0.00322638	0.00233307
	7173728	5920493	5889524	5346572	5198653	82.5302	99.4769	90.7811	97.2334	0.00158753	0.00115045
	5545575	4639952	4613510	4122806	3984370	83.6694	99.4301	89.3638	96.6422	0.00209994	0.00150876
	8804956	7253133	7217643	6510804	6317235	82.3756	99.5107	90.2068	97.027	0.00130398	0.000935559
	7703299	6391204	6357233	5765884	5599592	82.9671	99.4685	90.698	97.1159	0.00148166	0.00107703
	5090163	4200129	4177969	3767115	3650178	82.5146	99.4724	90.1662	96.8958	0.00226056	0.00162106
	7556640	6218645	6184388	5599841	5424230	82.2938	99.4491	90.548	96.864	0.00151715	0.00108903
	7975082	6514770	6473733	5810069	5624021	81.6891	99.3701	89.7484	96.7978	0.0014525	0.0010243
	7181457	5922812	5890540	5300458	5129084	82.4737	99.4551	89.9825	96.7668	0.00160796	0.00114843
	7804297	6372420	6338025	5684252	5517442	81.6527	99.4603	89.6849	97.0654	0.0014799	0.00104625
	4699636	3892453	3869094	3428021	3297098	82.8246	99.3999	88.6001	96.1808	0.00251205	0.00176236
	10588911	8552277	8512433	7629565	7429159	80.7664	99.5341	89.6285	97.3733	0.00108715	0.000762745
