file 	#reads_raw	#reads_fp1	#reads_clmp	#reads_fp2	#reads_fqscrn	#reads_repr	%_readLoss_fp1	%_readLoss_clmp	%_readLoss_fp2	%_readLoss_fqscrn	%_readLoss_repr	%_total_readLoss
	6179176	3418549	3370923	1494639	1453962	44.6763	1.39316	55.6608	2.72153	99.9969	99.9993
	1663431	922127	908600	487387	475027	44.5648	1.46693	46.3585	2.53597	99.9906	99.9973
	3824582	2599720	2563857	537612	517103	32.026	1.37949	79.0311	3.81483	99.9938	99.9992
	1874676	1248900	1233272	307156	294691	33.3805	1.25134	75.0942	4.0582	99.9887	99.9982
	1692130	1139959	1122692	342703	331623	32.6317	1.5147	69.4749	3.23312	99.9902	99.9981
	163625	146242	111921	30926	29930	10.6237	23.4686	72.368	3.22059	99.9645	99.9935
	3477151	2137630	2109287	1029965	1001861	38.5235	1.32591	51.17	2.72864	99.9962	99.9989
	14769006	6678602	6616090	3602149	3502477	54.7796	0.936004	45.5547	2.76701	99.9984	99.9996
	25842168	11900768	11816700	8559964	8428451	53.9483	0.706408	27.5605	1.53637	99.9994	99.9998
	26118281	10312834	10237936	8312228	8215523	60.5149	0.72626	18.8095	1.16341	99.9993	99.9998
	20142614	9246930	9180311	6906696	6817140	54.0927	0.720445	24.7662	1.29665	99.9992	99.9997
	20440892	9264835	9186242	5627574	5497893	54.675	0.848294	38.7391	2.30439	99.999	99.9997
	19371502	8558989	8493894	6515726	6430139	55.8166	0.760545	23.2893	1.31355	99.9991	99.9997
	21397066	9671261	9599043	7517754	7422553	54.801	0.746728	21.6823	1.26635	99.9993	99.9997
	14414092	6650968	6592643	4277042	4189123	53.8579	0.87694	35.124	2.0556	99.9987	99.9996
	9981643	4823531	4786863	3521188	3446418	51.676	0.76019	26.4406	2.12343	99.9985	99.9995
	16774090	7521276	7467243	5390064	5309407	55.1613	0.718402	27.8172	1.4964	99.999	99.9997
	18561229	8890471	8829674	6947694	6868921	52.1019	0.683845	21.3143	1.1338	99.9992	99.9997
	22966866	9920661	9836196	6497908	6390928	56.8045	0.851405	33.9388	1.64638	99.9991	99.9998
	19836279	8887912	8814948	6587866	6502648	55.1937	0.820935	25.2648	1.29356	99.9992	99.9997
	24819702	10971325	10883013	8376979	8249857	55.7959	0.804935	23.027	1.51752	99.9993	99.9998
	20484894	7965280	7894687	5981986	5892540	61.1163	0.886259	24.2277	1.49526	99.999	99.9997
	19720296	8630634	8555333	6217016	6104426	56.2348	0.872485	27.3317	1.811	99.9991	99.9997
	19751093	9170569	9089119	6265606	6157707	53.5693	0.888167	31.0648	1.72208	99.9991	99.9997
	15590813	6944963	6890507	5503366	5428070	55.4548	0.784108	20.1312	1.36818	99.999	99.9996
	19377246	9049176	8986292	7108085	7017987	53.3	0.694914	20.9008	1.26754	99.9992	99.9997
	15155618	7401244	7348749	5331934	5245868	51.165	0.709273	27.4443	1.61416	99.999	99.9997
	12879731	6219696	6175807	4499640	4431265	51.7094	0.705645	27.1409	1.51957	99.9988	99.9996
	23567815	11190160	11113223	8446453	8296835	52.5193	0.687542	23.9964	1.77137	99.9994	99.9998
	27912421	12259346	12165929	9316482	9167644	56.0792	0.762006	23.4215	1.59758	99.9994	99.9998
	22437190	10495921	10422785	8365031	8251528	53.2209	0.696804	19.7428	1.35687	99.9994	99.9998
	20154984	8562085	8495611	6293229	6192074	57.5188	0.776376	25.9238	1.60736	99.9991	99.9997
	21818953	10306826	10228052	6937934	6804581	52.7621	0.76429	32.1676	1.92209	99.9992	99.9998
	17551780	8070216	8006012	5782235	5686635	54.0205	0.795567	27.7763	1.65334	99.9991	99.9997
	25030761	11480703	11391580	8593429	8470632	54.1336	0.776285	24.5633	1.42896	99.9994	99.9998
	23695551	11199669	11117285	8472656	8354311	52.7351	0.735593	23.7884	1.39679	99.9994	99.9998
	14709425	6250275	6205603	4904883	4839384	57.5084	0.714721	20.9604	1.33538	99.9988	99.9996
	18078931	8486589	8420893	5950344	5871907	53.0581	0.774115	29.3383	1.31819	99.9991	99.9997
	27744286	12653264	12563372	9391641	9252297	54.3933	0.710425	25.2459	1.4837	99.9994	99.9998
	23656381	9805657	9727288	7318552	7210018	58.5496	0.799222	24.7627	1.483	99.9992	99.9998
	24844533	11789460	11702421	8319162	8192892	52.5471	0.738278	28.9108	1.51782	99.9994	99.9998
	19522545	8688676	8625347	7059491	6971762	55.4941	0.728868	18.1541	1.24271	99.9992	99.9997
	17856898	8747095	8685141	6619538	6528767	51.0156	0.708281	23.7832	1.37126	99.9992	99.9997
	21301913	9865985	9795771	7612988	7486008	53.685	0.711678	22.2829	1.66794	99.9993	99.9997
	25064133	10718529	10634991	8443185	8325666	57.2356	0.779379	20.6094	1.39188	99.9993	99.9998
	25140620	11708403	11617135	9007498	8893145	53.4283	0.779509	22.4637	1.26953	99.9994	99.9998
	16461491	7734166	7678167	5800435	5721128	53.0166	0.724047	24.4555	1.36726	99.9991	99.9997
	17904539	8535379	8480124	6671352	6591829	52.3284	0.647364	21.3295	1.19201	99.9992	99.9997
	114231	96898	96271	83812	80577	15.1736	0.647072	12.9416	3.85983	99.9812	99.9867
	111298	83924	83389	74142	72270	24.5952	0.637482	11.089	2.52488	99.966	99.9779
	4987778	4097864	4073917	3567961	3421201	17.8419	0.584378	12.4194	4.11327	99.9995	99.9996
	14738490	11649732	11568993	9906846	9551655	20.9571	0.693055	14.3673	3.58531	99.9998	99.9999
	9780050	7688945	7641240	6504764	6295853	21.3813	0.620436	14.8729	3.21166	99.9997	99.9998
	9607981	7769513	7723483	6550319	6330747	19.1348	0.592444	15.1896	3.35208	99.9997	99.9998
	9085360	7415964	7367776	6408049	6193758	18.3746	0.649787	13.026	3.34409	99.9997	99.9998
	7157891	5890277	5852541	5133690	4940052	17.7093	0.640649	12.2827	3.77191	99.9996	99.9998
	8839086	7229428	7182773	6152406	5923992	18.2107	0.645348	14.345	3.7126	99.9997	99.9998
	6728194	5505637	5468752	4845883	4677679	18.1707	0.66995	11.3896	3.47107	99.9996	99.9997
	4659128	3799232	3776535	3273498	3150868	18.4562	0.59741	13.3201	3.74615	99.9994	99.9996
	7402141	5937979	5897947	5112194	4933667	19.7803	0.674169	13.3225	3.49218	99.9996	99.9997
	8782577	7133865	7091609	6073261	5879824	18.7725	0.59233	14.3599	3.18506	99.9997	99.9998
	5530327	4621948	4587680	4100421	3947181	16.4254	0.741419	10.621	3.73718	99.9996	99.9997
	5674655	4616426	4589610	3976532	3846610	18.6483	0.580882	13.358	3.26722	99.9995	99.9997
	9182424	7257129	7210202	6248134	6021510	20.9672	0.646633	13.3431	3.62707	99.9997	99.9998
	7590702	6160104	6122846	5249410	5028132	18.8467	0.604827	14.2652	4.21529	99.9996	99.9998
	5519736	4483021	4451327	4006797	3853817	18.782	0.706979	9.98646	3.81801	99.9995	99.9997
	16614835	13084850	12998669	11044963	10636096	21.246	0.658632	15.03	3.70184	99.9998	99.9999
	6900588	5651141	5618020	4918917	4758489	18.1064	0.586094	12.4439	3.26145	99.9996	99.9997
	7047781	5720817	5683733	4884678	4694511	18.8281	0.648229	14.0586	3.89313	99.9996	99.9997
	6624090	5445153	5406149	4625920	4451817	17.7977	0.716307	14.4323	3.76364	99.9996	99.9997
	10220218	8242436	8182581	6989537	6717232	19.3517	0.726181	14.5803	3.89589	99.9997	99.9998
	12521288	10328894	10260285	8890819	8598362	17.5093	0.664243	13.3473	3.28943	99.9998	99.9999
	2571672	2100834	2086369	1845780	1776836	18.3086	0.688536	11.5315	3.73522	99.999	99.9993
	13495070	10596020	10526571	9027413	8675014	21.4823	0.655425	14.2417	3.90365	99.9998	99.9998
	6580462	5291288	5254900	4445595	4269822	19.5909	0.687696	15.401	3.95387	99.9995	99.9997
	3489866	2816974	2798624	2413995	2343055	19.2813	0.651408	13.7435	2.9387	99.9992	99.9994
	5264940	4299865	4271760	3668527	3510586	18.3302	0.653625	14.1214	4.3053	99.9995	99.9997
	4806096	3984451	3956175	3334664	3197716	17.0959	0.709659	15.7099	4.1068	99.9995	99.9996
	5580224	4500775	4473073	3882538	3750553	19.3442	0.615494	13.202	3.39945	99.9995	99.9997
	7649121	6277414	6237291	5357867	5184215	17.9329	0.639164	14.0995	3.24107	99.9997	99.9998
	11158742	8891955	8830956	7320024	7020372	20.314	0.686002	17.1095	4.09359	99.9997	99.9998
	5907526	4765819	4733773	4121023	3976519	19.3263	0.672413	12.9442	3.50651	99.9995	99.9997
	2351305	1925769	1912056	1685750	1619192	18.0979	0.712079	11.8357	3.94827	99.9989	99.9992
	5501682	4478165	4443849	3837124	3687107	18.6037	0.766296	13.6531	3.90962	99.9995	99.9997
	7506703	5999781	5959958	5123275	4955277	20.0744	0.663741	14.0384	3.27911	99.9996	99.9997
	14374899	11582544	11512855	9840333	9532763	19.4252	0.601673	14.5274	3.12561	99.9998	99.9999
	15501293	12471092	12392491	10512137	10153703	19.5481	0.630266	15.1733	3.40972	99.9998	99.9999
	9158369	7509213	7463963	6294041	6038297	18.0071	0.602593	15.6743	4.06327	99.9997	99.9998
	11376428	9380135	9311478	7967892	7679920	17.5476	0.73194	14.4294	3.61416	99.9998	99.9998
	8940328	7283253	7239516	5936738	5707419	18.5348	0.600515	17.9954	3.86271	99.9997	99.9998
	9321627	7686564	7639576	6441762	6209369	17.5405	0.6113	15.6791	3.6076	99.9997	99.9998
	10816899	8791092	8726168	7537350	7271687	18.7282	0.73852	13.6236	3.52462	99.9997	99.9998
	4175212	3496480	3472179	2986587	2879203	16.2562	0.695013	13.9852	3.59554	99.9994	99.9996
	3644141	2936641	2915219	2609559	2515882	19.4147	0.729473	10.485	3.58976	99.9992	99.9995
	4127841	3382049	3358909	2944898	2838381	18.0674	0.684201	12.3258	3.617	99.9994	99.9996
	10077750	8334712	8278543	7145975	6901214	17.2959	0.673917	13.6808	3.42516	99.9997	99.9998
	8154255	6597640	6556419	5866866	5669412	19.0896	0.624784	10.5172	3.36558	99.9997	99.9998
	7766905	6469591	6424443	5669252	5462238	16.7031	0.697849	11.755	3.65152	99.9997	99.9998
	10921704	8780755	8720642	7452039	7146735	19.6027	0.684599	14.5471	4.09692	99.9997	99.9998
	2769263	2296255	2279940	2016344	1937499	17.0806	0.710505	11.5615	3.9103	99.9991	99.9994
	5880731	4846426	4816302	4136185	3978778	17.588	0.621571	14.1211	3.80561	99.9996	99.9997
	7401195	5997081	5963082	5105574	4923688	18.9714	0.566926	14.3803	3.5625	99.9996	99.9997
	13652445	11038668	10974007	9173616	8819727	19.1451	0.585768	16.406	3.85768	99.9998	99.9999
	8918894	7406794	7355884	6347082	6123708	16.9539	0.687342	13.7142	3.51932	99.9997	99.9998
	9295227	7520279	7471943	6407771	6178047	19.0953	0.642742	14.2422	3.58508	99.9997	99.9998
	10570937	8532490	8484427	7249997	6989678	19.2835	0.563294	14.5494	3.59061	99.9997	99.9998
	11559461	9153395	9089393	7653216	7343164	20.8147	0.699216	15.8006	4.05126	99.9997	99.9998
	7928756	6580266	6533021	5538825	5312632	17.0076	0.71798	15.218	4.08377	99.9997	99.9998
	6223183	4949753	4917510	4301511	4140709	20.4627	0.651406	12.5266	3.73827	99.9995	99.9997
	5537346	4558428	4531896	3973429	3806690	17.6785	0.582043	12.323	4.19635	99.9995	99.9997
	10181715	8262934	8210986	7111776	6854338	18.8454	0.628687	13.3871	3.61988	99.9997	99.9998
	4554790	3735041	3711154	3232339	3093987	17.9975	0.639538	12.9021	4.28024	99.9994	99.9996
	12564310	10234054	10168669	8710835	8339304	18.5466	0.638896	14.3365	4.26516	99.9998	99.9999
	6902801	5664455	5628744	4697613	4500264	17.9398	0.63044	16.5424	4.20105	99.9996	99.9997
	1146667	963952	957521	786830	761543	15.9344	0.667149	17.8263	3.21378	99.9979	99.9986
	307665	257905	256442	193157	188535	16.1734	0.567263	24.6781	2.39287	99.9914	99.9947
	4187782	3488976	3467637	3123924	3033460	16.6868	0.611612	9.91202	2.89585	99.9994	99.9996
	7271594	6058498	6023313	5411096	5253980	16.6827	0.580755	10.1641	2.90359	99.9997	99.9998
	5642182	4704006	4677662	4203413	4069110	16.6279	0.560033	10.1386	3.19509	99.9996	99.9997
	5679552	4663777	4633389	3961997	3813521	17.8848	0.651575	14.4903	3.7475	99.9995	99.9997
	4654536	3855051	3832094	3376754	3272100	17.1765	0.595504	11.8823	3.09925	99.9995	99.9996
	6094746	5022811	4990223	4457387	4308419	17.5879	0.6488	10.6776	3.34205	99.9996	99.9997
	4931484	4072926	4047055	3611110	3481310	17.4097	0.635194	10.7719	3.59446	99.9995	99.9996
	4357142	3607415	3584669	3219420	3115511	17.2069	0.630535	10.1892	3.22757	99.9994	99.9996
	7358621	5990493	5954065	5236619	5071064	18.5922	0.608097	12.0497	3.16149	99.9996	99.9997
	6747225	5569597	5536173	4870537	4710017	17.4535	0.600115	12.0234	3.29574	99.9996	99.9997
	5962223	4912955	4887311	4434654	4310483	17.5986	0.521967	9.26188	2.80002	99.9996	99.9997
	4734454	3930412	3905066	3459883	3333252	16.9828	0.644869	11.4001	3.65998	99.9995	99.9996
	11801704	9616125	9560353	8506861	8239750	18.5192	0.579984	11.0194	3.13995	99.9998	99.9998
	12063547	9728955	9671610	8654470	8417630	19.3525	0.589426	10.5168	2.73662	99.9998	99.9998
	19976712	16200022	16106825	14469810	13982780	18.9055	0.575289	10.1635	3.36584	99.9999	99.9999
	5459807	4484687	4457442	4020201	3891541	17.86	0.607512	9.80924	3.20034	99.9995	99.9997
	6328085	5213892	5181297	4584276	4444629	17.6071	0.625157	11.5226	3.04622	99.9996	99.9997
	7240850	5941149	5905559	5289260	5137122	17.9496	0.599042	10.4359	2.87636	99.9997	99.9998
	14659264	11876639	11810610	10617255	10323762	18.982	0.555957	10.1041	2.7643	99.9998	99.9999
	6510116	5355395	5320786	4740182	4579837	17.7373	0.646246	10.912	3.38268	99.9996	99.9997
	20377801	16166650	16075627	14272167	13907095	20.6654	0.563029	11.2186	2.55793	99.9999	99.9999
	11990499	9763273	9700493	8749840	8487181	18.5749	0.643022	9.80005	3.00187	99.9998	99.9998
	115291	101353	100741	86578	83298	12.0894	0.60383	14.0588	3.78849	99.9855	99.9895
	3521236	2892802	2874445	2621061	2546289	17.847	0.634575	8.81506	2.85274	99.9993	99.9995
	7173728	5920493	5889524	5346572	5198653	17.4698	0.523081	9.21895	2.76661	99.9997	99.9998
	5545575	4639952	4613510	4122806	3984370	16.3306	0.569877	10.6362	3.35781	99.9996	99.9997
	8804956	7253133	7217643	6510804	6317235	17.6244	0.489306	9.79321	2.97304	99.9997	99.9998
	7703299	6391204	6357233	5765884	5599592	17.0329	0.531527	9.30199	2.88407	99.9997	99.9998
	5090163	4200129	4177969	3767115	3650178	17.4854	0.527603	9.83382	3.10415	99.9995	99.9997
	7556640	6218645	6184388	5599841	5424230	17.7062	0.550876	9.45198	3.136	99.9997	99.9998
	7975082	6514770	6473733	5810069	5624021	18.3109	0.629907	10.2516	3.20217	99.9997	99.9998
	7181457	5922812	5890540	5300458	5129084	17.5263	0.544876	10.0175	3.23319	99.9997	99.9998
	7804297	6372420	6338025	5684252	5517442	18.3473	0.539748	10.3151	2.9346	99.9997	99.9998
	4699636	3892453	3869094	3428021	3297098	17.1754	0.60011	11.3999	3.8192	99.9995	99.9996
	10588911	8552277	8512433	7629565	7429159	19.2336	0.465888	10.3715	2.6267	99.9997	99.9998
	6464977	5288031	5259902	4711593	4558068	18.205	0.531937	10.4243	3.25845	99.9996	99.9997
	9363774	7600632	7560057	6724839	6496454	18.8294	0.533837	11.0478	3.39614	99.9997	99.9998
	6536461	5312809	5285122	4765748	4630423	18.7204	0.521137	9.8271	2.83953	99.9996	99.9997
	15269179	12400521	12338474	11104023	10788332	18.7872	0.500358	10.0049	2.84303	99.9998	99.9999
	6018483	4866079	4838279	4315177	4166330	19.1477	0.571302	10.8117	3.44938	99.9995	99.9997
	7418090	5880371	5843038	5174993	5008083	20.7293	0.634875	11.4332	3.22532	99.9996	99.9997
	6628517	5269778	5237777	4686743	4542617	20.4984	0.607255	10.5204	3.07518	99.9995	99.9997
	7905238	6328134	6292451	5575435	5384909	19.9501	0.563879	11.3949	3.41724	99.9996	99.9997
	5469028	4380691	4353129	3849866	3713891	19.9	0.62917	11.5609	3.53194	99.9995	99.9996
	9352629	7404731	7362273	6574303	6369683	20.8273	0.57339	10.7028	3.11242	99.9997	99.9998
	10732138	8492048	8437378	7585845	7339305	20.8727	0.643779	10.0924	3.25	99.9997	99.9998
	6547104	5312873	5285329	4782755	4640359	18.8516	0.518439	9.50885	2.97728	99.9996	99.9997
