Sample	Protists_1k	Human	Bacteria_24k	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	nt	Ecoli	Contamnts_Adaptrs	Multiple Genomes	No hits
Sgr-AJol_010-Ex1-cssl.clmp.fp2_r1_screen	31077.0	2356.0	5765.0	1746.0	774.0	668.0	362.0	183.0	4.0	nan	0.0	0.0	701160.0	2481283.0
Sgr-AJol_010-Ex1-cssl.clmp.fp2_r2_screen	31402.0	2424.0	5830.0	1788.0	704.0	686.0	391.0	184.0	5.0	nan	0.0	0.0	701004.0	2480960.0
Sgr-AJol_011-Ex1-cssl.clmp.fp2_r1_screen	17630.0	1213.0	5709.0	1001.0	423.0	349.0	173.0	75.0	1.0	nan	0.0	0.0	598003.0	1088468.0
Sgr-AJol_011-Ex1-cssl.clmp.fp2_r2_screen	17820.0	1297.0	5661.0	959.0	411.0	368.0	175.0	71.0	3.0	nan	0.0	0.0	596955.0	1089325.0
Sgr-AJol_012-Ex1-cssl.clmp.fp2_r1_screen	41114.0	3112.0	9111.0	2188.0	922.0	820.0	380.0	166.0	15.0	nan	0.0	0.0	1554544.0	2536809.0
Sgr-AJol_012-Ex1-cssl.clmp.fp2_r2_screen	41802.0	3090.0	9137.0	2245.0	933.0	841.0	397.0	189.0	7.0	nan	0.0	0.0	1552486.0	2538054.0
Sgr-AJol_013-Ex1-cssl.clmp.fp2_r1_screen	66665.0	5168.0	28118.0	3866.0	1489.0	1304.0	625.0	699.0	21.0	nan	0.0	0.0	1257989.0	5682266.0
Sgr-AJol_013-Ex1-cssl.clmp.fp2_r2_screen	67344.0	5048.0	28031.0	3751.0	1524.0	1288.0	630.0	700.0	9.0	nan	0.0	0.0	1256209.0	5683676.0
Sgr-AJol_014-Ex1-cssl.clmp.fp2_r1_screen	71198.0	5479.0	25162.0	4110.0	1634.0	1547.0	760.0	431.0	14.0	nan	0.0	0.0	1624952.0	6339571.0
Sgr-AJol_014-Ex1-cssl.clmp.fp2_r2_screen	71923.0	5469.0	25262.0	4163.0	1710.0	1550.0	768.0	454.0	15.0	nan	0.0	0.0	1623166.0	6340378.0
Sgr-AJol_015-Ex1-cssl.clmp.fp2_r1_screen	51524.0	4009.0	15786.0	3030.0	1153.0	1069.0	516.0	184.0	3.0	nan	0.0	0.0	1175116.0	4169211.0
Sgr-AJol_015-Ex1-cssl.clmp.fp2_r2_screen	52057.0	4099.0	15728.0	3012.0	1208.0	1111.0	529.0	195.0	6.0	nan	0.0	0.0	1173903.0	4169753.0
Sgr-AJol_016-Ex1-cssl.clmp.fp2_r1_screen	69850.0	5986.0	9365.0	3885.0	1614.0	1569.0	732.0	250.0	10.0	nan	0.0	0.0	1647613.0	5689231.0
Sgr-AJol_016-Ex1-cssl.clmp.fp2_r2_screen	70417.0	6062.0	9307.0	3915.0	1583.0	1463.0	693.0	233.0	12.0	nan	0.0	0.0	1645703.0	5690717.0
Sgr-AJol_017-Ex1-cssl.clmp.fp2_r1_screen	78231.0	6076.0	22610.0	4057.0	1639.0	1540.0	734.0	271.0	36.0	nan	0.0	0.0	2806265.0	5071587.0
Sgr-AJol_017-Ex1-cssl.clmp.fp2_r2_screen	78899.0	6098.0	22454.0	3857.0	1719.0	1590.0	729.0	283.0	16.0	nan	0.0	0.0	2802617.0	5074784.0
Sgr-AJol_018-Ex1-cssl.clmp.fp2_r1_screen	0.0	1075580.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	nan	0.0	0.0	261.0	4589458.0
Sgr-AJol_018-Ex1-cssl.clmp.fp2_r2_screen	52694.0	3745.0	15183.0	2744.0	1240.0	971.0	530.0	184.0	9.0	nan	0.0	0.0	1993367.0	3594632.0
Sgr-AJol_020-Ex1-cssl.clmp.fp2_r1_screen	37675.0	3267.0	19714.0	1888.0	981.0	714.0	319.0	137.0	5.0	nan	0.0	0.0	1655849.0	2348865.0
Sgr-AJol_020-Ex1-cssl.clmp.fp2_r2_screen	38347.0	3296.0	19577.0	1917.0	941.0	697.0	352.0	151.0	8.0	nan	0.0	0.0	1654449.0	2349679.0
Sgr-AJol_021-Ex1-cssl.clmp.fp2_r1_screen	35573.0	2621.0	9280.0	1849.0	859.0	726.0	383.0	177.0	6.0	nan	0.0	0.0	1022928.0	2336398.0
Sgr-AJol_021-Ex1-cssl.clmp.fp2_r2_screen	35849.0	2553.0	9211.0	1886.0	801.0	676.0	326.0	160.0	4.0	nan	0.0	0.0	1021913.0	2337421.0
Sgr-AJol_022-Ex1-cssl.clmp.fp2_r1_screen	24575.0	1909.0	8740.0	1307.0	570.0	484.0	285.0	141.0	6.0	nan	0.0	0.0	1140764.0	1619178.0
Sgr-AJol_022-Ex1-cssl.clmp.fp2_r2_screen	24863.0	1877.0	8644.0	1230.0	549.0	515.0	273.0	128.0	5.0	nan	0.0	0.0	1139018.0	1620857.0
Sgr-AJol_023-Ex1-cssl.clmp.fp2_r1_screen	34395.0	2735.0	4903.0	1747.0	765.0	720.0	380.0	115.0	3.0	nan	0.0	0.0	980816.0	2295683.0
Sgr-AJol_023-Ex1-cssl.clmp.fp2_r2_screen	34678.0	2622.0	4774.0	1893.0	765.0	758.0	342.0	107.0	7.0	nan	0.0	0.0	979305.0	2297011.0
Sgr-AJol_024-Ex1-cssl.clmp.fp2_r1_screen	35479.0	2762.0	13828.0	2253.0	825.0	693.0	419.0	472.0	28.0	nan	0.0	0.0	939865.0	2748672.0
Sgr-AJol_024-Ex1-cssl.clmp.fp2_r2_screen	36025.0	2719.0	13795.0	2222.0	769.0	730.0	420.0	484.0	3.0	nan	0.0	0.0	938333.0	2749796.0
Sgr-AJol_025-Ex1-cssl.clmp.fp2_r1_screen	83466.0	6366.0	14956.0	4801.0	1943.0	1801.0	752.0	392.0	25.0	nan	0.0	0.0	1609624.0	6404706.0
Sgr-AJol_025-Ex1-cssl.clmp.fp2_r2_screen	84649.0	6414.0	15002.0	4639.0	1899.0	1772.0	854.0	399.0	20.0	nan	0.0	0.0	1606852.0	6406332.0
Sgr-AJol_026-Ex1-cssl.clmp.fp2_r1_screen	89970.0	7052.0	12784.0	5323.0	2139.0	1985.0	927.0	340.0	13.0	nan	0.0	0.0	1954893.0	7198147.0
Sgr-AJol_026-Ex1-cssl.clmp.fp2_r2_screen	91393.0	7079.0	12618.0	5417.0	2098.0	2071.0	930.0	365.0	10.0	nan	0.0	0.0	1953445.0	7198147.0
Sgr-AJol_027-Ex1-cssl.clmp.fp2_r1_screen	79996.0	5964.0	15258.0	4276.0	1696.0	1675.0	795.0	347.0	24.0	nan	0.0	0.0	3190659.0	4720427.0
Sgr-AJol_027-Ex1-cssl.clmp.fp2_r2_screen	81572.0	5806.0	15243.0	4256.0	1741.0	1659.0	757.0	311.0	23.0	nan	0.0	0.0	3186916.0	4722833.0
Sgr-AJol_028-Ex1-cssl.clmp.fp2_r1_screen	78472.0	7099.0	11529.0	4514.0	1872.0	1647.0	829.0	288.0	5.0	nan	0.0	0.0	1684215.0	6100536.0
Sgr-AJol_028-Ex1-cssl.clmp.fp2_r2_screen	79511.0	7135.0	11590.0	4540.0	1879.0	1664.0	802.0	338.0	14.0	nan	0.0	0.0	1682208.0	6101325.0
Sgr-AJol_029-Ex1-cssl.clmp.fp2_r1_screen	83798.0	6282.0	14801.0	4468.0	1949.0	1582.0	714.0	303.0	56.0	nan	0.0	0.0	2995946.0	4725573.0
Sgr-AJol_029-Ex1-cssl.clmp.fp2_r2_screen	84717.0	6214.0	14757.0	4474.0	1919.0	1609.0	761.0	316.0	13.0	nan	0.0	0.0	2991985.0	4728707.0
Sgr-AJol_030-Ex1-cssl.clmp.fp2_r1_screen	100704.0	7325.0	22488.0	5368.0	2075.0	2177.0	976.0	377.0	109.0	nan	0.0	0.0	3776365.0	6164288.0
Sgr-AJol_030-Ex1-cssl.clmp.fp2_r2_screen	103021.0	7300.0	22467.0	5355.0	2122.0	2155.0	1060.0	355.0	20.0	nan	0.0	0.0	3771084.0	6167313.0
Sgr-AJol_031-Ex1-cssl.clmp.fp2_r1_screen	99660.0	7427.0	23029.0	5228.0	2258.0	2108.0	882.0	323.0	13.0	nan	0.0	0.0	3976431.0	5595684.0
Sgr-AJol_031-Ex1-cssl.clmp.fp2_r2_screen	101109.0	7610.0	22923.0	5255.0	2193.0	2057.0	952.0	360.0	19.0	nan	0.0	0.0	3972939.0	5597626.0
Sgr-AJol_032-Ex1-cssl.clmp.fp2_r1_screen	70636.0	5087.0	20574.0	3580.0	1611.0	1383.0	611.0	374.0	5.0	nan	0.0	0.0	2020399.0	4326574.0
Sgr-AJol_032-Ex1-cssl.clmp.fp2_r2_screen	70909.0	5098.0	20330.0	3534.0	1566.0	1409.0	671.0	368.0	8.0	nan	0.0	0.0	2017142.0	4329799.0
Sgr-AJol_034-Ex1-cssl.clmp.fp2_r1_screen	69530.0	5287.0	9767.0	3849.0	1611.0	1513.0	694.0	238.0	12.0	nan	0.0	0.0	2005365.0	4217203.0
Sgr-AJol_034-Ex1-cssl.clmp.fp2_r2_screen	70565.0	5111.0	9835.0	3733.0	1619.0	1483.0	712.0	206.0	16.0	nan	0.0	0.0	2003323.0	4218466.0
Sgr-AJol_035-Ex1-cssl.clmp.fp2_r1_screen	73624.0	5279.0	15621.0	3897.0	1632.0	1448.0	747.0	328.0	13.0	nan	0.0	0.0	2697936.0	4206042.0
Sgr-AJol_035-Ex1-cssl.clmp.fp2_r2_screen	73896.0	5284.0	15520.0	3831.0	1670.0	1418.0	753.0	287.0	11.0	nan	0.0	0.0	2695053.0	4208844.0
Sgr-AJol_036-Ex1-cssl.clmp.fp2_r1_screen	20967.0	1559.0	3665.0	1183.0	428.0	399.0	242.0	99.0	9.0	nan	0.0	0.0	1047003.0	1216759.0
Sgr-AJol_036-Ex1-cssl.clmp.fp2_r2_screen	21537.0	1543.0	3613.0	1149.0	401.0	412.0	210.0	77.0	3.0	nan	0.0	0.0	1045692.0	1217676.0
Sgr-AJol_037-Ex1-cssl.clmp.fp2_r1_screen	72760.0	5584.0	8283.0	4183.0	1657.0	1611.0	730.0	232.0	14.0	nan	0.0	0.0	1433672.0	5895877.0
Sgr-AJol_037-Ex1-cssl.clmp.fp2_r2_screen	73068.0	5699.0	8315.0	3990.0	1691.0	1600.0	781.0	267.0	10.0	nan	0.0	0.0	1431820.0	5897362.0
Sgr-AJol_038-Ex1-cssl.clmp.fp2_r1_screen	61254.0	4756.0	14940.0	3322.0	1424.0	1309.0	585.0	221.0	8.0	nan	0.0	0.0	2097567.0	4189719.0
Sgr-AJol_038-Ex1-cssl.clmp.fp2_r2_screen	62408.0	4822.0	14860.0	3345.0	1345.0	1269.0	647.0	212.0	8.0	nan	0.0	0.0	2095195.0	4190994.0
Sgr-AJol_039-Ex1-cssl.clmp.fp2_r1_screen	107669.0	8493.0	11764.0	6263.0	2409.0	2457.0	1060.0	362.0	16.0	nan	0.0	0.0	2055224.0	8295046.0
Sgr-AJol_039-Ex1-cssl.clmp.fp2_r2_screen	108683.0	8508.0	11831.0	6100.0	2386.0	2394.0	1171.0	410.0	12.0	nan	0.0	0.0	2053173.0	8296095.0
Sgr-AJol_041-Ex1-cssl.clmp.fp2_r1_screen	79162.0	6277.0	10779.0	4425.0	1925.0	1739.0	829.0	265.0	33.0	nan	0.0	0.0	2000400.0	5937838.0
Sgr-AJol_041-Ex1-cssl.clmp.fp2_r2_screen	79434.0	6111.0	10649.0	4313.0	1874.0	1774.0	826.0	291.0	18.0	nan	0.0	0.0	1997326.0	5941056.0
Sgr-AJol_042-Ex1-cssl.clmp.fp2_r1_screen	105002.0	7895.0	22195.0	5349.0	2356.0	2243.0	1044.0	388.0	80.0	nan	0.0	0.0	3869650.0	6046944.0
Sgr-AJol_042-Ex1-cssl.clmp.fp2_r2_screen	106434.0	7831.0	22020.0	5437.0	2163.0	2247.0	1058.0	369.0	24.0	nan	0.0	0.0	3865600.0	6049963.0
Sgr-AJol_043-Ex1-cssl.clmp.fp2_r1_screen	126735.0	9927.0	29034.0	6802.0	3076.0	2791.0	1365.0	535.0	39.0	nan	0.0	0.0	4279811.0	7759377.0
Sgr-AJol_043-Ex1-cssl.clmp.fp2_r2_screen	129081.0	10038.0	28736.0	6741.0	3098.0	2757.0	1398.0	493.0	21.0	nan	0.0	0.0	4274086.0	7763043.0
Sgr-AJol_044-Ex1-cssl.clmp.fp2_r1_screen	78628.0	6393.0	20550.0	4197.0	1880.0	1536.0	856.0	357.0	16.0	nan	0.0	0.0	2609136.0	4985335.0
Sgr-AJol_044-Ex1-cssl.clmp.fp2_r2_screen	79926.0	6098.0	20500.0	4192.0	1851.0	1633.0	824.0	353.0	19.0	nan	0.0	0.0	2604299.0	4989189.0
Sgr-AJol_045-Ex1-cssl.clmp.fp2_r1_screen	61739.0	4536.0	14262.0	3305.0	1446.0	1217.0	583.0	296.0	6.0	nan	0.0	0.0	2113282.0	3593618.0
Sgr-AJol_045-Ex1-cssl.clmp.fp2_r2_screen	62630.0	4491.0	14118.0	3267.0	1338.0	1214.0	581.0	270.0	13.0	nan	0.0	0.0	2109273.0	3597095.0
Sgr-AJol_046-Ex1-cssl.clmp.fp2_r1_screen	79338.0	6385.0	36554.0	3786.0	1661.0	1584.0	696.0	257.0	8.0	nan	0.0	0.0	3491367.0	4367853.0
Sgr-AJol_046-Ex1-cssl.clmp.fp2_r2_screen	80993.0	6486.0	36355.0	3717.0	1675.0	1530.0	629.0	271.0	11.0	nan	0.0	0.0	3485974.0	4371848.0
Sgr-AJol_047-Ex1-cssl.clmp.fp2_r1_screen	86603.0	6829.0	16560.0	4769.0	1927.0	1819.0	845.0	313.0	7.0	nan	0.0	0.0	2569917.0	5616737.0
Sgr-AJol_047-Ex1-cssl.clmp.fp2_r2_screen	87894.0	6782.0	16496.0	4517.0	1878.0	1733.0	842.0	291.0	18.0	nan	0.0	0.0	2565815.0	5620060.0
Sgr-AJol_048-Ex1-cssl.clmp.fp2_r1_screen	109916.0	7939.0	23336.0	5828.0	2392.0	2396.0	1193.0	495.0	64.0	nan	0.0	0.0	3794233.0	7009166.0
Sgr-AJol_048-Ex1-cssl.clmp.fp2_r2_screen	111950.0	7905.0	23197.0	5828.0	2497.0	2308.0	1159.0	496.0	13.0	nan	0.0	0.0	3788057.0	7013548.0
Sgr-AJol_049-Ex1-cssl.clmp.fp2_r1_screen	98464.0	7909.0	4883.0	5333.0	2196.0	2257.0	925.0	327.0	31.0	nan	0.0	0.0	1868633.0	7079462.0
Sgr-AJol_049-Ex1-cssl.clmp.fp2_r2_screen	99385.0	7900.0	4878.0	5153.0	2121.0	2365.0	889.0	328.0	17.0	nan	0.0	0.0	1866108.0	7081276.0
Sgr-AJol_050-Ex1-cssl.clmp.fp2_r1_screen	94297.0	7703.0	28374.0	5210.0	1943.0	2060.0	869.0	402.0	13.0	nan	0.0	0.0	3375579.0	5553576.0
Sgr-AJol_050-Ex1-cssl.clmp.fp2_r2_screen	97327.0	7731.0	28135.0	5291.0	1846.0	2046.0	801.0	384.0	21.0	nan	0.0	0.0	3370147.0	5556297.0
Sgr-AJol_051-Ex1-cssl.clmp.fp2_r1_screen	146328.0	11480.0	19681.0	7837.0	2984.0	3070.0	1292.0	460.0	11.0	nan	0.0	0.0	3067055.0	9565128.0
Sgr-AJol_051-Ex1-cssl.clmp.fp2_r2_screen	147970.0	11440.0	19845.0	7875.0	3001.0	3199.0	1302.0	471.0	14.0	nan	0.0	0.0	3062516.0	9567693.0
Sgr-AJol_052-Ex1-cssl.clmp.fp2_r1_screen	111552.0	9989.0	16691.0	6228.0	2390.0	2462.0	995.0	703.0	10.0	nan	0.0	0.0	2006028.0	8617416.0
Sgr-AJol_052-Ex1-cssl.clmp.fp2_r2_screen	111926.0	10053.0	16523.0	6060.0	2383.0	2457.0	1090.0	696.0	8.0	nan	0.0	0.0	2003697.0	8619571.0
Sgr-AJol_053-Ex1-cssl.clmp.fp2_r1_screen	102103.0	7537.0	17256.0	5508.0	2363.0	2217.0	1012.0	606.0	72.0	nan	0.0	0.0	3854813.0	6137123.0
Sgr-AJol_053-Ex1-cssl.clmp.fp2_r2_screen	104148.0	7577.0	17309.0	5382.0	2387.0	2185.0	1061.0	598.0	14.0	nan	0.0	0.0	3848774.0	6141175.0
Sgr-AJol_054-Ex1-cssl.clmp.fp2_r1_screen	114254.0	7884.0	61659.0	5747.0	2355.0	2304.0	1017.0	740.0	79.0	nan	0.0	0.0	4510100.0	5996928.0
Sgr-AJol_054-Ex1-cssl.clmp.fp2_r2_screen	116791.0	7889.0	61443.0	5703.0	2104.0	2249.0	1057.0	777.0	16.0	nan	0.0	0.0	4502759.0	6002279.0
Sgr-AJol_055-Ex1-cssl.clmp.fp2_r1_screen	64825.0	4608.0	21347.0	3337.0	1318.0	1326.0	595.0	269.0	13.0	nan	0.0	0.0	2316742.0	3434407.0
Sgr-AJol_055-Ex1-cssl.clmp.fp2_r2_screen	65777.0	4698.0	21288.0	3348.0	1358.0	1359.0	561.0	273.0	12.0	nan	0.0	0.0	2314536.0	3435577.0
Sgr-AJol_056-Ex1-cssl.clmp.fp2_r1_screen	88257.0	6457.0	25013.0	4509.0	1883.0	1810.0	811.0	370.0	14.0	nan	0.0	0.0	3684648.0	5088588.0
Sgr-AJol_056-Ex1-cssl.clmp.fp2_r2_screen	89049.0	6532.0	24732.0	4419.0	1825.0	1819.0	846.0	370.0	16.0	nan	0.0	0.0	3677932.0	5094820.0
Sgr-AJol_057-Ex1-cssl.clmp.fp2_r1_screen	95820.0	7216.0	21775.0	5421.0	2044.0	2095.0	866.0	752.0	16.0	nan	0.0	0.0	2227849.0	7148636.0
Sgr-AJol_057-Ex1-cssl.clmp.fp2_r2_screen	96549.0	7288.0	21792.0	5544.0	2159.0	2172.0	886.0	702.0	15.0	nan	0.0	0.0	2225796.0	7149587.0
Sgr-AJol_058-Ex1-cssl.clmp.fp2_r1_screen	68158.0	4806.0	14273.0	3475.0	1499.0	1364.0	619.0	343.0	7.0	nan	0.0	1.0	2640056.0	4066195.0
Sgr-AJol_058-Ex1-cssl.clmp.fp2_r2_screen	69104.0	4962.0	14049.0	3389.0	1571.0	1390.0	610.0	344.0	11.0	nan	0.0	0.0	2636450.0	4068916.0
Sgr-AJol_059-Ex1-cssl.clmp.fp2_r1_screen	73394.0	5353.0	11614.0	3479.0	1541.0	1522.0	627.0	220.0	12.0	nan	0.0	0.0	3582354.0	3582792.0
Sgr-AJol_059-Ex1-cssl.clmp.fp2_r2_screen	74672.0	5101.0	11540.0	3465.0	1558.0	1458.0	577.0	246.0	13.0	nan	0.0	0.0	3577128.0	3587150.0
Sgr-AJol_060-Ex1-cssl.clmp.fp2_r1_screen	72312.0	5288.0	19267.0	4050.0	1536.0	1558.0	734.0	422.0	42.0	nan	0.0	0.0	3377825.0	4406056.0
Sgr-AJol_060-Ex1-cssl.clmp.fp2_r2_screen	74212.0	5284.0	18972.0	3995.0	1596.0	1453.0	729.0	391.0	12.0	nan	0.0	0.0	3372445.0	4410001.0
Sgr-AJol_061-Ex1-cssl.clmp.fp2_r1_screen	99173.0	7626.0	9795.0	5616.0	2217.0	2153.0	972.0	404.0	19.0	nan	0.0	0.0	2044016.0	7468447.0
Sgr-AJol_061-Ex1-cssl.clmp.fp2_r2_screen	100175.0	7577.0	9704.0	5842.0	2219.0	2133.0	956.0	370.0	14.0	nan	0.0	0.0	2041073.0	7470375.0
Sgr-AJol_062-Ex1-cssl.clmp.fp2_r1_screen	72356.0	5588.0	9400.0	4232.0	1562.0	1486.0	739.0	268.0	13.0	nan	0.0	0.0	1693332.0	5759443.0
Sgr-AJol_062-Ex1-cssl.clmp.fp2_r2_screen	72609.0	5509.0	9399.0	4260.0	1523.0	1470.0	753.0	256.0	10.0	nan	0.0	0.0	1693187.0	5759443.0
Sgr-AJol_063-Ex1-cssl.clmp.fp2_r1_screen	105280.0	7763.0	10213.0	6085.0	2142.0	2303.0	1001.0	413.0	16.0	nan	0.0	0.0	2133882.0	7419617.0
Sgr-AJol_063-Ex1-cssl.clmp.fp2_r2_screen	105969.0	7971.0	10271.0	6003.0	2158.0	2316.0	1087.0	376.0	7.0	nan	0.0	0.0	2131971.0	7420586.0
Sgr-AJol_064-Ex1-cssl.clmp.fp2_r1_screen	78485.0	5989.0	10044.0	4566.0	1838.0	1732.0	842.0	386.0	11.0	nan	0.0	0.0	1663907.0	6061250.0
Sgr-AJol_064-Ex1-cssl.clmp.fp2_r2_screen	79586.0	6096.0	10140.0	4652.0	1845.0	1782.0	824.0	405.0	7.0	nan	0.0	0.0	1662463.0	6061250.0
Sgr-AJol_066-Ex1-cssl.clmp.fp2_r1_screen	138641.0	10593.0	14910.0	7727.0	3071.0	3020.0	1268.0	433.0	119.0	nan	0.0	0.0	3129382.0	10404735.0
Sgr-AJol_066-Ex1-cssl.clmp.fp2_r2_screen	140763.0	10547.0	15019.0	7785.0	2980.0	2995.0	1277.0	382.0	11.0	nan	0.0	0.0	3124663.0	10407477.0
Sgr-AJol_067-Ex1-cssl.clmp.fp2_r1_screen	166367.0	12294.0	37656.0	8235.0	3615.0	3383.0	1475.0	541.0	32.0	nan	0.0	0.0	5710556.0	9062544.0
Sgr-AJol_067-Ex1-cssl.clmp.fp2_r2_screen	168876.0	12022.0	37259.0	8308.0	3603.0	3464.0	1524.0	516.0	18.0	nan	0.0	0.0	5701060.0	9070048.0
Sgr-AJol_068-Ex1-cssl.clmp.fp2_r1_screen	76493.0	5677.0	23234.0	4055.0	1697.0	1499.0	658.0	484.0	11.0	nan	0.0	0.0	2773805.0	4406179.0
Sgr-AJol_068-Ex1-cssl.clmp.fp2_r2_screen	77880.0	5687.0	22985.0	4143.0	1639.0	1455.0	652.0	427.0	9.0	nan	0.0	0.0	2769818.0	4409097.0
Sgr-AJol_069-Ex1-cssl.clmp.fp2_r1_screen	126691.0	8709.0	35010.0	6682.0	2578.0	2583.0	1244.0	606.0	41.0	nan	0.0	0.0	6891769.0	6199720.0
Sgr-AJol_069-Ex1-cssl.clmp.fp2_r2_screen	130024.0	8570.0	34385.0	6655.0	2632.0	2701.0	1289.0	586.0	27.0	nan	0.0	0.0	6881079.0	6207685.0
Sgr-AJol_070-Ex1-cssl.clmp.fp2_r1_screen	55023.0	3992.0	6930.0	2708.0	1264.0	1190.0	476.0	208.0	3.0	nan	0.0	0.0	2296518.0	2754577.0
Sgr-AJol_070-Ex1-cssl.clmp.fp2_r2_screen	56220.0	3798.0	6813.0	2683.0	1185.0	1156.0	474.0	189.0	5.0	nan	0.0	0.0	2292715.0	2757651.0
Sgr-AJol_071-Ex1-cssl.clmp.fp2_r1_screen	94973.0	6943.0	14256.0	4954.0	2176.0	1984.0	944.0	372.0	12.0	nan	0.0	2.0	2928196.0	5365287.0
Sgr-AJol_071-Ex1-cssl.clmp.fp2_r2_screen	96761.0	6747.0	14361.0	4985.0	2119.0	1941.0	915.0	357.0	10.0	nan	0.0	0.0	2923248.0	5368655.0
Sgr-AJol_072-Ex1-cssl.clmp.fp2_r1_screen	126312.0	9114.0	90076.0	6913.0	2819.0	2527.0	1186.0	1496.0	56.0	nan	0.0	0.0	4280525.0	7541473.0
Sgr-AJol_072-Ex1-cssl.clmp.fp2_r2_screen	128748.0	9005.0	89769.0	6922.0	2858.0	2539.0	1210.0	1511.0	18.0	nan	0.0	0.0	4272413.0	7547504.0
Sgr-AJol_073-Ex1-cssl.clmp.fp2_r1_screen	52940.0	4362.0	5936.0	2914.0	1177.0	1139.0	518.0	171.0	12.0	nan	0.0	0.0	1505155.0	3460288.0
Sgr-AJol_073-Ex1-cssl.clmp.fp2_r2_screen	53448.0	4211.0	5936.0	2929.0	1148.0	1155.0	488.0	176.0	9.0	nan	0.0	0.0	1502810.0	3462302.0
Sgr-AJol_074-Ex1-cssl.clmp.fp2_r1_screen	97713.0	7765.0	12209.0	5736.0	2277.0	2160.0	1007.0	399.0	22.0	nan	0.0	0.0	2253860.0	7028966.0
