Sample	total_reads	Human counts	Human percentage	Ecoli counts	Ecoli percentage	PhiX counts	PhiX percentage	Contamnts_Adaptrs counts	Contamnts_Adaptrs percentage	Vectors counts	Vectors percentage	Bacteria_24k counts	Bacteria_24k percentage	Protists_1k counts	Protists_1k percentage	Viruses counts	Viruses percentage	Fungi_RefSeq_release counts	Fungi_RefSeq_release percentage	Coral counts	Coral percentage	Bird counts	Bird percentage	Plant counts	Plant percentage	No hits counts	No hits percentage	nt counts	nt percentage
Sgr-AJol_009-Ex1-cssl.clmp.fp2_r2_screen	2280837	631606.0	27.69	49.0	0.0	0.0	0.0	2.0	0.0	325931.0	14.29	581594.0	25.5	662126.0	29.04	580046.0	25.43	629411.0	27.6	590489.0	25.88	597526.0	26.19	602951.0	26.43	1608218	70.51		
Sgr-AJol_010-Ex1-cssl.clmp.fp2_r1_screen	3225378	688378.0	21.330000000000002	28.0	0.0	0.0	0.0	60.0	0.0	381720.0	11.83	631736.0	19.58	728511.0	22.58	626601.0	19.42	685317.0	21.259999999999998	639646.0	19.83	648373.0	20.099999999999998	651694.0	20.2	2481283	76.93		
Sgr-AJol_010-Ex1-cssl.clmp.fp2_r2_screen	3225378	687978.0	21.32	30.0	0.0	0.0	0.0	4.0	0.0	378571.0	11.74	629702.0	19.53	728558.0	22.59	625091.0	19.37	684684.0	21.23	638072.0	19.78	646814.0	20.05	650679.0	20.18	2480960	76.92		
Sgr-AJol_011-Ex1-cssl.clmp.fp2_r1_screen	1713045	588103.0	34.33	16.0	0.0	0.0	0.0	12.0	0.0	335133.0	19.560000000000002	549886.0	32.1	613387.0	35.81	545517.0	31.84	586335.0	34.230000000000004	554272.0	32.35	555402.0	32.42	565259.0	32.99	1088468	63.54		
Sgr-AJol_011-Ex1-cssl.clmp.fp2_r2_screen	1713045	587213.0	34.27	20.0	0.0	0.0	0.0	1.0	0.0	332709.0	19.42	548134.0	32.0	612617.0	35.76	543755.0	31.740000000000002	585313.0	34.17	552537.0	32.26	554013.0	32.34	564069.0	32.92	1089325	63.59		
Sgr-AJol_012-Ex1-cssl.clmp.fp2_r1_screen	4149181	1533615.0	36.96	67.0	0.0	0.0	0.0	85.0	0.0	837726.0	20.19	1437216.0	34.64	1589857.0	38.32	1431962.0	34.51	1529915.0	36.87	1453523.0	35.03	1460233.0	35.19	1478877.0	35.64	2536809	61.14		
Sgr-AJol_012-Ex1-cssl.clmp.fp2_r2_screen	4149181	1531425.0	36.910000000000004	77.0	0.0	0.0	0.0	10.0	0.0	831957.0	20.06	1432347.0	34.519999999999996	1588628.0	38.29	1428109.0	34.41	1527678.0	36.82	1448632.0	34.91	1455887.0	35.08	1476276.0	35.58	2538054	61.17		
Sgr-AJol_013-Ex1-cssl.clmp.fp2_r1_screen	7048210	1229210.0	17.44	741.0	0.01	0.0	0.0	108.0	0.0	667628.0	9.469999999999999	1133517.0	16.080000000000002	1317591.0	18.7	1105447.0	15.68	1224668.0	17.39	1130716.0	16.05	1141293.0	16.189999999999998	1155501.0	16.38	5682266	80.62		
Sgr-AJol_013-Ex1-cssl.clmp.fp2_r2_screen	7048210	1227359.0	17.41	742.0	0.01	0.0	0.0	6.0	0.0	663532.0	9.42	1129204.0	16.02	1316601.0	18.689999999999998	1102401.0	15.64	1223094.0	17.36	1127466.0	16.0	1138520.0	16.15	1153249.0	16.349999999999998	5683676	80.64		
Sgr-AJol_014-Ex1-cssl.clmp.fp2_r1_screen	8074858	1594339.0	19.75	409.0	0.0	0.0	0.0	151.0	0.0	978684.0	12.12	1481031.0	18.34	1688291.0	20.91	1460467.0	18.080000000000002	1587858.0	19.67	1487486.0	18.43	1497380.0	18.55	1513047.0	18.73	6339571	78.51		
Sgr-AJol_014-Ex1-cssl.clmp.fp2_r2_screen	8074858	1592320.0	19.720000000000002	395.0	0.0	0.0	0.0	23.0	0.0	971458.0	12.03	1476109.0	18.28	1687392.0	20.9	1456608.0	18.040000000000003	1586447.0	19.64	1483738.0	18.369999999999997	1494736.0	18.51	1511143.0	18.720000000000002	6340378	78.52		
Sgr-AJol_015-Ex1-cssl.clmp.fp2_r1_screen	5421601	1151163.0	21.23	100.0	0.0	0.0	0.0	102.0	0.0	656404.0	12.11	1071624.0	19.76	1220416.0	22.51	1053921.0	19.43	1147131.0	21.16	1075087.0	19.83	1086238.0	20.03	1093747.0	20.169999999999998	4169211	76.9		
Sgr-AJol_015-Ex1-cssl.clmp.fp2_r2_screen	5421601	1149696.0	21.2	91.0	0.0	0.0	0.0	6.0	0.0	652118.0	12.02	1068110.0	19.7	1219478.0	22.49	1051459.0	19.400000000000002	1146136.0	21.150000000000002	1072645.0	19.79	1084338.0	19.99	1092119.0	20.14	4169753	76.91		
Sgr-AJol_016-Ex1-cssl.clmp.fp2_r1_screen	7430105	1619049.0	21.79	61.0	0.0	0.0	0.0	132.0	0.0	946205.0	12.73	1488012.0	20.03	1709460.0	23.009999999999998	1482777.0	19.95	1612105.0	21.69	1510246.0	20.32	1522350.0	20.490000000000002	1537803.0	20.7	5689231	76.57		
Sgr-AJol_016-Ex1-cssl.clmp.fp2_r2_screen	7430105	1617143.0	21.759999999999998	70.0	0.0	0.0	0.0	6.0	0.0	939904.0	12.65	1482580.0	19.950000000000003	1708320.0	22.990000000000002	1479191.0	19.9	1610399.0	21.669999999999998	1506455.0	20.28	1519550.0	20.450000000000003	1536182.0	20.67	5690717	76.59		
Sgr-AJol_017-Ex1-cssl.clmp.fp2_r1_screen	7993046	2767446.0	34.61	296.0	0.0	0.0	0.0	146.0	0.0	1748052.0	21.87	2595951.0	32.47	2875104.0	35.980000000000004	2583219.0	32.309999999999995	2760292.0	34.53	2621675.0	32.800000000000004	2612444.0	32.68	2671396.0	33.43	5071587	63.45		
Sgr-AJol_017-Ex1-cssl.clmp.fp2_r2_screen	7993046	2762927.0	34.56	298.0	0.0	0.0	0.0	11.0	0.0	1736964.0	21.73	2586950.0	32.36	2872233.0	35.94	2576536.0	32.23	2756419.0	34.49	2614268.0	32.7	2606487.0	32.61	2666858.0	33.37	5074784	63.49		
Sgr-AJol_018-Ex1-cssl.clmp.fp2_r1_screen	5665299	1075580.0	18.990000000000002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4589458	81.01		
Sgr-AJol_018-Ex1-cssl.clmp.fp2_r2_screen	5665299	1962972.0	34.65	32.0	0.0	0.0	0.0	12.0	0.0	1231017.0	21.73	1841092.0	32.5	2038656.0	35.980000000000004	1832734.0	32.35	1959898.0	34.599999999999994	1859460.0	32.82	1853015.0	32.71	1891828.0	33.39	3594632	63.45		
Sgr-AJol_020-Ex1-cssl.clmp.fp2_r1_screen	4069414	1632407.0	40.12	38.0	0.0	0.0	0.0	56.0	0.0	1145685.0	28.150000000000002	1551891.0	38.13	1688303.0	41.48	1536002.0	37.74	1627475.0	39.989999999999995	1554825.0	38.21	1545813.0	37.980000000000004	1581547.0	38.86	2348865	57.72		
Sgr-AJol_020-Ex1-cssl.clmp.fp2_r2_screen	4069414	1630321.0	40.07	31.0	0.0	0.0	0.0	6.0	0.0	1140817.0	28.03	1546755.0	38.0	1687616.0	41.47	1532503.0	37.66	1625992.0	39.96	1550762.0	38.11	1543040.0	37.92	1578817.0	38.79	2349679	57.74		
Sgr-AJol_021-Ex1-cssl.clmp.fp2_r1_screen	3410800	1004699.0	29.46	211.0	0.01	0.0	0.0	90.0	0.0	620132.0	18.18	930419.0	27.28	1054156.0	30.91	924777.0	27.11	1000992.0	29.35	940215.0	27.57	937525.0	27.490000000000002	961535.0	28.189999999999998	2336398	68.5		
Sgr-AJol_021-Ex1-cssl.clmp.fp2_r2_screen	3410800	1003248.0	29.400000000000002	209.0	0.01	0.0	0.0	5.0	0.0	616400.0	18.07	926885.0	27.18	1053370.0	30.880000000000003	922210.0	27.03	1000061.0	29.32	937981.0	27.5	936173.0	27.439999999999998	959762.0	28.14	2337421	68.53		
Sgr-AJol_022-Ex1-cssl.clmp.fp2_r1_screen	2797959	1126361.0	40.25	85.0	0.0	0.0	0.0	67.0	0.0	663493.0	23.71	1065348.0	38.07	1161264.0	41.51	1059517.0	37.86	1124488.0	40.19	1074374.0	38.4	1075851.0	38.449999999999996	1090062.0	38.95	1619178	57.87		
Sgr-AJol_022-Ex1-cssl.clmp.fp2_r2_screen	2797959	1124401.0	40.190000000000005	98.0	0.0	0.0	0.0	6.0	0.0	657690.0	23.5	1060768.0	37.91	1159981.0	41.459999999999994	1056070.0	37.74	1122747.0	40.14	1070961.0	38.27	1072840.0	38.34	1087355.0	38.85	1620857	57.93		
Sgr-AJol_023-Ex1-cssl.clmp.fp2_r1_screen	3322262	964899.0	29.049999999999997	7.0	0.0	0.0	0.0	31.0	0.0	527070.0	15.86	885727.0	26.669999999999998	1010757.0	30.43	885149.0	26.64	961169.0	28.93	901640.0	27.14	906612.0	27.29	920696.0	27.709999999999997	2295683	69.1		
Sgr-AJol_023-Ex1-cssl.clmp.fp2_r2_screen	3322262	963095.0	28.99	10.0	0.0	0.0	0.0	5.0	0.0	522969.0	15.74	882852.0	26.57	1009788.0	30.39	882681.0	26.56	959555.0	28.89	898942.0	27.06	904080.0	27.21	918707.0	27.65	2297011	69.14		
Sgr-AJol_024-Ex1-cssl.clmp.fp2_r1_screen	3745296	922711.0	24.63	441.0	0.01	0.0	0.0	88.0	0.0	391215.0	10.44	862169.0	23.02	970518.0	25.92	847633.0	22.64	920324.0	24.580000000000002	864872.0	23.09	874005.0	23.330000000000002	877492.0	23.419999999999998	2748672	73.39		
Sgr-AJol_024-Ex1-cssl.clmp.fp2_r2_screen	3745296	920599.0	24.580000000000002	423.0	0.01	0.0	0.0	5.0	0.0	388292.0	10.37	858302.0	22.92	969618.0	25.9	844840.0	22.56	918717.0	24.53	861534.0	23.0	871678.0	23.27	875389.0	23.38	2749796	73.42		
Sgr-AJol_025-Ex1-cssl.clmp.fp2_r1_screen	8128832	1574604.0	19.360000000000003	254.0	0.0	0.0	0.0	154.0	0.0	797871.0	9.82	1426924.0	17.55	1683786.0	20.709999999999997	1412999.0	17.38	1567507.0	19.290000000000003	1446045.0	17.79	1464423.0	18.01	1479236.0	18.2	6404706	78.79		
Sgr-AJol_025-Ex1-cssl.clmp.fp2_r2_screen	8128832	1572223.0	19.35	268.0	0.0	0.0	0.0	11.0	0.0	793412.0	9.76	1422301.0	17.5	1682717.0	20.700000000000003	1409039.0	17.33	1565113.0	19.26	1442029.0	17.74	1460510.0	17.96	1475927.0	18.15	6406332	78.81		
Sgr-AJol_026-Ex1-cssl.clmp.fp2_r1_screen	9273573	1916883.0	20.67	50.0	0.0	0.0	0.0	168.0	0.0	984143.0	10.61	1750246.0	18.880000000000003	2034111.0	21.94	1739717.0	18.76	1908962.0	20.59	1777333.0	19.169999999999998	1797559.0	19.38	1812006.0	19.54	7198147	77.62		
Sgr-AJol_026-Ex1-cssl.clmp.fp2_r2_screen	9273573	1915150.0	20.65	43.0	0.0	0.0	0.0	8.0	0.0	978268.0	10.549999999999999	1744987.0	18.82	2034290.0	21.93	1735868.0	18.71	1907235.0	20.57	1773207.0	19.119999999999997	1794975.0	19.349999999999998	1810035.0	19.509999999999998	7198147	77.62		
Sgr-AJol_027-Ex1-cssl.clmp.fp2_r1_screen	8021117	3147611.0	39.24	43.0	0.0	0.0	0.0	155.0	0.0	1638788.0	20.43	2935984.0	36.599999999999994	3257963.0	40.62	2929938.0	36.519999999999996	3140756.0	39.15	2977530.0	37.12	2982820.0	37.18	3033581.0	37.82	4720427	58.85		
Sgr-AJol_027-Ex1-cssl.clmp.fp2_r2_screen	8021117	3142752.0	39.18	31.0	0.0	0.0	0.0	6.0	0.0	1628337.0	20.3	2926574.0	36.489999999999995	3255826.0	40.59	2921566.0	36.42	3136985.0	39.1	2969357.0	37.02	2976441.0	37.11000000000001	3028067.0	37.75	4722833	58.88		
Sgr-AJol_028-Ex1-cssl.clmp.fp2_r1_screen	7891006	1652201.0	20.93	54.0	0.0	0.0	0.0	139.0	0.0	794495.0	10.059999999999999	1504033.0	19.060000000000002	1752516.0	22.2	1493392.0	18.919999999999998	1643529.0	20.830000000000002	1526824.0	19.349999999999998	1548796.0	19.62	1557494.0	19.73	6100536	77.31		
Sgr-AJol_028-Ex1-cssl.clmp.fp2_r2_screen	7891006	1649991.0	20.91	49.0	0.0	0.0	0.0	5.0	0.0	790346.0	10.01	1499738.0	19.0	1751468.0	22.2	1490184.0	18.88	1641733.0	20.8	1523009.0	19.3	1546186.0	19.59	1555271.0	19.71	6101325	77.32		
Sgr-AJol_029-Ex1-cssl.clmp.fp2_r1_screen	7835472	2952261.0	37.68	73.0	0.0	0.0	0.0	144.0	0.0	1524003.0	19.45	2742537.0	35.0	3066459.0	39.12	2736437.0	34.92	2944414.0	37.58	2781711.0	35.5	2798962.0	35.72	2837304.0	36.22	4725573	60.31		
Sgr-AJol_029-Ex1-cssl.clmp.fp2_r2_screen	7835472	2948233.0	37.61	67.0	0.0	0.0	0.0	6.0	0.0	1516332.0	19.349999999999998	2735118.0	34.91	3064286.0	39.1	2729936.0	34.839999999999996	2941477.0	37.54	2774827.0	35.41	2793619.0	35.64	2833294.0	36.16	4728707	60.35		
Sgr-AJol_030-Ex1-cssl.clmp.fp2_r1_screen	10082252	3719805.0	36.89	32.0	0.0	0.0	0.0	210.0	0.0	2023013.0	20.060000000000002	3468457.0	34.4	3862585.0	38.31	3456248.0	34.27	3713050.0	36.83	3513396.0	34.85	3524614.0	34.96	3579664.0	35.510000000000005	6164288	61.14		
Sgr-AJol_030-Ex1-cssl.clmp.fp2_r2_screen	10082252	3713632.0	36.839999999999996	33.0	0.0	0.0	0.0	8.0	0.0	2011005.0	19.95	3456101.0	34.28	3859718.0	38.28	3445199.0	34.17	3707226.0	36.77	3503090.0	34.74	3515381.0	34.86	3572510.0	35.43	6167313	61.17		
Sgr-AJol_031-Ex1-cssl.clmp.fp2_r1_screen	9713043	3922812.0	40.379999999999995	122.0	0.0	0.0	0.0	149.0	0.0	2054833.0	21.16	3680478.0	37.900000000000006	4061334.0	41.8	3666584.0	37.75	3913130.0	40.28	3718318.0	38.279999999999994	3736865.0	38.46	3789042.0	39.01	5595684	57.61		
Sgr-AJol_031-Ex1-cssl.clmp.fp2_r2_screen	9713043	3917893.0	40.33	121.0	0.0	0.0	0.0	14.0	0.0	2043198.0	21.04	3669743.0	37.790000000000006	4058963.0	41.79	3657830.0	37.65	3909141.0	40.25	3710069.0	38.190000000000005	3729943.0	38.4	3782813.0	38.94	5597626	57.63		
Sgr-AJol_032-Ex1-cssl.clmp.fp2_r1_screen	6450834	1981647.0	30.71	422.0	0.01	0.0	0.0	68.0	0.0	941772.0	14.6	1830136.0	28.38	2081804.0	32.28	1809579.0	28.05	1977401.0	30.66	1847054.0	28.64	1855846.0	28.759999999999998	1887604.0	29.26	4326574	67.07		
Sgr-AJol_032-Ex1-cssl.clmp.fp2_r2_screen	6450834	1978132.0	30.66	419.0	0.01	0.0	0.0	12.0	0.0	935697.0	14.51	1823073.0	28.25	2079103.0	32.23	1803709.0	27.950000000000003	1973418.0	30.59	1840678.0	28.53	1850243.0	28.68	1882933.0	29.19	4329799	67.12		
Sgr-AJol_034-Ex1-cssl.clmp.fp2_r1_screen	6315069	1972213.0	31.240000000000002	18.0	0.0	0.0	0.0	138.0	0.0	1037209.0	16.43	1807908.0	28.63	2064957.0	32.7	1808190.0	28.63	1964889.0	31.119999999999997	1841246.0	29.16	1854370.0	29.36	1884044.0	29.830000000000002	4217203	66.78		
Sgr-AJol_034-Ex1-cssl.clmp.fp2_r2_screen	6315069	1969318.0	31.19	14.0	0.0	0.0	0.0	6.0	0.0	1029341.0	16.3	1801594.0	28.52	2064041.0	32.69	1803514.0	28.56	1962684.0	31.080000000000002	1836731.0	29.09	1850917.0	29.3	1880908.0	29.79	4218466	66.8		
Sgr-AJol_035-Ex1-cssl.clmp.fp2_r1_screen	7006567	2657094.0	37.92	69.0	0.0	0.0	0.0	76.0	0.0	1331433.0	19.0	2472667.0	35.29	2760777.0	39.41	2461404.0	35.129999999999995	2652661.0	37.870000000000005	2506227.0	35.77	2506158.0	35.77	2554052.0	36.45	4206042	60.03		
Sgr-AJol_035-Ex1-cssl.clmp.fp2_r2_screen	7006567	2653504.0	37.870000000000005	65.0	0.0	0.0	0.0	8.0	0.0	1323200.0	18.89	2464512.0	35.17	2758100.0	39.36	2454314.0	35.029999999999994	2649055.0	37.8	2499040.0	35.67	2500667.0	35.68	2549180.0	36.379999999999995	4208844	60.07		
Sgr-AJol_036-Ex1-cssl.clmp.fp2_r1_screen	2292313	1035638.0	45.18	20.0	0.0	0.0	0.0	48.0	0.0	451823.0	19.71	970787.0	42.35	1064434.0	46.440000000000005	969092.0	42.269999999999996	1033903.0	45.1	984645.0	42.96	992164.0	43.29	1002249.0	43.72	1216759	53.08		
Sgr-AJol_036-Ex1-cssl.clmp.fp2_r2_screen	2292313	1034469.0	45.12	23.0	0.0	0.0	0.0	3.0	0.0	448910.0	19.59	967324.0	42.199999999999996	1063906.0	46.410000000000004	966072.0	42.14	1032684.0	45.050000000000004	981433.0	42.809999999999995	989926.0	43.19	1000491.0	43.64	1217676	53.12		
Sgr-AJol_037-Ex1-cssl.clmp.fp2_r1_screen	7424603	1404613.0	18.91	19.0	0.0	0.0	0.0	111.0	0.0	790731.0	10.65	1268594.0	17.09	1498251.0	20.18	1265367.0	17.04	1397343.0	18.83	1293269.0	17.42	1307803.0	17.610000000000003	1323598.0	17.83	5895877	79.41		
Sgr-AJol_037-Ex1-cssl.clmp.fp2_r2_screen	7424603	1402324.0	18.89	15.0	0.0	0.0	0.0	8.0	0.0	785478.0	10.58	1264716.0	17.04	1496621.0	20.150000000000002	1261359.0	16.98	1394886.0	18.79	1290035.0	17.38	1305125.0	17.58	1321387.0	17.799999999999997	5897362	79.43		
Sgr-AJol_038-Ex1-cssl.clmp.fp2_r1_screen	6375105	2065555.0	32.4	49.0	0.0	0.0	0.0	136.0	0.0	1099698.0	17.25	1909383.0	29.96	2150372.0	33.73	1900047.0	29.8	2057605.0	32.269999999999996	1934210.0	30.34	1953144.0	30.63	1980357.0	31.06	4189719	65.72		
Sgr-AJol_038-Ex1-cssl.clmp.fp2_r2_screen	6375105	2063019.0	32.35	47.0	0.0	0.0	0.0	7.0	0.0	1091799.0	17.12	1903108.0	29.86	2149621.0	33.72	1894265.0	29.71	2055374.0	32.24	1928364.0	30.25	1948190.0	30.56	1976634.0	31.0	4190994	65.74		
Sgr-AJol_039-Ex1-cssl.clmp.fp2_r1_screen	10490763	2011534.0	19.169999999999998	44.0	0.0	0.0	0.0	196.0	0.0	1020417.0	9.719999999999999	1806713.0	17.220000000000002	2150237.0	20.49	1802933.0	17.18	2001893.0	19.090000000000003	1845999.0	17.6	1871651.0	17.84	1890639.0	18.009999999999998	8295046	79.07		
Sgr-AJol_039-Ex1-cssl.clmp.fp2_r2_screen	10490763	2008549.0	19.14	28.0	0.0	0.0	0.0	16.0	0.0	1013258.0	9.66	1799755.0	17.150000000000002	2148452.0	20.490000000000002	1796998.0	17.13	1998549.0	19.05	1839679.0	17.53	1866965.0	17.79	1886096.0	17.979999999999997	8296095	79.08		
Sgr-AJol_041-Ex1-cssl.clmp.fp2_r1_screen	8043672	1966344.0	24.44	49.0	0.0	0.0	0.0	124.0	0.0	1173515.0	14.59	1802030.0	22.41	2069460.0	25.72	1802408.0	22.4	1957077.0	24.330000000000002	1834368.0	22.8	1853462.0	23.04	1872797.0	23.279999999999998	5937838	73.82		
Sgr-AJol_041-Ex1-cssl.clmp.fp2_r2_screen	8043672	1962528.0	24.400000000000002	50.0	0.0	0.0	0.0	7.0	0.0	1165091.0	14.49	1795228.0	22.32	2067038.0	25.7	1797486.0	22.35	1954469.0	24.3	1829201.0	22.740000000000002	1849778.0	22.990000000000002	1869514.0	23.24	5941056	73.86		
Sgr-AJol_042-Ex1-cssl.clmp.fp2_r1_screen	10063146	3815034.0	37.9	135.0	0.0	0.0	0.0	152.0	0.0	2385270.0	23.7	3558361.0	35.36	3958613.0	39.34	3557906.0	35.36000000000001	3803552.0	37.800000000000004	3608504.0	35.86	3621239.0	35.99	3681537.0	36.58	6046944	60.09		
Sgr-AJol_042-Ex1-cssl.clmp.fp2_r2_screen	10063146	3809961.0	37.85	130.0	0.0	0.0	0.0	11.0	0.0	2370880.0	23.56	3546707.0	35.24	3956339.0	39.31	3547799.0	35.25	3799326.0	37.76	3599063.0	35.77	3613176.0	35.9	3674906.0	36.51	6049963	60.12		
Sgr-AJol_043-Ex1-cssl.clmp.fp2_r1_screen	12219492	4209221.0	34.45	130.0	0.0	0.0	0.0	179.0	0.0	2309234.0	18.9	3897218.0	31.88	4384377.0	35.879999999999995	3890176.0	31.84	4195971.0	34.339999999999996	3955282.0	32.37	3970983.0	32.489999999999995	4043258.0	33.08	7759377	63.5		
Sgr-AJol_043-Ex1-cssl.clmp.fp2_r2_screen	12219492	4202986.0	34.4	119.0	0.0	0.0	0.0	16.0	0.0	2293229.0	18.759999999999998	3883187.0	31.77	4382048.0	35.86	3878464.0	31.740000000000002	4190750.0	34.3	3943718.0	32.27	3961922.0	32.42	4035101.0	33.02	7763043	63.53		
Sgr-AJol_044-Ex1-cssl.clmp.fp2_r1_screen	7708884	2565702.0	33.29	50.0	0.0	0.0	0.0	91.0	0.0	1371337.0	17.79	2382046.0	30.9	2675713.0	34.71	2367132.0	30.7	2558992.0	33.190000000000005	2410374.0	31.27	2415057.0	31.319999999999997	2459858.0	31.91	4985335	64.67		
