Sample	Bacteria_24k	Human	Protists_1k	Fungi_RefSeq_release	Bird	Viruses	Plant	Coral	Vectors	Contamnts_Adaptrs	Ecoli	Multiple Genomes	No hits
Leq-ABas_039_Ex1_L3_clmp.fp2_r2_screen	2202728.0	346893.0	101491.0	40373.0	463.0	2408.0	213.0	145.0	8.0	1.0	0.0	1325260.0	4075029.0
Leq-ABas_040_Ex1_L3_clmp.fp2_r1_screen	443780.0	564195.0	129881.0	18453.0	3741.0	4567.0	1406.0	1166.0	53.0	1.0	0.0	906178.0	9086001.0
Leq-ABas_040_Ex1_L3_clmp.fp2_r2_screen	443909.0	564130.0	130105.0	18442.0	3764.0	4529.0	1445.0	1100.0	29.0	1.0	0.0	912663.0	9079305.0
Leq-ABas_041_Ex1_L3_clmp.fp2_r1_screen	46959.0	24319.0	7664.0	1945.0	211.0	252.0	67.0	68.0	1.0	1.0	0.0	57052.0	529439.0
Leq-ABas_041_Ex1_L3_clmp.fp2_r2_screen	47046.0	24429.0	7630.0	2004.0	202.0	242.0	69.0	62.0	0.0	0.0	0.0	57189.0	529105.0
Leq-ABas_042_Ex1_L3_clmp.fp2_r1_screen	1020550.0	444580.0	139683.0	43240.0	2892.0	5405.0	1510.0	1102.0	40.0	0.0	0.0	1039438.0	10413511.0
Leq-ABas_042_Ex1_L3_clmp.fp2_r2_screen	1020700.0	444778.0	141200.0	43283.0	2767.0	5382.0	1500.0	1082.0	31.0	2.0	0.0	1050827.0	10400399.0
Leq-ABas_043_Ex1_L3_clmp.fp2_r1_screen	422840.0	108746.0	83159.0	205469.0	2694.0	1296.0	822.0	619.0	21.0	0.0	0.0	648356.0	6183235.0
Leq-ABas_043_Ex1_L3_clmp.fp2_r2_screen	423158.0	108867.0	83208.0	205504.0	2709.0	1318.0	853.0	664.0	22.0	0.0	0.0	653080.0	6177874.0
Leq-ABas_044_Ex1_L3_clmp.fp2_r1_screen	673883.0	210339.0	204815.0	689670.0	6327.0	5947.0	2293.0	1775.0	60.0	1.0	0.0	1255926.0	14128220.0
Leq-ABas_044_Ex1_L3_clmp.fp2_r2_screen	674368.0	210535.0	205983.0	689718.0	6051.0	5893.0	2278.0	1830.0	55.0	4.0	0.0	1268065.0	14114476.0
Leq-ABas_045_Ex1_L3_clmp.fp2_r1_screen	26621.0	26494.0	5746.0	3842.0	183.0	176.0	80.0	44.0	1.0	0.0	0.0	42238.0	424345.0
Leq-ABas_045_Ex1_L3_clmp.fp2_r2_screen	26501.0	26425.0	5739.0	3811.0	162.0	173.0	55.0	49.0	0.0	0.0	0.0	42563.0	424292.0
Leq-ABas_046_Ex1_L3_clmp.fp2_r1_screen	572991.0	205631.0	180733.0	23404.0	5303.0	5847.0	1813.0	1373.0	27.0	2.0	0.0	987172.0	12179127.0
Leq-ABas_046_Ex1_L3_clmp.fp2_r2_screen	574290.0	205562.0	182075.0	23471.0	5335.0	5810.0	1874.0	1286.0	27.0	2.0	0.0	1002977.0	12160714.0
Leq-ABas_047_Ex1_L3_clmp.fp2_r1_screen	24487.0	14540.0	4795.0	1418.0	152.0	158.0	41.0	34.0	4.0	0.0	0.0	28592.0	344633.0
Leq-ABas_047_Ex1_L3_clmp.fp2_r2_screen	24390.0	14472.0	4774.0	1434.0	154.0	161.0	66.0	35.0	1.0	0.0	0.0	29782.0	343585.0
Leq-ABas_048_Ex1_L3_clmp.fp2_r1_screen	579279.0	404816.0	128438.0	26505.0	3467.0	2700.0	1282.0	940.0	25.0	0.0	0.0	876700.0	9785367.0
Leq-ABas_048_Ex1_L3_clmp.fp2_r2_screen	580389.0	404366.0	129330.0	26317.0	3371.0	2650.0	1194.0	972.0	23.0	1.0	0.0	887349.0	9773557.0
Leq-ABas_052_Ex1_L3_clmp.fp2_r1_screen	429001.0	234587.0	99636.0	16728.0	2616.0	4759.0	1010.0	698.0	21.0	2.0	0.0	657692.0	7149501.0
