Sample	Protists_1k	Human	Bacteria_24k	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Tbi-ARos_018_Ex1b_L4_clmp.fp2_r1_screen	6077.0	4624.0	16119.0	906.0	347.0	110.0	96.0	40.0	8.0	0.0	37453.0	359975.0
Tbi-ARos_018_Ex1b_L4_clmp.fp2_r2_screen	5874.0	4609.0	15504.0	954.0	320.0	80.0	79.0	43.0	7.0	0.0	37458.0	360827.0
Tbi-ARos_019_Ex1b_L4_clmp.fp2_r1_screen	37459.0	10678.0	53694.0	4337.0	2541.0	925.0	608.0	305.0	111.0	0.0	244684.0	2286600.0
Tbi-ARos_019_Ex1b_L4_clmp.fp2_r2_screen	37593.0	10835.0	54325.0	4183.0	2377.0	1045.0	568.0	270.0	24.0	0.0	245707.0	2285015.0
Tbi-ARos_020_Ex1b_L4_clmp.fp2_r1_screen	4844.0	2250.0	7139.0	645.0	307.0	143.0	102.0	51.0	5.0	0.0	23756.0	282676.0
Tbi-ARos_020_Ex1b_L4_clmp.fp2_r2_screen	4775.0	2139.0	7478.0	748.0	353.0	121.0	81.0	62.0	1.0	0.0	23903.0	282257.0
Tbi-ARos_021_Ex1b_L4_clmp.fp2_r1_screen	15610.0	7995.0	3729.0	1671.0	954.0	275.0	186.0	84.0	26.0	0.0	96013.0	1123880.0
Tbi-ARos_021_Ex1b_L4_clmp.fp2_r2_screen	15191.0	7991.0	3872.0	1423.0	944.0	301.0	187.0	110.0	10.0	0.0	98265.0	1122129.0
Tbi-ARos_022_Ex1b_L4_clmp.fp2_r1_screen	6990.0	1525.0	4378.0	863.0	426.0	156.0	132.0	51.0	6.0	0.0	30556.0	460326.0
Tbi-ARos_022_Ex1b_L4_clmp.fp2_r2_screen	7510.0	1606.0	4539.0	759.0	448.0	107.0	111.0	56.0	0.0	0.0	31109.0	459164.0
Tbi-ARos_023_Ex1b_L4_clmp.fp2_r1_screen	13274.0	4624.0	22203.0	1626.0	653.0	213.0	236.0	137.0	16.0	0.0	115348.0	944240.0
Tbi-ARos_023_Ex1b_L4_clmp.fp2_r2_screen	13372.0	4529.0	22349.0	1533.0	638.0	221.0	178.0	144.0	17.0	2.0	115677.0	943910.0
Tbi-ARos_024_Ex1b_L4_clmp.fp2_r1_screen	4819.0	2385.0	8567.0	494.0	213.0	97.0	32.0	44.0	12.0	0.0	38324.0	310375.0
Tbi-ARos_024_Ex1b_L4_clmp.fp2_r2_screen	4309.0	2379.0	8626.0	540.0	240.0	75.0	44.0	39.0	10.0	1.0	39090.0	310009.0
Tbi-ARos_025_Ex1b_L4_clmp.fp2_r1_screen	5161.0	2486.0	11977.0	718.0	285.0	97.0	115.0	48.0	0.0	0.0	27685.0	330006.0
Tbi-ARos_025_Ex1b_L4_clmp.fp2_r2_screen	5235.0	2451.0	11535.0	856.0	318.0	83.0	81.0	57.0	0.0	0.0	27540.0	330422.0
Tbi-ARos_026_Ex1b_L4_clmp.fp2_r1_screen	6578.0	2252.0	9919.0	893.0	445.0	180.0	78.0	173.0	23.0	0.0	26424.0	421278.0
Tbi-ARos_026_Ex1b_L4_clmp.fp2_r2_screen	7173.0	2381.0	9243.0	741.0	385.0	164.0	135.0	168.0	1.0	0.0	27183.0	420669.0
Tbi-ARos_028_Ex1b_L4_clmp.fp2_r1_screen	8435.0	4589.0	43745.0	1380.0	306.0	158.0	106.0	117.0	6.0	0.0	66074.0	491952.0
Tbi-ARos_028_Ex1b_L4_clmp.fp2_r2_screen	8205.0	4565.0	42195.0	1268.0	322.0	176.0	98.0	84.0	5.0	0.0	65839.0	494111.0
Tbi-ARos_029_Ex1b_L4_clmp.fp2_r1_screen	8820.0	54252.0	24212.0	1204.0	566.0	227.0	135.0	95.0	5.0	2.0	69850.0	539000.0
Tbi-ARos_029_Ex1b_L4_clmp.fp2_r2_screen	8712.0	53649.0	24397.0	1098.0	512.0	199.0	204.0	71.0	3.0	2.0	69893.0	539628.0
Tbi-ARos_030_Ex1b_L4_clmp.fp2_r1_screen	19506.0	33338.0	46434.0	2705.0	1163.0	402.0	332.0	173.0	6.0	0.0	105514.0	1090504.0
Tbi-ARos_030_Ex1b_L4_clmp.fp2_r2_screen	18828.0	33075.0	46398.0	2519.0	1012.0	395.0	275.0	240.0	9.0	3.0	105519.0	1091804.0
Tbi-ARos_032_Ex1b_L4_clmp.fp2_r1_screen	6058.0	3346.0	11863.0	832.0	338.0	134.0	71.0	68.0	0.0	0.0	51931.0	443337.0
Tbi-ARos_032_Ex1b_L4_clmp.fp2_r2_screen	6084.0	3311.0	12027.0	838.0	354.0	196.0	80.0	28.0	2.0	0.0	52032.0	443026.0
Tbi-ARos_033_Ex1b_L4_clmp.fp2_r1_screen	2802.0	1709.0	4634.0	305.0	206.0	54.0	42.0	17.0	1.0	0.0	16749.0	177939.0
Tbi-ARos_033_Ex1b_L4_clmp.fp2_r2_screen	2866.0	1769.0	4580.0	345.0	219.0	70.0	63.0	19.0	1.0	1.0	16770.0	177755.0
Tbi-CJos_001_Ex1_L4_clmp.fp2_r1_screen	52698.0	7570.0	2490.0	5162.0	4169.0	1039.0	793.0	249.0	8.0	2.0	227170.0	6501132.0
Tbi-CJos_001_Ex1_L4_clmp.fp2_r2_screen	54246.0	7603.0	2318.0	5311.0	4099.0	1071.0	778.0	307.0	23.0	0.0	233757.0	6492969.0
Tbi-CJos_004_Ex1_L4_clmp.fp2_r1_screen	53239.0	7530.0	2226.0	5405.0	4069.0	1060.0	727.0	294.0	9.0	0.0	245176.0	6100635.0
Tbi-CJos_004_Ex1_L4_clmp.fp2_r2_screen	54547.0	7748.0	2264.0	5287.0	3928.0	1092.0	755.0	294.0	6.0	0.0	254087.0	6090362.0
Tbi-CJos_005_Ex1_L4_clmp.fp2_r1_screen	51549.0	7715.0	3366.0	5196.0	3988.0	1016.0	832.0	232.0	7.0	0.0	218104.0	6168278.0
Tbi-CJos_005_Ex1_L4_clmp.fp2_r2_screen	53355.0	7384.0	3329.0	5257.0	4108.0	1044.0	996.0	239.0	9.0	0.0	223391.0	6161171.0
Tbi-CJos_006_Ex1_L4_clmp.fp2_r1_screen	26377.0	3747.0	2219.0	2551.0	2065.0	502.0	397.0	101.0	5.0	0.0	115794.0	2984152.0
Tbi-CJos_006_Ex1_L4_clmp.fp2_r2_screen	26602.0	3788.0	2292.0	2581.0	1953.0	494.0	404.0	118.0	4.0	0.0	118974.0	2980700.0
Tbi-CJos_007_Ex1_L4_clmp.fp2_r1_screen	56603.0	8081.0	1766.0	5798.0	4379.0	1015.0	832.0	246.0	7.0	0.0	255231.0	6580273.0
Tbi-CJos_007_Ex1_L4_clmp.fp2_r2_screen	58865.0	8178.0	1847.0	5639.0	4467.0	1048.0	857.0	257.0	5.0	1.0	263165.0	6569902.0
Tbi-CJos_008_Ex1_L4_clmp.fp2_r1_screen	72251.0	9999.0	2175.0	7349.0	5609.0	1499.0	965.0	434.0	33.0	0.0	327051.0	8154250.0
Tbi-CJos_008_Ex1_L4_clmp.fp2_r2_screen	73537.0	10478.0	2388.0	7081.0	5349.0	1486.0	1110.0	363.0	10.0	0.0	337577.0	8142236.0
Tbi-CJos_009_Ex1_L4_clmp.fp2_r1_screen	88885.0	12458.0	2626.0	8973.0	6651.0	1705.0	1372.0	401.0	101.0	2.0	391305.0	9795706.0
Tbi-CJos_009_Ex1_L4_clmp.fp2_r2_screen	91659.0	12771.0	2776.0	8963.0	6896.0	1814.0	1275.0	364.0	7.0	0.0	402388.0	9781272.0
Tbi-CJos_010_Ex1_L4_clmp.fp2_r1_screen	60004.0	8494.0	2391.0	6120.0	4578.0	1271.0	872.0	274.0	9.0	0.0	261775.0	6964733.0
Tbi-CJos_010_Ex1_L4_clmp.fp2_r2_screen	62701.0	8877.0	2502.0	5858.0	4499.0	1320.0	941.0	305.0	12.0	0.0	271201.0	6952305.0
Tbi-CJos_011_Ex1_L4_clmp.fp2_r1_screen	60365.0	8394.0	2399.0	5848.0	4411.0	1107.0	785.0	267.0	15.0	0.0	277366.0	6990497.0
Tbi-CJos_011_Ex1_L4_clmp.fp2_r2_screen	62246.0	8540.0	2178.0	5901.0	4386.0	1072.0	774.0	250.0	15.0	0.0	281476.0	6984616.0
Tbi-CJos_012_Ex1_L4_clmp.fp2_r1_screen	95107.0	13457.0	4236.0	9196.0	6828.0	1897.0	1499.0	471.0	6.0	0.0	419703.0	10584686.0
Tbi-CJos_012_Ex1_L4_clmp.fp2_r2_screen	99530.0	13237.0	4095.0	9429.0	6913.0	2017.0	1441.0	452.0	13.0	0.0	431979.0	10567980.0
Tbi-CJos_013_Ex1_L4_clmp.fp2_r1_screen	64577.0	9122.0	2775.0	6248.0	5420.0	1190.0	1003.0	277.0	17.0	0.0	288230.0	7630824.0
Tbi-CJos_013_Ex1_L4_clmp.fp2_r2_screen	66953.0	9401.0	2895.0	6396.0	5111.0	1207.0	1009.0	362.0	10.0	0.0	299131.0	7617208.0
Tbi-CJos_014_Ex1_L4_clmp.fp2_r1_screen	116674.0	16205.0	3192.0	11637.0	9148.0	2322.0	1802.0	588.0	16.0	0.0	508729.0	13207789.0
Tbi-CJos_014_Ex1_L4_clmp.fp2_r2_screen	120008.0	16989.0	3219.0	11564.0	8828.0	2308.0	1694.0	555.0	24.0	0.0	527329.0	13185584.0
Tbi-CJos_015_Ex1_L4_clmp.fp2_r1_screen	50970.0	7231.0	1976.0	5140.0	4105.0	1106.0	861.0	306.0	9.0	0.0	242599.0	5971741.0
Tbi-CJos_015_Ex1_L4_clmp.fp2_r2_screen	52423.0	7607.0	1992.0	5083.0	4041.0	1023.0	827.0	304.0	9.0	0.0	250423.0	5962312.0
Tbi-CJos_016_Ex1_L4_clmp.fp2_r1_screen	36989.0	5528.0	2686.0	3833.0	3058.0	739.0	473.0	195.0	29.0	0.0	164436.0	4551522.0
Tbi-CJos_016_Ex1_L4_clmp.fp2_r2_screen	38338.0	5381.0	2420.0	3603.0	2909.0	681.0	588.0	203.0	3.0	0.0	168133.0	4547229.0
Tbi-CJos_017_Ex1_L4_clmp.fp2_r1_screen	57156.0	8275.0	2726.0	5627.0	4240.0	1147.0	807.0	359.0	11.0	0.0	250508.0	6407551.0
Tbi-CJos_017_Ex1_L4_clmp.fp2_r2_screen	57965.0	8144.0	2701.0	5778.0	4204.0	1222.0	876.0	404.0	11.0	0.0	258985.0	6398117.0
Tbi-CJos_018_Ex1_L4_clmp.fp2_r1_screen	26630.0	4002.0	2401.0	2592.0	2171.0	563.0	389.0	125.0	3.0	0.0	120885.0	3114027.0
Tbi-CJos_018_Ex1_L4_clmp.fp2_r2_screen	28986.0	4008.0	2294.0	2719.0	2230.0	536.0	342.0	124.0	2.0	0.0	124413.0	3108134.0
Tbi-CJos_020_Ex1_L4_clmp.fp2_r1_screen	55767.0	7637.0	1537.0	5495.0	4154.0	1057.0	836.0	217.0	13.0	0.0	250591.0	6352355.0
Tbi-CJos_020_Ex1_L4_clmp.fp2_r2_screen	56552.0	8058.0	1455.0	5580.0	4162.0	1098.0	774.0	249.0	4.0	0.0	259391.0	6342336.0
Tbi-CJos_022_Ex1_L4_clmp.fp2_r1_screen	45088.0	6315.0	2316.0	4198.0	3618.0	858.0	601.0	275.0	9.0	0.0	196378.0	5172473.0
Tbi-CJos_022_Ex1_L4_clmp.fp2_r2_screen	46067.0	6409.0	2399.0	4456.0	3553.0	829.0	683.0	314.0	11.0	0.0	204713.0	5162695.0
Tbi-CJos_023_Ex1_L4_clmp.fp2_r1_screen	71131.0	10220.0	3136.0	6890.0	5160.0	1453.0	1107.0	339.0	6.0	0.0	313420.0	7978633.0
Tbi-CJos_023_Ex1_L4_clmp.fp2_r2_screen	74620.0	10041.0	3273.0	6747.0	5036.0	1399.0	1063.0	394.0	8.0	0.0	326225.0	7962689.0
Tbi-CJos_025_Ex1_L4_clmp.fp2_r1_screen	83506.0	12024.0	2139.0	8242.0	6475.0	1759.0	1193.0	408.0	11.0	0.0	362556.0	9919785.0
Tbi-CJos_025_Ex1_L4_clmp.fp2_r2_screen	86808.0	12180.0	2324.0	8545.0	6372.0	1704.0	1252.0	389.0	30.0	0.0	374306.0	9904188.0
Tbi-CJos_026_Ex1_L4_clmp.fp2_r1_screen	71267.0	10134.0	2445.0	7058.0	5405.0	1409.0	1122.0	391.0	32.0	0.0	314057.0	8269864.0
Tbi-CJos_026_Ex1_L4_clmp.fp2_r2_screen	74277.0	10416.0	2520.0	7361.0	5316.0	1368.0	1008.0	399.0	9.0	0.0	321066.0	8259444.0
Tbi-CJos_027_Ex1_L4_clmp.fp2_r1_screen	63401.0	9327.0	2718.0	6414.0	5095.0	1339.0	1013.0	346.0	11.0	0.0	270372.0	7748872.0
Tbi-CJos_027_Ex1_L4_clmp.fp2_r2_screen	65827.0	9323.0	2627.0	6470.0	5053.0	1321.0	1013.0	232.0	10.0	0.0	280323.0	7736709.0
Tbi-CJos_028_Ex1_L4_clmp.fp2_r1_screen	77655.0	11321.0	2539.0	7756.0	5812.0	1709.0	1241.0	435.0	16.0	0.0	340659.0	8907984.0
Tbi-CJos_028_Ex1_L4_clmp.fp2_r2_screen	79893.0	11184.0	2462.0	7598.0	5812.0	1579.0	1199.0	378.0	14.0	0.0	351188.0	8895820.0
Tbi-CJos_029_Ex1_L4_clmp.fp2_r1_screen	83862.0	12690.0	2227.0	8677.0	6608.0	1649.0	1349.0	290.0	29.0	0.0	348834.0	9757782.0
Tbi-CJos_029_Ex1_L4_clmp.fp2_r2_screen	87245.0	12216.0	2316.0	8593.0	6319.0	1725.0	1316.0	326.0	14.0	0.0	357391.0	9746536.0
Tbi-CJos_030_Ex1_L4_clmp.fp2_r1_screen	62998.0	8661.0	2052.0	6061.0	4764.0	1275.0	1020.0	331.0	8.0	0.0	290915.0	7020833.0
Tbi-CJos_030_Ex1_L4_clmp.fp2_r2_screen	64994.0	8700.0	2100.0	6277.0	4651.0	1225.0	888.0	353.0	11.0	0.0	299245.0	7010474.0
Tbi-CJos_031_Ex1_L4_clmp.fp2_r1_screen	46714.0	6606.0	1469.0	4789.0	3653.0	807.0	676.0	222.0	21.0	0.0	202352.0	5456646.0
Tbi-CJos_031_Ex1_L4_clmp.fp2_r2_screen	47748.0	6657.0	1558.0	4714.0	3545.0	1009.0	740.0	238.0	14.0	0.0	209100.0	5448632.0
Tbi-CJos_032_Ex1_L4_clmp.fp2_r1_screen	53883.0	7428.0	1990.0	5211.0	4002.0	1029.0	790.0	200.0	27.0	0.0	231912.0	6228092.0
Tbi-CJos_032_Ex1_L4_clmp.fp2_r2_screen	56439.0	7822.0	1890.0	5171.0	4065.0	1099.0	750.0	258.0	8.0	0.0	238771.0	6218291.0
Tbi-CJos_033_Ex1_L4_clmp.fp2_r1_screen	73014.0	10446.0	2743.0	7144.0	5539.0	1539.0	1141.0	286.0	21.0	0.0	317497.0	8335743.0
Tbi-CJos_033_Ex1_L4_clmp.fp2_r2_screen	76614.0	10509.0	2459.0	7059.0	5123.0	1468.0	1169.0	352.0	9.0	0.0	328617.0	8321734.0
Tbi-CJos_034_Ex1_L4_clmp.fp2_r1_screen	87872.0	12269.0	2605.0	8448.0	6613.0	1891.0	1347.0	377.0	17.0	0.0	378996.0	9691706.0
Tbi-CJos_034_Ex1_L4_clmp.fp2_r2_screen	90114.0	12324.0	2664.0	8498.0	6593.0	1777.0	1264.0	396.0	13.0	0.0	391061.0	9677437.0
Tbi-CJos_035_Ex1_L4_clmp.fp2_r1_screen	51153.0	7084.0	1706.0	4977.0	3841.0	1156.0	775.0	183.0	4.0	0.0	227476.0	5853274.0
Tbi-CJos_035_Ex1_L4_clmp.fp2_r2_screen	53387.0	7123.0	1767.0	4989.0	3859.0	1087.0	862.0	176.0	10.0	0.0	234322.0	5844047.0
Tbi-CJos_036_Ex1_L4_clmp.fp2_r1_screen	59759.0	8432.0	2568.0	6005.0	4594.0	1445.0	901.0	263.0	12.0	0.0	259566.0	6653288.0
Tbi-CJos_036_Ex1_L4_clmp.fp2_r2_screen	62890.0	8836.0	2485.0	5887.0	4608.0	1356.0	919.0	283.0	13.0	0.0	268862.0	6640694.0
Tbi-CJos_037_Ex1_L4_clmp.fp2_r1_screen	88206.0	13416.0	2989.0	9257.0	6910.0	1890.0	1442.0	462.0	27.0	0.0	381368.0	10445686.0
Tbi-CJos_037_Ex1_L4_clmp.fp2_r2_screen	92255.0	13061.0	3017.0	9146.0	6909.0	1972.0	1482.0	385.0	13.0	0.0	399630.0	10423783.0
Tbi-CJos_038_Ex1_L4_clmp.fp2_r1_screen	53222.0	7611.0	2324.0	5328.0	4350.0	1163.0	786.0	276.0	11.0	0.0	229026.0	6607193.0
Tbi-CJos_038_Ex1_L4_clmp.fp2_r2_screen	55555.0	7920.0	2265.0	5543.0	4225.0	1093.0	879.0	269.0	8.0	0.0	236016.0	6597517.0
Tbi-CJos_039_Ex1_L4_clmp.fp2_r1_screen	65819.0	9442.0	1918.0	6763.0	5179.0	1364.0	1046.0	266.0	9.0	0.0	277220.0	8094868.0
Tbi-CJos_039_Ex1_L4_clmp.fp2_r2_screen	68943.0	9765.0	2073.0	6739.0	5152.0	1390.0	1002.0	314.0	9.0	0.0	288028.0	8080479.0
Tbi-CJos_040_Ex1_L4_clmp.fp2_r1_screen	57946.0	8654.0	2641.0	6165.0	4523.0	1220.0	847.0	285.0	18.0	0.0	242286.0	6920594.0
Tbi-CJos_040_Ex1_L4_clmp.fp2_r2_screen	59780.0	8597.0	2812.0	6043.0	4579.0	1135.0	880.0	265.0	4.0	0.0	252082.0	6909002.0
Tbi-CJos_041_Ex1_L4_clmp.fp2_r1_screen	37335.0	5334.0	3694.0	3762.0	2940.0	756.0	608.0	197.0	8.0	0.0	162018.0	4268879.0
Tbi-CJos_041_Ex1_L4_clmp.fp2_r2_screen	38504.0	5389.0	3617.0	3952.0	2760.0	735.0	517.0	169.0	6.0	0.0	168179.0	4261703.0
Tbi-CJos_042_Ex1_L4_clmp.fp2_r1_screen	25343.0	3577.0	3173.0	2455.0	2037.0	501.0	380.0	104.0	12.0	0.0	111589.0	2840221.0
Tbi-CJos_042_Ex1_L4_clmp.fp2_r2_screen	26496.0	3494.0	3114.0	2283.0	1837.0	532.0	376.0	108.0	2.0	0.0	116908.0	2834242.0
Tbi-CJos_043_Ex1_L4_clmp.fp2_r1_screen	89181.0	12656.0	2417.0	8632.0	6599.0	1954.0	1398.0	395.0	14.0	0.0	380540.0	10448078.0
Tbi-CJos_043_Ex1_L4_clmp.fp2_r2_screen	91123.0	13195.0	2472.0	8864.0	6761.0	1917.0	1310.0	391.0	14.0	0.0	393072.0	10432745.0
Tbi-CJos_044_Ex1_L4_clmp.fp2_r1_screen	44574.0	6792.0	2652.0	4715.0	3590.0	927.0	686.0	220.0	25.0	0.0	193904.0	5233084.0
Tbi-CJos_044_Ex1_L4_clmp.fp2_r2_screen	45429.0	6957.0	2662.0	4512.0	3471.0	975.0	684.0	223.0	27.0	0.0	199735.0	5226494.0
Tbi-CJos_046_Ex1_L4_clmp.fp2_r1_screen	58329.0	8473.0	1976.0	5737.0	4487.0	1372.0	884.0	307.0	20.0	0.0	247714.0	6722062.0
Tbi-CJos_046_Ex1_L4_clmp.fp2_r2_screen	61756.0	8553.0	2093.0	5672.0	4435.0	1203.0	922.0	265.0	9.0	0.0	257084.0	6709369.0
Tbi-CJos_048_Ex1_L4_clmp.fp2_r1_screen	75209.0	11059.0	3074.0	7697.0	5500.0	1512.0	1190.0	338.0	19.0	3.0	341544.0	8303236.0
Tbi-CJos_048_Ex1_L4_clmp.fp2_r2_screen	78656.0	10877.0	2963.0	7681.0	5525.0	1608.0	1060.0	468.0	6.0	0.0	352302.0	8289235.0
Tbi-CJos_052_Ex1_L4_clmp.fp2_r1_screen	82093.0	11251.0	2271.0	7762.0	5978.0	1807.0	1191.0	400.0	17.0	0.0	362479.0	9184268.0
Tbi-CJos_052_Ex1_L4_clmp.fp2_r2_screen	84149.0	11345.0	2253.0	8052.0	5951.0	1527.0	1251.0	309.0	18.0	0.0	373917.0	9170745.0
Tbi-CJos_053_Ex1_L4_clmp.fp2_r1_screen	76709.0	11226.0	3280.0	7534.0	6137.0	1414.0	1141.0	408.0	13.0	0.0	336085.0	8671991.0
Tbi-CJos_053_Ex1_L4_clmp.fp2_r2_screen	79246.0	11031.0	3239.0	7471.0	5743.0	1573.0	1230.0	446.0	8.0	0.0	344899.0	8661052.0
Tbi-CJos_055_Ex1_L4_clmp.fp2_r1_screen	91047.0	12664.0	2497.0	8855.0	6556.0	1830.0	1508.0	400.0	16.0	0.0	393192.0	10064377.0
Tbi-CJos_055_Ex1_L4_clmp.fp2_r2_screen	92926.0	12692.0	2547.0	8953.0	6720.0	1907.0	1427.0	412.0	15.0	0.0	403665.0	10051678.0
Tbi-CJos_056_Ex1_L4_clmp.fp2_r1_screen	53174.0	7114.0	1953.0	4973.0	4016.0	910.0	770.0	219.0	23.0	1.0	246792.0	5928964.0
Tbi-CJos_056_Ex1_L4_clmp.fp2_r2_screen	55069.0	7302.0	1900.0	5074.0	3782.0	998.0	689.0	286.0	8.0	0.0	253585.0	5920216.0
Tbi-CJos_057_Ex1_L4_clmp.fp2_r1_screen	101815.0	14714.0	3118.0	9744.0	7172.0	2224.0	1582.0	382.0	28.0	1.0	452793.0	11230578.0
Tbi-CJos_057_Ex1_L4_clmp.fp2_r2_screen	105446.0	14293.0	3177.0	10305.0	7254.0	2221.0	1717.0	459.0	25.0	0.0	465230.0	11214024.0
