Sample	Protists_1k	Bacteria_24k	Human	Fungi_RefSeq_release	Bird	Plant	Coral	Viruses	Vectors	Ecoli	Contamnts_Adaptrs	Multiple Genomes	No hits
Gmi-ABas_018-Ex1-b-cssl2.clmp.fp2_r1_screen	30465.0	23060.0	3469.0	2280.0	1598.0	425.0	363.0	158.0	1.0	0.0	0.0	123109.0	2992512.0
Gmi-ABas_018-Ex1-b-cssl2.clmp.fp2_r2_screen	30425.0	22488.0	3487.0	2293.0	1685.0	405.0	319.0	150.0	3.0	0.0	0.0	122402.0	2993783.0
Gmi-ABas_019-Ex1-b-cssl2.clmp.fp2_r1_screen	23245.0	48684.0	3601.0	1800.0	1084.0	328.0	253.0	138.0	1.0	0.0	0.0	101536.0	2221851.0
Gmi-ABas_019-Ex1-b-cssl2.clmp.fp2_r2_screen	23423.0	47987.0	3565.0	1858.0	1106.0	296.0	216.0	131.0	2.0	0.0	0.0	100645.0	2223292.0
Gmi-ABas_022-Ex1-b-cssl2.clmp.fp2_r1_screen	32183.0	37783.0	5621.0	2401.0	1316.0	411.0	309.0	110.0	4.0	0.0	0.0	123967.0	2766847.0
Gmi-ABas_022-Ex1-b-cssl2.clmp.fp2_r2_screen	32372.0	37023.0	5626.0	2408.0	1245.0	385.0	315.0	127.0	2.0	0.0	0.0	123414.0	2768035.0
Gmi-ABas_024-Ex1-b-cssl.clmp.fp2_r1_screen	24090.0	123227.0	96079.0	1656.0	816.0	238.0	172.0	175.0	1.0	0.0	0.0	160292.0	2217421.0
Gmi-ABas_024-Ex1-b-cssl.clmp.fp2_r2_screen	24129.0	120835.0	95953.0	1722.0	832.0	246.0	197.0	187.0	3.0	0.0	0.0	157919.0	2222144.0
Gmi-ABas_025-Ex1-b-cssl.clmp.fp2_r1_screen	17317.0	36201.0	2936.0	1482.0	837.0	216.0	140.0	126.0	2.0	0.0	0.0	99191.0	1771490.0
Gmi-ABas_025-Ex1-b-cssl.clmp.fp2_r2_screen	17349.0	35697.0	3049.0	1546.0	815.0	200.0	160.0	91.0	1.0	0.0	0.0	98189.0	1772841.0
Gmi-ABas_026-Ex1-b-cssl.clmp.fp2_r1_screen	25402.0	49042.0	3108.0	2706.0	878.0	246.0	153.0	173.0	2.0	0.0	0.0	198876.0	2425154.0
Gmi-ABas_026-Ex1-b-cssl.clmp.fp2_r2_screen	25639.0	48065.0	3108.0	2731.0	932.0	263.0	142.0	157.0	2.0	0.0	0.0	196029.0	2428672.0
Gmi-ABas_027-Ex1-b-cssl.clmp.fp2_r1_screen	26072.0	29696.0	2571.0	2862.0	1018.0	270.0	152.0	145.0	4.0	0.0	0.0	222237.0	2629357.0
Gmi-ABas_027-Ex1-b-cssl.clmp.fp2_r2_screen	26045.0	29094.0	2544.0	2908.0	972.0	234.0	109.0	131.0	0.0	0.0	0.0	219784.0	2632563.0
Gmi-ABas_028-Ex1-b-cssl2.clmp.fp2_r1_screen	35574.0	28424.0	3998.0	3153.0	1055.0	326.0	172.0	164.0	3.0	0.0	0.0	239729.0	2531780.0
Gmi-ABas_028-Ex1-b-cssl2.clmp.fp2_r2_screen	35434.0	28380.0	3963.0	3138.0	1015.0	358.0	165.0	174.0	2.0	0.0	0.0	237409.0	2534340.0
Gmi-ABas_029-Ex1-b-cssl.clmp.fp2_r1_screen	18272.0	79150.0	6758.0	1533.0	690.0	180.0	112.0	151.0	1.0	0.0	0.0	170888.0	2213155.0
Gmi-ABas_029-Ex1-b-cssl.clmp.fp2_r2_screen	1803.0	103061.0	11745.0	7259.0	961.0	474.0	217.0	248.0	1.0	0.0	0.0	131540.0	2233581.0
Gmi-ABas_030-Ex1-b-cssl2.clmp.fp2_r1_screen	20503.0	107320.0	2851.0	1626.0	780.0	161.0	93.0	141.0	1.0	0.0	0.0	201203.0	2020553.0
Gmi-ABas_030-Ex1-b-cssl2.clmp.fp2_r2_screen	20482.0	105732.0	2856.0	1632.0	738.0	166.0	102.0	187.0	0.0	0.0	0.0	197131.0	2026206.0
Gmi-ABas_031-Ex1-b-cssl.clmp.fp2_r1_screen	19463.0	65114.0	3297.0	1612.0	697.0	183.0	128.0	144.0	2.0	0.0	0.0	185747.0	2254628.0
Gmi-ABas_031-Ex1-b-cssl.clmp.fp2_r2_screen	19445.0	64108.0	3246.0	1630.0	645.0	224.0	97.0	146.0	1.0	0.0	0.0	183049.0	2258424.0
Gmi-ABas_032-Ex1-b-cssl.clmp.fp2_r1_screen	21751.0	63682.0	3130.0	1616.0	941.0	292.0	128.0	150.0	1.0	0.0	0.0	210633.0	2104710.0
Gmi-ABas_032-Ex1-b-cssl.clmp.fp2_r2_screen	21649.0	62831.0	3072.0	1641.0	877.0	263.0	130.0	169.0	1.0	0.0	0.0	209525.0	2106876.0
Gmi-ABas_033-Ex1-b-cssl2.clmp.fp2_r1_screen	21362.0	50206.0	3739.0	1564.0	950.0	295.0	153.0	227.0	2.0	0.0	0.0	228823.0	2120168.0
Gmi-ABas_033-Ex1-b-cssl2.clmp.fp2_r2_screen	21383.0	49645.0	3693.0	1586.0	974.0	252.0	136.0	181.0	4.0	0.0	0.0	227039.0	2122596.0
Gmi-ABas_034-Ex1-b-cssl2.clmp.fp2_r1_screen	19319.0	19044.0	1954.0	1704.0	546.0	278.0	140.0	101.0	2.0	0.0	0.0	157387.0	1834801.0
Gmi-ABas_034-Ex1-b-cssl2.clmp.fp2_r2_screen	19285.0	19018.0	1889.0	1679.0	497.0	208.0	132.0	94.0	4.0	0.0	0.0	156448.0	1836022.0
Gmi-ABas_035-Ex1-b-cssl2.clmp.fp2_r1_screen	28000.0	182827.0	22925.0	3756.0	1040.0	246.0	118.0	315.0	3.0	0.0	0.0	273947.0	2397637.0
Gmi-ABas_035-Ex1-b-cssl2.clmp.fp2_r2_screen	27848.0	179910.0	22834.0	3710.0	990.0	235.0	124.0	304.0	2.0	0.0	0.0	267614.0	2407243.0
Gmi-ABas_036-Ex1-b-cssl.clmp.fp2_r1_screen	20220.0	48541.0	2435.0	1319.0	718.0	319.0	129.0	129.0	7.0	0.0	0.0	174359.0	2546591.0
Gmi-ABas_036-Ex1-b-cssl.clmp.fp2_r2_screen	20012.0	48103.0	2431.0	1242.0	758.0	293.0	143.0	115.0	4.0	0.0	0.0	173118.0	2548548.0
Gmi-ABas_037-Ex1-b-cssl.clmp.fp2_r1_screen	27366.0	17122.0	3121.0	1892.0	1651.0	476.0	261.0	282.0	6.0	0.0	0.0	290020.0	3055982.0
Gmi-ABas_037-Ex1-b-cssl.clmp.fp2_r2_screen	27831.0	16964.0	3162.0	1882.0	1632.0	393.0	254.0	237.0	4.0	0.0	0.0	288479.0	3057341.0
Gmi-ABas_038-Ex1-b-cssl.clmp.fp2_r1_screen	27613.0	92268.0	3582.0	2717.0	760.0	331.0	190.0	190.0	2.0	0.0	0.0	228031.0	2405835.0
Gmi-ABas_038-Ex1-b-cssl.clmp.fp2_r2_screen	27674.0	91071.0	3559.0	2779.0	753.0	324.0	147.0	160.0	5.0	0.0	0.0	225346.0	2409701.0
Gmi-ABas_039-Ex1-b-cssl.clmp.fp2_r2_screen	19492.0	90741.0	3365.0	1355.0	574.0	262.0	161.0	153.0	1.0	0.0	0.0	187399.0	1928133.0
Gmi-ABas_040-Ex1-b-cssl.clmp.fp2_r1_screen	18603.0	45842.0	3345.0	1392.0	1091.0	299.0	131.0	237.0	18.0	0.0	0.0	191677.0	2442148.0
Gmi-ABas_040-Ex1-b-cssl.clmp.fp2_r2_screen	18614.0	45081.0	3320.0	1363.0	1088.0	276.0	155.0	188.0	6.0	0.0	0.0	190380.0	2444312.0
Gmi-ABas_041-Ex1-b-cssl.clmp.fp2_r1_screen	27154.0	66987.0	3727.0	2281.0	1468.0	414.0	196.0	286.0	9.0	0.0	0.0	289889.0	2800513.0
Gmi-ABas_041-Ex1-b-cssl.clmp.fp2_r2_screen	27701.0	65859.0	3745.0	2109.0	1472.0	408.0	164.0	277.0	5.0	0.0	0.0	287478.0	2803706.0
Gmi-ABas_042-Ex1-b-cssl.clmp.fp2_r1_screen	22788.0	15849.0	2181.0	1841.0	681.0	272.0	141.0	95.0	7.0	0.0	0.0	164923.0	2139680.0
Gmi-ABas_042-Ex1-b-cssl.clmp.fp2_r2_screen	22765.0	15842.0	2158.0	1842.0	696.0	279.0	151.0	108.0	3.0	0.0	0.0	163760.0	2140854.0
Gmi-ABas_043-Ex1-b-cssl.clmp.fp2_r1_screen	20660.0	57323.0	3932.0	1561.0	967.0	276.0	169.0	188.0	15.0	0.0	0.0	210196.0	2252479.0
Gmi-ABas_043-Ex1-b-cssl.clmp.fp2_r2_screen	20631.0	56365.0	3855.0	1543.0	949.0	276.0	117.0	169.0	0.0	0.0	0.0	208324.0	2255537.0
Gmi-ABas_045-Ex1-b-cssl2.clmp.fp2_r1_screen	11205.0	7320.0	1573.0	1087.0	496.0	114.0	90.0	46.0	42.0	0.0	0.0	85653.0	7418636.0
Gmi-ABas_045-Ex1-b-cssl2.clmp.fp2_r2_screen	12123.0	7224.0	1554.0	1058.0	519.0	144.0	127.0	55.0	3.0	0.0	0.0	85572.0	7417883.0
Gmi-ABas_046-Ex1-b-cssl.clmp.fp2_r1_screen	31694.0	48605.0	6338.0	2948.0	1017.0	390.0	205.0	220.0	21.0	0.0	0.0	259386.0	2999930.0
Gmi-ABas_046-Ex1-b-cssl.clmp.fp2_r2_screen	31543.0	48191.0	6374.0	2977.0	979.0	366.0	198.0	204.0	6.0	0.0	0.0	257306.0	3002610.0
Gmi-ABas_047-Ex1-b-cssl2.clmp.fp2_r1_screen	29154.0	12560.0	2965.0	2469.0	1131.0	333.0	216.0	186.0	12.0	0.0	0.0	213508.0	2278935.0
Gmi-ABas_047-Ex1-b-cssl2.clmp.fp2_r2_screen	29255.0	12554.0	2997.0	2552.0	1030.0	289.0	217.0	161.0	4.0	0.0	0.0	211950.0	2280460.0
Gmi-ABas_048-Ex1-b-cssl.clmp.fp2_r1_screen	27225.0	101647.0	3369.0	2012.0	712.0	318.0	138.0	152.0	18.0	0.0	0.0	225637.0	2354768.0
Gmi-ABas_048-Ex1-b-cssl.clmp.fp2_r2_screen	26985.0	100311.0	3355.0	2078.0	734.0	317.0	132.0	154.0	2.0	0.0	0.0	222543.0	2359385.0
Gmi-ABas_049-Ex1-b-cssl2.clmp.fp2_r1_screen	15499.0	10133.0	2109.0	1483.0	718.0	220.0	167.0	87.0	56.0	0.0	0.0	120929.0	9491924.0
Gmi-ABas_049-Ex1-b-cssl2.clmp.fp2_r2_screen	18003.0	10091.0	2023.0	1592.0	711.0	215.0	153.0	77.0	5.0	0.0	0.0	121424.0	9489031.0
Gmi-ABas_050-Ex1-b-cssl.clmp.fp2_r1_screen	39329.0	76854.0	6506.0	3491.0	2146.0	484.0	243.0	363.0	29.0	0.0	0.0	356185.0	3537813.0
Gmi-ABas_050-Ex1-b-cssl.clmp.fp2_r2_screen	39558.0	75286.0	6401.0	3555.0	2106.0	450.0	198.0	329.0	3.0	0.0	0.0	350904.0	3544653.0
Gmi-ABas_051-Ex1-b-cssl.clmp.fp2_r1_screen	29748.0	90352.0	3831.0	2067.0	1454.0	360.0	251.0	243.0	33.0	0.0	0.0	290805.0	3306580.0
Gmi-ABas_051-Ex1-b-cssl.clmp.fp2_r2_screen	29605.0	88366.0	3885.0	2093.0	1425.0	364.0	236.0	245.0	1.0	0.0	0.0	286591.0	3312913.0
Gmi-ABas_052-Ex1-b-cssl.clmp.fp2_r1_screen	36173.0	43533.0	3602.0	3416.0	987.0	433.0	238.0	207.0	26.0	0.0	0.0	307667.0	3477440.0
Gmi-ABas_052-Ex1-b-cssl.clmp.fp2_r2_screen	36140.0	42555.0	3591.0	3354.0	993.0	413.0	194.0	209.0	8.0	0.0	0.0	305339.0	3480926.0
Gmi-ABas_053-Ex1-b-cssl.clmp.fp2_r1_screen	39968.0	14960.0	3537.0	3491.0	1360.0	494.0	246.0	233.0	35.0	0.0	0.0	377899.0	4532163.0
Gmi-ABas_053-Ex1-b-cssl.clmp.fp2_r2_screen	40489.0	14766.0	3560.0	3507.0	1329.0	478.0	271.0	197.0	6.0	0.0	0.0	374636.0	4535147.0
Gmi-ABas_055-Ex1-b-cssl2.clmp.fp2_r1_screen	52601.0	64604.0	4998.0	4258.0	1247.0	542.0	243.0	276.0	46.0	0.0	0.0	320776.0	3626476.0
Gmi-ABas_055-Ex1-b-cssl2.clmp.fp2_r2_screen	52251.0	63432.0	4878.0	4288.0	1172.0	539.0	220.0	229.0	5.0	0.0	0.0	318093.0	3630960.0
Gmi-ABas_056-Ex1-b-cssl.clmp.fp2_r1_screen	32717.0	25014.0	2933.0	2518.0	1280.0	489.0	216.0	217.0	30.0	0.0	0.0	288637.0	3361068.0
Gmi-ABas_056-Ex1-b-cssl.clmp.fp2_r2_screen	32758.0	24244.0	2882.0	2478.0	1241.0	444.0	243.0	187.0	2.0	0.0	0.0	286600.0	3364040.0
Gmi-ABas_057-Ex1-b-cssl.clmp.fp2_r1_screen	35355.0	110061.0	4553.0	2370.0	1314.0	430.0	246.0	321.0	23.0	0.0	0.0	350117.0	3498297.0
Gmi-ABas_057-Ex1-b-cssl.clmp.fp2_r2_screen	35266.0	107786.0	4468.0	2453.0	1211.0	410.0	190.0	301.0	8.0	0.0	0.0	345091.0	3505903.0
Gmi-ABas_058-Ex1-b-cssl2.clmp.fp2_r1_screen	23104.0	17554.0	2793.0	1469.0	1444.0	340.0	190.0	198.0	2.0	0.0	0.0	247674.0	2288644.0
Gmi-ABas_058-Ex1-b-cssl2.clmp.fp2_r2_screen	23451.0	17347.0	2757.0	1522.0	1404.0	301.0	183.0	212.0	4.0	0.0	0.0	245262.0	2290969.0
Gmi-ABas_059-Ex1-b-cssl2.clmp.fp2_r1_screen	25158.0	9730.0	2654.0	2025.0	1717.0	349.0	213.0	210.0	2.0	0.0	0.0	250164.0	2340404.0
Gmi-ABas_059-Ex1-b-cssl2.clmp.fp2_r2_screen	25352.0	9403.0	2573.0	1945.0	1573.0	350.0	181.0	234.0	8.0	0.0	0.0	248234.0	2342773.0
Gmi-ABas_060-Ex1-b-cssl2.clmp.fp2_r1_screen	21619.0	5924.0	2144.0	1894.0	745.0	319.0	172.0	102.0	8.0	0.0	0.0	204138.0	2608846.0
Gmi-ABas_060-Ex1-b-cssl2.clmp.fp2_r2_screen	21871.0	5740.0	1966.0	1920.0	722.0	295.0	137.0	93.0	4.0	0.0	0.0	202894.0	2610269.0
Gmi-ABas_061-Ex1-b-cssl.clmp.fp2_r1_screen	27683.0	26288.0	2789.0	2775.0	909.0	328.0	167.0	162.0	3.0	0.0	0.0	236300.0	2240166.0
Gmi-ABas_061-Ex1-b-cssl.clmp.fp2_r2_screen	27685.0	25755.0	2734.0	2724.0	893.0	292.0	140.0	155.0	4.0	0.0	0.0	233977.0	2243211.0
Gmi-AHam_001-Ex1-cssl2.clmp.fp2_r1_screen	34688.0	92999.0	48507.0	2724.0	1684.0	477.0	284.0	230.0	7.0	0.0	0.0	311833.0	3208237.0
Gmi-AHam_001-Ex1-cssl2.clmp.fp2_r2_screen	35151.0	96318.0	48479.0	2681.0	1678.0	449.0	290.0	230.0	4.0	0.0	0.0	305932.0	3210458.0
Gmi-AHam_002-Ex1-cssl2.clmp.fp2_r1_screen	39149.0	83355.0	17373.0	3288.0	2491.0	414.0	238.0	740.0	15.0	0.0	0.0	233400.0	4074602.0
Gmi-AHam_002-Ex1-cssl2.clmp.fp2_r2_screen	39199.0	82389.0	17260.0	3361.0	2399.0	375.0	246.0	745.0	12.0	0.0	0.0	229576.0	4079503.0
Gmi-AHam_005-Ex1-cssl.clmp.fp2_r1_screen	55231.0	210679.0	11487.0	4402.0	2797.0	505.0	348.0	870.0	8.0	0.0	0.0	299698.0	3992289.0
Gmi-AHam_005-Ex1-cssl.clmp.fp2_r2_screen	55354.0	208594.0	11510.0	4442.0	2793.0	514.0	344.0	888.0	5.0	0.0	0.0	293340.0	4000530.0
Gmi-AHam_006-Ex1-cssl.clmp.fp2_r1_screen	20287.0	75239.0	10465.0	1548.0	877.0	150.0	123.0	477.0	2.0	0.0	0.0	118906.0	8095781.0
Gmi-AHam_006-Ex1-cssl.clmp.fp2_r2_screen	20964.0	74572.0	10533.0	1552.0	891.0	187.0	121.0	463.0	1.0	0.0	0.0	117125.0	8097446.0
Gmi-AHam_007-Ex1-cssl.clmp.fp2_r1_screen	26122.0	104743.0	5532.0	2264.0	1431.0	350.0	202.0	268.0	36.0	0.0	0.0	235795.0	12935728.0
Gmi-AHam_007-Ex1-cssl.clmp.fp2_r2_screen	25878.0	102799.0	5374.0	2312.0	1340.0	364.0	201.0	284.0	4.0	0.0	0.0	232862.0	12941053.0
Gmi-AHam_008-Ex1-cssl.clmp.fp2_r1_screen	41708.0	24306.0	11108.0	3430.0	2164.0	600.0	488.0	396.0	31.0	0.0	0.0	193296.0	9194373.0
Gmi-AHam_008-Ex1-cssl.clmp.fp2_r2_screen	42073.0	24097.0	10954.0	3396.0	2091.0	603.0	442.0	394.0	6.0	0.0	0.0	192524.0	9195320.0
Gmi-AHam_009-Ex1-cssl.clmp.fp2_r1_screen	50074.0	36440.0	18573.0	3977.0	2331.0	729.0	568.0	489.0	37.0	0.0	0.0	232098.0	7484977.0
Gmi-AHam_009-Ex1-cssl.clmp.fp2_r2_screen	51250.0	35910.0	18570.0	3966.0	2235.0	735.0	582.0	519.0	7.0	0.0	0.0	231542.0	7484977.0
Gmi-AHam_012-Ex1-cssl.clmp.fp2_r1_screen	77205.0	47540.0	14245.0	6300.0	3920.0	1017.0	507.0	668.0	6.0	0.0	0.0	317789.0	6167250.0
Gmi-AHam_012-Ex1-cssl.clmp.fp2_r2_screen	77835.0	47228.0	14343.0	6416.0	3915.0	1053.0	540.0	644.0	10.0	0.0	0.0	317213.0	6167250.0
Gmi-AHam_013-Ex1-cssl2.clmp.fp2_r1_screen	40929.0	33938.0	6354.0	3404.0	2012.0	614.0	300.0	280.0	23.0	0.0	0.0	227765.0	3580902.0
Gmi-AHam_013-Ex1-cssl2.clmp.fp2_r2_screen	41360.0	33367.0	6354.0	3460.0	2043.0	532.0	279.0	299.0	3.0	0.0	0.0	225584.0	3583240.0
Gmi-AHam_015-Ex1-cssl2.clmp.fp2_r1_screen	26014.0	257970.0	280553.0	6495.0	327.0	165.0	51.0	1195.0	22.0	0.0	0.0	218572.0	2646359.0
Gmi-AHam_015-Ex1-cssl2.clmp.fp2_r2_screen	26343.0	253653.0	280251.0	6387.0	300.0	162.0	58.0	1174.0	19.0	0.0	0.0	211329.0	2658047.0
Gmi-AHam_016-Ex1-cssl2.clmp.fp2_r1_screen	14023.0	9194.0	50951.0	1255.0	956.0	199.0	165.0	87.0	2.0	0.0	0.0	110510.0	5242834.0
Gmi-AHam_016-Ex1-cssl2.clmp.fp2_r2_screen	13945.0	9229.0	50882.0	1255.0	927.0	221.0	166.0	95.0	1.0	0.0	0.0	110078.0	5243377.0
Gmi-AHam_019-Ex1-cssl.clmp.fp2_r1_screen	63071.0	29681.0	25662.0	4868.0	2769.0	820.0	566.0	485.0	23.0	0.0	0.0	239809.0	5405453.0
Gmi-AHam_019-Ex1-cssl.clmp.fp2_r2_screen	63295.0	29335.0	25843.0	4783.0	2751.0	871.0	558.0	528.0	4.0	0.0	0.0	239786.0	5405453.0
Gmi-AHam_020-Ex1-cssl.clmp.fp2_r1_screen	67983.0	11244.0	12406.0	5488.0	3490.0	1077.0	582.0	292.0	25.0	0.0	0.0	258546.0	6664798.0
Gmi-AHam_020-Ex1-cssl.clmp.fp2_r2_screen	68371.0	11209.0	12377.0	5489.0	3382.0	1012.0	559.0	310.0	11.0	0.0	0.0	259116.0	6664095.0
Gmi-AHam_021-Ex1-cssl.clmp.fp2_r1_screen	72442.0	38368.0	29236.0	12787.0	3530.0	1084.0	612.0	542.0	17.0	0.0	0.0	291776.0	6500130.0
Gmi-AHam_021-Ex1-cssl.clmp.fp2_r2_screen	72984.0	37919.0	29017.0	12850.0	3487.0	1066.0	657.0	497.0	6.0	0.0	0.0	290521.0	6501520.0
Gmi-AHam_022-Ex1-cssl.clmp.fp2_r1_screen	47428.0	41533.0	11795.0	3618.0	2102.0	652.0	368.0	437.0	5.0	0.0	0.0	194677.0	4317448.0
Gmi-AHam_022-Ex1-cssl.clmp.fp2_r2_screen	47752.0	40852.0	11576.0	3634.0	2099.0	701.0	384.0	420.0	7.0	0.0	0.0	194266.0	4318372.0
Gmi-AHam_023-Ex1-cssl.clmp.fp2_r1_screen	60884.0	200680.0	17684.0	4844.0	2977.0	603.0	360.0	1154.0	10.0	0.0	0.0	317656.0	4707081.0
Gmi-AHam_023-Ex1-cssl.clmp.fp2_r2_screen	61123.0	198207.0	17775.0	4938.0	2874.0	597.0	334.0	1113.0	13.0	0.0	0.0	312970.0	4713989.0
Gmi-AHam_024-Ex1-cssl.clmp.fp2_r1_screen	37239.0	26027.0	8865.0	3006.0	1889.0	524.0	396.0	384.0	6.0	0.0	0.0	206849.0	9863725.0
Gmi-AHam_024-Ex1-cssl.clmp.fp2_r2_screen	37330.0	25423.0	8774.0	2911.0	1794.0	534.0	373.0	378.0	5.0	0.0	0.0	206648.0	9864740.0
Gmi-AHam_025-Ex1-cssl.clmp.fp2_r1_screen	42457.0	15051.0	8872.0	3068.0	1903.0	670.0	403.0	277.0	9.0	0.0	0.0	157010.0	3865109.0
Gmi-AHam_025-Ex1-cssl.clmp.fp2_r2_screen	42316.0	14972.0	8913.0	3042.0	1876.0	657.0	348.0	267.0	6.0	0.0	0.0	156914.0	3865518.0
Gmi-AHam_034-Ex1-cssl.clmp.fp2_r1_screen	30574.0	184676.0	27359.0	2055.0	1453.0	234.0	172.0	875.0	5.0	0.0	0.0	244139.0	9378769.0
Gmi-AHam_034-Ex1-cssl.clmp.fp2_r2_screen	30377.0	181272.0	27164.0	2084.0	1536.0	257.0	178.0	883.0	4.0	0.0	0.0	237917.0	9388639.0
Gmi-AHam_036-Ex1-cssl.clmp.fp2_r1_screen	33253.0	26763.0	9662.0	2803.0	1778.0	475.0	399.0	331.0	2.0	0.0	0.0	169830.0	6606530.0
Gmi-AHam_036-Ex1-cssl.clmp.fp2_r2_screen	33255.0	26394.0	9618.0	2793.0	1778.0	480.0	385.0	372.0	2.0	0.0	0.0	168849.0	6607900.0
Gmi-AHam_038-Ex1-cssl.clmp.fp2_r1_screen	35011.0	40535.0	7477.0	2392.0	1390.0	452.0	273.0	442.0	4.0	0.0	0.0	133458.0	3118438.0
