Sample	Protists_1k	Human	Bacteria_24k	Fungi_RefSeq_release	Bird	Coral	Plant	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
AeA01010_CKDL210012719-1a-AK3905-AK4971_HF5TCDSX2_L1_clmp_fp2_r1_screen	6148.0	2287.0	4095.0	713.0	320.0	118.0	128.0	87.0	0.0	0.0	28460.0	718059.0
AeA01010_CKDL210012719-1a-AK3905-AK4971_HF5TCDSX2_L1_clmp_fp2_r2_screen	6230.0	2278.0	4099.0	756.0	321.0	105.0	96.0	86.0	3.0	0.0	28230.0	718211.0
AeA01011_CKDL210012719-1a-AK3905-AK1864_HF5TCDSX2_L1_clmp_fp2_r1_screen	13554.0	8048.0	13689.0	1512.0	716.0	225.0	225.0	263.0	19.0	1.0	52224.0	1822325.0
AeA01011_CKDL210012719-1a-AK3905-AK1864_HF5TCDSX2_L1_clmp_fp2_r2_screen	13431.0	8013.0	13550.0	1555.0	687.0	203.0	184.0	263.0	6.0	1.0	52200.0	1822708.0
AeA01012_CKDL210012719-1a-AK3905-AK7558_HF5TCDSX2_L1_clmp_fp2_r1_screen	39324.0	6556.0	8805.0	4659.0	2492.0	831.0	766.0	257.0	53.0	2.0	150722.0	5054988.0
AeA01012_CKDL210012719-1a-AK3905-AK7558_HF5TCDSX2_L1_clmp_fp2_r2_screen	39897.0	6471.0	8805.0	4589.0	2394.0	786.0	741.0	250.0	18.0	0.0	150516.0	5054988.0
AeA01013_CKDL210012719-1a-AK3905-7UDI308_HF5TCDSX2_L1_clmp_fp2_r1_screen	82609.0	32758.0	62431.0	10031.0	4192.0	1478.0	1534.0	1766.0	108.0	2.0	422808.0	7195115.0
AeA01013_CKDL210012719-1a-AK3905-7UDI308_HF5TCDSX2_L1_clmp_fp2_r2_screen	82621.0	32476.0	61884.0	9837.0	4135.0	1432.0	1465.0	1737.0	34.0	0.0	423314.0	7195897.0
AeA01014_CKDL210012719-1a-AK3905-AK2587_HF5TCDSX2_L1_clmp_fp2_r1_screen	40524.0	7250.0	11384.0	4808.0	2417.0	819.0	704.0	303.0	63.0	1.0	137429.0	5844352.0
AeA01014_CKDL210012719-1a-AK3905-AK2587_HF5TCDSX2_L1_clmp_fp2_r2_screen	40560.0	6989.0	11379.0	4791.0	2329.0	763.0	725.0	283.0	14.0	0.0	137869.0	5844352.0
AeA01015_CKDL210012719-1a-AK3905-GC12_HF5TCDSX2_L1_clmp_fp2_r1_screen	62124.0	11955.0	14832.0	7183.0	3636.0	1186.0	1151.0	513.0	106.0	1.0	198970.0	8703020.0
AeA01015_CKDL210012719-1a-AK3905-GC12_HF5TCDSX2_L1_clmp_fp2_r2_screen	61998.0	11948.0	14829.0	7229.0	3611.0	1187.0	1080.0	512.0	28.0	3.0	199232.0	8703020.0
AeA01016_CKDL210012719-1a-AK3905-7UDI246_HF5TCDSX2_L1_clmp_fp2_r1_screen	5362.0	1399.0	4095.0	647.0	263.0	85.0	98.0	86.0	3.0	0.0	20503.0	697067.0
AeA01016_CKDL210012719-1a-AK3905-7UDI246_HF5TCDSX2_L1_clmp_fp2_r2_screen	5387.0	1414.0	4061.0	611.0	294.0	111.0	110.0	74.0	0.0	0.0	20552.0	696994.0
AeA01017_CKDL210012719-1a-AK7761-7UDI214_HF5TCDSX2_L1_clmp_fp2_r1_screen	43634.0	6954.0	11324.0	5160.0	2667.0	809.0	813.0	281.0	37.0	0.0	149583.0	5942010.0
AeA01017_CKDL210012719-1a-AK7761-7UDI214_HF5TCDSX2_L1_clmp_fp2_r2_screen	43827.0	6998.0	11290.0	5122.0	2620.0	823.0	856.0	275.0	10.0	0.0	150057.0	5941394.0
AeA01018_CKDL210012719-1a-AK7761-AK4971_HF5TCDSX2_L1_clmp_fp2_r1_screen	41494.0	14968.0	74396.0	3830.0	1526.0	474.0	445.0	2631.0	26.0	0.0	131789.0	6745941.0
AeA01018_CKDL210012719-1a-AK7761-AK4971_HF5TCDSX2_L1_clmp_fp2_r2_screen	42252.0	14815.0	74081.0	3869.0	1454.0	420.0	442.0	2705.0	15.0	0.0	132227.0	6745240.0
AeA01019_CKDL210012719-1a-AK7761-AK1864_HF5TCDSX2_L1_clmp_fp2_r1_screen	33584.0	7921.0	16711.0	4021.0	1998.0	717.0	592.0	301.0	21.0	0.0	112483.0	4615973.0
AeA01019_CKDL210012719-1a-AK7761-AK1864_HF5TCDSX2_L1_clmp_fp2_r2_screen	33853.0	7939.0	16587.0	3816.0	1986.0	607.0	637.0	281.0	13.0	0.0	112151.0	4616452.0
AeA01020_CKDL210012719-1a-AK7761-AK7558_HF5TCDSX2_L1_clmp_fp2_r1_screen	12247.0	2828.0	8699.0	1311.0	652.0	202.0	230.0	315.0	11.0	0.0	65105.0	1175335.0
AeA01020_CKDL210012719-1a-AK7761-AK7558_HF5TCDSX2_L1_clmp_fp2_r2_screen	12454.0	2902.0	8718.0	1295.0	616.0	204.0	238.0	318.0	4.0	0.0	64471.0	1175715.0
AeA01021_CKDL210012719-1a-AK7761-7UDI308_HF5TCDSX2_L1_clmp_fp2_r1_screen	1234.0	341.0	894.0	128.0	63.0	18.0	22.0	43.0	0.0	0.0	4392.0	161128.0
AeA01021_CKDL210012719-1a-AK7761-7UDI308_HF5TCDSX2_L1_clmp_fp2_r2_screen	1286.0	329.0	877.0	136.0	58.0	13.0	14.0	48.0	0.0	0.0	4374.0	161128.0
AeA01022_CKDL210012719-1a-AK7761-AK2587_HF5TCDSX2_L1_clmp_fp2_r1_screen	25475.0	4162.0	6845.0	3032.0	1410.0	485.0	516.0	183.0	15.0	1.0	83669.0	3228686.0
AeA01022_CKDL210012719-1a-AK7761-AK2587_HF5TCDSX2_L1_clmp_fp2_r2_screen	25517.0	4247.0	6821.0	3083.0	1413.0	477.0	442.0	206.0	10.0	0.0	84248.0	3228015.0
AeA01023_CKDL210012719-1a-AK7761-GC12_HF5TCDSX2_L1_clmp_fp2_r1_screen	9089.0	2493.0	14506.0	971.0	477.0	138.0	126.0	377.0	3.0	0.0	33359.0	1126462.0
AeA01023_CKDL210012719-1a-AK7761-GC12_HF5TCDSX2_L1_clmp_fp2_r2_screen	9208.0	2514.0	14520.0	946.0	411.0	106.0	137.0	413.0	2.0	0.0	33163.0	1126581.0
AeA01024_CKDL210012719-1a-AK7761-7UDI246_HF5TCDSX2_L1_clmp_fp2_r1_screen	12418.0	2180.0	5728.0	1504.0	718.0	246.0	178.0	99.0	4.0	0.0	40249.0	1581439.0
AeA01024_CKDL210012719-1a-AK7761-7UDI246_HF5TCDSX2_L1_clmp_fp2_r2_screen	12201.0	2116.0	5787.0	1573.0	641.0	248.0	211.0	101.0	7.0	0.0	40274.0	1581604.0
AeA01025_CKDL210012719-1a-5UDI298-7UDI214_HF5TCDSX2_L1_clmp_fp2_r1_screen	24163.0	4350.0	8291.0	2838.0	1326.0	449.0	425.0	168.0	13.0	0.0	80929.0	3164525.0
AeA01025_CKDL210012719-1a-5UDI298-7UDI214_HF5TCDSX2_L1_clmp_fp2_r2_screen	24383.0	4384.0	8351.0	2775.0	1396.0	461.0	435.0	171.0	6.0	0.0	80919.0	3164196.0
AeA01026_CKDL210012719-1a-5UDI298-AK4971_HF5TCDSX2_L1_clmp_fp2_r1_screen	40960.0	7953.0	9291.0	4779.0	2375.0	821.0	750.0	298.0	15.0	0.0	132726.0	5990968.0
AeA01026_CKDL210012719-1a-5UDI298-AK4971_HF5TCDSX2_L1_clmp_fp2_r2_screen	41539.0	7900.0	9361.0	4829.0	2273.0	728.0	697.0	269.0	25.0	0.0	133585.0	5989730.0
AeA01027_CKDL210012719-1a-5UDI298-AK1864_HF5TCDSX2_L1_clmp_fp2_r1_screen	40696.0	104611.0	29185.0	4123.0	2183.0	618.0	647.0	430.0	17.0	0.0	147591.0	8640020.0
AeA01027_CKDL210012719-1a-5UDI298-AK1864_HF5TCDSX2_L1_clmp_fp2_r2_screen	40995.0	104233.0	29208.0	4222.0	2151.0	628.0	641.0	439.0	20.0	0.0	148461.0	8639123.0
AeA01028_CKDL210012719-1a-5UDI298-AK7558_HF5TCDSX2_L1_clmp_fp2_r1_screen	79616.0	13844.0	17697.0	9684.0	4722.0	1527.0	1476.0	498.0	26.0	0.0	253632.0	11429670.0
AeA01028_CKDL210012719-1a-5UDI298-AK7558_HF5TCDSX2_L1_clmp_fp2_r2_screen	79707.0	13666.0	17651.0	9636.0	4808.0	1672.0	1381.0	469.0	46.0	0.0	254867.0	11428489.0
AeA01029_CKDL210012719-1a-5UDI298-7UDI308_HF5TCDSX2_L1_clmp_fp2_r1_screen	2110.0	743.0	1403.0	282.0	132.0	31.0	43.0	30.0	0.0	0.0	8816.0	271903.0
AeA01029_CKDL210012719-1a-5UDI298-7UDI308_HF5TCDSX2_L1_clmp_fp2_r2_screen	2214.0	732.0	1376.0	263.0	120.0	35.0	40.0	26.0	1.0	0.0	8783.0	271903.0
AeA01030_CKDL210012719-1a-5UDI298-AK2587_HF5TCDSX2_L1_clmp_fp2_r1_screen	44188.0	10714.0	15499.0	5047.0	2587.0	796.0	844.0	491.0	19.0	0.0	145397.0	6409157.0
AeA01030_CKDL210012719-1a-5UDI298-AK2587_HF5TCDSX2_L1_clmp_fp2_r2_screen	43799.0	10627.0	15329.0	5074.0	2544.0	807.0	730.0	479.0	17.0	0.0	145512.0	6409821.0
AeA01031_CKDL210012719-1a-5UDI298-GC12_HF5TCDSX2_L1_clmp_fp2_r1_screen	4123.0	1798.0	3328.0	427.0	253.0	59.0	81.0	53.0	1.0	0.0	17575.0	569221.0
AeA01031_CKDL210012719-1a-5UDI298-GC12_HF5TCDSX2_L1_clmp_fp2_r2_screen	4239.0	1754.0	3257.0	491.0	195.0	64.0	72.0	40.0	2.0	0.0	17524.0	569281.0
AeA01032_CKDL210012719-1a-5UDI298-7UDI246_HF5TCDSX2_L1_clmp_fp2_r1_screen	12138.0	2960.0	8959.0	1342.0	590.0	204.0	236.0	302.0	6.0	0.0	58739.0	1203754.0
AeA01032_CKDL210012719-1a-5UDI298-7UDI246_HF5TCDSX2_L1_clmp_fp2_r2_screen	12270.0	2977.0	8960.0	1319.0	552.0	215.0	210.0	283.0	4.0	0.0	58300.0	1204140.0
AeA01033_CKDL210012719-1a-AK9142-7UDI214_HF5TCDSX2_L1_clmp_fp2_r1_screen	38470.0	6109.0	7880.0	4550.0	2247.0	690.0	711.0	293.0	7.0	2.0	125349.0	5375097.0
AeA01033_CKDL210012719-1a-AK9142-7UDI214_HF5TCDSX2_L1_clmp_fp2_r2_screen	38364.0	6126.0	7740.0	4497.0	2226.0	677.0	666.0	267.0	14.0	0.0	126287.0	5374541.0
AeA01034_CKDL210012719-1a-AK9142-AK4971_HF5TCDSX2_L1_clmp_fp2_r1_screen	16721.0	5076.0	7344.0	1949.0	998.0	265.0	297.0	167.0	2.0	0.0	60241.0	2558203.0
AeA01034_CKDL210012719-1a-AK9142-AK4971_HF5TCDSX2_L1_clmp_fp2_r2_screen	16570.0	4970.0	7307.0	1969.0	913.0	293.0	317.0	184.0	9.0	0.0	60263.0	2558468.0
AeA01035_CKDL210012719-1a-AK9142-AK1864_HF5TCDSX2_L1_clmp_fp2_r1_screen	62419.0	12463.0	28314.0	7244.0	3773.0	1180.0	1077.0	648.0	9.0	1.0	197952.0	9500496.0
AeA01035_CKDL210012719-1a-AK9142-AK1864_HF5TCDSX2_L1_clmp_fp2_r2_screen	62675.0	12470.0	27885.0	7282.0	3539.0	1167.0	1081.0	659.0	40.0	1.0	199263.0	9499514.0
AeA01036_CKDL210012719-1a-AK9142-AK7558_HF5TCDSX2_L1_clmp_fp2_r1_screen	1917.0	646.0	1182.0	210.0	94.0	22.0	24.0	18.0	0.0	0.0	6473.0	303533.0
AeA01036_CKDL210012719-1a-AK9142-AK7558_HF5TCDSX2_L1_clmp_fp2_r2_screen	1949.0	639.0	1192.0	208.0	121.0	36.0	30.0	22.0	0.0	0.0	6389.0	303533.0
AeA01037_CKDL210012719-1a-AK9142-7UDI308_HF5TCDSX2_L1_clmp_fp2_r1_screen	2580.0	719.0	1614.0	300.0	124.0	38.0	65.0	25.0	0.0	0.0	9965.0	310773.0
AeA01037_CKDL210012719-1a-AK9142-7UDI308_HF5TCDSX2_L1_clmp_fp2_r2_screen	2438.0	813.0	1652.0	315.0	148.0	36.0	45.0	27.0	3.0	0.0	9855.0	310871.0
AeA01038_CKDL210012719-1a-AK9142-AK2587_HF5TCDSX2_L1_clmp_fp2_r1_screen	4207.0	1720.0	3053.0	520.0	176.0	65.0	68.0	73.0	1.0	0.0	21598.0	532686.0
AeA01038_CKDL210012719-1a-AK9142-AK2587_HF5TCDSX2_L1_clmp_fp2_r2_screen	4436.0	1680.0	3119.0	486.0	210.0	70.0	63.0	60.0	1.0	0.0	21356.0	532686.0
AeA01039_CKDL210012719-1a-AK9142-GC12_HF5TCDSX2_L1_clmp_fp2_r1_screen	62316.0	91791.0	27559.0	7289.0	3605.0	1239.0	1139.0	582.0	11.0	1.0	233105.0	8730257.0
AeA01039_CKDL210012719-1a-AK9142-GC12_HF5TCDSX2_L1_clmp_fp2_r2_screen	62436.0	91489.0	27406.0	6911.0	3575.0	1119.0	1130.0	575.0	33.0	2.0	233045.0	8731173.0
AeA01040_CKDL210012719-1a-AK9142-7UDI246_HF5TCDSX2_L1_clmp_fp2_r1_screen	5217.0	2209.0	5022.0	630.0	284.0	89.0	94.0	77.0	0.0	0.0	23832.0	607184.0
AeA01040_CKDL210012719-1a-AK9142-7UDI246_HF5TCDSX2_L1_clmp_fp2_r2_screen	5385.0	2245.0	5137.0	617.0	258.0	96.0	71.0	78.0	1.0	1.0	23758.0	606991.0
AeA01041_CKDL210012719-1a-AK8410-7UDI214_HF5TCDSX2_L1_clmp_fp2_r1_screen	51390.0	8338.0	14901.0	5977.0	2994.0	962.0	937.0	397.0	10.0	4.0	165585.0	7167221.0
AeA01041_CKDL210012719-1a-AK8410-7UDI214_HF5TCDSX2_L1_clmp_fp2_r2_screen	51787.0	8282.0	14939.0	5898.0	2913.0	1026.0	858.0	407.0	29.0	0.0	166098.0	7166479.0
AeA01042_CKDL210012719-1a-AK8410-AK4971_HF5TCDSX2_L1_clmp_fp2_r1_screen	29956.0	5443.0	11365.0	3223.0	1760.0	551.0	564.0	234.0	10.0	0.0	124240.0	3517347.0
AeA01042_CKDL210012719-1a-AK8410-AK4971_HF5TCDSX2_L1_clmp_fp2_r2_screen	29996.0	5511.0	11298.0	3343.0	1711.0	539.0	573.0	248.0	13.0	0.0	124483.0	3516978.0
AeA01043_CKDL210012719-1a-AK8410-AK1864_HF5TCDSX2_L1_clmp_fp2_r1_screen	4260.0	5011.0	2250.0	423.0	218.0	98.0	67.0	56.0	0.0	0.0	15933.0	676042.0
AeA01043_CKDL210012719-1a-AK8410-AK1864_HF5TCDSX2_L1_clmp_fp2_r2_screen	4218.0	5013.0	2252.0	466.0	241.0	72.0	56.0	51.0	2.0	0.0	15874.0	676113.0
AeA01044_CKDL210012719-1a-AK8410-AK7558_HF5TCDSX2_L1_clmp_fp2_r1_screen	20943.0	4639.0	5436.0	2555.0	1175.0	409.0	350.0	165.0	0.0	0.0	69016.0	2795232.0
AeA01044_CKDL210012719-1a-AK8410-AK7558_HF5TCDSX2_L1_clmp_fp2_r2_screen	21140.0	4608.0	5336.0	2452.0	1186.0	421.0	394.0	164.0	9.0	0.0	68978.0	2795232.0
AeA01045_CKDL210012719-1a-AK8410-7UDI308_HF5TCDSX2_L1_clmp_fp2_r1_screen	42944.0	10281.0	19608.0	5532.0	2490.0	757.0	858.0	397.0	10.0	1.0	141055.0	6174137.0
AeA01045_CKDL210012719-1a-AK8410-7UDI308_HF5TCDSX2_L1_clmp_fp2_r2_screen	43473.0	10057.0	19558.0	5402.0	2496.0	794.0	822.0	403.0	17.0	0.0	140911.0	6174137.0
AeA01046_CKDL210012719-1a-AK8410-AK2587_HF5TCDSX2_L1_clmp_fp2_r1_screen	27098.0	17813.0	26223.0	2808.0	1269.0	423.0	457.0	729.0	3.0	0.0	132399.0	2890354.0
AeA01046_CKDL210012719-1a-AK8410-AK2587_HF5TCDSX2_L1_clmp_fp2_r2_screen	26970.0	17795.0	26233.0	2843.0	1293.0	410.0	473.0	752.0	12.0	1.0	132130.0	2890664.0
AeA01047_CKDL210012719-1a-AK8410-GC12_HF5TCDSX2_L1_clmp_fp2_r1_screen	84948.0	16157.0	20895.0	9885.0	5083.0	1673.0	1528.0	480.0	20.0	2.0	272463.0	12578487.0
AeA01047_CKDL210012719-1a-AK8410-GC12_HF5TCDSX2_L1_clmp_fp2_r2_screen	84462.0	16360.0	20822.0	9851.0	5054.0	1613.0	1474.0	486.0	34.0	0.0	274277.0	12577188.0
AeA01048_CKDL210012719-1a-AK8410-7UDI246_HF5TCDSX2_L1_clmp_fp2_r1_screen	45815.0	11159.0	101321.0	4698.0	1761.0	592.0	585.0	2639.0	25.0	5.0	157938.0	5504486.0
AeA01048_CKDL210012719-1a-AK8410-7UDI246_HF5TCDSX2_L1_clmp_fp2_r2_screen	45578.0	11097.0	100547.0	4534.0	1772.0	604.0	596.0	2628.0	18.0	1.0	157997.0	5505652.0
AeA01049_CKDL210012719-1a-AK8587-7UDI214_HF5TCDSX2_L1_clmp_fp2_r1_screen	97383.0	17827.0	27027.0	11565.0	5867.0	1847.0	1918.0	690.0	89.0	3.0	334096.0	13343670.0
AeA01049_CKDL210012719-1a-AK8587-7UDI214_HF5TCDSX2_L1_clmp_fp2_r2_screen	98952.0	17945.0	26749.0	11632.0	5951.0	1824.0	1814.0	728.0	34.0	0.0	336835.0	13339518.0
AeA01050_CKDL210012719-1a-AK8587-AK4971_HF5TCDSX2_L1_clmp_fp2_r1_screen	85081.0	17208.0	23660.0	10081.0	5146.0	1574.0	1582.0	742.0	91.0	3.0	288690.0	12178273.0
AeA01050_CKDL210012719-1a-AK8587-AK4971_HF5TCDSX2_L1_clmp_fp2_r2_screen	86047.0	17099.0	23305.0	10070.0	4986.0	1539.0	1376.0	712.0	49.0	0.0	289936.0	12177012.0
AeA01051_CKDL210012719-1a-AK8587-AK1864_HF5TCDSX2_L1_clmp_fp2_r1_screen	74921.0	462237.0	23616.0	8741.0	4640.0	1398.0	1328.0	504.0	65.0	3.0	370427.0	10885825.0
AeA01051_CKDL210012719-1a-AK8587-AK1864_HF5TCDSX2_L1_clmp_fp2_r2_screen	75161.0	460516.0	23478.0	8608.0	4454.0	1361.0	1331.0	511.0	41.0	0.0	370053.0	10888191.0
AeA01052_CKDL210012719-1a-AK8587-AK7558_HF5TCDSX2_L1_clmp_fp2_r1_screen	10549.0	6020.0	5201.0	1228.0	572.0	199.0	172.0	90.0	8.0	0.0	37644.0	1453860.0
AeA01052_CKDL210012719-1a-AK8587-AK7558_HF5TCDSX2_L1_clmp_fp2_r2_screen	10588.0	5973.0	5166.0	1208.0	604.0	193.0	151.0	68.0	7.0	0.0	37574.0	1454011.0
AeA01053_CKDL210012719-1a-AK8587-7UDI308_HF5TCDSX2_L1_clmp_fp2_r1_screen	2585.0	1710.0	1415.0	265.0	131.0	51.0	46.0	41.0	0.0	0.0	9621.0	354797.0
AeA01053_CKDL210012719-1a-AK8587-7UDI308_HF5TCDSX2_L1_clmp_fp2_r2_screen	2651.0	1655.0	1418.0	272.0	133.0	47.0	46.0	34.0	0.0	0.0	9720.0	354686.0
AeA01054_CKDL210012719-1a-AK8587-AK2587_HF5TCDSX2_L1_clmp_fp2_r1_screen	88550.0	19765.0	25980.0	10295.0	5353.0	1593.0	1581.0	563.0	70.0	2.0	299691.0	12689816.0
AeA01054_CKDL210012719-1a-AK8587-AK2587_HF5TCDSX2_L1_clmp_fp2_r2_screen	88375.0	19627.0	25696.0	10264.0	5193.0	1660.0	1569.0	559.0	32.0	0.0	300468.0	12689816.0
AeA01055_CKDL210012719-1a-AK8587-GC12_HF5TCDSX2_L1_clmp_fp2_r1_screen	37816.0	9010.0	37692.0	4062.0	1781.0	614.0	620.0	917.0	25.0	4.0	169671.0	4159574.0
AeA01055_CKDL210012719-1a-AK8587-GC12_HF5TCDSX2_L1_clmp_fp2_r2_screen	37545.0	8882.0	37595.0	3980.0	1870.0	638.0	573.0	915.0	13.0	0.0	170201.0	4159574.0
AeA01056_CKDL210012719-1a-AK8587-7UDI246_HF5TCDSX2_L1_clmp_fp2_r1_screen	68130.0	13478.0	18159.0	8245.0	4282.0	1349.0	1294.0	394.0	77.0	0.0	216366.0	10234253.0
AeA01056_CKDL210012719-1a-AK8587-7UDI246_HF5TCDSX2_L1_clmp_fp2_r2_screen	67998.0	13368.0	18063.0	8049.0	4115.0	1316.0	1194.0	453.0	28.0	0.0	217190.0	10234253.0
AeA01057_CKDL210012719-1a-AK7759-7UDI214_HF5TCDSX2_L1_clmp_fp2_r1_screen	6000.0	4166.0	5662.0	695.0	324.0	112.0	130.0	60.0	14.0	0.0	27096.0	642990.0
AeA01057_CKDL210012719-1a-AK7759-7UDI214_HF5TCDSX2_L1_clmp_fp2_r2_screen	5983.0	4200.0	5621.0	716.0	315.0	95.0	119.0	67.0	2.0	0.0	27004.0	643127.0
AeA01058_CKDL210012719-1a-AK7759-AK4971_HF5TCDSX2_L1_clmp_fp2_r1_screen	22019.0	8857.0	22996.0	2566.0	1181.0	341.0	445.0	239.0	36.0	0.0	105449.0	2112273.0
AeA01058_CKDL210012719-1a-AK7759-AK4971_HF5TCDSX2_L1_clmp_fp2_r2_screen	22173.0	8888.0	22742.0	2452.0	1177.0	348.0	432.0	261.0	5.0	0.0	104741.0	2113183.0
AeA01059_CKDL210012719-1a-AK7759-AK1864_HF5TCDSX2_L1_clmp_fp2_r1_screen	7958.0	2257.0	2315.0	980.0	453.0	192.0	135.0	61.0	13.0	0.0	33408.0	1301710.0
AeA01059_CKDL210012719-1a-AK7759-AK1864_HF5TCDSX2_L1_clmp_fp2_r2_screen	8240.0	2283.0	2393.0	985.0	490.0	151.0	157.0	42.0	2.0	0.0	33434.0	1301305.0
AeA01060_CKDL210012719-1a-AK7759-AK7558_HF5TCDSX2_L1_clmp_fp2_r1_screen	53418.0	9526.0	16022.0	6066.0	3019.0	985.0	998.0	485.0	132.0	0.0	199696.0	7097605.0
AeA01060_CKDL210012719-1a-AK7759-AK7558_HF5TCDSX2_L1_clmp_fp2_r2_screen	54089.0	9581.0	15913.0	6189.0	3027.0	1054.0	1010.0	478.0	14.0	0.0	200470.0	7096127.0
AeC01001_CKDL210012719-1a-5UDI301-AK533_HF5TCDSX2_L1_clmp_fp2_r1_screen	22790.0	3415.0	984.0	2827.0	1614.0	405.0	314.0	88.0	7.0	2.0	78807.0	6282546.0
AeC01001_CKDL210012719-1a-5UDI301-AK533_HF5TCDSX2_L1_clmp_fp2_r2_screen	22831.0	3407.0	976.0	2790.0	1666.0	371.0	346.0	99.0	7.0	0.0	78760.0	6282546.0
AeC01002_CKDL210012719-1a-AK7758-AK533_HF5TCDSX2_L1_clmp_fp2_r1_screen	26947.0	6164.0	1016.0	3104.0	1881.0	412.0	355.0	100.0	5.0	1.0	86490.0	7538637.0
AeC01002_CKDL210012719-1a-AK7758-AK533_HF5TCDSX2_L1_clmp_fp2_r2_screen	26709.0	6102.0	1004.0	3174.0	1821.0	381.0	407.0	103.0	6.0	0.0	87534.0	7537871.0
AeC01003_CKDL210012719-1a-AK7078-AK533_HF5TCDSX2_L1_clmp_fp2_r1_screen	22888.0	3254.0	976.0	2781.0	1608.0	345.0	321.0	103.0	6.0	0.0	79555.0	5966228.0
