Sample	Bacteria_24k	Protists_1k	Human	Fungi_RefSeq_release	Bird	Plant	Viruses	Coral	Vectors	Multiple Genomes	No hits
Ssp-AAtu_011-Ex1-1C-cssl-2-2.clmp.fp2_r1_screen	20326.0	2332.0	1929.0	233.0	51.0	29.0	55.0	15.0	1.0	26702.0	105004.0
Ssp-AAtu_011-Ex1-1C-cssl-2-2.clmp.fp2_r2_screen	20136.0	2374.0	1889.0	238.0	53.0	22.0	48.0	22.0	2.0	26560.0	105333.0
Ssp-AAtu_012-Ex1-1D-cssl-2-2.clmp.fp2_r1_screen	18122.0	2571.0	1602.0	370.0	57.0	34.0	103.0	22.0	0.0	19321.0	133563.0
Ssp-AAtu_012-Ex1-1D-cssl-2-2.clmp.fp2_r2_screen	18165.0	2543.0	1585.0	368.0	62.0	28.0	98.0	7.0	1.0	19081.0	133827.0
Ssp-AAtu_013-Ex1-6F-cssl-2-2.clmp.fp2_r1_screen	2224.0	10438.0	926.0	673.0	318.0	164.0	38.0	85.0	1.0	143772.0	231520.0
Ssp-AAtu_013-Ex1-6F-cssl-2-2.clmp.fp2_r2_screen	2099.0	10656.0	961.0	705.0	323.0	172.0	38.0	82.0	1.0	143524.0	231598.0
Ssp-AAtu_014-Ex1-1E-cssl-2-2.clmp.fp2_r1_screen	11632.0	3033.0	1081.0	240.0	79.0	39.0	73.0	20.0	1.0	17473.0	156235.0
Ssp-AAtu_014-Ex1-1E-cssl-2-2.clmp.fp2_r2_screen	11551.0	3030.0	1061.0	212.0	73.0	25.0	77.0	19.0	0.0	17490.0	156368.0
Ssp-AAtu_015-Ex1-4F-cssl-2-2.clmp.fp2_r1_screen	8447.0	2804.0	698.0	188.0	75.0	27.0	15.0	19.0	1.0	35240.0	86517.0
Ssp-AAtu_015-Ex1-4F-cssl-2-2.clmp.fp2_r2_screen	8376.0	2825.0	668.0	187.0	72.0	30.0	12.0	27.0	0.0	35143.0	86691.0
Ssp-AAtu_016-Ex1-1F-cssl-2-2.clmp.fp2_r1_screen	6088.0	1600.0	227.0	123.0	51.0	21.0	54.0	13.0	0.0	9072.0	80978.0
Ssp-AAtu_016-Ex1-1F-cssl-2-2.clmp.fp2_r2_screen	5986.0	1549.0	206.0	112.0	49.0	21.0	47.0	6.0	0.0	9185.0	81066.0
Ssp-AAtu_017-Ex1-1G-cssl-2-2.clmp.fp2_r1_screen	15970.0	2512.0	421.0	197.0	96.0	32.0	29.0	16.0	1.0	30058.0	112304.0
Ssp-AAtu_017-Ex1-1G-cssl-2-2.clmp.fp2_r2_screen	15805.0	2627.0	458.0	212.0	78.0	33.0	28.0	19.0	0.0	29506.0	112870.0
Ssp-AAtu_018-Ex1-1H-cssl-2-2.clmp.fp2_r1_screen	11179.0	2336.0	746.0	214.0	104.0	39.0	76.0	23.0	0.0	16044.0	122124.0
Ssp-AAtu_018-Ex1-1H-cssl-2-2.clmp.fp2_r2_screen	11139.0	2314.0	707.0	206.0	66.0	46.0	83.0	15.0	0.0	15894.0	122415.0
Ssp-AAtu_019-Ex1-4H-cssl-2-2.clmp.fp2_r1_screen	684.0	7214.0	909.0	593.0	332.0	161.0	25.0	76.0	1.0	48413.0	245483.0
Ssp-AAtu_019-Ex1-4H-cssl-2-2.clmp.fp2_r2_screen	675.0	7107.0	904.0	573.0	370.0	123.0	29.0	71.0	0.0	48587.0	245452.0
Ssp-AAtu_020-Ex1-4B-cssl-2-2.clmp.fp2_r1_screen	6365.0	3982.0	465.0	329.0	201.0	58.0	24.0	38.0	0.0	24910.0	153361.0
Ssp-AAtu_020-Ex1-4B-cssl-2-2.clmp.fp2_r2_screen	6331.0	4043.0	482.0	392.0	208.0	90.0	22.0	38.0	3.0	24877.0	153247.0
Ssp-AAtu_021-Ex1-4C-cssl-2-2.clmp.fp2_r1_screen	7382.0	927.0	142.0	68.0	25.0	13.0	21.0	6.0	0.0	6476.0	46737.0
Ssp-AAtu_021-Ex1-4C-cssl-2-2.clmp.fp2_r2_screen	7215.0	893.0	134.0	62.0	20.0	12.0	23.0	7.0	0.0	6361.0	47070.0
Ssp-AAtu_022-Ex1-2A-cssl-2-2.clmp.fp2_r1_screen	44190.0	1895.0	2198.0	234.0	25.0	12.0	48.0	7.0	1.0	30260.0	105318.0
Ssp-AAtu_022-Ex1-2A-cssl-2-2.clmp.fp2_r2_screen	43994.0	1940.0	2205.0	229.0	21.0	6.0	38.0	5.0	0.0	29824.0	105926.0
Ssp-AAtu_023-Ex1-5D-cssl-2-2.clmp.fp2_r1_screen	392.0	4828.0	637.0	428.0	232.0	90.0	22.0	43.0	0.0	40997.0	142170.0
Ssp-AAtu_023-Ex1-5D-cssl-2-2.clmp.fp2_r2_screen	388.0	4994.0	554.0	376.0	215.0	80.0	26.0	40.0	0.0	41015.0	142151.0
Ssp-AAtu_024-Ex1-5C-cssl-2-2.clmp.fp2_r1_screen	1572.0	6660.0	733.0	495.0	261.0	105.0	26.0	66.0	0.0	70616.0	194701.0
Ssp-AAtu_024-Ex1-5C-cssl-2-2.clmp.fp2_r2_screen	1542.0	6638.0	713.0	475.0	258.0	109.0	20.0	62.0	1.0	70634.0	194783.0
Ssp-AAtu_025-Ex1-2B-cssl-2-2.clmp.fp2_r1_screen	5861.0	2362.0	334.0	178.0	85.0	46.0	50.0	21.0	0.0	18898.0	109485.0
Ssp-AAtu_025-Ex1-2B-cssl-2-2.clmp.fp2_r2_screen	5884.0	2378.0	346.0	188.0	57.0	30.0	52.0	14.0	0.0	18982.0	109389.0
Ssp-AAtu_026-Ex1-6A-cssl-2-2.clmp.fp2_r1_screen	14277.0	5290.0	686.0	449.0	229.0	95.0	34.0	37.0	0.0	46915.0	195803.0
Ssp-AAtu_026-Ex1-6A-cssl-2-2.clmp.fp2_r2_screen	14386.0	5680.0	719.0	442.0	232.0	102.0	35.0	53.0	0.0	46732.0	195434.0
Ssp-AAtu_027-Ex1-5B-cssl-2-2.clmp.fp2_r1_screen	2126.0	5529.0	669.0	425.0	259.0	80.0	20.0	59.0	1.0	47996.0	162356.0
Ssp-AAtu_027-Ex1-5B-cssl-2-2.clmp.fp2_r2_screen	2165.0	5581.0	563.0	427.0	265.0	95.0	20.0	53.0	2.0	47861.0	162488.0
Ssp-AAtu_029-Ex1-2C-cssl-2-2.clmp.fp2_r1_screen	18053.0	2708.0	520.0	199.0	88.0	28.0	39.0	16.0	0.0	26678.0	111170.0
Ssp-AAtu_029-Ex1-2C-cssl-2-2.clmp.fp2_r2_screen	18005.0	2681.0	490.0	199.0	79.0	42.0	44.0	22.0	0.0	26416.0	111521.0
Ssp-AAtu_030-Ex1-2D-cssl-2-2.clmp.fp2_r1_screen	37139.0	2210.0	1439.0	148.0	98.0	34.0	251.0	8.0	0.0	18214.0	141747.0
Ssp-AAtu_030-Ex1-2D-cssl-2-2.clmp.fp2_r2_screen	37146.0	2255.0	1408.0	155.0	81.0	29.0	266.0	15.0	0.0	18146.0	141787.0
Ssp-AAtu_031-Ex1-3F-cssl-2-2.clmp.fp2_r1_screen	2260.0	3767.0	13118.0	323.0	154.0	57.0	24.0	45.0	0.0	29699.0	125214.0
Ssp-AAtu_031-Ex1-3F-cssl-2-2.clmp.fp2_r2_screen	2256.0	3785.0	13173.0	332.0	173.0	62.0	11.0	34.0	1.0	29637.0	125197.0
Ssp-AAtu_033-Ex1-2E-cssl-2-2.clmp.fp2_r1_screen	4161.0	4092.0	695.0	358.0	183.0	61.0	84.0	30.0	0.0	21407.0	190387.0
Ssp-AAtu_033-Ex1-2E-cssl-2-2.clmp.fp2_r2_screen	4192.0	4207.0	711.0	364.0	188.0	71.0	85.0	29.0	1.0	21223.0	190387.0
Ssp-AAtu_034-Ex1-6B-cssl-2-2.clmp.fp2_r1_screen	4083.0	4127.0	748.0	300.0	140.0	66.0	21.0	41.0	0.0	27732.0	140413.0
Ssp-AAtu_034-Ex1-6B-cssl-2-2.clmp.fp2_r2_screen	4094.0	4331.0	709.0	339.0	182.0	63.0	21.0	38.0	0.0	27605.0	140289.0
Ssp-AAtu_035-Ex1-5E-cssl-2-2.clmp.fp2_r1_screen	395.0	7154.0	996.0	610.0	365.0	163.0	17.0	60.0	0.0	38381.0	260850.0
Ssp-AAtu_035-Ex1-5E-cssl-2-2.clmp.fp2_r2_screen	402.0	7129.0	972.0	641.0	364.0	119.0	20.0	74.0	1.0	38574.0	260695.0
Ssp-AAtu_036-Ex1-2F-cssl-2-2.clmp.fp2_r1_screen	1014.0	6832.0	734.0	562.0	366.0	115.0	27.0	47.0	2.0	37941.0	245705.0
Ssp-AAtu_036-Ex1-2F-cssl-2-2.clmp.fp2_r2_screen	954.0	6981.0	780.0	583.0	339.0	104.0	27.0	72.0	5.0	38205.0	245295.0
Ssp-AAtu_037-Ex1-6D-cssl-2-2.clmp.fp2_r1_screen	1502.0	8130.0	795.0	570.0	259.0	125.0	37.0	67.0	5.0	87806.0	212661.0
Ssp-AAtu_037-Ex1-6D-cssl-2-2.clmp.fp2_r2_screen	1506.0	8214.0	751.0	541.0	237.0	122.0	24.0	49.0	2.0	88069.0	212442.0
Ssp-AAtu_038-Ex1-2G-cssl-2-2.clmp.fp2_r1_screen	3028.0	4234.0	579.0	305.0	196.0	76.0	53.0	41.0	1.0	22864.0	166580.0
Ssp-AAtu_038-Ex1-2G-cssl-2-2.clmp.fp2_r2_screen	3025.0	4281.0	565.0	325.0	186.0	78.0	52.0	29.0	0.0	22974.0	166442.0
Ssp-AAtu_039-Ex1-2H-cssl-2-2.clmp.fp2_r1_screen	6435.0	3685.0	788.0	297.0	133.0	63.0	99.0	27.0	0.0	22056.0	164544.0
Ssp-AAtu_039-Ex1-2H-cssl-2-2.clmp.fp2_r2_screen	6345.0	3654.0	821.0	303.0	103.0	74.0	91.0	27.0	0.0	21987.0	164722.0
Ssp-AAtu_040-Ex1-5E-cssl-1-2.clmp.fp2_r1_screen	3510.0	20731.0	2376.0	3861.0	1211.0	301.0	53.0	301.0	11.0	100593.0	1301222.0
Ssp-AAtu_040-Ex1-5E-cssl-1-2.clmp.fp2_r2_screen	3414.0	21720.0	2452.0	3898.0	1093.0	343.0	73.0	279.0	6.0	102252.0	1298640.0
Ssp-AAtu_041-Ex1-3A-cssl-2-2.clmp.fp2_r1_screen	20777.0	2545.0	47646.0	197.0	106.0	33.0	73.0	17.0	0.0	35686.0	128571.0
Ssp-AAtu_041-Ex1-3A-cssl-2-2.clmp.fp2_r2_screen	20704.0	2603.0	47627.0	199.0	117.0	35.0	72.0	21.0	1.0	35466.0	128806.0
Ssp-AAtu_043-Ex1-3G-cssl-2-2.clmp.fp2_r1_screen	3701.0	1028.0	339.0	92.0	33.0	14.0	45.0	12.0	0.0	7045.0	63113.0
Ssp-AAtu_043-Ex1-3G-cssl-2-2.clmp.fp2_r2_screen	3744.0	998.0	324.0	79.0	36.0	9.0	43.0	4.0	0.0	7012.0	63173.0
Ssp-AAtu_045-Ex1-5H-cssl-2-2.clmp.fp2_r1_screen	1506.0	7236.0	784.0	527.0	236.0	119.0	35.0	40.0	0.0	86997.0	184171.0
Ssp-AAtu_045-Ex1-5H-cssl-2-2.clmp.fp2_r2_screen	1484.0	7428.0	784.0	500.0	212.0	113.0	24.0	52.0	1.0	86826.0	184227.0
Ssp-AAtu_046-Ex1-3C-cssl-2-2.clmp.fp2_r1_screen	3229.0	393.0	93.0	41.0	17.0	7.0	18.0	2.0	0.0	3212.0	22523.0
Ssp-AAtu_046-Ex1-3C-cssl-2-2.clmp.fp2_r2_screen	3184.0	372.0	74.0	34.0	14.0	8.0	15.0	6.0	0.0	3255.0	22573.0
Ssp-AAtu_047-Ex1-3D-cssl-2-2.clmp.fp2_r1_screen	5299.0	4259.0	722.0	313.0	169.0	94.0	61.0	29.0	0.0	27871.0	163247.0
Ssp-AAtu_047-Ex1-3D-cssl-2-2.clmp.fp2_r2_screen	5197.0	4302.0	693.0	321.0	158.0	81.0	66.0	27.0	0.0	27871.0	163348.0
Ssp-AAtu_048-Ex1-5G-cssl-2-2.clmp.fp2_r1_screen	942.0	6309.0	753.0	518.0	284.0	118.0	18.0	51.0	0.0	35293.0	217605.0
Ssp-AAtu_048-Ex1-5G-cssl-2-2.clmp.fp2_r2_screen	937.0	6241.0	761.0	524.0	298.0	126.0	31.0	48.0	2.0	35344.0	217579.0
Ssp-AAtu_049-Ex1-3H-cssl-2-2.clmp.fp2_r1_screen	8837.0	3124.0	1372.0	284.0	109.0	63.0	24.0	34.0	0.0	21568.0	116972.0
Ssp-AAtu_049-Ex1-3H-cssl-2-2.clmp.fp2_r2_screen	8768.0	3223.0	1367.0	288.0	86.0	52.0	29.0	23.0	0.0	21518.0	117033.0
Ssp-AAtu_050-Ex1-5F-cssl-2-2.clmp.fp2_r1_screen	210.0	8000.0	1009.0	630.0	409.0	132.0	40.0	73.0	0.0	69669.0	276461.0
Ssp-AAtu_050-Ex1-5F-cssl-2-2.clmp.fp2_r2_screen	192.0	8157.0	983.0	663.0	429.0	116.0	39.0	69.0	1.0	69879.0	276105.0
Ssp-AAtu_051-Ex1-3E-cssl-2-2.clmp.fp2_r1_screen	4729.0	3392.0	4054.0	361.0	160.0	60.0	31.0	27.0	0.0	20215.0	146965.0
Ssp-AAtu_051-Ex1-3E-cssl-2-2.clmp.fp2_r2_screen	4716.0	3526.0	4060.0	359.0	192.0	58.0	28.0	41.0	0.0	19941.0	147073.0
Ssp-AAtu_052-Ex1-6E-cssl-2-2.clmp.fp2_r1_screen	10511.0	1976.0	1820.0	168.0	62.0	37.0	35.0	6.0	0.0	17605.0	100588.0
Ssp-AAtu_052-Ex1-6E-cssl-2-2.clmp.fp2_r2_screen	10323.0	2079.0	1864.0	167.0	44.0	32.0	36.0	16.0	0.0	17486.0	100761.0
