
Analysis complete for Hte-ATic_001-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
Started analysis of Hte-ATic_001-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
[2023-02-15 09:51:18,946] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_031-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:18,959] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_032-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:18,965] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_032-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:19,007] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_044-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
[2023-02-15 09:51:19,008] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_032-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:19,020] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_008-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:19,026] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_008-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:19,083] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_013-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:19,090] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_013-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:19,147] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_036-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:19,153] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_036-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:19,209] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_059-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:19,216] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_059-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:19,272] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_058-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:19,278] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_058-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:19,335] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_048-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:19,340] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_048-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:19,383] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_024-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:19,396] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_038-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:19,402] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_038-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:19,459] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_041-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:19,465] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_041-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:19,507] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_001-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:19,519] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_044-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:19,525] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_044-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:19,580] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_010-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:19,586] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_010-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:19,629] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_062-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
[2023-02-15 09:51:19,630] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_036-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
[2023-02-15 09:51:19,632] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_013-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
[2023-02-15 09:51:19,632] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_044-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:19,645] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_051-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:19,651] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_051-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:19,692] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_037-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
[2023-02-15 09:51:19,694] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_054-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:19,694] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_035-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
[2023-02-15 09:51:19,707] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_027-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:19,712] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_027-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:19,756] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_057-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:19,756] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_032-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
[2023-02-15 09:51:19,756] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_056-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:19,770] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_025-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:19,776] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_025-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:19,832] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_005-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:19,839] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_005-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:19,881] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_033-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:19,882] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_041-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
[2023-02-15 09:51:19,895] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_054-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:19,902] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_054-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:19,945] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_003-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
[2023-02-15 09:51:19,946] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_047-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:19,960] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_012-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:19,966] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_012-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:20,011] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_038-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:20,011] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_059-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:20,011] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_046-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:20,025] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_049-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:20,030] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_049-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:20,088] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_030-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:20,094] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_030-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:20,149] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_057-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:20,155] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_057-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:20,212] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_015-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:20,217] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_015-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:20,274] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_021-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:20,280] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_021-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:20,337] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_055-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:20,343] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_055-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:20,399] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_001-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:20,405] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_001-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:20,464] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_005-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:20,469] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_005-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:20,526] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_014-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:20,532] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_014-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:20,575] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_029-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:20,576] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_025-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:20,577] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_051-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
[2023-02-15 09:51:20,589] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_056-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:20,595] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_056-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:20,637] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_014-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
[2023-02-15 09:51:20,637] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_008-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
[2023-02-15 09:51:20,650] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_023-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:20,655] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_023-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:20,699] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_049-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
[2023-02-15 09:51:20,700] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_054-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
[2023-02-15 09:51:20,713] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_045-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:20,720] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_045-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:20,776] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_017-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:20,782] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_017-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:20,824] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_058-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
[2023-02-15 09:51:20,837] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_060-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:20,843] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_060-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:20,900] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_003-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:20,905] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_003-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:20,962] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_036-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:20,968] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_036-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:21,025] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_006-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:21,032] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_006-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:21,086] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_020-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:21,092] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_020-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:21,148] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_023-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:21,154] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_023-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:21,198] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_002-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:21,211] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_047-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:21,217] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_047-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:21,260] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_050-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:21,260] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_015-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:21,260] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_001-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
[2023-02-15 09:51:21,261] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_008-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:21,261] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_006-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
[2023-02-15 09:51:21,262] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_039-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
[2023-02-15 09:51:21,274] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_039-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:21,280] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_039-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:21,335] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_055-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:21,341] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_055-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:21,383] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_005-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:21,383] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_021-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:21,397] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_041-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:21,403] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_041-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:21,458] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_007-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:21,464] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_007-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:21,519] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_034-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:21,525] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_034-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:21,584] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_006-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:21,589] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_006-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:21,631] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_019-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:21,644] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_011-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:21,650] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_011-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:21,694] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_010-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
[2023-02-15 09:51:21,706] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_035-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:21,711] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_035-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:21,767] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_011-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:21,773] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_011-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:21,832] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_025-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:21,838] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_025-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:21,894] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_057-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:21,900] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_057-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:21,943] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_022-Ex1-cssl.clmp.fp2_repr.R1.fq.gz
[2023-02-15 09:51:21,957] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_026-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:21,963] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_026-Ex1-cssl.clmp.fp2_repr.R2_fastqc.html
[2023-02-15 09:51:22,006] multiqc                                            [DEBUG  ]  Ignoring file as matched an ignore pattern: Hte-ATic_020-Ex1-cssl.clmp.fp2_repr.R2.fq.gz
[2023-02-15 09:51:22,019] multiqc                                            [DEBUG  ]  File ignored by hicexplorer because it exceeded search pattern filesize limit: Hte-ATic_039-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
[2023-02-15 09:51:22,025] multiqc                                            [DEBUG  ]  File ignored by longranger/invocation because it exceeded search pattern filesize limit: Hte-ATic_039-Ex1-cssl.clmp.fp2_repr.R1_fastqc.html
