Sample	Human	Bacteria_24k	Protists_1k	Fungi_RefSeq_release	Bird	Viruses	Plant	Coral	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
Hte-ATic_017-Ex1-cssl.clmp.fp2_r2_screen	7060.0	70606.0	8127.0	688.0	338.0	116.0	84.0	78.0	6.0	0.0	103853.0	429028.0
Hte-ATic_019-Ex1-cssl.clmp.fp2_r1_screen	8071.0	199799.0	8151.0	402.0	156.0	356.0	18.0	16.0	0.0	0.0	189636.0	336730.0
Hte-ATic_019-Ex1-cssl.clmp.fp2_r2_screen	7438.0	198965.0	9281.0	463.0	146.0	306.0	13.0	13.0	0.0	0.0	182621.0	344089.0
Hte-ATic_020-Ex1-cssl.clmp.fp2_r1_screen	15239.0	125708.0	11590.0	1537.0	251.0	320.0	92.0	46.0	0.0	0.0	142136.0	652916.0
Hte-ATic_020-Ex1-cssl.clmp.fp2_r2_screen	15808.0	121901.0	11315.0	1705.0	269.0	373.0	57.0	28.0	0.0	0.0	141379.0	657000.0
Hte-ATic_021-Ex1-cssl.clmp.fp2_r1_screen	6928.0	42264.0	14565.0	1073.0	693.0	161.0	214.0	104.0	3.0	0.0	85782.0	792156.0
Hte-ATic_021-Ex1-cssl.clmp.fp2_r2_screen	6661.0	42162.0	14233.0	862.0	573.0	184.0	166.0	92.0	0.0	0.0	86004.0	793006.0
Hte-ATic_022-Ex1-cssl.clmp.fp2_r1_screen	26056.0	87575.0	10621.0	1907.0	476.0	681.0	87.0	50.0	8.0	0.0	115173.0	639029.0
Hte-ATic_022-Ex1-cssl.clmp.fp2_r2_screen	25306.0	84744.0	11250.0	1413.0	461.0	659.0	143.0	31.0	7.0	0.0	114212.0	643437.0
Hte-ATic_023-Ex1-cssl.clmp.fp2_r1_screen	13609.0	77641.0	13073.0	1930.0	178.0	236.0	46.0	116.0	4.0	0.0	81402.0	625929.0
Hte-ATic_023-Ex1-cssl.clmp.fp2_r2_screen	13305.0	73469.0	12819.0	1683.0	187.0	268.0	36.0	30.0	30.0	0.0	80953.0	631384.0
Hte-ATic_024-Ex1-cssl.clmp.fp2_r1_screen	4763.0	104550.0	8505.0	568.0	203.0	345.0	33.0	17.0	0.0	0.0	90386.0	442870.0
Hte-ATic_024-Ex1-cssl.clmp.fp2_r2_screen	4775.0	103236.0	8495.0	362.0	81.0	352.0	80.0	9.0	2.0	1.0	89172.0	445675.0
Hte-ATic_025-Ex1-cssl.clmp.fp2_r1_screen	17258.0	69067.0	8788.0	864.0	130.0	148.0	21.0	28.0	0.0	0.0	124590.0	472867.0
Hte-ATic_025-Ex1-cssl.clmp.fp2_r2_screen	16915.0	67398.0	10431.0	948.0	152.0	76.0	35.0	21.0	0.0	1.0	124431.0	473353.0
Hte-ATic_026-Ex1-cssl.clmp.fp2_r1_screen	6359420.0	113426.0	51722.0	3115.0	1766.0	539.0	653.0	428.0	18.0	0.0	4132277.0	1898025.0
Hte-ATic_026-Ex1-cssl.clmp.fp2_r2_screen	6268352.0	114661.0	57150.0	3447.0	1999.0	680.0	765.0	471.0	16.0	0.0	4066342.0	2047506.0
Hte-ATic_027-Ex1-cssl.clmp.fp2_r1_screen	154816.0	29221.0	8979.0	952.0	343.0	133.0	71.0	55.0	1.0	0.0	165056.0	446169.0
Hte-ATic_027-Ex1-cssl.clmp.fp2_r2_screen	156489.0	29024.0	9831.0	1061.0	329.0	207.0	95.0	33.0	2.0	0.0	159172.0	449553.0
Hte-ATic_029-Ex1-cssl.clmp.fp2_r1_screen	11108.0	157208.0	14930.0	826.0	231.0	286.0	34.0	30.0	0.0	0.0	269662.0	851938.0
Hte-ATic_029-Ex1-cssl.clmp.fp2_r2_screen	11355.0	153657.0	17707.0	754.0	180.0	343.0	41.0	35.0	2.0	0.0	265800.0	856379.0
Hte-ATic_030-Ex1-cssl.clmp.fp2_r1_screen	118332.0	522219.0	76086.0	7130.0	1972.0	4638.0	778.0	582.0	37.0	0.0	507755.0	4211345.0
Hte-ATic_030-Ex1-cssl.clmp.fp2_r2_screen	116092.0	509619.0	78183.0	7354.0	1939.0	4412.0	742.0	385.0	43.0	0.0	505498.0	4226607.0
Hte-ATic_031-Ex1-cssl.clmp.fp2_r1_screen	8203.0	86079.0	15359.0	1127.0	538.0	86.0	101.0	384.0	3.0	0.0	120619.0	824313.0
Hte-ATic_031-Ex1-cssl.clmp.fp2_r2_screen	8053.0	83441.0	15185.0	1483.0	586.0	65.0	127.0	42.0	0.0	0.0	119501.0	828329.0
Hte-ATic_032-Ex1-cssl.clmp.fp2_r1_screen	34086.0	83784.0	13214.0	1276.0	295.0	202.0	62.0	34.0	2.0	0.0	197556.0	733935.0
Hte-ATic_032-Ex1-cssl.clmp.fp2_r2_screen	33741.0	80065.0	13616.0	1439.0	267.0	255.0	64.0	37.0	0.0	1.0	192404.0	742557.0
Hte-ATic_033-Ex1-cssl.clmp.fp2_r1_screen	16046.0	109898.0	10732.0	601.0	169.0	92.0	50.0	30.0	5.0	0.0	166203.0	671536.0
Hte-ATic_033-Ex1-cssl.clmp.fp2_r2_screen	15711.0	107772.0	11500.0	1179.0	195.0	124.0	67.0	25.0	3.0	1.0	166468.0	672317.0
Hte-ATic_034-Ex1-cssl.clmp.fp2_r1_screen	35577.0	87955.0	5799.0	203.0	751.0	198.0	38.0	27.0	2.0	0.0	178878.0	282098.0
Hte-ATic_034-Ex1-cssl.clmp.fp2_r2_screen	35514.0	89218.0	5930.0	242.0	150.0	222.0	105.0	6.0	0.0	0.0	171711.0	288428.0
Hte-ATic_035-Ex1-cssl.clmp.fp2_r1_screen	56393.0	89637.0	13241.0	1253.0	693.0	300.0	152.0	121.0	36.0	0.0	381171.0	584254.0
Hte-ATic_035-Ex1-cssl.clmp.fp2_r2_screen	56344.0	88935.0	13835.0	1435.0	362.0	163.0	96.0	45.0	4.0	0.0	376931.0	589101.0
Hte-ATic_036-Ex1-cssl.clmp.fp2_r1_screen	11376.0	145307.0	16350.0	1543.0	661.0	345.0	189.0	70.0	2.0	0.0	182892.0	837846.0
Hte-ATic_036-Ex1-cssl.clmp.fp2_r2_screen	11811.0	146098.0	17827.0	1046.0	664.0	313.0	253.0	103.0	1.0	0.0	173440.0	845025.0
Hte-ATic_037-Ex1-cssl.clmp.fp2_r1_screen	5739.0	106141.0	9140.0	1033.0	370.0	77.0	61.0	61.0	1.0	0.0	141227.0	419875.0
Hte-ATic_037-Ex1-cssl.clmp.fp2_r2_screen	4293.0	103351.0	8543.0	922.0	353.0	74.0	142.0	83.0	2.0	0.0	140070.0	425892.0
Hte-ATic_038-Ex1-cssl.clmp.fp2_r1_screen	13622.0	31922.0	9706.0	739.0	361.0	131.0	285.0	42.0	0.0	0.0	80871.0	549683.0
Hte-ATic_038-Ex1-cssl.clmp.fp2_r2_screen	13169.0	32275.0	9893.0	808.0	410.0	135.0	87.0	55.0	2.0	0.0	81051.0	549477.0
Hte-ATic_039-Ex1-cssl.clmp.fp2_r1_screen	23568.0	306280.0	18038.0	2109.0	137.0	266.0	63.0	22.0	1.0	0.0	185936.0	1069627.0
Hte-ATic_039-Ex1-cssl.clmp.fp2_r2_screen	23695.0	299592.0	17836.0	1550.0	311.0	399.0	51.0	45.0	3.0	0.0	178966.0	1083599.0
Hte-ATic_041-Ex1-cssl.clmp.fp2_r1_screen	37533.0	131391.0	104211.0	9821.0	9054.0	942.0	1710.0	1193.0	57.0	0.0	1223762.0	6190489.0
Hte-ATic_041-Ex1-cssl.clmp.fp2_r2_screen	37715.0	132641.0	112130.0	10206.0	8484.0	684.0	2125.0	1238.0	45.0	3.0	1213632.0	6191260.0
Hte-ATic_044-Ex1-cssl.clmp.fp2_r1_screen	14511.0	127358.0	10596.0	1022.0	531.0	117.0	259.0	36.0	0.0	0.0	128530.0	593076.0
Hte-ATic_044-Ex1-cssl.clmp.fp2_r2_screen	13738.0	124333.0	11063.0	1034.0	1057.0	176.0	125.0	60.0	2.0	0.0	125590.0	598858.0
Hte-ATic_045-Ex1-cssl.clmp.fp2_r1_screen	44713.0	109056.0	11303.0	804.0	334.0	948.0	41.0	38.0	2.0	0.0	111885.0	707179.0
Hte-ATic_045-Ex1-cssl.clmp.fp2_r2_screen	45459.0	109563.0	12866.0	863.0	184.0	332.0	36.0	40.0	0.0	0.0	107315.0	709645.0
Hte-ATic_046-Ex1-cssl.clmp.fp2_r1_screen	4086.0	93009.0	13616.0	1298.0	675.0	787.0	68.0	136.0	5.0	0.0	128743.0	657436.0
Hte-ATic_046-Ex1-cssl.clmp.fp2_r2_screen	4628.0	89450.0	12645.0	1243.0	569.0	199.0	129.0	98.0	0.0	0.0	126083.0	664815.0
Hte-ATic_047-Ex1-cssl.clmp.fp2_r1_screen	3895.0	29978.0	7393.0	1119.0	249.0	194.0	92.0	74.0	8.0	0.0	67328.0	432899.0
Hte-ATic_047-Ex1-cssl.clmp.fp2_r2_screen	3014.0	29715.0	7650.0	1304.0	254.0	198.0	90.0	95.0	1.0	0.0	67249.0	433659.0
Hte-ATic_048-Ex1-cssl.clmp.fp2_r1_screen	2732.0	125572.0	11021.0	524.0	531.0	324.0	42.0	54.0	1.0	0.0	138437.0	420605.0
Hte-ATic_048-Ex1-cssl.clmp.fp2_r2_screen	2408.0	123396.0	10452.0	530.0	377.0	234.0	69.0	33.0	1.0	0.0	137469.0	424874.0
Hte-ATic_049-Ex1-cssl.clmp.fp2_r1_screen	111364.0	38633.0	11421.0	817.0	588.0	69.0	124.0	124.0	1.0	0.0	256989.0	628883.0
Hte-ATic_049-Ex1-cssl.clmp.fp2_r2_screen	107438.0	38853.0	13531.0	922.0	547.0	137.0	136.0	80.0	10.0	0.0	251972.0	635387.0
Hte-ATic_050-Ex1-cssl.clmp.fp2_r1_screen	8418.0	37850.0	20976.0	1887.0	1195.0	117.0	362.0	172.0	21.0	0.0	188497.0	1032808.0
Hte-ATic_050-Ex1-cssl.clmp.fp2_r2_screen	8371.0	36720.0	20095.0	1746.0	1010.0	110.0	262.0	270.0	5.0	0.0	189355.0	1034359.0
Hte-ATic_051-Ex1-cssl.clmp.fp2_r1_screen	21605.0	203131.0	83633.0	8222.0	5737.0	1577.0	1230.0	860.0	68.0	0.0	667410.0	4719424.0
Hte-ATic_051-Ex1-cssl.clmp.fp2_r2_screen	21030.0	198219.0	84253.0	8008.0	4325.0	1410.0	1264.0	892.0	17.0	1.0	668913.0	4724565.0
Hte-ATic_054-Ex1-cssl.clmp.fp2_r1_screen	4849.0	165387.0	10699.0	534.0	168.0	131.0	34.0	23.0	0.0	0.0	132808.0	593922.0
Hte-ATic_054-Ex1-cssl.clmp.fp2_r2_screen	4770.0	164362.0	11003.0	361.0	214.0	134.0	27.0	10.0	0.0	0.0	126484.0	601190.0
Hte-ATic_055-Ex1-cssl.clmp.fp2_r1_screen	9397.0	138490.0	17000.0	878.0	293.0	395.0	135.0	66.0	0.0	0.0	165694.0	791587.0
Hte-ATic_055-Ex1-cssl.clmp.fp2_r2_screen	9770.0	136580.0	17268.0	679.0	327.0	235.0	94.0	63.0	2.0	0.0	163059.0	795858.0
Hte-ATic_056-Ex1-cssl.clmp.fp2_r1_screen	7493.0	115163.0	15206.0	1001.0	695.0	224.0	88.0	94.0	0.0	0.0	137680.0	779641.0
Hte-ATic_056-Ex1-cssl.clmp.fp2_r2_screen	6414.0	112241.0	13909.0	957.0	516.0	347.0	107.0	125.0	0.0	0.0	131292.0	791377.0
Hte-ATic_057-Ex1-cssl.clmp.fp2_r1_screen	10868.0	135645.0	16102.0	656.0	171.0	387.0	92.0	31.0	10.0	0.0	195278.0	784834.0
Hte-ATic_057-Ex1-cssl.clmp.fp2_r2_screen	9802.0	129864.0	15396.0	784.0	265.0	216.0	46.0	37.0	4.0	0.0	189440.0	798220.0
Hte-ATic_058-Ex1-cssl.clmp.fp2_r1_screen	10179.0	91921.0	10591.0	1256.0	374.0	379.0	123.0	87.0	19.0	0.0	150557.0	600699.0
Hte-ATic_058-Ex1-cssl.clmp.fp2_r2_screen	11982.0	88817.0	11507.0	980.0	366.0	303.0	153.0	69.0	2.0	0.0	151047.0	600959.0
Hte-ATic_059-Ex1-cssl.clmp.fp2_r1_screen	3200.0	86681.0	13775.0	920.0	647.0	173.0	182.0	40.0	8.0	0.0	141144.0	695817.0
Hte-ATic_059-Ex1-cssl.clmp.fp2_r2_screen	3971.0	85397.0	13335.0	735.0	717.0	248.0	222.0	157.0	45.0	0.0	138832.0	698928.0
Hte-ATic_060-Ex1-cssl.clmp.fp2_r1_screen	7621.0	171880.0	14299.0	1426.0	506.0	260.0	109.0	35.0	2.0	0.0	231978.0	677553.0
Hte-ATic_060-Ex1-cssl.clmp.fp2_r2_screen	6909.0	168835.0	13385.0	1153.0	742.0	350.0	196.0	129.0	2.0	0.0	225137.0	688831.0
Hte-ATic_061-Ex1-cssl.clmp.fp2_r1_screen	8456.0	209017.0	15589.0	1245.0	326.0	109.0	77.0	131.0	0.0	0.0	228310.0	646875.0
Hte-ATic_061-Ex1-cssl.clmp.fp2_r2_screen	8035.0	202568.0	14319.0	1439.0	349.0	176.0	179.0	101.0	0.0	0.0	227546.0	655423.0
Hte-ATic_062-Ex1-cssl.clmp.fp2_r1_screen	8911.0	63956.0	10202.0	797.0	299.0	273.0	43.0	31.0	25.0	0.0	106550.0	551283.0
Hte-ATic_062-Ex1-cssl.clmp.fp2_r2_screen	8244.0	64574.0	9454.0	694.0	204.0	248.0	42.0	52.0	0.0	2.0	106311.0	552545.0
Hte-ATic_063-Ex1-cssl.clmp.fp2_r1_screen	105395.0	60979.0	8891.0	818.0	394.0	152.0	31.0	43.0	0.0	0.0	159442.0	514854.0
Hte-ATic_063-Ex1-cssl.clmp.fp2_r2_screen	104810.0	59643.0	9623.0	749.0	589.0	252.0	97.0	37.0	0.0	0.0	154729.0	520470.0
