Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	fastp_mqc-generalstats-fastp-pct_duplication	fastp_mqc-generalstats-fastp-after_filtering_q30_rate	fastp_mqc-generalstats-fastp-after_filtering_q30_bases	fastp_mqc-generalstats-fastp-after_filtering_gc_content	fastp_mqc-generalstats-fastp-pct_surviving	fastp_mqc-generalstats-fastp-pct_adapter
Tbi-ARos_006_Ex1b_L4_clmp.r1r2_fastp						45.5631	0.894831	292809642.0	0.420563	98.03440600324755	1.3225702055772444
Tbi-ARos_007_Ex1b_L4_clmp.fp2_r1	44.013658324053914	47.0	124.37991437833412	0.0	1133358.0						
Tbi-ARos_007_Ex1b_L4_clmp.fp2_r2	41.69616452786416	47.0	123.77324375881231	0.0	1133358.0						
Tbi-ARos_007_Ex1b_L4_clmp.r1r2_fastp						47.727199999999996	0.893702	251538785.0	0.476794	97.78597244738869	1.117065380291436
Tbi-ARos_008_Ex1b_L4_clmp.fp2_r1	40.18554917799412	36.0	119.02208717723434	0.0	860454.0						
Tbi-ARos_008_Ex1b_L4_clmp.fp2_r2	40.06671519149069	36.0	118.55632840337775	0.0	860454.0						
Tbi-ARos_008_Ex1b_L4_clmp.r1r2_fastp						46.8473	0.892519	182561257.0	0.366862	98.53151001170303	1.2327116908933926
Tbi-ARos_009_Ex1b_L4_clmp.fp2_r1	53.10803596195851	48.0	125.82936184555784	9.090909090909092	468758.0						
Tbi-ARos_009_Ex1b_L4_clmp.fp2_r2	49.076799688986625	48.0	125.61313513582702	0.0	468758.0						
Tbi-ARos_009_Ex1b_L4_clmp.r1r2_fastp						52.0221	0.893382	105380177.0	0.48224	98.0052226745195	1.0700419612000025
Tbi-ARos_010_Ex1b_L4_clmp.fp2_r1	53.56689878446604	46.0	123.2189836497604	18.181818181818183	202627.0						
Tbi-ARos_010_Ex1b_L4_clmp.fp2_r2	49.87091761285309	46.0	122.7241581822758	9.090909090909092	202627.0						
Tbi-ARos_010_Ex1b_L4_clmp.r1r2_fastp						48.0985	0.893412	44553458.0	0.468036	97.65909660503942	1.070925950916697
Tbi-ARos_011_Ex1b_L4_clmp.fp2_r1	47.91170146578998	47.0	126.29873457438303	0.0	1995139.0						
Tbi-ARos_011_Ex1b_L4_clmp.fp2_r2	44.8079534302096	48.0	125.39800685566269	0.0	1995139.0						
Tbi-ARos_011_Ex1b_L4_clmp.r1r2_fastp						52.1829	0.888849	446732500.0	0.480402	97.71887625733882	1.1497208471513871
Tbi-ARos_012_Ex1b_L4_clmp.fp2_r1	42.37056324448769	44.0	120.60253394376952	0.0	1525685.0						
Tbi-ARos_012_Ex1b_L4_clmp.fp2_r2	41.874064313169235	44.0	120.1302182298443	0.0	1525685.0						
Tbi-ARos_012_Ex1b_L4_clmp.r1r2_fastp						47.9976	0.89255	328045515.0	0.44669	97.62522091786654	1.2684940728104337
Tbi-ARos_013_Ex1b_L4_clmp.fp2_r1	33.60245845176216	41.0	112.46654056027656	0.0	3196243.0						
Tbi-ARos_013_Ex1b_L4_clmp.fp2_r2	34.012439144994005	41.0	112.53737622577508	0.0	3196243.0						
Tbi-ARos_013_Ex1b_L4_clmp.r1r2_fastp						40.4783	0.900159	647636180.0	0.416052	98.52085086445783	1.5654253859929783
Tbi-ARos_014_Ex1b_L4_clmp.fp2_r1	30.968312213161212	42.0	110.17913405552353	0.0	848253.0						
Tbi-ARos_014_Ex1b_L4_clmp.fp2_r2	31.68068194886837	42.0	110.14266144652598	0.0	848253.0						
Tbi-ARos_014_Ex1b_L4_clmp.r1r2_fastp						38.259	0.903222	168881723.0	0.424228	97.74290451822397	1.4589077953219542
Tbi-ARos_015_Ex1b_L4_clmp.fp2_r1	36.679371380428286	40.0	112.68516761471196	9.090909090909092	438446.0						
Tbi-ARos_015_Ex1b_L4_clmp.fp2_r2	36.80864944182569	40.0	112.47483612577147	9.090909090909092	438446.0						
Tbi-ARos_015_Ex1b_L4_clmp.r1r2_fastp						41.3054	0.899026	88798912.0	0.405555	97.5738180652857	1.3072273605312588
Tbi-ARos_016_Ex1b_L4_clmp.fp2_r1	41.496795364093096	37.0	121.91772984061797	0.0	1010026.0						
Tbi-ARos_016_Ex1b_L4_clmp.fp2_r2	42.60068200579374	37.0	121.72321009558169	0.0	1010026.0						
Tbi-ARos_016_Ex1b_L4_clmp.r1r2_fastp						49.708200000000005	0.89281	219851885.0	0.373596	98.51615086823658	1.2143509952313558
Tbi-ARos_017_Ex1b_L4_clmp.fp2_r1	41.6914715401742	42.0	117.66213205094465	9.090909090909092	626955.0						
Tbi-ARos_017_Ex1b_L4_clmp.fp2_r2	42.344037561311595	42.0	117.66918837875127	9.090909090909092	626955.0						
Tbi-ARos_017_Ex1b_L4_clmp.r1r2_fastp						47.116	0.894775	132095852.0	0.420984	98.33400514761354	1.2385954951323526
Tbi-ARos_018_Ex1b_L4_clmp.fp2_r1	44.73733840512229	43.0	118.69792956042795	9.090909090909092	425755.0						
Tbi-ARos_018_Ex1b_L4_clmp.fp2_r2	44.10923804994983	43.0	118.7124660896525	9.090909090909092	425755.0						
Tbi-ARos_018_Ex1b_L4_clmp.r1r2_fastp						46.5118	0.894422	90468345.0	0.438205	98.04330204581672	1.1272256662030342
Tbi-ARos_019_Ex1b_L4_clmp.fp2_r1	43.8716510847365	42.0	123.87520278643512	0.0	2641942.0						
Tbi-ARos_019_Ex1b_L4_clmp.fp2_r2	44.06670259499607	42.0	123.42657484532212	0.0	2641942.0						
Tbi-ARos_019_Ex1b_L4_clmp.r1r2_fastp						51.723	0.886733	579803593.0	0.423048	97.9188271424198	1.0829126042309867
Tbi-ARos_020_Ex1b_L4_clmp.fp2_r1	38.269279852727244	40.0	111.14792276293963	18.181818181818183	321918.0						
Tbi-ARos_020_Ex1b_L4_clmp.fp2_r2	38.66157869259946	40.0	111.39950235774327	9.090909090909092	321918.0						
Tbi-ARos_020_Ex1b_L4_clmp.r1r2_fastp						41.590700000000005	0.902631	64699953.0	0.402279	98.54924278371503	1.322488114444203
Tbi-ARos_021_Ex1b_L4_clmp.fp2_r1	34.35619878007515	43.0	117.16050168622938	0.0	1250423.0						
Tbi-ARos_021_Ex1b_L4_clmp.fp2_r2	35.32029734387905	43.0	117.06930214815307	0.0	1250423.0						
Tbi-ARos_021_Ex1b_L4_clmp.r1r2_fastp						43.8212	0.903254	264689936.0	0.432443	98.20926891832774	1.349488659881262
Tbi-ARos_022_Ex1b_L4_clmp.fp2_r1	37.75660802009121	37.0	113.22106848117069	0.0	505409.0						
Tbi-ARos_022_Ex1b_L4_clmp.fp2_r2	38.2706434781794	37.0	113.17983652843539	9.090909090909092	505409.0						
Tbi-ARos_022_Ex1b_L4_clmp.r1r2_fastp						43.0142	0.897544	102749647.0	0.379826	98.55773637152524	1.3841518705940854
Tbi-ARos_023_Ex1b_L4_clmp.fp2_r1	36.298166740438035	41.0	110.19538260609303	0.0	1102570.0						
Tbi-ARos_023_Ex1b_L4_clmp.fp2_r2	36.89846459455709	41.0	109.99840463644031	0.0	1102570.0						
Tbi-ARos_023_Ex1b_L4_clmp.r1r2_fastp						40.0281	0.897584	218009706.0	0.418206	97.76350801964546	1.5145509858635406
Tbi-ARos_024_Ex1b_L4_clmp.fp2_r1	40.87179515961794	42.0	110.1545289329487	18.181818181818183	365362.0						
Tbi-ARos_024_Ex1b_L4_clmp.fp2_r2	40.60881678900624	42.0	110.24692496756641	9.090909090909092	365362.0						
Tbi-ARos_024_Ex1b_L4_clmp.r1r2_fastp						41.3182	0.897435	72298808.0	0.422674	97.88588437333391	1.4802292278963598
Tbi-ARos_025_Ex1b_L4_clmp.fp2_r1	44.74202973828483	42.0	117.72231614092736	9.090909090909092	378578.0						
Tbi-ARos_025_Ex1b_L4_clmp.fp2_r2	44.004944383835884	42.0	117.85343575168129	9.090909090909092	378578.0						
Tbi-ARos_025_Ex1b_L4_clmp.r1r2_fastp						46.4553	0.893271	79719720.0	0.421521	98.20619310856488	1.2726560534173124
Tbi-ARos_026_Ex1b_L4_clmp.fp2_r1	39.89509871101454	39.0	115.41314659268798	9.090909090909092	468243.0						
Tbi-ARos_026_Ex1b_L4_clmp.fp2_r2	39.579303131633424	39.0	115.40152228650508	9.090909090909092	468243.0						
Tbi-ARos_026_Ex1b_L4_clmp.r1r2_fastp						44.3952	0.897089	97008035.0	0.396577	98.55568769008956	1.2883467864998264
Tbi-ARos_028_Ex1b_L4_clmp.fp2_r1	45.248279195543184	46.0	121.90821537184617	9.090909090909092	616868.0						
Tbi-ARos_028_Ex1b_L4_clmp.fp2_r2	44.68396146353017	46.0	121.96199186860073	9.090909090909092	616868.0						
Tbi-ARos_028_Ex1b_L4_clmp.r1r2_fastp						48.0345	0.889213	133871609.0	0.462728	97.84799384551937	1.118116855821774
Tbi-ARos_029_Ex1b_L4_clmp.fp2_r1	44.86911725214268	42.0	122.28731700192449	9.090909090909092	698368.0						
Tbi-ARos_029_Ex1b_L4_clmp.fp2_r2	44.10206530953131	42.0	122.06947053702346	9.090909090909092	698368.0						
Tbi-ARos_029_Ex1b_L4_clmp.r1r2_fastp						49.687599999999996	0.890456	152057713.0	0.422822	98.22403814372815	1.1807396676488584
Tbi-ARos_030_Ex1b_L4_clmp.fp2_r1	35.86232273189006	42.0	112.66305764966229	9.090909090909092	1300077.0						
Tbi-ARos_030_Ex1b_L4_clmp.fp2_r2	38.022637508044355	42.0	113.30448965715108	9.090909090909092	1300077.0						
Tbi-ARos_030_Ex1b_L4_clmp.r1r2_fastp						43.9167	0.897881	263912383.0	0.421494	97.55020912025427	1.42129740096614
Tbi-ARos_032_Ex1b_L4_clmp.fp2_r1	39.63895727453376	41.0	111.95614871674087	9.090909090909092	517978.0						
Tbi-ARos_032_Ex1b_L4_clmp.fp2_r2	40.90381564623839	41.0	112.221955372622	9.090909090909092	517978.0						
Tbi-ARos_032_Ex1b_L4_clmp.r1r2_fastp						41.388200000000005	0.901412	104718744.0	0.411082	98.62283920176843	1.5134869604787409
Tbi-ARos_033_Ex1b_L4_clmp.fp2_r1	46.250665565013314	39.0	113.15372839409561	9.090909090909092	204458.0						
Tbi-ARos_033_Ex1b_L4_clmp.fp2_r2	46.550461518782384	39.0	113.4752320770036	9.090909090909092	204458.0						
Tbi-ARos_033_Ex1b_L4_clmp.r1r2_fastp						43.5961	0.901014	41771436.0	0.393111	98.59669765826936	1.41728714169978
Tbi-CJos_001_Ex1_L4_clmp.fp2_r1	22.423372443010493	41.0	139.49861932747487	0.0	6802482.0						
Tbi-CJos_001_Ex1_L4_clmp.fp2_r2	23.19413072805729	41.0	138.4232965261797	0.0	6802482.0						
Tbi-CJos_001_Ex1_L4_clmp.r1r2_fastp						24.37	0.920781	1741871218.0	0.412036	99.15232373432326	0.3899783081398552
Tbi-CJos_004_Ex1_L4_clmp.fp2_r1	24.40752281788407	40.0	140.93898513637063	0.0	6420370.0						
Tbi-CJos_004_Ex1_L4_clmp.fp2_r2	24.469802239477076	40.0	139.56744003850244	0.0	6420370.0						
Tbi-CJos_004_Ex1_L4_clmp.r1r2_fastp						26.104699999999998	0.914378	1647911262.0	0.409404	99.03616524450497	0.34224124128046074
Tbi-CJos_005_Ex1_L4_clmp.fp2_r1	23.43015976149917	40.0	140.56739851799063	0.0	6460283.0						
Tbi-CJos_005_Ex1_L4_clmp.fp2_r2	23.683942351591824	40.0	139.33065997263589	0.0	6460283.0						
Tbi-CJos_005_Ex1_L4_clmp.r1r2_fastp						26.221899999999998	0.916647	1658605909.0	0.409116	99.09459729551092	0.35447008264219415
Tbi-CJos_006_Ex1_L4_clmp.fp2_r1	21.048742687726218	41.0	141.05151486180293	0.0	3137910.0						
Tbi-CJos_006_Ex1_L4_clmp.fp2_r2	21.585308362301703	41.0	140.00537969540235	0.0	3137910.0						
Tbi-CJos_006_Ex1_L4_clmp.r1r2_fastp						26.103700000000003	0.920482	812327416.0	0.413409	99.16506811868547	0.3308125258743557
Tbi-CJos_007_Ex1_L4_clmp.fp2_r1	23.03964859091137	41.0	140.34194185875478	0.0	6914231.0						
Tbi-CJos_007_Ex1_L4_clmp.fp2_r2	25.118598069137605	41.0	139.63345569449444	0.0	6914231.0						
Tbi-CJos_007_Ex1_L4_clmp.r1r2_fastp						25.417499999999997	0.92299	1787848119.0	0.415488	99.17330608859865	0.3686100150791746
Tbi-CJos_008_Ex1_L4_clmp.fp2_r1	22.948701581185105	41.0	139.69582124110673	0.0	8581615.0						
Tbi-CJos_008_Ex1_L4_clmp.fp2_r2	25.48294104984498	41.0	139.11791451842106	0.0	8581615.0						
Tbi-CJos_008_Ex1_L4_clmp.r1r2_fastp						24.6528	0.924067	2212339372.0	0.413536	99.23001362710528	0.41217801844428986
Tbi-CJos_009_Ex1_L4_clmp.fp2_r1	25.46405936986399	41.0	139.46190034417424	0.0	10310185.0						
Tbi-CJos_009_Ex1_L4_clmp.fp2_r2	26.83702682705001	41.0	138.52795725779896	0.0	10310185.0						
Tbi-CJos_009_Ex1_L4_clmp.r1r2_fastp						26.5473	0.918839	2635212930.0	0.41112	99.09992736326738	0.40809021526405614
Tbi-CJos_010_Ex1_L4_clmp.fp2_r1	23.56362825436848	40.0	141.11437748417657	0.0	7310521.0						
Tbi-CJos_010_Ex1_L4_clmp.fp2_r2	24.284310558735186	40.0	139.8487501779969	0.0	7310521.0						
Tbi-CJos_010_Ex1_L4_clmp.r1r2_fastp						25.6321	0.917784	1886379080.0	0.406426	99.16511904595575	0.32898498372709206
Tbi-CJos_011_Ex1_L4_clmp.fp2_r1	23.77489234667489	41.0	140.2821866259382	0.0	7351454.0						
Tbi-CJos_011_Ex1_L4_clmp.fp2_r2	25.348171385841383	41.0	139.3469066119437	0.0	7351454.0						
Tbi-CJos_011_Ex1_L4_clmp.r1r2_fastp						24.9226	0.921753	1896030103.0	0.413868	99.13990553498529	0.38170080180903304
Tbi-CJos_012_Ex1_L4_clmp.fp2_r1	24.47981231023637	41.0	140.5720717250455	0.0	11137086.0						
Tbi-CJos_012_Ex1_L4_clmp.fp2_r2	26.798273012763573	41.0	139.62031423659653	0.0	11137086.0						
Tbi-CJos_012_Ex1_L4_clmp.r1r2_fastp						25.8338	0.920008	2872788416.0	0.410397	99.18241265478375	0.3655837103073037
Tbi-CJos_013_Ex1_L4_clmp.fp2_r1	23.793025301123265	41.0	140.1488291109648	0.0	8009683.0						
Tbi-CJos_013_Ex1_L4_clmp.fp2_r2	24.5339791179004	41.0	138.96825904346028	0.0	8009683.0						
Tbi-CJos_013_Ex1_L4_clmp.r1r2_fastp						25.672600000000003	0.917593	2052765064.0	0.416108	99.06801876157849	0.3808641992105414
Tbi-CJos_014_Ex1_L4_clmp.fp2_r1	25.78230941196894	41.0	140.92834438023297	0.0	13878102.0						
Tbi-CJos_014_Ex1_L4_clmp.fp2_r2	27.295392348403084	41.0	139.63331441143754	0.0	13878102.0						
Tbi-CJos_014_Ex1_L4_clmp.r1r2_fastp						25.4357	0.916537	3571096569.0	0.410446	99.0792013095664	0.34748144134833536
Tbi-CJos_015_Ex1_L4_clmp.fp2_r1	23.519655676119584	41.0	140.3812679325821	0.0	6286044.0						
Tbi-CJos_015_Ex1_L4_clmp.fp2_r2	24.152994564150987	41.0	139.260690189251	0.0	6286044.0						
Tbi-CJos_015_Ex1_L4_clmp.r1r2_fastp						25.5911	0.91723	1613448357.0	0.415109	99.10411203510589	0.3686817432300746
Tbi-CJos_016_Ex1_L4_clmp.fp2_r1	23.22147847429237	41.0	140.69110520877712	0.0	4769488.0						
Tbi-CJos_016_Ex1_L4_clmp.fp2_r2	22.776941097451356	41.0	139.31250817697833	0.0	4769488.0						
Tbi-CJos_016_Ex1_L4_clmp.r1r2_fastp						26.7174	0.915692	1223712539.0	0.416728	99.07647489190781	0.3626546704096806
Tbi-CJos_017_Ex1_L4_clmp.fp2_r1	23.288541890567473	41.0	139.86973434522432	0.0	6738407.0						
Tbi-CJos_017_Ex1_L4_clmp.fp2_r2	23.59958718635822	41.0	138.75738375553746	0.0	6738407.0						
Tbi-CJos_017_Ex1_L4_clmp.r1r2_fastp						25.5821	0.917185	1723155878.0	0.412426	99.09063583876231	0.39629448699355874
Tbi-CJos_018_Ex1_L4_clmp.fp2_r1	21.89372282759969	41.0	140.86474353256838	0.0	3273788.0						
Tbi-CJos_018_Ex1_L4_clmp.fp2_r2	21.918990568156374	41.0	139.72263842374645	0.0	3273788.0						
Tbi-CJos_018_Ex1_L4_clmp.r1r2_fastp						26.659699999999997	0.918419	844208206.0	0.413001	99.11730235732193	0.3307958992934483
Tbi-CJos_020_Ex1_L4_clmp.fp2_r1	22.564854178965746	41.0	140.18309302915014	0.0	6679659.0						
Tbi-CJos_020_Ex1_L4_clmp.fp2_r2	24.723320838849446	41.0	139.50967541905956	0.0	6679659.0						
Tbi-CJos_020_Ex1_L4_clmp.r1r2_fastp						24.871399999999998	0.924774	1728747366.0	0.413458	99.23398741476473	0.3801242003493868
Tbi-CJos_022_Ex1_L4_clmp.fp2_r1	22.126665499576887	41.0	138.90544259902518	0.0	5432129.0						
Tbi-CJos_022_Ex1_L4_clmp.fp2_r2	22.69714885214468	41.0	137.93928200158723	0.0	5432129.0						
Tbi-CJos_022_Ex1_L4_clmp.r1r2_fastp						25.1194	0.920066	1384509548.0	0.413012	99.15131990234775	0.4266764014693468
Tbi-CJos_023_Ex1_L4_clmp.fp2_r1	24.308848577072823	41.0	141.07341707288154	0.0	8391495.0						
Tbi-CJos_023_Ex1_L4_clmp.fp2_r2	25.180546803706832	41.0	139.82514116972007	0.0	8391495.0						
Tbi-CJos_023_Ex1_L4_clmp.r1r2_fastp						26.0611	0.915873	2160365822.0	0.410849	99.1048493673891	0.337002748222867
Tbi-CJos_025_Ex1_L4_clmp.fp2_r1	24.582205089541972	40.0	140.5662125900333	0.0	10398098.0						
Tbi-CJos_025_Ex1_L4_clmp.fp2_r2	26.01066309754279	40.0	139.40614148856838	0.0	10398098.0						
Tbi-CJos_025_Ex1_L4_clmp.r1r2_fastp						24.4932	0.919156	2677583741.0	0.407973	99.15009015726746	0.3613442253102106
Tbi-CJos_026_Ex1_L4_clmp.fp2_r1	23.15651417027736	40.0	140.16338810740393	0.0	8683184.0						
Tbi-CJos_026_Ex1_L4_clmp.fp2_r2	24.447635348917515	40.0	139.13211236799773	0.0	8683184.0						
Tbi-CJos_026_Ex1_L4_clmp.r1r2_fastp						24.2209	0.9199	2232356260.0	0.408923	99.1656579575642	0.3864215249443226
Tbi-CJos_027_Ex1_L4_clmp.fp2_r1	23.525413698400584	40.0	140.54238967811696	0.0	8108908.0						
Tbi-CJos_027_Ex1_L4_clmp.fp2_r2	24.604601816592407	40.0	139.52322988496107	0.0	8108908.0						
Tbi-CJos_027_Ex1_L4_clmp.r1r2_fastp						25.174200000000003	0.919508	2089597227.0	0.409378	99.12938983206246	0.36082578200210874
Tbi-CJos_028_Ex1_L4_clmp.fp2_r1	23.67482795537012	40.0	140.11250376317432	0.0	9357127.0						
Tbi-CJos_028_Ex1_L4_clmp.fp2_r2	25.31574353537566	40.0	139.2281353026415	0.0	9357127.0						
Tbi-CJos_028_Ex1_L4_clmp.r1r2_fastp						24.5218	0.920055	2406414987.0	0.407488	99.16472577250626	0.39264756050349187
Tbi-CJos_029_Ex1_L4_clmp.fp2_r1	23.29093431931574	40.0	138.21718541192843	0.0	10223997.0						
Tbi-CJos_029_Ex1_L4_clmp.fp2_r2	24.76171299072601	40.0	137.34357238172117	0.0	10223997.0						
Tbi-CJos_029_Ex1_L4_clmp.r1r2_fastp						23.8379	0.920848	2595940765.0	0.404082	99.12399723453274	0.441346236908168
Tbi-CJos_030_Ex1_L4_clmp.fp2_r1	22.521518115193402	41.0	139.7047443964104	0.0	7398918.0						
Tbi-CJos_030_Ex1_L4_clmp.fp2_r2	24.3796040711717	41.0	138.94001839187837	0.0	7398918.0						
Tbi-CJos_030_Ex1_L4_clmp.r1r2_fastp						24.513099999999998	0.922786	1903652383.0	0.410782	99.17626091567551	0.401588553493043
Tbi-CJos_031_Ex1_L4_clmp.fp2_r1	21.88521355800914	40.0	139.62575596768318	0.0	5723955.0						
Tbi-CJos_031_Ex1_L4_clmp.fp2_r2	23.709258269964806	41.0	138.99046236387252	0.0	5723955.0						
Tbi-CJos_031_Ex1_L4_clmp.r1r2_fastp						24.610000000000003	0.923903	1474335533.0	0.409969	99.20096151513155	0.39363542146875424
Tbi-CJos_032_Ex1_L4_clmp.fp2_r1	22.921255342674996	41.0	137.3360739905524	0.0	6534564.0						
Tbi-CJos_032_Ex1_L4_clmp.fp2_r2	23.974374619817894	41.0	136.61261501149886	0.0	6534564.0						
Tbi-CJos_032_Ex1_L4_clmp.r1r2_fastp						25.030400000000004	0.921349	1650332175.0	0.413182	99.05974132995098	0.5144780128032836
Tbi-CJos_033_Ex1_L4_clmp.fp2_r1	25.8792310131293	40.0	140.97474401529712	0.0	8755113.0						
Tbi-CJos_033_Ex1_L4_clmp.fp2_r2	26.232393430856774	40.0	139.68873183018883	0.0	8755113.0						
Tbi-CJos_033_Ex1_L4_clmp.r1r2_fastp						27.5179	0.914327	2248289416.0	0.4072	99.01039510914185	0.3502468725332537
Tbi-CJos_034_Ex1_L4_clmp.fp2_r1	24.566171303178947	40.0	140.50804212775313	0.0	10192141.0						
Tbi-CJos_034_Ex1_L4_clmp.fp2_r2	25.942004187729964	40.0	139.41119907976156	0.0	10192141.0						
Tbi-CJos_034_Ex1_L4_clmp.r1r2_fastp						25.4577	0.917888	2620436078.0	0.406825	99.10097639169703	0.36512837346549726
Tbi-CJos_035_Ex1_L4_clmp.fp2_r1	23.53213560491443	41.0	141.018361477911	0.0	6151629.0						
Tbi-CJos_035_Ex1_L4_clmp.fp2_r2	24.448591800104467	41.0	139.84561552720425	0.0	6151629.0						
Tbi-CJos_035_Ex1_L4_clmp.r1r2_fastp						25.9428	0.918456	1587954688.0	0.411012	99.12129281812288	0.33328161055389616
Tbi-CJos_036_Ex1_L4_clmp.fp2_r1	22.903238766754384	40.0	140.36647323153204	0.0	6996833.0						
Tbi-CJos_036_Ex1_L4_clmp.fp2_r2	24.315020393144266	40.0	139.37037299589684	0.0	6996833.0						
Tbi-CJos_036_Ex1_L4_clmp.r1r2_fastp						25.575799999999997	0.92	1801855748.0	0.408813	99.12176614071518	0.3681348711527951
Tbi-CJos_037_Ex1_L4_clmp.fp2_r1	25.131255104710178	40.0	141.0846724234232	0.0	10951653.0						
Tbi-CJos_037_Ex1_L4_clmp.fp2_r2	26.335861098093673	40.0	139.80256715584397	0.0	10951653.0						
Tbi-CJos_037_Ex1_L4_clmp.r1r2_fastp						25.896	0.916168	2820208542.0	0.406851	99.0466279125714	0.33581235097767326
Tbi-CJos_038_Ex1_L4_clmp.fp2_r1	23.222253066837908	40.0	140.0479589193913	0.0	6911290.0						
Tbi-CJos_038_Ex1_L4_clmp.fp2_r2	23.89357630779915	40.0	139.05158660684185	0.0	6911290.0						
Tbi-CJos_038_Ex1_L4_clmp.r1r2_fastp						25.377	0.91951	1774833799.0	0.408999	99.15084757434208	0.37578473792335676
Tbi-CJos_039_Ex1_L4_clmp.fp2_r1	23.751301701906442	40.0	140.51050592079721	0.0	8463894.0						
Tbi-CJos_039_Ex1_L4_clmp.fp2_r2	25.108603120106295	40.0	139.51593545476823	0.0	8463894.0						
Tbi-CJos_039_Ex1_L4_clmp.r1r2_fastp						24.8879	0.919359	2180408027.0	0.407325	99.10643841612251	0.35875012850978066
Tbi-CJos_040_Ex1_L4_clmp.fp2_r1	24.187797280011466	40.0	140.68076578922341	0.0	7245179.0						
Tbi-CJos_040_Ex1_L4_clmp.fp2_r2	24.00883438633926	40.0	139.32571935075725	0.0	7245179.0						
Tbi-CJos_040_Ex1_L4_clmp.r1r2_fastp						26.0837	0.914847	1857248177.0	0.407888	99.06408966931323	0.34304451908136424
Tbi-CJos_041_Ex1_L4_clmp.fp2_r1	22.932732259527228	40.0	140.17722138137046	0.0	4485531.0						
Tbi-CJos_041_Ex1_L4_clmp.fp2_r2	22.556999276077576	40.0	138.9356145348232	0.0	4485531.0						
Tbi-CJos_041_Ex1_L4_clmp.r1r2_fastp						27.0841	0.914519	1145738196.0	0.40775	98.98379836970805	0.3637141209657292
Tbi-CJos_042_Ex1_L4_clmp.fp2_r1	21.961199037871552	41.0	141.1475079213432	0.0	2989392.0						
Tbi-CJos_042_Ex1_L4_clmp.fp2_r2	22.172613711297913	41.0	139.97533612186024	0.0	2989392.0						
Tbi-CJos_042_Ex1_L4_clmp.r1r2_fastp						27.2812	0.917381	771480000.0	0.411733	99.08399922042487	0.3272757163672329
Tbi-CJos_043_Ex1_L4_clmp.fp2_r1	23.484340519056772	40.0	140.36516669673765	0.0	10951864.0						
Tbi-CJos_043_Ex1_L4_clmp.fp2_r2	26.02893025504612	40.0	139.59512627256876	0.0	10951864.0						
