Sample	Protists_1k	Bacteria_24k	Human	Bird	Fungi_RefSeq_release	Plant	Coral	Viruses	Vectors	Contamnts_Adaptrs	Multiple Genomes	No hits
SdA01008_CKDL210020579-1a-5UDI301-AK4234_HKGLMDSX2_L2_clmp.fp2_r2_screen	6635.0	2796.0	825.0	770.0	342.0	168.0	55.0	32.0	3.0	0.0	1219292.0	265274.0
SdA01009_CKDL210020579-1a-5UDI301-GD06_HKGLMDSX2_L2_clmp.fp2_r1_screen	23537.0	25828.0	4162.0	716.0	1345.0	540.0	204.0	99.0	12.0	2.0	2200648.0	1132444.0
SdA01009_CKDL210020579-1a-5UDI301-GD06_HKGLMDSX2_L2_clmp.fp2_r2_screen	24014.0	25669.0	4331.0	656.0	1414.0	522.0	204.0	118.0	8.0	0.0	2198801.0	1133800.0
SdA01010_CKDL210020579-1a-AK7758-AK533_HKGLMDSX2_L2_clmp.fp2_r1_screen	52283.0	39413.0	7142.0	2868.0	3293.0	1613.0	753.0	325.0	33.0	4.0	3412916.0	3017226.0
SdA01010_CKDL210020579-1a-AK7758-AK533_HKGLMDSX2_L2_clmp.fp2_r2_screen	53378.0	39096.0	7166.0	2889.0	3362.0	1485.0	816.0	292.0	36.0	0.0	3412123.0	3017226.0
SdA01011_CKDL210020579-1a-AK7758-AK7557_HKGLMDSX2_L2_clmp.fp2_r1_screen	36313.0	11755.0	3628.0	1230.0	2202.0	869.0	360.0	135.0	18.0	0.0	1346012.0	2165326.0
SdA01011_CKDL210020579-1a-AK7758-AK7557_HKGLMDSX2_L2_clmp.fp2_r2_screen	36724.0	11830.0	3709.0	1231.0	2304.0	878.0	344.0	149.0	8.0	0.0	1347128.0	2163543.0
SdA01012_CKDL210020579-1a-AK7758-AK8488_HKGLMDSX2_L2_clmp.fp2_r1_screen	87760.0	13404.0	9504.0	3020.0	5667.0	2089.0	882.0	287.0	22.0	2.0	2057177.0	4782223.0
SdA01012_CKDL210020579-1a-AK7758-AK8488_HKGLMDSX2_L2_clmp.fp2_r2_screen	88511.0	13794.0	9554.0	2931.0	5447.0	1995.0	814.0	304.0	16.0	1.0	2060625.0	4778045.0
SdA01013_CKDL210020579-1a-AK7758-GC06_HKGLMDSX2_L2_clmp.fp2_r1_screen	81844.0	17027.0	8926.0	3659.0	5020.0	2227.0	854.0	418.0	41.0	2.0	4296771.0	3329245.0
SdA01013_CKDL210020579-1a-AK7758-GC06_HKGLMDSX2_L2_clmp.fp2_r2_screen	85046.0	17090.0	8820.0	3609.0	5067.0	2289.0	948.0	415.0	29.0	1.0	4297348.0	3325372.0
SdA01014_CKDL210020579-1a-AK7758-AK4236_HKGLMDSX2_L2_clmp.fp2_r1_screen	90637.0	18301.0	8877.0	4303.0	5540.0	1899.0	834.0	322.0	16.0	5.0	2195011.0	3831906.0
SdA01014_CKDL210020579-1a-AK7758-AK4236_HKGLMDSX2_L2_clmp.fp2_r2_screen	91691.0	18684.0	8920.0	4291.0	5704.0	1897.0	886.0	346.0	7.0	0.0	2197630.0	3827595.0
SdA01015_CKDL210020579-1a-AK7758-AK10343_HKGLMDSX2_L2_clmp.fp2_r1_screen	63372.0	10533.0	6710.0	3747.0	3805.0	2011.0	797.0	332.0	21.0	2.0	3166235.0	2974622.0
SdA01015_CKDL210020579-1a-AK7758-AK10343_HKGLMDSX2_L2_clmp.fp2_r2_screen	65589.0	10667.0	6758.0	3684.0	3949.0	1964.0	752.0	323.0	30.0	1.0	3163848.0	2974622.0
SdA01016_CKDL210020579-1a-AK7758-AK4234_HKGLMDSX2_L2_clmp.fp2_r1_screen	36454.0	23720.0	4719.0	4167.0	2133.0	1225.0	528.0	241.0	27.0	1.0	3044969.0	2146350.0
SdA01016_CKDL210020579-1a-AK7758-AK4234_HKGLMDSX2_L2_clmp.fp2_r2_screen	37962.0	23626.0	4689.0	4213.0	2173.0	1269.0	472.0	225.0	23.0	2.0	3043530.0	2146350.0
SdA01017_CKDL210020579-1a-AK7758-GD06_HKGLMDSX2_L2_clmp.fp2_r1_screen	42148.0	70865.0	8357.0	2683.0	2635.0	1032.0	319.0	240.0	18.0	0.0	3256315.0	1595687.0
SdA01017_CKDL210020579-1a-AK7758-GD06_HKGLMDSX2_L2_clmp.fp2_r2_screen	43357.0	70356.0	8417.0	2733.0	2649.0	1008.0	347.0	270.0	20.0	0.0	3257447.0	1593695.0
SdA01018_CKDL210020579-1a-AK7078-AK533_HKGLMDSX2_L2_clmp.fp2_r1_screen	68589.0	16036.0	9206.0	4710.0	4535.0	1820.0	797.0	293.0	10.0	1.0	2905969.0	3462595.0
SdA01018_CKDL210020579-1a-AK7078-AK533_HKGLMDSX2_L2_clmp.fp2_r2_screen	69366.0	15624.0	9402.0	4719.0	4488.0	1813.0	771.0	318.0	15.0	1.0	2906097.0	3461947.0
SdA01019_CKDL210020579-1a-AK7078-AK7557_HKGLMDSX2_L2_clmp.fp2_r1_screen	44728.0	14703.0	8077.0	3068.0	2743.0	1538.0	528.0	251.0	10.0	4.0	2678366.0	2748513.0
SdA01019_CKDL210020579-1a-AK7078-AK7557_HKGLMDSX2_L2_clmp.fp2_r2_screen	46333.0	14885.0	8005.0	2880.0	2841.0	1375.0	467.0	250.0	15.0	1.0	2673663.0	2751814.0
SdA01020_CKDL210020579-1a-AK7078-AK8488_HKGLMDSX2_L2_clmp.fp2_r1_screen	62586.0	26414.0	8009.0	1981.0	3782.0	1453.0	562.0	226.0	17.0	2.0	1430045.0	3274061.0
SdA01020_CKDL210020579-1a-AK7078-AK8488_HKGLMDSX2_L2_clmp.fp2_r2_screen	63342.0	26131.0	7831.0	2029.0	3901.0	1368.0	594.0	242.0	17.0	0.0	1429622.0	3274061.0
SdA01021_CKDL210020579-1a-AK7078-GC06_HKGLMDSX2_L2_clmp.fp2_r1_screen	58124.0	21083.0	7566.0	2311.0	3672.0	1588.0	804.0	275.0	29.0	1.0	2558239.0	3514814.0
SdA01021_CKDL210020579-1a-AK7078-GC06_HKGLMDSX2_L2_clmp.fp2_r2_screen	58978.0	21161.0	7749.0	2205.0	3661.0	1616.0	653.0	281.0	24.0	1.0	2556746.0	3515431.0
SdA01022_CKDL210020579-1a-AK7078-AK4236_HKGLMDSX2_L2_clmp.fp2_r1_screen	74330.0	22764.0	7276.0	2278.0	4676.0	1469.0	587.0	284.0	16.0	3.0	1336709.0	3216247.0
SdA01022_CKDL210020579-1a-AK7078-AK4236_HKGLMDSX2_L2_clmp.fp2_r2_screen	75688.0	22150.0	7188.0	2394.0	4642.0	1465.0	643.0	208.0	10.0	0.0	1339271.0	3212980.0
SdA01023_CKDL210020579-1a-AK7078-AK10343_HKGLMDSX2_L2_clmp.fp2_r1_screen	51392.0	36535.0	7147.0	2646.0	3319.0	1524.0	636.0	303.0	18.0	3.0	2940176.0	2836707.0
SdA01023_CKDL210020579-1a-AK7078-AK10343_HKGLMDSX2_L2_clmp.fp2_r2_screen	51593.0	36710.0	7110.0	2525.0	3122.0	1507.0	649.0	304.0	16.0	0.0	2939575.0	2837295.0
SdA01024_CKDL210020579-1a-AK7078-AK4234_HKGLMDSX2_L2_clmp.fp2_r1_screen	51714.0	7317.0	13034.0	1983.0	4345.0	1149.0	659.0	218.0	30.0	5.0	1605865.0	1294096.0
SdA01024_CKDL210020579-1a-AK7078-AK4234_HKGLMDSX2_L2_clmp.fp2_r2_screen	53049.0	7208.0	12816.0	1959.0	4368.0	1114.0	619.0	215.0	13.0	0.0	1607343.0	1291711.0
SdA01025_CKDL210020579-1a-AK7078-GD06_HKGLMDSX2_L2_clmp.fp2_r1_screen	81204.0	49501.0	10181.0	3001.0	4701.0	1905.0	785.0	362.0	15.0	0.0	2759788.0	3894173.0
SdA01025_CKDL210020579-1a-AK7078-GD06_HKGLMDSX2_L2_clmp.fp2_r2_screen	82698.0	49097.0	10280.0	2922.0	4985.0	1907.0	732.0	344.0	21.0	0.0	2761179.0	3891451.0
SdA01026_CKDL210020579-1a-AK9143-AK533_HKGLMDSX2_L2_clmp.fp2_r1_screen	37246.0	10847.0	41803.0	1644.0	2369.0	1024.0	431.0	218.0	17.0	4.0	2000640.0	1641707.0
SdA01026_CKDL210020579-1a-AK9143-AK533_HKGLMDSX2_L2_clmp.fp2_r2_screen	38418.0	10697.0	41433.0	1651.0	2346.0	955.0	320.0	195.0	10.0	1.0	1996479.0	1645445.0
SdA01027_CKDL210020579-1a-AK9143-AK7557_HKGLMDSX2_L2_clmp.fp2_r1_screen	47571.0	25409.0	8714.0	1527.0	3139.0	1077.0	417.0	211.0	15.0	4.0	1588599.0	2258268.0
SdA01027_CKDL210020579-1a-AK9143-AK7557_HKGLMDSX2_L2_clmp.fp2_r2_screen	48323.0	25336.0	8895.0	1568.0	3039.0	1080.0	458.0	236.0	13.0	0.0	1588129.0	2257874.0
SdA01028_CKDL210020579-1a-AK9143-AK8488_HKGLMDSX2_L2_clmp.fp2_r1_screen	12977.0	10802.0	2275.0	861.0	820.0	381.0	174.0	82.0	2.0	0.0	1117483.0	576200.0
SdA01028_CKDL210020579-1a-AK9143-AK8488_HKGLMDSX2_L2_clmp.fp2_r2_screen	13434.0	10628.0	2227.0	827.0	896.0	400.0	139.0	78.0	8.0	0.0	1115498.0	577922.0
SdA01029_CKDL210020579-1a-AK9143-GC06_HKGLMDSX2_L2_clmp.fp2_r1_screen	85957.0	9076.0	7803.0	3038.0	5117.0	1978.0	843.0	382.0	35.0	7.0	3893912.0	3165913.0
SdA01029_CKDL210020579-1a-AK9143-GC06_HKGLMDSX2_L2_clmp.fp2_r2_screen	87979.0	8948.0	7516.0	2943.0	5424.0	1883.0	885.0	366.0	27.0	1.0	3887155.0	3170934.0
SdA01030_CKDL210020579-1a-AK9143-AK4236_HKGLMDSX2_L2_clmp.fp2_r1_screen	53066.0	12920.0	8278.0	2808.0	3304.0	1225.0	608.0	229.0	17.0	1.0	2429480.0	2607149.0
SdA01030_CKDL210020579-1a-AK9143-AK4236_HKGLMDSX2_L2_clmp.fp2_r2_screen	54240.0	12756.0	8578.0	2705.0	3361.0	1244.0	651.0	239.0	13.0	0.0	2429684.0	2605614.0
SdA01031_CKDL210020579-1a-AK9143-AK10343_HKGLMDSX2_L2_clmp.fp2_r1_screen	45546.0	6863.0	4821.0	1769.0	2946.0	1162.0	516.0	213.0	12.0	2.0	1222921.0	2825630.0
SdA01031_CKDL210020579-1a-AK9143-AK10343_HKGLMDSX2_L2_clmp.fp2_r2_screen	46634.0	6722.0	4902.0	1937.0	2836.0	1129.0	472.0	185.0	15.0	0.0	1221939.0	2825630.0
SdA01032_CKDL210020579-1a-AK9143-AK4234_HKGLMDSX2_L2_clmp.fp2_r1_screen	17301.0	16992.0	2605.0	1051.0	1055.0	492.0	196.0	108.0	13.0	0.0	1609075.0	957636.0
SdA01032_CKDL210020579-1a-AK9143-AK4234_HKGLMDSX2_L2_clmp.fp2_r2_screen	18171.0	16937.0	2501.0	1022.0	1060.0	400.0	198.0	107.0	10.0	0.0	1606657.0	959461.0
SdA01033_CKDL210020579-1a-AK9143-GD06_HKGLMDSX2_L2_clmp.fp2_r1_screen	67038.0	28791.0	11130.0	1813.0	4379.0	1436.0	692.0	243.0	21.0	1.0	1715449.0	3605447.0
SdA01033_CKDL210020579-1a-AK9143-GD06_HKGLMDSX2_L2_clmp.fp2_r2_screen	67109.0	28542.0	10994.0	1861.0	4275.0	1406.0	660.0	234.0	11.0	0.0	1714814.0	3606534.0
SdA01034_CKDL210020579-1a-5UDI225-AK533_HKGLMDSX2_L2_clmp.fp2_r1_screen	40936.0	18365.0	7250.0	4732.0	2713.0	1393.0	632.0	273.0	51.0	3.0	3738326.0	2605173.0
SdA01034_CKDL210020579-1a-5UDI225-AK533_HKGLMDSX2_L2_clmp.fp2_r2_screen	43130.0	17929.0	7466.0	4637.0	2582.0	1378.0	654.0	225.0	20.0	0.0	3731517.0	2610309.0
SdA01035_CKDL210020579-1a-5UDI225-AK7557_HKGLMDSX2_L2_clmp.fp2_r1_screen	44960.0	17202.0	25152.0	1556.0	2917.0	1095.0	462.0	240.0	33.0	3.0	1624499.0	2568603.0
SdA01035_CKDL210020579-1a-5UDI225-AK7557_HKGLMDSX2_L2_clmp.fp2_r2_screen	45563.0	17268.0	25051.0	1509.0	2966.0	1103.0	465.0	203.0	16.0	0.0	1625261.0	2567317.0
SdA01036_CKDL210020579-1a-5UDI225-AK8488_HKGLMDSX2_L2_clmp.fp2_r1_screen	59662.0	6279.0	6645.0	1916.0	3843.0	1384.0	582.0	223.0	63.0	1.0	1556672.0	3213898.0
SdA01036_CKDL210020579-1a-5UDI225-AK8488_HKGLMDSX2_L2_clmp.fp2_r2_screen	60655.0	6355.0	6586.0	1843.0	3659.0	1269.0	524.0	212.0	9.0	0.0	1556158.0	3213898.0
SdA01037_CKDL210020579-1a-5UDI225-GC06_HKGLMDSX2_L2_clmp.fp2_r1_screen	44880.0	37240.0	7844.0	1792.0	3481.0	1058.0	481.0	218.0	34.0	1.0	1348086.0	2443784.0
SdA01037_CKDL210020579-1a-5UDI225-GC06_HKGLMDSX2_L2_clmp.fp2_r2_screen	45501.0	37396.0	8219.0	1786.0	3593.0	961.0	491.0	227.0	8.0	0.0	1348100.0	2442617.0
SdA01038_CKDL210020579-1a-5UDI225-AK4236_HKGLMDSX2_L2_clmp.fp2_r1_screen	17585.0	30377.0	7583.0	822.0	1043.0	390.0	161.0	82.0	11.0	3.0	1026054.0	821849.0
SdA01038_CKDL210020579-1a-5UDI225-AK4236_HKGLMDSX2_L2_clmp.fp2_r2_screen	17399.0	30571.0	7516.0	736.0	1007.0	366.0	147.0	98.0	4.0	2.0	1026265.0	821849.0
SdA01039_CKDL210020579-1a-5UDI225-AK10343_HKGLMDSX2_L2_clmp.fp2_r1_screen	37906.0	34381.0	162982.0	3775.0	2627.0	1173.0	477.0	296.0	30.0	3.0	2999251.0	2065497.0
SdA01039_CKDL210020579-1a-5UDI225-AK10343_HKGLMDSX2_L2_clmp.fp2_r2_screen	39127.0	34466.0	162952.0	3744.0	2659.0	1198.0	447.0	249.0	21.0	0.0	2991668.0	2071867.0
SdA01040_CKDL210020579-1a-5UDI225-AK4234_HKGLMDSX2_L2_clmp.fp2_r1_screen	19410.0	4601.0	5176.0	1167.0	1311.0	613.0	284.0	107.0	10.0	1.0	920078.0	1202802.0
SdA01040_CKDL210020579-1a-5UDI225-AK4234_HKGLMDSX2_L2_clmp.fp2_r2_screen	19934.0	4489.0	5249.0	1238.0	1212.0	608.0	258.0	113.0	8.0	0.0	919218.0	1203233.0
SdA01041_CKDL210020579-1a-5UDI225-GD06_HKGLMDSX2_L2_clmp.fp2_r1_screen	46786.0	16466.0	10238.0	1459.0	3094.0	1084.0	474.0	251.0	26.0	0.0	1828595.0	2337294.0
SdA01041_CKDL210020579-1a-5UDI225-GD06_HKGLMDSX2_L2_clmp.fp2_r2_screen	47804.0	16200.0	9995.0	1486.0	2980.0	1162.0	513.0	223.0	11.0	1.0	1828522.0	2336870.0
SdA01042_CKDL210020579-1a-AK9144-AK533_HKGLMDSX2_L2_clmp.fp2_r1_screen	58268.0	32913.0	9270.0	4101.0	3759.0	1691.0	676.0	334.0	65.0	2.0	3576457.0	3550021.0
SdA01042_CKDL210020579-1a-AK9144-AK533_HKGLMDSX2_L2_clmp.fp2_r2_screen	59946.0	32767.0	9147.0	4086.0	3770.0	1747.0	636.0	324.0	27.0	0.0	3576533.0	3548574.0
SdA01043_CKDL210020579-1a-AK9144-AK7557_HKGLMDSX2_L2_clmp.fp2_r1_screen	12971.0	12155.0	2334.0	1328.0	841.0	471.0	188.0	80.0	22.0	5.0	1433504.0	824157.0
SdA01043_CKDL210020579-1a-AK9144-AK7557_HKGLMDSX2_L2_clmp.fp2_r2_screen	13641.0	11998.0	2381.0	1361.0	801.0	411.0	180.0	81.0	14.0	0.0	1430514.0	826674.0
SdA01045_CKDL210020579-1a-AK9144-GC06_HKGLMDSX2_L2_clmp.fp2_r1_screen	71572.0	51487.0	21187.0	3108.0	4390.0	1989.0	797.0	397.0	67.0	3.0	4884736.0	3224834.0
SdA01045_CKDL210020579-1a-AK9144-GC06_HKGLMDSX2_L2_clmp.fp2_r2_screen	74548.0	51354.0	20980.0	2953.0	4310.0	1849.0	749.0	384.0	24.0	1.0	4876796.0	3230619.0
SdA01046_CKDL210020579-1a-AK9144-AK4236_HKGLMDSX2_L2_clmp.fp2_r1_screen	45014.0	57166.0	24656.0	1404.0	3055.0	937.0	437.0	280.0	27.0	2.0	2444902.0	2121991.0
SdA01046_CKDL210020579-1a-AK9144-AK4236_HKGLMDSX2_L2_clmp.fp2_r2_screen	45969.0	56921.0	24139.0	1287.0	2937.0	934.0	318.0	255.0	15.0	0.0	2443695.0	2123401.0
SdA01047_CKDL210020579-1a-AK9144-AK10343_HKGLMDSX2_L2_clmp.fp2_r1_screen	25976.0	73996.0	10409.0	996.0	1836.0	475.0	237.0	182.0	13.0	0.0	1286666.0	1300305.0
SdA01047_CKDL210020579-1a-AK9144-AK10343_HKGLMDSX2_L2_clmp.fp2_r2_screen	26836.0	73697.0	10415.0	935.0	1768.0	453.0	209.0	159.0	6.0	0.0	1284688.0	1301925.0
SdA01048_CKDL210020579-1a-AK9144-AK4234_HKGLMDSX2_L2_clmp.fp2_r1_screen	27835.0	10323.0	6832.0	2047.0	1903.0	808.0	384.0	170.0	47.0	4.0	2770576.0	1539084.0
SdA01048_CKDL210020579-1a-AK9144-AK4234_HKGLMDSX2_L2_clmp.fp2_r2_screen	29294.0	10099.0	6907.0	2021.0	1794.0	846.0	343.0	198.0	16.0	0.0	2767231.0	1541264.0
SdA01049_CKDL210020579-1a-AK9144-GD06_HKGLMDSX2_L2_clmp.fp2_r1_screen	129195.0	38564.0	55792.0	3865.0	8047.0	2820.0	1020.0	677.0	96.0	4.0	7710880.0	3458079.0
SdA01049_CKDL210020579-1a-AK9144-GD06_HKGLMDSX2_L2_clmp.fp2_r2_screen	133174.0	38654.0	55409.0	3866.0	7882.0	2780.0	1023.0	632.0	37.0	1.0	7701797.0	3463784.0
SdA01050_CKDL210020579-1a-AK3911-GC06_HKGLMDSX2_L2_clmp.fp2_r1_screen	62048.0	18614.0	17586.0	3435.0	4218.0	1548.0	581.0	381.0	26.0	1.0	3828231.0	2777758.0
SdA01050_CKDL210020579-1a-AK3911-GC06_HKGLMDSX2_L2_clmp.fp2_r2_screen	63735.0	18559.0	17749.0	3463.0	4347.0	1525.0	632.0	357.0	24.0	1.0	3826277.0	2777758.0
SdA01051_CKDL210020579-1a-AK3911-GD06_HKGLMDSX2_L2_clmp.fp2_r1_screen	55458.0	40674.0	6261.0	5142.0	3151.0	1510.0	593.0	588.0	24.0	3.0	3817228.0	3049711.0
SdA01051_CKDL210020579-1a-AK3911-GD06_HKGLMDSX2_L2_clmp.fp2_r2_screen	57367.0	40703.0	6407.0	5178.0	3205.0	1488.0	643.0	532.0	25.0	1.0	3816479.0	3048315.0
SdA01052_CKDL210020579-1a-5UDI245-GC06_HKGLMDSX2_L2_clmp.fp2_r1_screen	55297.0	11549.0	11744.0	3916.0	3237.0	1387.0	613.0	300.0	11.0	3.0	3276021.0	2617567.0
SdA01052_CKDL210020579-1a-5UDI245-GC06_HKGLMDSX2_L2_clmp.fp2_r2_screen	56651.0	11864.0	11856.0	3812.0	3057.0	1336.0	574.0	302.0	19.0	0.0	3273410.0	2618764.0
SdA01053_CKDL210020579-1a-5UDI245-GD06_HKGLMDSX2_L2_clmp.fp2_r1_screen	66302.0	20473.0	7612.0	4875.0	5042.0	2008.0	789.0	411.0	31.0	2.0	4586204.0	3509237.0
SdA01053_CKDL210020579-1a-5UDI245-GD06_HKGLMDSX2_L2_clmp.fp2_r2_screen	68884.0	20127.0	7741.0	4760.0	4982.0	1948.0	832.0	354.0	31.0	0.0	4580809.0	3512518.0
SdA01054_CKDL210020579-1a-AK8593-GC06_HKGLMDSX2_L2_clmp.fp2_r1_screen	72963.0	15508.0	8197.0	2781.0	4702.0	1888.0	693.0	379.0	18.0	3.0	3815606.0	3183670.0
SdA01054_CKDL210020579-1a-AK8593-GC06_HKGLMDSX2_L2_clmp.fp2_r2_screen	74282.0	15427.0	8362.0	2731.0	4733.0	1772.0	707.0	406.0	26.0	1.0	3812159.0	3185802.0
SdA01055_CKDL210020579-1a-AK8593-GD06_HKGLMDSX2_L2_clmp.fp2_r1_screen	61673.0	33772.0	39232.0	2540.0	3985.0	1439.0	669.0	374.0	25.0	2.0	4029890.0	2609432.0
SdA01055_CKDL210020579-1a-AK8593-GD06_HKGLMDSX2_L2_clmp.fp2_r2_screen	62516.0	33322.0	38800.0	2550.0	3964.0	1466.0	645.0	379.0	14.0	3.0	4027228.0	2612146.0
SdA01056_CKDL210020579-1a-5UDI294-GC06_HKGLMDSX2_L2_clmp.fp2_r1_screen	49620.0	23394.0	10507.0	2562.0	3305.0	1219.0	546.0	3060.0	14.0	1.0	3100607.0	2699693.0
SdA01056_CKDL210020579-1a-5UDI294-GC06_HKGLMDSX2_L2_clmp.fp2_r2_screen	50027.0	23300.0	10493.0	2530.0	3360.0	1276.0	542.0	3015.0	19.0	0.0	3105578.0	2694388.0
SdA01057_CKDL210020579-1a-5UDI294-GD06_HKGLMDSX2_L2_clmp.fp2_r1_screen	46530.0	106724.0	33825.0	510.0	1914.0	386.0	149.0	1276.0	12.0	0.0	1343181.0	1634652.0
SdA01057_CKDL210020579-1a-5UDI294-GD06_HKGLMDSX2_L2_clmp.fp2_r2_screen	47188.0	106156.0	33675.0	494.0	1883.0	412.0	116.0	1329.0	15.0	0.0	1341972.0	1635919.0
SdA01059_CKDL210020579-1a-AK9146-GD06_HKGLMDSX2_L2_clmp.fp2_r1_screen	84994.0	14274.0	9229.0	2216.0	5011.0	1801.0	798.0	516.0	26.0	1.0	5082335.0	2492882.0
SdA01059_CKDL210020579-1a-AK9146-GD06_HKGLMDSX2_L2_clmp.fp2_r2_screen	87856.0	13915.0	9153.0	2148.0	5084.0	1817.0	784.0	529.0	40.0	2.0	5072179.0	2500576.0
SdA01060_CKDL210020579-1a-AK5577-GC06_HKGLMDSX2_L2_clmp.fp2_r1_screen	96211.0	18968.0	10367.0	4468.0	5883.0	2646.0	1002.0	637.0	64.0	5.0	8379957.0	2956365.0
SdA01060_CKDL210020579-1a-AK5577-GC06_HKGLMDSX2_L2_clmp.fp2_r2_screen	102031.0	18797.0	10234.0	4341.0	5538.0	2540.0	945.0	599.0	62.0	5.0	8364787.0	2966694.0
SdA01061_CKDL210020579-1a-AK3911-AK533_HKGLMDSX2_L2_clmp.fp2_r1_screen	104776.0	20450.0	19712.0	3178.0	6515.0	2251.0	798.0	556.0	30.0	2.0	3545267.0	4619014.0
SdA01061_CKDL210020579-1a-AK3911-AK533_HKGLMDSX2_L2_clmp.fp2_r2_screen	106777.0	20469.0	19715.0	3302.0	6325.0	2179.0	906.0	523.0	22.0	2.0	3544147.0	4618182.0
SdA01062_CKDL210020579-1a-AK3911-AK4236_HKGLMDSX2_L2_clmp.fp2_r1_screen	58978.0	15135.0	14538.0	5625.0	3502.0	1794.0	604.0	397.0	30.0	2.0	4555425.0	2702954.0
SdA01062_CKDL210020579-1a-AK3911-AK4236_HKGLMDSX2_L2_clmp.fp2_r2_screen	60407.0	15021.0	14424.0	5599.0	3481.0	1738.0	657.0	367.0	19.0	0.0	4555053.0	2702218.0
SdA01063_CKDL210020579-1a-5UDI245-AK533_HKGLMDSX2_L2_clmp.fp2_r1_screen	50707.0	32833.0	34831.0	4007.0	5202.0	1396.0	583.0	368.0	23.0	1.0	4701038.0	2412959.0
SdA01063_CKDL210020579-1a-5UDI245-AK533_HKGLMDSX2_L2_clmp.fp2_r2_screen	52967.0	32806.0	35007.0	4064.0	5252.0	1432.0	558.0	294.0	21.0	0.0	4694966.0	2416581.0
SdA01064_CKDL210020579-1a-5UDI245-AK4236_HKGLMDSX2_L2_clmp.fp2_r1_screen	47990.0	10943.0	5885.0	3687.0	2925.0	1552.0	608.0	326.0	25.0	3.0	4324281.0	2438747.0
SdA01064_CKDL210020579-1a-5UDI245-AK4236_HKGLMDSX2_L2_clmp.fp2_r2_screen	49754.0	10948.0	5897.0	3622.0	2833.0	1505.0	601.0	335.0	11.0	1.0	4317932.0	2443533.0
SdA01065_CKDL210020579-1a-AK8593-AK533_HKGLMDSX2_L2_clmp.fp2_r1_screen	74093.0	15593.0	11204.0	3304.0	4775.0	1862.0	1016.0	357.0	31.0	1.0	3805986.0	3692930.0
SdA01065_CKDL210020579-1a-AK8593-AK533_HKGLMDSX2_L2_clmp.fp2_r2_screen	74662.0	15427.0	11206.0	3293.0	4613.0	1874.0	971.0	347.0	29.0	0.0	3802755.0	3695975.0
